position,team_id,team_name,played,wins,draws,losses,goals_for,goals_against,goal_diff,points
1,6224,FK Sutjeska Nikšić,28,17,4,7,48,29,19,55
2,36019,FK Mornar Bar,28,15,6,7,41,27,14,51
3,6216,OFK Petrovac,28,12,8,8,38,27,11,44
4,6226,FK Dečić Tuzi,28,12,7,9,34,35,-1,43
5,5143,FK Budućnost Podgorica,28,12,5,11,33,28,5,41
6,327162,Mladost DG,28,11,3,14,39,45,-6,36
7,37956,FK Arsenal Tivat,28,9,8,11,27,35,-8,35
8,24312,FK Jezero,28,9,7,12,32,37,-5,34
9,7581,FK Bokelj Kotor,28,5,10,13,29,40,-11,25
10,6219,FK Jedinstvo Bijelo Polje,28,6,6,16,20,38,-18,24
