match_id,team_id,team_name,team_side,accurateCross,accurateLongBalls,accuratePasses,accurateThroughBall,aerialDuelsPercentage,ballPossession,blockedScoringAttempt,cornerKicks,dispossessed,dribblesPercentage,duelWonPercent,expectedGoals,fouls,freeKicks,goalKicks,goalkeeperSaves,groundDuelsPercentage,hitWoodwork,interceptionWon,offsides,passes,redCards,shotsOffGoal,shotsOnGoal,throwIns,totalClearance,totalShotsInsideBox,totalShotsOnGoal,totalShotsOutsideBox,totalTackle,yellowCards
14147297,7581,FK Bokelj Kotor,home,4,25,219,0,23,46,3,4,12,6,34,1.12,14,3,10,2,26,1,5,3,310,0,2,3,32,13,4,9,5,5,4
14147297,327162,Mladost DG,away,3,20,315,0,16,54,2,5,6,7,40,1.35,18,4,6,1,40,0,19,1,388,0,5,4,23,14,7,11,4,3,5
14147298,6226,FK Dečić Tuzi,home,3,32,366,1,10,50,0,3,9,8,33,1.31,12,3,11,2,44,0,19,4,435,0,7,4,22,11,6,11,5,3,1
14147298,36019,FK Mornar Bar,away,4,18,301,1,20,50,5,4,11,19,42,1.74,16,1,8,2,48,0,9,2,383,0,3,3,22,8,9,11,2,0,2
14147299,5143,FK Budućnost Podgorica,home,3,21,272,1,4,47,9,8,4,21,37,1.79,11,0,9,2,45,1,11,4,342,0,5,5,27,13,11,20,9,4,0
14147299,6226,FK Dečić Tuzi,away,8,23,329,0,11,53,4,8,5,11,30,0.59,8,3,10,3,31,0,9,3,386,0,4,2,13,13,4,10,6,2,1
14147300,6226,FK Dečić Tuzi,home,1,34,327,1,11,49,0,2,5,10,30,0.3,16,0,10,2,25,0,15,3,417,0,1,3,28,19,4,4,0,4,3
14147300,327162,Mladost DG,away,6,26,395,0,9,51,2,3,4,19,41,0.61,12,2,4,0,46,0,14,4,482,0,6,4,26,12,4,12,8,6,1
14147301,6216,OFK Petrovac,home,5,33,396,1,17,54,3,3,7,16,44,2.61,10,5,7,1,48,1,19,2,472,0,8,6,26,14,11,18,7,5,1
14147301,24312,FK Jezero,away,0,29,334,3,10,46,2,2,2,12,28,0.7,17,1,14,5,28,0,19,1,409,0,5,2,19,28,4,9,5,5,1
14147302,36019,FK Mornar Bar,home,3,19,312,1,13,54,1,3,3,11,40,3.36,18,3,4,1,49,0,14,2,414,0,4,5,24,11,9,10,1,1,3
14147302,327162,Mladost DG,away,2,25,265,0,6,46,3,3,6,12,30,1.2,20,1,9,3,42,0,20,2,367,0,3,2,28,18,5,8,3,5,3
14147303,6216,OFK Petrovac,home,7,23,390,0,14,59,3,3,7,9,45,0.49,18,3,5,1,42,0,10,1,472,0,5,2,29,8,5,10,5,4,2
14147303,37956,FK Arsenal Tivat,away,4,32,234,2,15,41,3,1,7,11,32,0.85,19,2,10,2,33,1,23,0,310,0,4,1,21,13,4,9,5,6,2
14147304,37956,FK Arsenal Tivat,home,2,20,160,0,10,34,1,6,4,12,41,0.73,17,5,11,2,44,0,5,1,218,0,3,4,22,13,5,8,3,4,2
