team_id,team_name,short_name
282203,FK Železničar Pančevo,Železničar
5150,FK Vojvodina,Vojvodina
5152,FK Partizan,Partizan
5153,OFK Beograd,OFK Beograd
25737,FK Radnički Niš,Radnički Niš
5144,FK Javor Ivanjica,Javor
7674,FK Napredak Kruševac,Napredak
36967,FK Spartak Subotica,Spartak
43981,FK Radnički 1923,Radnički 1923
5149,FK Crvena zvezda,Crvena zvezda
308176,FK IMT Beograd,IMT
111127,FK Radnik Surdulica,Radnik
263360,FK TSC Bačka Topola,TSC
5148,FK Čukarički,Čukarički
7771,FK Mladost Lučani,Mladost
25736,FK Novi Pazar,Novi Pazar
