player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,xg,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType,xgot
"{'name': 'Nikola  Ukšanović', 'firstName': 'Nikola  Ukšanović', 'slug': 'nikola-uksanovic', 'shortName': 'N. Ukšanović', 'position': 'D', 'userCount': 0, 'id': 1800480, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا أوكشانوفيتش'}, 'shortNameTranslation': {'ar': 'ن. أوكشانوفيتش'}}}",False,block,corner,"{'x': 21, 'y': 30, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 21, 'y': 30, 'z': 0}",0.008109,6555760,90,3.0,5559,"{'start': {'x': 30, 'y': 21}, 'block': {'x': 30, 'y': 21}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",1,741,159,shot,,
"{'name': 'Nikola  Ukšanović', 'firstName': 'Nikola  Ukšanović', 'slug': 'nikola-uksanovic', 'shortName': 'N. Ukšanović', 'position': 'D', 'userCount': 0, 'id': 1800480, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا أوكشانوفيتش'}, 'shortNameTranslation': {'ar': 'ن. أوكشانوفيتش'}}}",False,block,throw-in-set-piece,"{'x': 13, 'y': 64, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 13, 'y': 64, 'z': 0}",0.006926,6555759,90,3.0,5532,"{'start': {'x': 64, 'y': 13}, 'block': {'x': 64, 'y': 13}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",1,768,132,shot,,
"{'name': 'Balša Sekulić', 'slug': 'balsa-sekulic', 'shortName': 'B. Sekulić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 23, 'gender': 'M', 'id': 856483, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا سيكوليتش', 'hi': 'बाल्सा सेकुलिक', 'bn': 'বালসা সেকুলিক'}, 'shortNameTranslation': {'ar': 'ب. سيكوليتش', 'hi': 'बी. सेकुलिक', 'bn': 'বি. সেকুলিক'}}}",True,goal,regular,"{'x': 0, 'y': 49, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 50, 'z': 21}",,0.769,6555758,78,,4639,"{'start': {'x': 49, 'y': 0}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 79}}",13,761,1939,shot,regular,0.9041
"{'name': 'Balša Sekulić', 'slug': 'balsa-sekulic', 'shortName': 'B. Sekulić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 23, 'gender': 'M', 'id': 856483, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا سيكوليتش', 'hi': 'बाल्सा सेकुलिक', 'bn': 'বালসা সেকুলিক'}, 'shortNameTranslation': {'ar': 'ب. سيكوليتش', 'hi': 'बी. सेकुलिक', 'bn': 'বি. সেকুলিক'}}}",True,save,regular,"{'x': 6, 'y': 49, 'z': 0}",head,high-centre,"{'x': 0, 'y': 51.2, 'z': 26.7}",,0.2771,6555757,78,,4638,"{'start': {'x': 49, 'y': 6}, 'end': {'x': 48.8, 'y': 0}, 'goal': {'x': 48.8, 'y': 73.3}}",13,762,1938,shot,,0.5245
"{'name': 'Balša Sekulić', 'slug': 'balsa-sekulic', 'shortName': 'B. Sekulić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 23, 'gender': 'M', 'id': 856483, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا سيكوليتش', 'hi': 'बाल्सा सेकुलिक', 'bn': 'বালসা সেকুলিক'}, 'shortNameTranslation': {'ar': 'ب. سيكوليتش', 'hi': 'बी. सेकुलिक', 'bn': 'বি. সেকুলিক'}}}",True,miss,throw-in-set-piece,"{'x': 11, 'y': 42, 'z': 0}",left-foot,close-high-left,"{'x': 0, 'y': 59, 'z': 50.8}",,0.1265,6555756,68,,4049,"{'start': {'x': 42, 'y': 11}, 'end': {'x': 41, 'y': 0}, 'goal': {'x': 41, 'y': 49.2}}",23,1351,1349,shot,,
"{'name': 'Jovan Baošić', 'slug': 'jovan-baosic', 'shortName': 'J. Baošić', 'position': 'D', 'jerseyNumber': '15', 'userCount': 6, 'gender': 'M', 'id': 189001, 'fieldTranslations': {'nameTranslation': {'ar': 'جوفان باوشيتش', 'hi': 'जोवन बाओसिक', 'bn': 'জোভান বাওসিচ'}, 'shortNameTranslation': {'ar': 'ج. باوشيتش', 'hi': 'जे. बाओशिक', 'bn': 'জে. বাওশিচ'}}}",True,miss,free-kick,"{'x': 23, 'y': 34, 'z': 0}",right-foot,close-high,"{'x': 0, 'y': 45.2, 'z': 49.5}",,0.001272,6555761,64,,3790,"{'start': {'x': 34, 'y': 23}, 'end': {'x': 54.8, 'y': 0}, 'goal': {'x': 54.8, 'y': 50.5}}",27,1610,1090,shot,,
"{'name': 'Matija Rovčanin', 'firstName': '', 'lastName': '', 'slug': 'matija-rovcanin', 'shortName': 'M. Rovčanin', 'position': 'F', 'jerseyNumber': '21', 'userCount': 9, 'gender': 'M', 'id': 1404815, 'fieldTranslations': {'nameTranslation': {'ar': 'ماتيا روفشانتش'}, 'shortNameTranslation': {'ar': 'م. روفشانتش'}}}",True,block,regular,"{'x': 13, 'y': 35, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 13, 'y': 35, 'z': 0}",0.01865,6555755,56,,3337,"{'start': {'x': 35, 'y': 13}, 'block': {'x': 35, 'y': 13}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",35,2063,637,shot,,
"{'name': 'Jagoš Roganović', 'slug': 'jagos-roganovic', 'shortName': 'J. Roganović', 'position': 'M', 'jerseyNumber': '29', 'userCount': 7, 'gender': 'M', 'id': 1620437, 'fieldTranslations': {'nameTranslation': {'ar': 'ياجوش روجانوفيتش'}, 'shortNameTranslation': {'ar': 'ي. روجانوفيتش'}}}",False,miss,regular,"{'x': 8, 'y': 49, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 43.7, 'z': 47.4}",,0.7032,6555754,56,,3304,"{'start': {'x': 49, 'y': 8}, 'end': {'x': 56.3, 'y': 0}, 'goal': {'x': 56.3, 'y': 52.6}}",35,2096,604,shot,,
"{'name': 'Balša Mrvaljević', 'firstName': 'Balša', 'lastName': 'Mrvaljević', 'slug': 'balsa-mrvaljevic', 'shortName': 'B. Mrvaljević', 'position': 'M', 'jerseyNumber': '18', 'userCount': 30, 'gender': 'M', 'id': 1149289, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا مرفالييفيتش'}, 'shortNameTranslation': {'ar': 'ب. مرفالييفيتش'}}}",False,save,regular,"{'x': 31, 'y': 42, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 49.5, 'z': 25}",,0.01265,6555753,56,,3301,"{'start': {'x': 42, 'y': 31}, 'end': {'x': 50.5, 'y': 0}, 'goal': {'x': 50.5, 'y': 75}}",35,2099,601,shot,,0.01052
"{'name': 'Balša Sekulić', 'slug': 'balsa-sekulic', 'shortName': 'B. Sekulić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 23, 'gender': 'M', 'id': 856483, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا سيكوليتش', 'hi': 'बाल्सा सेकुलिक', 'bn': 'বালসা সেকুলিক'}, 'shortNameTranslation': {'ar': 'ب. سيكوليتش', 'hi': 'बी. सेकुलिक', 'bn': 'বি. সেকুলিক'}}}",True,save,regular,"{'x': 3, 'y': 32, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 48.5, 'z': 7.7}",,0.1333,6555752,53,,3167,"{'start': {'x': 32, 'y': 3}, 'end': {'x': 51.5, 'y': 0}, 'goal': {'x': 51.5, 'y': 92.3}}",38,2233,467,shot,,0.1433
