player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,xg,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,xgot
"{'name': 'Dejan Boljević', 'slug': 'dejan-boljevic', 'shortName': 'D. Boljević', 'position': 'D', 'jerseyNumber': '33', 'userCount': 4, 'gender': 'M', 'id': 57339, 'fieldTranslations': {'nameTranslation': {'ar': 'ديان بوليفيتش', 'hi': 'देजान बोलजेविक', 'bn': 'দেজান বলজেভিচ'}, 'shortNameTranslation': {'ar': 'د. بوليفيتش', 'hi': 'डी. बोलजेविक', 'bn': 'ডি. বলজেভিচ'}}}",True,block,regular,"{'x': 9, 'y': 41, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 9, 'y': 41, 'z': 0}",0.05222,6555582,90,1.0,5421,"{'start': {'x': 41, 'y': 9}, 'block': {'x': 41, 'y': 9}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",1,879,21,shot,
"{'name': 'Vladan Kordić', 'firstName': '', 'lastName': '', 'slug': 'vladan-kordic', 'shortName': 'V. Kordić', 'position': 'F', 'jerseyNumber': '98', 'userCount': 8, 'gender': 'M', 'id': 959868, 'fieldTranslations': {'nameTranslation': {'ar': 'فلادان كوردتش'}, 'shortNameTranslation': {'ar': 'ف. كوردتش'}}}",True,save,regular,"{'x': 10, 'y': 52, 'z': 0}",head,low-centre,"{'x': 0, 'y': 50.1, 'z': 7.7}",,0.05784,6555581,87,,5173,"{'start': {'x': 52, 'y': 10}, 'end': {'x': 49.9, 'y': 0}, 'goal': {'x': 49.9, 'y': 92.3}}",4,227,2473,shot,0.09417
"{'name': 'Mitar Ćuković', 'slug': 'mitar-cukovic', 'shortName': 'M. Ćuković', 'position': 'D', 'jerseyNumber': '2', 'userCount': 2, 'gender': 'M', 'id': 889057, 'fieldTranslations': {'nameTranslation': {'ar': 'ميتار تشوكوفيتش'}, 'shortNameTranslation': {'ar': 'م. تشوكوفيتش'}}}",False,miss,regular,"{'x': 5, 'y': 36, 'z': 0}",left-foot,close-high,"{'x': 0, 'y': 48.6, 'z': 59.6}",,0.1662,6555580,79,,4686,"{'start': {'x': 36, 'y': 5}, 'end': {'x': 51.4, 'y': 0}, 'goal': {'x': 51.4, 'y': 40.4}}",12,714,1986,shot,
"{'name': 'Irfan Šahman', 'slug': 'irfan-sahman', 'shortName': 'I. Šahman', 'position': 'M', 'jerseyNumber': '8', 'userCount': 4, 'gender': 'M', 'id': 184773, 'fieldTranslations': {'nameTranslation': {'ar': 'عرفان شاهمان', 'hi': 'इरफान शाहमान', 'bn': 'ইরফান শাহমান'}, 'shortNameTranslation': {'ar': 'ع. شاهمان', 'hi': 'आई. शाहमान', 'bn': 'আই. শাহমান'}}}",False,block,regular,"{'x': 25, 'y': 46, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 25, 'y': 46, 'z': 0}",0.002677,6555579,78,,4680,"{'start': {'x': 46, 'y': 25}, 'block': {'x': 46, 'y': 25}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",13,720,1980,shot,
"{'name': 'Petar Ražnatović', 'slug': 'petar-raznatovic', 'shortName': 'P. Ražnatović', 'position': 'M', 'jerseyNumber': '10', 'userCount': 31, 'gender': 'M', 'id': 1947605, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر راجناتوفيتش'}, 'shortNameTranslation': {'ar': 'ب. راجناتوفيتش'}}}",False,save,regular,"{'x': 20, 'y': 62, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.1, 'z': 2.9}",,0.07046,6555578,72,,4289,"{'start': {'x': 62, 'y': 20}, 'end': {'x': 50.9, 'y': 0}, 'goal': {'x': 50.9, 'y': 97.1}}",19,1111,1589,shot,0.02741
"{'name': 'Petar Ražnatović', 'slug': 'petar-raznatovic', 'shortName': 'P. Ražnatović', 'position': 'M', 'jerseyNumber': '10', 'userCount': 31, 'gender': 'M', 'id': 1947605, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر راجناتوفيتش'}, 'shortNameTranslation': {'ar': 'ب. راجناتوفيتش'}}}",False,block,regular,"{'x': 24, 'y': 56, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 24, 'y': 56, 'z': 0}",0.01364,6555577,72,,4287,"{'start': {'x': 56, 'y': 24}, 'block': {'x': 56, 'y': 24}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",19,1113,1587,shot,
"{'name': 'Armin Bošnjak', 'firstName': '', 'lastName': '', 'slug': 'armin-bosnjak', 'shortName': 'A. Bošnjak', 'position': 'M', 'jerseyNumber': '7', 'userCount': 13, 'gender': 'M', 'id': 808566, 'fieldTranslations': {'nameTranslation': {'ar': 'أرمين بوشنجاك', 'hi': 'आर्मिन बोस्नजक', 'bn': 'আরমিন বোসঞ্জাক'}, 'shortNameTranslation': {'ar': 'أ. بوشنجاك', 'hi': 'ए. बोस्नजक', 'bn': 'এ. বোসনজাক'}}}",False,miss,free-kick,"{'x': 22, 'y': 37, 'z': 0}",right-foot,close-high-left,"{'x': 0, 'y': 58.1, 'z': 54.3}",,0.001379,6555583,67,,3991,"{'start': {'x': 37, 'y': 22}, 'end': {'x': 41.9, 'y': 0}, 'goal': {'x': 41.9, 'y': 45.7}}",24,1409,1291,shot,
"{'name': 'Petar Ražnatović', 'slug': 'petar-raznatovic', 'shortName': 'P. Ražnatović', 'position': 'M', 'jerseyNumber': '10', 'userCount': 31, 'gender': 'M', 'id': 1947605, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر راجناتوفيتش'}, 'shortNameTranslation': {'ar': 'ب. راجناتوفيتش'}}}",False,miss,regular,"{'x': 25, 'y': 39, 'z': 0}",left-foot,close-right,"{'x': 0, 'y': 42.6, 'z': 32.5}",,0.008408,6555576,57,,3397,"{'start': {'x': 39, 'y': 25}, 'end': {'x': 57.4, 'y': 0}, 'goal': {'x': 57.4, 'y': 67.5}}",34,2003,697,shot,
"{'name': 'Adnan Bašić', 'slug': 'adnan-basic', 'shortName': 'A. Bašić', 'position': 'F', 'jerseyNumber': '10', 'userCount': 6, 'gender': 'M', 'id': 791606, 'fieldTranslations': {'nameTranslation': {'ar': 'عدنان باشيتش'}, 'shortNameTranslation': {'ar': 'ع. باشيتش'}}}",True,miss,regular,"{'x': 12, 'y': 40, 'z': 0}",head,close-right,"{'x': 0, 'y': 42, 'z': 1.6}",,0.07167,6555575,48,,2866,"{'start': {'x': 40, 'y': 12}, 'end': {'x': 58, 'y': 0}, 'goal': {'x': 58, 'y': 98.4}}",43,2534,166,shot,
"{'name': 'Viktor Živojinović', 'slug': 'viktor-zivojinovic', 'shortName': 'V. Živojinović', 'position': 'M', 'userCount': 35, 'gender': 'M', 'id': 989177, 'fieldTranslations': {'nameTranslation': {'ar': 'فيكتور زيفوجينوفيتش'}, 'shortNameTranslation': {'ar': 'ف. زيفوجينوفيتش'}}}",True,miss,throw-in-set-piece,"{'x': 21, 'y': 30, 'z': 0}",right-foot,close-high,"{'x': 0, 'y': 45.8, 'z': 56.5}",,0.001093,6555574,48,,2829,"{'start': {'x': 30, 'y': 21}, 'end': {'x': 54.2, 'y': 0}, 'goal': {'x': 54.2, 'y': 43.5}}",43,2571,129,shot,
