match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,interceptionWon,keyPass,blockedScoringAttempt,shotOffTarget,savedShotsFromInsideTheBox,bigChanceCreated,hitWoodwork,bigChanceMissed
14147303,home,6216,OFK Petrovac,188987,Marko Kordić,marko-kordic,G,25,False,30.0,28.0,8.0,6.0,0.0,25.0,25.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,90.0,33.0,7.1,2.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,93.33333333333333,75.0,,,,,,,,,,,,
14147303,home,6216,OFK Petrovac,1187746,Danilo Bakić,danilo-bakic,D,29,False,52.0,34.0,12.0,4.0,0.0,19.0,21.0,14.0,29.0,7.0,2.0,1.0,1.0,10.0,6.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,90.0,72.0,7.3,25.0,0.0,0.13,"{'original': 7.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,2,14,5,9,65.38461538461539,33.33333333333333,28.57142857142857,0.0,,1.0,1.0,3.0,,,,,,
14147303,home,6216,OFK Petrovac,55534,Aleksandar Kapisoda,aleksandar-kapisoda,D,5,False,45.0,42.0,2.0,1.0,0.0,27.0,29.0,13.0,14.0,0.0,0.0,1.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,66.0,50.0,7.0,2.0,0.0,0.0,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,1,1,93.33333333333333,50.0,,,,,3.0,,,,,,,
14147303,home,6216,OFK Petrovac,986362,Marko Merdović,merdovic-marko,D,44,False,75.0,62.0,7.0,1.0,0.0,45.0,49.0,17.0,26.0,0.0,0.0,0.0,4.0,4.0,5.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,11.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,90.0,84.0,6.9,13.0,0.05,0.0,"{'original': 6.9, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,1,4,82.66666666666667,14.285714285714285,,,,,,,1.0,,,,,
14147303,home,6216,OFK Petrovac,57339,Dejan Boljević,dejan-boljevic,D,33,False,48.0,40.0,1.0,1.0,0.0,20.0,23.0,17.0,22.0,5.0,1.0,2.0,1.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,90.0,58.0,7.4,8.0,0.05,0.0,"{'original': 7.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,2,0,83.33333333333334,100.0,20.0,100.0,,,3.0,1.0,1.0,,,,,
14147303,home,6216,OFK Petrovac,1030468,Žarko Popović,zarko-popovic,M,4,False,77.0,70.0,8.0,5.0,0.0,31.0,31.0,39.0,46.0,1.0,1.0,0.0,1.0,6.0,16.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,13.0,1.0,0.0,0.0,0.0,0.0,6.0,3.0,0.0,,,,,,90.0,105.0,7.9,12.0,0.0,0.05,"{'original': 7.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",22,1,21,15,6,90.9090909090909,62.5,100.0,100.0,,1.0,1.0,2.0,,,,,,
14147303,home,6216,OFK Petrovac,1381384,Nemanja Carević,nemanja-carevic,M,21,False,31.0,21.0,5.0,1.0,0.0,7.0,9.0,13.0,20.0,5.0,2.0,1.0,1.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,90.0,41.0,6.7,12.0,0.0,0.04,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,2,5,67.74193548387096,20.0,40.0,,,1.0,1.0,2.0,,,,,,
14147303,home,6216,OFK Petrovac,889063,Stefan Fićović,stefan-ficovic,M,18,False,36.0,32.0,3.0,2.0,0.0,18.0,20.0,14.0,15.0,0.0,0.0,3.0,0.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,90.0,48.0,6.7,5.0,0.21,0.0,"{'original': 6.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,4,5,88.88888888888889,66.66666666666666,,,,,,,1.0,,,,,
14147303,home,6216,OFK Petrovac,1149279,Dragan Miranović,dragan-miranovic,M,22,False,22.0,19.0,0.0,0.0,0.0,11.0,11.0,8.0,11.0,0.0,0.0,2.0,1.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,66.0,32.0,6.5,7.0,0.01,0.0,"{'original': 6.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,1,4,86.36363636363636,,,,,2.0,,,,1.0,,,,
14147303,home,301263,OFK Petrovac,989177,Viktor Živojinović,viktor-zivojinovic,M,45,False,17.0,11.0,1.0,0.0,0.0,1.0,2.0,10.0,15.0,2.0,1.0,2.0,0.0,6.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,62.0,30.0,6.9,7.0,0.04,0.0,"{'original': 6.9, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,4,4,64.70588235294117,0.0,50.0,66.66666666666666,,,,,,3.0,,,,
