player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,xgot,goalType,blockCoordinates
"{'name': 'Matija Bojović', 'firstName': 'Matija', 'lastName': 'Bojović', 'slug': 'matija-bojovic', 'shortName': 'M. Bojović', 'position': 'D', 'jerseyNumber': '29', 'userCount': 16, 'gender': 'M', 'id': 1185148, 'fieldTranslations': {'nameTranslation': {'ar': 'ماتيا بوجوفيتش', 'hi': 'मतिजा बोजोविक', 'bn': 'মাতিজা বোজোভিচ'}, 'shortNameTranslation': {'ar': 'م. بوجوفيتش', 'hi': 'एम. बोजोविक', 'bn': 'এম. বোজোভিচ'}}}",False,miss,regular,"{'x': 15, 'y': 28, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 42.7, 'z': 58.1}",0.03428,6554317,90,1.0,5428,"{'start': {'x': 28, 'y': 15}, 'end': {'x': 57.3, 'y': 0}, 'goal': {'x': 57.3, 'y': 41.9}}",1,872,28,shot,,,
"{'name': 'Đorđe Maksimović', 'slug': 'djordje-maksimovic', 'shortName': 'Đ. Maksimović', 'position': 'F', 'jerseyNumber': '44', 'userCount': 12, 'gender': 'M', 'id': 905970, 'fieldTranslations': {'nameTranslation': {'ar': 'دورجي ماكسيموفيتش'}, 'shortNameTranslation': {'ar': 'د. ماكسيموفيتش'}}}",False,save,regular,"{'x': 1, 'y': 26, 'z': 0}",left-foot,high-left,"{'x': 0, 'y': 54.7, 'z': 23.4}",0.02975,6554316,85,,5054,"{'start': {'x': 26, 'y': 1}, 'end': {'x': 45.3, 'y': 0}, 'goal': {'x': 45.3, 'y': 76.6}}",6,346,2354,shot,0.02097,,
"{'name': 'Mario Gjolaj', 'firstName': '', 'lastName': '', 'slug': 'mario-gjolaj', 'shortName': 'M. Gjolaj', 'position': 'M', 'jerseyNumber': '14', 'userCount': 11, 'gender': 'M', 'id': 1063202, 'fieldTranslations': {'nameTranslation': {'ar': 'ماريو جولاي'}, 'shortNameTranslation': {'ar': 'م. جولاي'}}}",False,goal,regular,"{'x': 5, 'y': 45, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 48.3, 'z': 24.7}",0.4166,6554315,83,,4973,"{'start': {'x': 45, 'y': 5}, 'end': {'x': 51.7, 'y': 0}, 'goal': {'x': 51.7, 'y': 75.3}}",8,427,2273,shot,0.3669,regular,
"{'name': 'Imran Redžepagić', 'firstName': 'Imran Redžepagić', 'lastName': '', 'slug': 'imran-redzepagic', 'shortName': 'I. Redžepagić', 'position': 'M', 'jerseyNumber': '16', 'userCount': 9, 'gender': 'M', 'id': 1190522, 'fieldTranslations': {'nameTranslation': {'ar': 'إمران ريدجيبابيتش'}, 'shortNameTranslation': {'ar': 'إ. ريدجيبابيتش'}}}",False,block,regular,"{'x': 17, 'y': 47, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.05864,6554314,83,,4956,"{'start': {'x': 47, 'y': 17}, 'block': {'x': 47, 'y': 17}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",8,444,2256,shot,,,"{'x': 17, 'y': 47, 'z': 0}"
"{'name': 'Imran Redžepagić', 'firstName': 'Imran Redžepagić', 'lastName': '', 'slug': 'imran-redzepagic', 'shortName': 'I. Redžepagić', 'position': 'M', 'jerseyNumber': '16', 'userCount': 9, 'gender': 'M', 'id': 1190522, 'fieldTranslations': {'nameTranslation': {'ar': 'إمران ريدجيبابيتش'}, 'shortNameTranslation': {'ar': 'إ. ريدجيبابيتش'}}}",False,miss,corner,"{'x': 23, 'y': 38, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 42.5, 'z': 50.8}",0.01283,6554313,74,,4437,"{'start': {'x': 38, 'y': 23}, 'end': {'x': 57.5, 'y': 0}, 'goal': {'x': 57.5, 'y': 49.2}}",17,963,1737,shot,,,
"{'name': 'Gojko Petović', 'slug': 'gojko-petrovic', 'shortName': 'G. Petović', 'position': 'D', 'jerseyNumber': '5', 'userCount': 7, 'gender': 'M', 'id': 1804545, 'fieldTranslations': {'nameTranslation': {'ar': 'غويكو بيتوفيتش'}, 'shortNameTranslation': {'ar': 'غ. بيتوفيتش'}}}",True,save,corner,"{'x': 5, 'y': 50, 'z': 0}",head,high-centre,"{'x': 0, 'y': 49.3, 'z': 20.9}",0.3074,6554312,73,,4328,"{'start': {'x': 50, 'y': 5}, 'end': {'x': 50.7, 'y': 0}, 'goal': {'x': 50.7, 'y': 79.1}}",18,1072,1628,shot,0.4702,,
"{'name': 'Petar Ražnatović', 'slug': 'petar-raznatovic', 'shortName': 'P. Ražnatović', 'position': 'M', 'jerseyNumber': '10', 'userCount': 31, 'gender': 'M', 'id': 1947605, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر راجناتوفيتش'}, 'shortNameTranslation': {'ar': 'ب. راجناتوفيتش'}}}",True,miss,set-piece,"{'x': 13, 'y': 39, 'z': 0}",head,close-right,"{'x': 0, 'y': 42.3, 'z': 16.9}",0.01106,6554311,64,,3810,"{'start': {'x': 39, 'y': 13}, 'end': {'x': 57.7, 'y': 0}, 'goal': {'x': 57.7, 'y': 83.1}}",27,1590,1110,shot,,,
"{'name': 'Staniša Mandić', 'slug': 'stanisa-mandic', 'shortName': 'S. Mandić', 'position': 'M', 'jerseyNumber': '77', 'userCount': 35, 'gender': 'M', 'id': 363780, 'fieldTranslations': {'nameTranslation': {'ar': 'ستانيشا مانديتش', 'hi': 'स्टैनिसा मैंडिक', 'bn': 'স্ট্যানিসা মান্ডিচ'}, 'shortNameTranslation': {'ar': 'س. مانديتش', 'hi': 'एस. मैंडिक', 'bn': 'এস. মান্ডিক'}}}",True,miss,corner,"{'x': 30, 'y': 66, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 56.7, 'z': 31.2}",0.005732,6554310,49,,2930,"{'start': {'x': 66, 'y': 30}, 'end': {'x': 43.3, 'y': 0}, 'goal': {'x': 43.3, 'y': 68.8}}",42,2470,230,shot,,,
"{'name': 'Đorđe Maksimović', 'slug': 'djordje-maksimovic', 'shortName': 'Đ. Maksimović', 'position': 'F', 'jerseyNumber': '44', 'userCount': 12, 'gender': 'M', 'id': 905970, 'fieldTranslations': {'nameTranslation': {'ar': 'دورجي ماكسيموفيتش'}, 'shortNameTranslation': {'ar': 'د. ماكسيموفيتش'}}}",False,miss,regular,"{'x': 7, 'y': 59, 'z': 0}",head,close-right,"{'x': 0, 'y': 41.1, 'z': 28.3}",0.1103,6554309,48,,2855,"{'start': {'x': 59, 'y': 7}, 'end': {'x': 58.9, 'y': 0}, 'goal': {'x': 58.9, 'y': 71.7}}",43,2545,155,shot,,,
"{'name': 'Irfan Šahman', 'slug': 'irfan-sahman', 'shortName': 'I. Šahman', 'position': 'M', 'jerseyNumber': '8', 'userCount': 4, 'gender': 'M', 'id': 184773, 'fieldTranslations': {'nameTranslation': {'ar': 'عرفان شاهمان', 'hi': 'इरफान शाहमान', 'bn': 'ইরফান শাহমান'}, 'shortNameTranslation': {'ar': 'ع. شاهمان', 'hi': 'आई. शाहमान', 'bn': 'আই. শাহমান'}}}",True,save,throw-in-set-piece,"{'x': 23, 'y': 58, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 46.2, 'z': 37.8}",0.03057,6554308,44,,2617,"{'start': {'x': 58, 'y': 23}, 'end': {'x': 53.8, 'y': 0}, 'goal': {'x': 53.8, 'y': 62.2}}",2,83,2617,shot,0.485,,
