match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,shotOffTarget,bigChanceCreated,interceptionWon,keyPass,dispossessed,blockedScoringAttempt,bigChanceMissed
14147310,home,37956,FK Arsenal Tivat,800147,Bojan Zogović,bojan-zogovic,G,1,False,20.0,12.0,12.0,4.0,0.0,10.0,12.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,6.0,3.0,0.0,90.0,22.0,8.3,7.0,0.0,0.0,"{'original': 8.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,1,0,60.0,33.33333333333333,,,0.0,,,,,,,
14147310,home,37956,FK Arsenal Tivat,1804545,Gojko Petović,gojko-petrovic,D,5,False,29.0,22.0,7.0,3.0,0.0,10.0,14.0,11.0,14.0,0.0,0.0,1.0,0.0,11.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,10.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,,,,,,,90.0,41.0,6.8,7.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,1,14,4,10,75.86206896551724,42.857142857142854,,,,,,,,,,
14147310,home,37956,FK Arsenal Tivat,889352,Zoran Mikijelj,zoran-mikijelj,D,19,False,26.0,19.0,6.0,5.0,0.0,14.0,18.0,5.0,8.0,0.0,0.0,4.0,11.0,7.0,13.0,1.0,0.0,0.0,0.0,0.0,12.0,2.0,22.0,1.0,1.0,0.0,0.0,0.0,4.0,2.0,0.0,,,,,,,90.0,36.0,8.1,17.0,0.2,0.0,"{'original': 8.1, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,15,5,2,3,73.07692307692307,83.33333333333334,,,,1.0,,,,,,
14147310,home,37956,FK Arsenal Tivat,889057,Mitar Ćuković,mitar-cukovic,D,2,False,40.0,23.0,10.0,2.0,1.0,13.0,21.0,10.0,19.0,3.0,2.0,4.0,1.0,8.0,3.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,,90.0,46.0,7.3,20.0,0.0,0.42,"{'original': 7.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,5,6,2,4,57.49999999999999,20.0,66.66666666666666,100.0,,,1.0,1.0,1.0,,,
14147310,home,37956,FK Arsenal Tivat,363780,Staniša Mandić,stanisa-mandic,M,77,False,27.0,17.0,8.0,3.0,0.0,5.0,6.0,11.0,20.0,3.0,2.0,4.0,2.0,11.0,4.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,90.0,39.0,6.4,16.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,6,9,2,7,62.96296296296296,37.5,66.66666666666666,0.0,,,,1.0,,1.0,,
14147310,home,37956,FK Arsenal Tivat,184773,Irfan Šahman,irfan-sahman,M,8,False,31.0,24.0,2.0,1.0,0.0,14.0,14.0,10.0,17.0,0.0,0.0,1.0,0.0,10.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,90.0,38.0,6.4,6.0,0.13,0.0,"{'original': 6.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,1,11,2,9,77.41935483870968,50.0,,,,1.0,,,,1.0,,
14147310,home,37956,FK Arsenal Tivat,1005627,Aleksa Ćetković,aleksa-cetkovic,M,28,False,40.0,29.0,5.0,2.0,0.0,12.0,16.0,16.0,23.0,1.0,1.0,2.0,1.0,11.0,8.0,4.0,1.0,1.0,0.0,0.0,4.0,0.0,14.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,49.0,6.4,12.0,0.0,0.01,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,3,16,7,9,72.5,40.0,100.0,100.0,,,,1.0,1.0,1.0,,
14147310,home,203041,FK Arsenal Tivat,895528,Ljubiša Pecelj,ljubisa-pecelj,M,13,False,23.0,16.0,6.0,4.0,0.0,6.0,8.0,10.0,14.0,3.0,1.0,0.0,0.0,9.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,69.0,29.0,6.4,7.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,1,9,69.56521739130434,66.66666666666666,33.33333333333333,100.0,,,,,,2.0,,
14147310,home,37956,FK Arsenal Tivat,1947605,Petar Ražnatović,petar-raznatovic,M,10,False,7.0,5.0,1.0,0.0,0.0,,,5.0,7.0,1.0,0.0,3.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,,,,,,,60.0,12.0,6.3,4.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,1,6,71.42857142857143,0.0,0.0,,,,,,,,,
14147310,home,37956,FK Arsenal Tivat,808566,Armin Bošnjak,armin-bosnjak,M,7,False,4.0,1.0,0.0,0.0,0.0,1.0,2.0,,2.0,1.0,0.0,2.0,0.0,8.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,60.0,16.0,6.6,4.0,0.0,0.2,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,4,6,25.0,,0.0,50.0,,,,,1.0,1.0,,
