match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,bigChanceCreated,keyPass,dispossessed,bigChanceMissed,blockedScoringAttempt,shotOffTarget,clearanceOffLine,penaltyWon
14147315,home,36019,FK Mornar Bar,187341,Stefan Popović,stefan-popovic,G,12,False,49.0,43.0,21.0,15.0,0.0,35.0,37.0,6.0,10.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,0.0,90.0,59.0,7.0,9.0,0.0,0.0,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,87.75510204081633,71.42857142857143,,,0.0,,,,,,,,
14147315,home,36019,FK Mornar Bar,941133,Petar Vukčević,petar-vukcevic,D,19,False,47.0,35.0,2.0,0.0,0.0,14.0,17.0,20.0,29.0,1.0,0.0,0.0,0.0,11.0,2.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,90.0,57.0,6.7,11.0,0.19,0.46,"{'original': 6.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,0,13,2,11,74.46808510638297,0.0,0.0,100.0,,1.0,1.0,,,,,,
14147315,home,241802,FK Mornar Bar,1154328,Malić Mucević,malic-mucevic,D,5,False,61.0,51.0,8.0,4.0,0.0,37.0,41.0,12.0,16.0,0.0,0.0,1.0,2.0,6.0,6.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,10.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,,,,,,,90.0,70.0,6.4,6.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,4,5,83.60655737704919,50.0,,,,,,,,,,,
14147315,home,36019,FK Mornar Bar,226224,Filip Mitrović,filip-mitrovic,D,16,False,64.0,60.0,7.0,4.0,0.0,41.0,42.0,17.0,19.0,0.0,0.0,3.0,2.0,10.0,7.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,11.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,,,,,,,90.0,76.0,6.7,8.0,0.15,0.0,"{'original': 6.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,5,12,5,7,93.75,57.14285714285714,,,,,,,,,,,
14147315,home,36019,FK Mornar Bar,1392904,Velimir Ljutica,velimir-ljutica,D,32,False,13.0,12.0,1.0,1.0,0.0,10.0,10.0,2.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,26.0,14.0,6.7,2.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,92.3076923076923,100.0,,,,,,,,,,,
14147315,home,36019,FK Mornar Bar,94261,Andrija Kaluđerović,andrija-kaluderovic,M,4,False,76.0,70.0,7.0,6.0,0.0,32.0,34.0,37.0,40.0,2.0,0.0,1.0,1.0,14.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,13.0,2.0,2.0,0.0,0.0,1.0,3.0,1.0,0.0,,,,,,,90.0,97.0,7.5,9.0,0.0,0.0,"{'original': 7.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",24,2,22,9,13,92.10526315789474,85.71428571428571,0.0,100.0,,,,1.0,,,,,
14147315,home,36019,FK Mornar Bar,843005,Marko Đurišić,marko-durisic,M,8,False,36.0,30.0,3.0,2.0,0.0,9.0,9.0,21.0,27.0,1.0,0.0,0.0,0.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,46.0,47.0,6.9,6.0,0.0,0.19,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,2,5,83.33333333333334,66.66666666666666,0.0,100.0,,,1.0,,,,,,
14147315,home,36019,FK Mornar Bar,1404815,Matija Rovčanin,matija-rovcanin,M,21,False,19.0,17.0,0.0,0.0,0.0,6.0,6.0,11.0,13.0,2.0,1.0,0.0,0.0,7.0,2.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,,6.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,,,,,,,46.0,34.0,6.5,6.0,0.26,0.0,"{'original': 6.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,2,7,89.47368421052632,,50.0,50.0,,,,1.0,,,,,
14147315,home,36019,FK Mornar Bar,804419,Demir Skrijelj,demir-skrijelj,M,10,False,40.0,30.0,4.0,1.0,0.0,6.0,7.0,24.0,33.0,2.0,0.0,2.0,0.0,11.0,10.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,,,,,,,90.0,68.0,7.0,15.0,0.0,0.15,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",21,2,19,10,9,75.0,25.0,0.0,83.33333333333334,,,1.0,4.0,,,,,
14147315,home,36019,FK Mornar Bar,95583,Stefan Denković,stefan-denkovic,M,7,False,22.0,15.0,0.0,0.0,0.0,3.0,5.0,12.0,17.0,2.0,0.0,2.0,0.0,13.0,6.0,1.0,9.0,6.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,,,,77.0,42.0,5.8,15.0,0.46,0.0,"{'original': 5.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,2,17,6,11,68.18181818181817,,0.0,66.66666666666666,,,,2.0,1.0,1.0,,,
14147315,home,36019,FK Mornar Bar,856483,Balša Sekulić,balsa-sekulic,F,9,False,19.0,18.0,0.0,0.0,1.0,7.0,7.0,11.0,12.0,2.0,2.0,0.0,0.0,5.0,4.0,0.0,3.0,2.0,2.0,1.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,2.0,,,,,,,90.0,39.0,8.1,9.0,0.55,0.54,"{'original': 8.1, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,4,5,94.73684210526315,,100.0,66.66666666666666,,,2.0,1.0,,1.0,,,
14147315,home,36019,FK Mornar Bar,1484678,Vukas Dragović,vukas-dragovic,M,99,True,51.0,41.0,6.0,1.0,0.0,22.0,22.0,18.0,28.0,2.0,1.0,1.0,0.0,8.0,6.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,64.0,69.0,6.9,10.0,0.0,0.3,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,1,13,6,7,80.3921568627451,16.666666666666664,50.0,0.0,,,2.0,,,,,,
14147315,home,36019,FK Mornar Bar,154655,Darko Zorić,darko-zoric,M,18,True,33.0,26.0,5.0,2.0,0.0,5.0,7.0,20.0,25.0,0.0,0.0,1.0,1.0,7.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,44.0,44.0,7.4,7.0,0.28,0.0,"{'original': 7.4, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,1,6,78.78787878787878,40.0,,,,,,,,,1.0,,
14147315,home,7727,FK Mornar Bar,1112732,Bojan Pavićević,bojan-pavicevic,F,97,True,14.0,11.0,0.0,0.0,0.0,3.0,3.0,8.0,10.0,0.0,0.0,1.0,1.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,44.0,25.0,6.8,5.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,6,4,78.57142857142857,,,,,,,1.0,,,,,
14147315,home,36019,FK Mornar Bar,1005622,Jovan Dašić,jovan-dasic,M,17,True,4.0,3.0,0.0,0.0,0.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,13.0,7.0,6.2,1.0,0.0,0.0,"{'original': 6.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,0,4,75.0,,,,,,,1.0,,,,,
14147315,home,36019,FK Mornar Bar,1498808,Vasilije Stojanović,vasilije-stojanovic,G,13,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147315,home,405944,FK Mornar Bar,839270,Luka Malešević,luka-malesevic,D,6,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147315,home,6219,FK Mornar Bar,1030476,Alden Škrijelj,alden-skrijelj,M,22,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147315,home,7727,FK Mornar Bar,1961866,Lazar Zlatičanin,lazar-zlaticanin,F,31,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147315,home,6219,FK Mornar Bar,2444992,Balsa Barovic,balsa-barovic,F,14,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,
14147315,away,37956,FK Arsenal Tivat,800147,Bojan Zogović,bojan-zogovic,G,1,False,15.0,14.0,7.0,6.0,0.0,9.0,9.0,5.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,4.0,3.0,0.0,90.0,20.0,7.2,2.0,0.0,0.0,"{'original': 7.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,1,1,0,1,93.33333333333333,85.71428571428571,,,0.0,,,,,,,,
