player,isHome,shotType,goalType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,xgot,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates
"{'name': 'Andrej Pupović', 'slug': 'andrej-pupovic', 'shortName': 'A. Pupović', 'position': 'D', 'jerseyNumber': '91', 'userCount': 5, 'gender': 'M', 'id': 1000577, 'fieldTranslations': {'nameTranslation': {'ar': 'أندري بوبوفيتش'}, 'shortNameTranslation': {'ar': 'أ. بوبوفيتش'}}}",False,goal,regular,free-kick,"{'x': 23, 'y': 70, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 46.2, 'z': 14.4}",0.08781,0.1183,6567844,90,5.0,5643,"{'start': {'x': 70, 'y': 23}, 'end': {'x': 53.8, 'y': 0}, 'goal': {'x': 53.8, 'y': 85.6}}",1,657,243,shot,
"{'name': 'Andrej Pupović', 'slug': 'andrej-pupovic', 'shortName': 'A. Pupović', 'position': 'D', 'jerseyNumber': '91', 'userCount': 5, 'gender': 'M', 'id': 1000577, 'fieldTranslations': {'nameTranslation': {'ar': 'أندري بوبوفيتش'}, 'shortNameTranslation': {'ar': 'أ. بوبوفيتش'}}}",False,block,,throw-in-set-piece,"{'x': 23, 'y': 67, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.002498,,6567841,90,3.0,5561,"{'start': {'x': 67, 'y': 23}, 'block': {'x': 67, 'y': 23}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",1,739,161,shot,"{'x': 23, 'y': 67, 'z': 0}"
"{'name': 'Dragan Miranović', 'firstName': 'Dragan', 'lastName': 'Miranović', 'slug': 'dragan-miranovic', 'shortName': 'D. Miranović', 'position': 'M', 'jerseyNumber': '22', 'userCount': 27, 'gender': 'M', 'id': 1149279, 'fieldTranslations': {'nameTranslation': {'ar': 'دراغان ميرانوفيتش'}, 'shortNameTranslation': {'ar': 'د. ميرانوفيتش'}}}",False,block,,throw-in-set-piece,"{'x': 24, 'y': 54, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.00485,,6567840,87,,5172,"{'start': {'x': 54, 'y': 24}, 'block': {'x': 54, 'y': 24}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",4,228,2472,shot,"{'x': 24, 'y': 54, 'z': 0}"
"{'name': 'Asmir Kajević', 'slug': 'asmir-kajevic', 'shortName': 'A. Kajević', 'position': 'M', 'jerseyNumber': '10', 'userCount': 14, 'gender': 'M', 'id': 76273, 'fieldTranslations': {'nameTranslation': {'ar': 'أسمير كايفيتش', 'hi': 'अस्मिर काजेविक', 'bn': 'আসমির কাজেভিচ'}, 'shortNameTranslation': {'ar': 'أ. كايفيتش', 'hi': 'ए. काजेविक', 'bn': 'এ. কাজেভিচ'}}}",True,goal,regular,regular,"{'x': 2, 'y': 54, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50.1, 'z': 9.5}",0.4858,0.4311,6567839,78,,4634,"{'start': {'x': 54, 'y': 2}, 'end': {'x': 49.9, 'y': 0}, 'goal': {'x': 49.9, 'y': 90.5}}",13,766,1934,shot,
"{'name': 'Nemanja Carević', 'firstName': 'Nemanja Carevic', 'lastName': '', 'slug': 'nemanja-carevic', 'shortName': 'N. Carević', 'position': 'M', 'jerseyNumber': '21', 'userCount': 8, 'gender': 'M', 'id': 1381384, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانجا كاريتش'}, 'shortNameTranslation': {'ar': 'ن. كاريتش'}}}",False,miss,,set-piece,"{'x': 29, 'y': 47, 'z': 0}",right-foot,close-high,"{'x': 0, 'y': 50.1, 'z': 49.1}",0.003209,,6567838,73,,4355,"{'start': {'x': 47, 'y': 29}, 'end': {'x': 49.9, 'y': 0}, 'goal': {'x': 49.9, 'y': 50.9}}",18,1045,1655,shot,
"{'name': 'Stefan Golubović', 'slug': 'stefan-golubovic', 'shortName': 'S. Golubović', 'position': 'F', 'jerseyNumber': '27', 'userCount': 35, 'gender': 'M', 'id': 838300, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان غولوبوفيتش'}, 'shortNameTranslation': {'ar': 'س. غولوبوفيتش'}}}",True,miss,,corner,"{'x': 11, 'y': 40, 'z': 0}",head,close-left,"{'x': 0, 'y': 57.3, 'z': 9.3}",0.05707,,6567837,66,,3955,"{'start': {'x': 40, 'y': 11}, 'end': {'x': 42.7, 'y': 0}, 'goal': {'x': 42.7, 'y': 90.7}}",25,1445,1255,shot,
"{'name': 'Stefan Golubović', 'slug': 'stefan-golubovic', 'shortName': 'S. Golubović', 'position': 'F', 'jerseyNumber': '27', 'userCount': 35, 'gender': 'M', 'id': 838300, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان غولوبوفيتش'}, 'shortNameTranslation': {'ar': 'س. غولوبوفيتش'}}}",True,save,,regular,"{'x': 10, 'y': 56, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 46.6, 'z': 17.7}",0.2357,0.6232,6567836,66,,3912,"{'start': {'x': 56, 'y': 10}, 'end': {'x': 53.4, 'y': 0}, 'goal': {'x': 53.4, 'y': 82.3}}",25,1488,1212,shot,
"{'name': 'Balša Radusinović', 'firstName': '', 'lastName': '', 'slug': 'balsa-radusinovic', 'shortName': 'B. Radusinović', 'position': 'F', 'jerseyNumber': '32', 'userCount': 9, 'gender': 'M', 'id': 1131064, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا رادوسينوفيتش'}, 'shortNameTranslation': {'ar': 'ب. رادوسينوفيتش'}}}",True,miss,,regular,"{'x': 28, 'y': 59, 'z': 0}",left-foot,close-right,"{'x': 0, 'y': 42.7, 'z': 4.9}",0.01593,,6567835,63,,3752,"{'start': {'x': 59, 'y': 28}, 'end': {'x': 57.3, 'y': 0}, 'goal': {'x': 57.3, 'y': 95.1}}",28,1648,1052,shot,
"{'name': 'Ibrahima Mame Ndiaye', 'slug': 'ibrahima-mame-ndiaye', 'shortName': 'I. M. Ndiaye', 'position': 'F', 'jerseyNumber': '72', 'userCount': 56, 'gender': 'M', 'id': 325325, 'fieldTranslations': {'nameTranslation': {'ar': 'ابراهيما مامي ندياي', 'hi': 'इब्राहीमा मामे नदिये', 'bn': 'ইব্রাহিম মামে নাদিয়ায়'}, 'shortNameTranslation': {'ar': 'إ. م. ندياي', 'hi': 'आई. एम. नदिये', 'bn': 'আই.এম. নাদিয়ায়'}}}",True,post,,throw-in-set-piece,"{'x': 10, 'y': 42, 'z': 0}",head,high,"{'x': 0, 'y': 55.6, 'z': 38.6}",0.05186,,6567834,61,,3608,"{'start': {'x': 42, 'y': 10}, 'end': {'x': 44.4, 'y': 0}, 'goal': {'x': 44.4, 'y': 61.4}}",30,1792,908,shot,
"{'name': 'Asmir Kajević', 'slug': 'asmir-kajevic', 'shortName': 'A. Kajević', 'position': 'M', 'jerseyNumber': '10', 'userCount': 14, 'gender': 'M', 'id': 76273, 'fieldTranslations': {'nameTranslation': {'ar': 'أسمير كايفيتش', 'hi': 'अस्मिर काजेविक', 'bn': 'আসমির কাজেভিচ'}, 'shortNameTranslation': {'ar': 'أ. كايفيتش', 'hi': 'ए. काजेविक', 'bn': 'এ. কাজেভিচ'}}}",True,block,,regular,"{'x': 14, 'y': 61, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.1348,,6567833,48,,2831,"{'start': {'x': 61, 'y': 14}, 'block': {'x': 61, 'y': 14}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",43,2569,131,shot,"{'x': 14, 'y': 61, 'z': 0}"
