player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,xgot,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType,blockCoordinates
"{'name': 'Vasko Kalezić', 'firstName': '', 'lastName': '', 'slug': 'vasko-kalezic', 'shortName': 'V. Kalezić', 'position': 'F', 'jerseyNumber': '70', 'userCount': 18, 'gender': 'M', 'id': 172957, 'fieldTranslations': {'nameTranslation': {'ar': 'فاسكو كاليزيك', 'hi': 'वास्को कालेज़िक', 'bn': 'ভাস্কো কালেজিক'}, 'shortNameTranslation': {'ar': 'ف. كاليزيك', 'hi': 'वी. कालेज़िक', 'bn': 'ভি. কালেজিক'}}}",True,save,regular,"{'x': 21, 'y': 28, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.6, 'z': 3.3}",0.01542,0.01123,6604016,90,5389,"{'start': {'x': 28, 'y': 21}, 'end': {'x': 49.4, 'y': 0}, 'goal': {'x': 49.4, 'y': 96.7}}",1,11,2689,shot,,
"{'name': 'Ljubiša Pecelj', 'firstName': '', 'lastName': '', 'slug': 'ljubisa-pecelj', 'shortName': 'L. Pecelj', 'position': 'D', 'userCount': 16, 'gender': 'M', 'id': 895528, 'fieldTranslations': {'nameTranslation': {'ar': 'ليوبشيا بيشيل'}, 'shortNameTranslation': {'ar': 'ل. بيشيل'}}}",False,save,regular,"{'x': 11, 'y': 41, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50.3, 'z': 0.2}",0.1775,0.1891,6604015,89,5319,"{'start': {'x': 41, 'y': 11}, 'end': {'x': 49.7, 'y': 0}, 'goal': {'x': 49.7, 'y': 99.8}}",2,81,2619,shot,,
"{'name': 'Aleksandar Macanović', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-macanovic', 'shortName': 'A. Macanović', 'position': 'M', 'jerseyNumber': '20', 'userCount': 5, 'gender': 'M', 'id': 842506, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر ماكانوفيتش'}, 'shortNameTranslation': {'ar': 'أ. ماكانوفيتش'}}}",False,save,regular,"{'x': 27, 'y': 40, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 45.3, 'z': 11.9}",0.02889,0.09767,6604014,88,5226,"{'start': {'x': 40, 'y': 27}, 'end': {'x': 54.7, 'y': 0}, 'goal': {'x': 54.7, 'y': 88.1}}",3,174,2526,shot,,
"{'name': 'Vanja Vučićević', 'slug': 'vanja-vucicevic', 'shortName': 'V. Vučićević', 'position': 'F', 'userCount': 11, 'gender': 'M', 'id': 881019, 'fieldTranslations': {'nameTranslation': {'ar': 'فانيا فويتشيفيتش'}, 'shortNameTranslation': {'ar': 'ف. فويتشيفيتش'}}}",False,miss,throw-in-set-piece,"{'x': 20, 'y': 51, 'z': 0}",left-foot,close-left,"{'x': 0, 'y': 57.5, 'z': 5.6}",0.04864,,6604013,87,5194,"{'start': {'x': 51, 'y': 20}, 'end': {'x': 42.5, 'y': 0}, 'goal': {'x': 42.5, 'y': 94.4}}",4,206,2494,shot,,
"{'name': 'Nemanja Bojanić', 'slug': 'nemanja-bojanic', 'shortName': 'N. Bojanić', 'position': 'M', 'jerseyNumber': '18', 'userCount': 3, 'gender': 'M', 'id': 1396429, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانجا بوجانيتش'}, 'shortNameTranslation': {'ar': 'ن. بوجانيتش'}}}",False,miss,set-piece,"{'x': 8, 'y': 47, 'z': 0}",head,close-right,"{'x': 0, 'y': 43.6, 'z': 11.7}",0.1522,,6604012,72,4271,"{'start': {'x': 47, 'y': 8}, 'end': {'x': 56.4, 'y': 0}, 'goal': {'x': 56.4, 'y': 88.3}}",19,1129,1571,shot,,
"{'name': 'Ivan Vukčević', 'slug': 'ivan-vukcevic', 'shortName': 'I. Vukčević', 'position': 'M', 'jerseyNumber': '7', 'userCount': 25, 'gender': 'M', 'id': 929998, 'fieldTranslations': {'nameTranslation': {'ar': 'إيفان فوكتشيفيتش', 'hi': 'इवान वुकसेविक', 'bn': 'ইভান ভুকেভিচ'}, 'shortNameTranslation': {'ar': 'إ. فوكتشيفيتش', 'hi': 'आई. वुकसेविक', 'bn': 'আই. ভুকেভিচ'}}}",True,goal,regular,"{'x': 7, 'y': 40, 'z': 0}",left-foot,high-right,"{'x': 0, 'y': 47.5, 'z': 33.1}",0.1131,0.8981,6604011,69,4110,"{'start': {'x': 40, 'y': 7}, 'end': {'x': 52.5, 'y': 0}, 'goal': {'x': 52.5, 'y': 66.9}}",22,1290,1410,shot,regular,
"{'name': 'Gojko Petović', 'slug': 'gojko-petrovic', 'shortName': 'G. Petović', 'position': 'D', 'jerseyNumber': '5', 'userCount': 7, 'gender': 'M', 'id': 1804545, 'fieldTranslations': {'nameTranslation': {'ar': 'غويكو بيتوفيتش'}, 'shortNameTranslation': {'ar': 'غ. بيتوفيتش'}}}",False,miss,regular,"{'x': 23, 'y': 74, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 41.5, 'z': 42}",0.001006,,6604010,66,3914,"{'start': {'x': 74, 'y': 23}, 'end': {'x': 58.5, 'y': 0}, 'goal': {'x': 58.5, 'y': 58}}",25,1486,1214,shot,,
"{'name': 'Radoš Dedić', 'firstName': '', 'lastName': '', 'slug': 'rados-dedic', 'shortName': 'R. Dedić', 'position': 'D', 'jerseyNumber': '6', 'userCount': 6, 'gender': 'M', 'id': 1063207, 'fieldTranslations': {'nameTranslation': {'ar': 'رادوش ديديتش'}, 'shortNameTranslation': {'ar': 'ر. ديديتش'}}}",True,goal,set-piece,"{'x': 9, 'y': 41, 'z': 0}",head,low-right,"{'x': 0, 'y': 46.6, 'z': 13.5}",0.1292,0.5344,6604009,57,3406,"{'start': {'x': 41, 'y': 9}, 'end': {'x': 53.4, 'y': 0}, 'goal': {'x': 53.4, 'y': 86.5}}",34,1994,706,shot,regular,
"{'name': 'Armin Bošnjak', 'firstName': '', 'lastName': '', 'slug': 'armin-bosnjak', 'shortName': 'A. Bošnjak', 'position': 'M', 'jerseyNumber': '7', 'userCount': 13, 'gender': 'M', 'id': 808566, 'fieldTranslations': {'nameTranslation': {'ar': 'أرمين بوشنجاك', 'hi': 'आर्मिन बोस्नजक', 'bn': 'আরমিন বোসঞ্জাক'}, 'shortNameTranslation': {'ar': 'أ. بوشنجاك', 'hi': 'ए. बोस्नजक', 'bn': 'এ. বোসনজাক'}}}",False,save,regular,"{'x': 21, 'y': 40, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 51.4, 'z': 20.6}",0.06446,0.02535,6604008,52,3066,"{'start': {'x': 40, 'y': 21}, 'end': {'x': 48.6, 'y': 0}, 'goal': {'x': 48.6, 'y': 79.4}}",39,2334,366,shot,,
"{'name': 'Medo Juković', 'firstName': 'Medo Jukovic', 'slug': 'medo-jukovic', 'shortName': 'M. Juković', 'position': 'M', 'jerseyNumber': '88', 'userCount': 34, 'gender': 'M', 'id': 1896811, 'fieldTranslations': {'nameTranslation': {'ar': 'ميدو يوكوفيتش'}, 'shortNameTranslation': {'ar': 'م. يوكوفيتش'}}}",True,miss,throw-in-set-piece,"{'x': 25, 'y': 26, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 41.6, 'z': 43.1}",0.001709,,6604007,42,2489,"{'start': {'x': 26, 'y': 25}, 'end': {'x': 58.4, 'y': 0}, 'goal': {'x': 58.4, 'y': 56.9}}",4,211,2489,shot,,
