minute,value
1.0,-17
2.0,-27
3.0,-32
4.0,-12
5.0,8
6.0,2
7.0,9
8.0,7
9.0,10
10.0,7
11.0,26
12.0,-19
13.0,4
14.0,3
15.0,-3
16.0,-5
17.0,3
18.0,33
19.0,47
20.0,35
21.0,12
22.0,19
23.0,21
24.0,-39
25.0,87
26.0,19
27.0,-29
28.0,-6
29.0,-5
30.0,-8
31.0,-2
32.0,28
33.0,20
34.0,13
35.0,14
36.0,5
37.0,2
38.0,2
39.0,12
40.0,8
41.0,1
42.0,31
43.0,24
44.0,19
45.0,12
45.5,-5
46.0,1
47.0,7
48.0,-4
49.0,2
50.0,2
51.0,33
52.0,61
53.0,38
54.0,64
55.0,95
56.0,96
57.0,56
58.0,35
59.0,14
60.0,6
61.0,3
62.0,4
63.0,9
64.0,3
65.0,-54
66.0,-25
67.0,-14
68.0,-7
69.0,52
70.0,-49
71.0,-5
72.0,-2
73.0,2
74.0,-7
75.0,32
76.0,76
77.0,52
78.0,58
79.0,97
80.0,52
81.0,-29
82.0,-10
83.0,-6
84.0,-7
85.0,-2
86.0,4
87.0,-4
88.0,2
89.0,3
90.0,4
90.5,15
