match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,blockedScoringAttempt,keyPass,shotOffTarget,bigChanceCreated,bigChanceMissed,hitWoodwork
14147321,home,5143,FK Budućnost Podgorica,55655,Milan Mijatović,milan-mijatovic,G,1,False,26.0,22.0,6.0,2.0,0.0,18.0,19.0,1.0,4.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,0.0,90.0,28.0,6.6,4.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,84.61538461538461,33.33333333333333,,,0.0,,,,,,,
14147321,home,241802,FK Budućnost Podgorica,858601,Marin Galić,marin-galic,D,23,False,34.0,26.0,2.0,0.0,0.0,12.0,13.0,14.0,21.0,3.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,90.0,40.0,6.0,11.0,0.0,0.0,"{'original': 6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,0,10,76.47058823529412,0.0,33.33333333333333,0.0,,1.0,,,,,,
14147321,home,5143,FK Budućnost Podgorica,1030472,Miomir Đuričković,miomir-durickovic,D,4,False,80.0,67.0,9.0,3.0,0.0,41.0,45.0,25.0,34.0,0.0,0.0,1.0,4.0,6.0,7.0,2.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,11.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,,,,90.0,96.0,7.0,15.0,0.1,0.1,"{'original': 7, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,5,8,3,5,83.75,33.33333333333333,,,,,1.0,1.0,,,,
14147321,home,241802,FK Budućnost Podgorica,101202,Adnan Orahovac,adnan-orahovac,D,55,False,75.0,71.0,5.0,3.0,0.0,56.0,56.0,13.0,16.0,0.0,0.0,3.0,2.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,87.0,7.2,4.0,0.0,0.0,"{'original': 7.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,5,6,4,2,94.66666666666667,60.0,,,,,,,,,,
14147321,home,5143,FK Budućnost Podgorica,138935,Momčilo Raspopović,momcilo-raspopovic,D,20,False,64.0,51.0,7.0,3.0,0.0,28.0,30.0,21.0,31.0,2.0,1.0,0.0,3.0,11.0,9.0,2.0,2.0,0.0,1.0,0.0,2.0,0.0,5.0,21.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,90.0,82.0,7.1,18.0,0.14,0.0,"{'original': 7.1, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,3,17,6,11,79.6875,42.857142857142854,50.0,0.0,,,,,,,,
14147321,home,5143,FK Budućnost Podgorica,1423515,Danilo Vukanić,danilo-vukanic,M,44,False,33.0,28.0,4.0,1.0,0.0,11.0,13.0,17.0,20.0,1.0,0.0,0.0,1.0,6.0,5.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,61.0,45.0,7.0,3.0,0.03,0.0,"{'original': 7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,4,6,84.84848484848484,25.0,0.0,100.0,,,,1.0,,,,
14147321,home,5367,FK Budućnost Podgorica,889060,Nedeljko Piščević,nedeljko-piscevic,M,32,False,45.0,38.0,10.0,8.0,0.0,18.0,19.0,17.0,23.0,0.0,0.0,2.0,1.0,8.0,6.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,90.0,59.0,7.1,8.0,0.13,0.0,"{'original': 7.1, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,3,11,5,6,84.44444444444444,80.0,,100.0,,1.0,1.0,,1.0,,,
14147321,home,5143,FK Budućnost Podgorica,1423503,Andrej Camaj,camaj-andrej,M,24,False,25.0,19.0,4.0,1.0,0.0,7.0,9.0,11.0,15.0,1.0,0.0,0.0,0.0,10.0,1.0,0.0,4.0,1.0,2.0,1.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,71.0,38.0,7.4,8.0,0.37,0.13,"{'original': 7.4, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,0,11,1,10,76.0,25.0,0.0,25.0,,,1.0,1.0,,,,
14147321,home,5143,FK Budućnost Podgorica,890615,Marko Milickovic,marko-milickovic,M,10,False,15.0,15.0,1.0,1.0,0.0,4.0,4.0,11.0,11.0,2.0,2.0,0.0,0.0,3.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,61.0,24.0,7.2,3.0,0.01,0.16,"{'original': 7.2, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,4,3,100.0,100.0,100.0,100.0,,1.0,1.0,3.0,,,,
14147321,home,241802,FK Budućnost Podgorica,57341,Petar Grbić,petar-grbic,M,18,False,17.0,10.0,0.0,0.0,0.0,3.0,3.0,7.0,13.0,3.0,0.0,0.0,0.0,8.0,5.0,1.0,5.0,4.0,1.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,,,,,,,71.0,32.0,6.9,10.0,0.1,0.01,"{'original': 6.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,0,13,5,8,58.82352941176471,,0.0,80.0,,1.0,,1.0,,,,
