match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,keyPass,blockedScoringAttempt,shotOffTarget,dispossessed,hitWoodwork
14147322,home,6216,OFK Petrovac,188987,Marko Kordić,marko-kordic,G,25,False,40.0,35.0,16.0,11.0,0.0,27.0,29.0,6.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,90.0,43.0,8.0,5.0,0.0,0.0,"{'original': 8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,87.5,68.75,,,0.0,,,,,
14147322,home,36019,OFK Petrovac,1214474,Nikola Vuković,nikola-vukovic,D,11,False,30.0,22.0,3.0,1.0,0.0,13.0,16.0,9.0,14.0,3.0,1.0,0.0,0.0,7.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,,,,,,,73.0,39.0,6.7,10.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,3,7,73.33333333333333,33.33333333333333,33.33333333333333,100.0,,,,,,
14147322,home,6216,OFK Petrovac,1484679,Marko Franeta,marko-franeta,D,13,False,31.0,24.0,8.0,3.0,0.0,15.0,18.0,6.0,10.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,37.0,7.0,6.0,0.0,0.0,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,2,4,2,2,77.41935483870968,37.5,,,,,,,,
14147322,home,6216,OFK Petrovac,986362,Marko Merdović,merdovic-marko,D,44,False,45.0,38.0,11.0,6.0,1.0,29.0,29.0,9.0,16.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,90.0,64.0,7.8,6.0,0.07,0.0,"{'original': 7.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,0,3,2,1,84.44444444444444,54.54545454545454,,,,,,,,
14147322,home,6216,OFK Petrovac,57339,Dejan Boljević,dejan-boljevic,D,33,False,23.0,15.0,5.0,2.0,0.0,5.0,9.0,8.0,12.0,2.0,1.0,0.0,2.0,8.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,80.0,29.0,6.7,10.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,0,8,65.21739130434783,40.0,50.0,0.0,,1.0,,,,
14147322,home,6216,OFK Petrovac,889063,Stefan Fićović,stefan-ficovic,M,18,False,26.0,19.0,3.0,0.0,0.0,11.0,12.0,8.0,14.0,0.0,0.0,2.0,0.0,14.0,9.0,3.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,6.0,2.0,1.0,0.0,0.0,2.0,2.0,3.0,1.0,,,,,,,90.0,42.0,7.3,8.0,0.04,0.0,"{'original': 7.3, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",23,2,21,9,12,73.07692307692307,0.0,,100.0,,,2.0,,,
14147322,home,6216,OFK Petrovac,959010,Zaim Divanović,zaim-divanovic,M,23,False,32.0,28.0,4.0,3.0,0.0,20.0,20.0,6.0,10.0,2.0,0.0,0.0,1.0,6.0,5.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,73.0,46.0,7.4,7.0,0.01,0.07,"{'original': 7.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,4,6,87.5,75.0,0.0,100.0,,1.0,,1.0,,
14147322,home,6216,OFK Petrovac,1046042,Savo Arambašić,savo-arambasic,M,17,False,17.0,9.0,0.0,0.0,0.0,5.0,7.0,4.0,9.0,2.0,0.0,4.0,0.0,14.0,2.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,90.0,26.0,6.1,12.0,0.0,0.26,"{'original': 6.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,4,12,2,10,52.94117647058824,,0.0,0.0,,2.0,,,1.0,
14147322,home,6216,OFK Petrovac,1030468,Žarko Popović,zarko-popovic,M,4,False,28.0,22.0,2.0,0.0,0.0,5.0,6.0,17.0,22.0,1.0,0.0,2.0,1.0,13.0,9.0,0.0,3.0,2.0,2.0,2.0,0.0,0.0,,8.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,,,,,,,90.0,53.0,8.8,8.0,0.35,0.01,"{'original': 8.8, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",22,3,19,8,11,78.57142857142857,0.0,0.0,66.66666666666666,,1.0,1.0,,2.0,
14147322,home,301263,OFK Petrovac,989177,Viktor Živojinović,viktor-zivojinovic,M,45,False,13.0,8.0,1.0,0.0,0.0,3.0,6.0,5.0,6.0,0.0,0.0,0.0,0.0,10.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,67.0,25.0,6.5,11.0,0.07,0.0,"{'original': 6.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,0,12,2,10,61.53846153846154,0.0,,0.0,,,,1.0,2.0,1.0
14147322,home,37956,OFK Petrovac,1130148,Neđeljko Kovinić,nedeljko-kovinic,F,9,False,11.0,6.0,1.0,0.0,0.0,2.0,4.0,4.0,7.0,0.0,0.0,2.0,1.0,16.0,5.0,1.0,3.0,2.0,1.0,1.0,2.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,,,,,,,67.0,32.0,7.1,13.0,0.19,0.03,"{'original': 7.1, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",21,3,18,4,14,54.54545454545454,0.0,,66.66666666666666,,1.0,,,2.0,
14147322,home,6216,OFK Petrovac,1149279,Dragan Miranović,dragan-miranovic,M,22,True,17.0,17.0,4.0,4.0,0.0,7.0,7.0,9.0,9.0,0.0,0.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,,,,,,,23.0,22.0,6.7,2.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,1,4,100.0,100.0,,0.0,,,,,,
14147322,home,6216,OFK Petrovac,791606,Adnan Bašić,adnan-basic,F,10,True,4.0,3.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,23.0,10.0,6.5,4.0,0.24,0.0,"{'original': 6.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,2,4,75.0,,,100.0,,,1.0,,2.0,
14147322,home,6216,OFK Petrovac,882142,Danilo Pešukić,danilo-pesukic,D,29,True,9.0,5.0,2.0,1.0,1.0,2.0,2.0,3.0,6.0,3.0,2.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,17.0,12.0,6.9,3.0,0.02,0.28,"{'original': 6.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",4,0,4,1,3,55.55555555555556,50.0,66.66666666666666,,,1.0,,,,
14147322,home,829702,OFK Petrovac,886236,Alija Krnić,alija-krnic,M,47,True,6.0,5.0,0.0,0.0,0.0,1.0,1.0,4.0,5.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,17.0,10.0,6.8,1.0,0.07,0.0,"{'original': 6.8, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,3,1,83.33333333333334,,0.0,100.0,,,1.0,1.0,,
