player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,xgot,blockCoordinates,goalType
"{'name': 'Petar Aničić', 'slug': 'petar-anicic', 'shortName': 'P. Aničić', 'position': 'M', 'jerseyNumber': '9', 'userCount': 5, 'gender': 'M', 'id': 1381358, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر أنيتشيتش'}, 'shortNameTranslation': {'ar': 'ب. أنيتشيتش'}}}",True,miss,regular,"{'x': 23, 'y': 35, 'z': 0}",left-foot,close-high-left,"{'x': 0, 'y': 58.1, 'z': 57.9}",0.009605,6591701,90,2.0,5510,"{'start': {'x': 35, 'y': 23}, 'end': {'x': 41.9, 'y': 0}, 'goal': {'x': 41.9, 'y': 42.1}}",1,790,110,shot,,,
"{'name': 'Andrija Ražnatović', 'firstName': '', 'lastName': '', 'slug': 'andrija-raznatovic', 'shortName': 'A. Ražnatović', 'position': 'D', 'jerseyNumber': '22', 'userCount': 23, 'gender': 'M', 'id': 1000770, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريا رازناتوفيتش', 'hi': 'एंड्रीजा रज्नाटोविक', 'bn': 'আন্দ্রিজা রাজনাতোভিচ'}, 'shortNameTranslation': {'ar': 'أ. رازناتوفيتش', 'hi': 'ए. रज्नाटोविक', 'bn': 'এ. রাজনাতোভিচ'}}}",True,miss,regular,"{'x': 10, 'y': 45, 'z': 0}",right-foot,close-right,"{'x': 0, 'y': 43.5, 'z': 1.8}",0.2552,6591700,90,1.0,5452,"{'start': {'x': 45, 'y': 10}, 'end': {'x': 56.5, 'y': 0}, 'goal': {'x': 56.5, 'y': 98.2}}",1,848,52,shot,,,
"{'name': 'Andrija Ražnatović', 'firstName': '', 'lastName': '', 'slug': 'andrija-raznatovic', 'shortName': 'A. Ražnatović', 'position': 'D', 'jerseyNumber': '22', 'userCount': 23, 'gender': 'M', 'id': 1000770, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريا رازناتوفيتش', 'hi': 'एंड्रीजा रज्नाटोविक', 'bn': 'আন্দ্রিজা রাজনাতোভিচ'}, 'shortNameTranslation': {'ar': 'أ. رازناتوفيتش', 'hi': 'ए. रज्नाटोविक', 'bn': 'এ. রাজনাতোভিচ'}}}",True,miss,throw-in-set-piece,"{'x': 15, 'y': 29, 'z': 0}",left-foot,close-high-right,"{'x': 0, 'y': 42.4, 'z': 47.7}",0.02478,6591699,90,,5362,"{'start': {'x': 29, 'y': 15}, 'end': {'x': 57.6, 'y': 0}, 'goal': {'x': 57.6, 'y': 52.3}}",1,38,2662,shot,,,
"{'name': 'Andrija Ražnatović', 'firstName': '', 'lastName': '', 'slug': 'andrija-raznatovic', 'shortName': 'A. Ražnatović', 'position': 'D', 'jerseyNumber': '22', 'userCount': 23, 'gender': 'M', 'id': 1000770, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريا رازناتوفيتش', 'hi': 'एंड्रीजा रज्नाटोविक', 'bn': 'আন্দ্রিজা রাজনাতোভিচ'}, 'shortNameTranslation': {'ar': 'أ. رازناتوفيتش', 'hi': 'ए. रज्नाटोविक', 'bn': 'এ. রাজনাতোভিচ'}}}",True,save,corner,"{'x': 5, 'y': 38, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 52.2, 'z': 4.1}",0.09355,6591698,88,,5238,"{'start': {'x': 38, 'y': 5}, 'end': {'x': 47.8, 'y': 0}, 'goal': {'x': 47.8, 'y': 95.9}}",3,162,2538,shot,0.2344,,
"{'name': 'Dragan Miranović', 'firstName': 'Dragan', 'lastName': 'Miranović', 'slug': 'dragan-miranovic', 'shortName': 'D. Miranović', 'position': 'M', 'jerseyNumber': '22', 'userCount': 27, 'gender': 'M', 'id': 1149279, 'fieldTranslations': {'nameTranslation': {'ar': 'دراغان ميرانوفيتش'}, 'shortNameTranslation': {'ar': 'د. ميرانوفيتش'}}}",False,block,corner,"{'x': 25, 'y': 47, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.009898,6591697,70,,4175,"{'start': {'x': 47, 'y': 25}, 'block': {'x': 47, 'y': 25}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",21,1225,1475,shot,,"{'x': 25, 'y': 47, 'z': 0}",
"{'name': 'Balša Tošković', 'firstName': '', 'lastName': '', 'slug': 'balsa-toskovic', 'shortName': 'B. Tošković', 'position': 'F', 'jerseyNumber': '10', 'userCount': 38, 'gender': 'M', 'id': 1030465, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا توشكوفيتش'}, 'shortNameTranslation': {'ar': 'ب. توشكوفيتش'}}}",True,save,regular,"{'x': 11, 'y': 44, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53.8, 'z': 3}",0.1377,6591696,66,,3901,"{'start': {'x': 44, 'y': 11}, 'end': {'x': 46.2, 'y': 0}, 'goal': {'x': 46.2, 'y': 97}}",25,1499,1201,shot,0.5779,,
"{'name': 'Balša Tošković', 'firstName': '', 'lastName': '', 'slug': 'balsa-toskovic', 'shortName': 'B. Tošković', 'position': 'F', 'jerseyNumber': '10', 'userCount': 38, 'gender': 'M', 'id': 1030465, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا توشكوفيتش'}, 'shortNameTranslation': {'ar': 'ب. توشكوفيتش'}}}",True,block,regular,"{'x': 13, 'y': 56, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.1264,6591695,51,,3008,"{'start': {'x': 56, 'y': 13}, 'block': {'x': 56, 'y': 13}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",40,2392,308,shot,,"{'x': 13, 'y': 56, 'z': 0}",
"{'name': 'Adnan Bašić', 'slug': 'adnan-basic', 'shortName': 'A. Bašić', 'position': 'F', 'jerseyNumber': '10', 'userCount': 6, 'gender': 'M', 'id': 791606, 'fieldTranslations': {'nameTranslation': {'ar': 'عدنان باشيتش'}, 'shortNameTranslation': {'ar': 'ع. باشيتش'}}}",False,goal,throw-in-set-piece,"{'x': 5, 'y': 58, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 45.4, 'z': 10.8}",0.4407,6591694,45,1.0,2736,"{'start': {'x': 58, 'y': 5}, 'end': {'x': 54.6, 'y': 0}, 'goal': {'x': 54.6, 'y': 89.2}}",1,2664,36,shot,0.6921,,regular
"{'name': 'Petar Aničić', 'slug': 'petar-anicic', 'shortName': 'P. Aničić', 'position': 'M', 'jerseyNumber': '9', 'userCount': 5, 'gender': 'M', 'id': 1381358, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر أنيتشيتش'}, 'shortNameTranslation': {'ar': 'ب. أنيتشيتش'}}}",True,save,regular,"{'x': 27, 'y': 78, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 51.6, 'z': 15.2}",0.0062,6591693,45,,2665,"{'start': {'x': 78, 'y': 27}, 'end': {'x': 48.4, 'y': 0}, 'goal': {'x': 48.4, 'y': 84.8}}",1,35,2665,shot,0.003591,,
"{'name': 'Petar Aničić', 'slug': 'petar-anicic', 'shortName': 'P. Aničić', 'position': 'M', 'jerseyNumber': '9', 'userCount': 5, 'gender': 'M', 'id': 1381358, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر أنيتشيتش'}, 'shortNameTranslation': {'ar': 'ب. أنيتشيتش'}}}",True,block,regular,"{'x': 15, 'y': 52, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.1036,6591692,42,,2506,"{'start': {'x': 52, 'y': 15}, 'block': {'x': 52, 'y': 15}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",4,194,2506,shot,,"{'x': 15, 'y': 52, 'z': 0}",
