player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,xgot,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,goalType
"{'name': 'Viktor Živojinović', 'slug': 'viktor-zivojinovic', 'shortName': 'V. Živojinović', 'position': 'M', 'userCount': 35, 'gender': 'M', 'id': 989177, 'fieldTranslations': {'nameTranslation': {'ar': 'فيكتور زيفوجينوفيتش'}, 'shortNameTranslation': {'ar': 'ف. زيفوجينوفيتش'}}}",False,save,throw-in-set-piece,"{'x': 13, 'y': 52, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 50.6, 'z': 24.9}",0.05946,0.06217,6554515,90,3.0,5559,"{'start': {'x': 52, 'y': 13}, 'end': {'x': 49.4, 'y': 0}, 'goal': {'x': 49.4, 'y': 75.1}}",1,741,159,shot,,
"{'name': 'Zaim Divanović', 'firstName': '', 'lastName': '', 'slug': 'zaim-divanovic', 'shortName': 'Z. Divanović', 'position': 'M', 'jerseyNumber': '23', 'userCount': 13, 'gender': 'M', 'id': 959010, 'fieldTranslations': {'nameTranslation': {'ar': 'زايم ديفانوفيتش', 'hi': 'ज़ैम दिवानोविक', 'bn': 'জাইম ডিভানোভিচ'}, 'shortNameTranslation': {'ar': 'ز. ديفانوفيتش', 'hi': 'ज़ेड. दिवानोविक', 'bn': 'জেড. ডিভানোভিচ'}}}",False,miss,corner,"{'x': 27, 'y': 58, 'z': 0}",right-foot,close-high-left,"{'x': 0, 'y': 58.4, 'z': 40.6}",0.001084,,6554514,90,,5348,"{'start': {'x': 58, 'y': 27}, 'end': {'x': 41.6, 'y': 0}, 'goal': {'x': 41.6, 'y': 59.4}}",1,52,2648,shot,,
"{'name': 'Stefan Fićović', 'slug': 'stefan-ficovic', 'shortName': 'S. Fićović', 'position': 'M', 'jerseyNumber': '18', 'userCount': 9, 'gender': 'M', 'id': 889063, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان فيتشوفيتش'}, 'shortNameTranslation': {'ar': 'س. فيتشوفيتش'}}}",False,block,corner,"{'x': 7, 'y': 69, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.03443,,6554513,89,,5331,"{'start': {'x': 69, 'y': 7}, 'block': {'x': 69, 'y': 7}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",2,69,2631,shot,"{'x': 7, 'y': 69, 'z': 0}",
"{'name': 'Mirza Idrizović', 'firstName': '', 'lastName': '', 'slug': 'mirza-idrizovic', 'shortName': 'M. Idrizović', 'position': 'M', 'jerseyNumber': '10', 'userCount': 4, 'gender': 'M', 'id': 874418, 'fieldTranslations': {'nameTranslation': {'ar': 'ميرزا إدريزوفيتش'}, 'shortNameTranslation': {'ar': 'م. إدريزوفيتش'}}}",True,miss,regular,"{'x': 23, 'y': 72, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 42, 'z': 56.7}",0.01057,,6554512,86,,5158,"{'start': {'x': 72, 'y': 23}, 'end': {'x': 58, 'y': 0}, 'goal': {'x': 58, 'y': 43.3}}",5,242,2458,shot,,
"{'name': 'Alija Krnić', 'slug': 'alija-krnic', 'shortName': 'A. Krnić', 'position': 'M', 'userCount': 4, 'gender': 'M', 'id': 886236, 'fieldTranslations': {'nameTranslation': {'ar': 'أليجا كرنيتش'}, 'shortNameTranslation': {'ar': 'أ. كرنيتش'}}}",False,miss,corner,"{'x': 19, 'y': 50, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 58.7, 'z': 2.6}",0.05243,,6554511,81,,4851,"{'start': {'x': 50, 'y': 19}, 'end': {'x': 41.3, 'y': 0}, 'goal': {'x': 41.3, 'y': 97.4}}",10,549,2151,shot,,
"{'name': 'Viktor Živojinović', 'slug': 'viktor-zivojinovic', 'shortName': 'V. Živojinović', 'position': 'M', 'userCount': 35, 'gender': 'M', 'id': 989177, 'fieldTranslations': {'nameTranslation': {'ar': 'فيكتور زيفوجينوفيتش'}, 'shortNameTranslation': {'ar': 'ف. زيفوجينوفيتش'}}}",False,miss,regular,"{'x': 10, 'y': 38, 'z': 0}",left-foot,close-high-left,"{'x': 0, 'y': 59.2, 'z': 48.1}",0.2193,,6554510,71,,4220,"{'start': {'x': 38, 'y': 10}, 'end': {'x': 40.8, 'y': 0}, 'goal': {'x': 40.8, 'y': 51.9}}",20,1180,1520,shot,,
"{'name': 'Arsenije Čepić', 'firstName': 'Arsenije', 'lastName': 'Čepić', 'slug': 'arsenije-cepic', 'shortName': 'A. Čepić', 'position': 'M', 'jerseyNumber': '15', 'userCount': 8, 'gender': 'M', 'id': 1185130, 'fieldTranslations': {'nameTranslation': {'ar': 'أرسينيي جيبيتش'}, 'shortNameTranslation': {'ar': 'أ. جيبيتش'}}}",True,save,regular,"{'x': 10, 'y': 65, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 47.3, 'z': 4}",0.1321,0.1657,6554509,70,,4173,"{'start': {'x': 65, 'y': 10}, 'end': {'x': 52.7, 'y': 0}, 'goal': {'x': 52.7, 'y': 96}}",21,1227,1473,shot,,
"{'name': 'Danis Kolić', 'firstName': 'Danis', 'lastName': 'Kolic', 'slug': 'danis-kolic', 'shortName': 'D. Kolić', 'position': 'M', 'jerseyNumber': '22', 'userCount': 8, 'gender': 'M', 'id': 1391891, 'fieldTranslations': {'nameTranslation': {'ar': 'دانيش كوليتش'}, 'shortNameTranslation': {'ar': 'د. كوليتش'}}}",True,miss,regular,"{'x': 25, 'y': 39, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 43.4, 'z': 57.4}",0.02611,,6554508,68,,4028,"{'start': {'x': 39, 'y': 25}, 'end': {'x': 56.6, 'y': 0}, 'goal': {'x': 56.6, 'y': 42.6}}",23,1372,1328,shot,,
"{'name': 'Dejan Boljević', 'slug': 'dejan-boljevic', 'shortName': 'D. Boljević', 'position': 'D', 'jerseyNumber': '33', 'userCount': 4, 'gender': 'M', 'id': 57339, 'fieldTranslations': {'nameTranslation': {'ar': 'ديان بوليفيتش', 'hi': 'देजान बोलजेविक', 'bn': 'দেজান বলজেভিচ'}, 'shortNameTranslation': {'ar': 'د. بوليفيتش', 'hi': 'डी. बोलजेविक', 'bn': 'ডি. বলজেভিচ'}}}",False,miss,regular,"{'x': 15, 'y': 30, 'z': 0}",left-foot,close-high-left,"{'x': 0, 'y': 56.6, 'z': 40.8}",0.04541,,6554507,65,,3844,"{'start': {'x': 30, 'y': 15}, 'end': {'x': 43.4, 'y': 0}, 'goal': {'x': 43.4, 'y': 59.2}}",26,1556,1144,shot,,
"{'name': 'Žarko Popović', 'firstName': '', 'lastName': '', 'slug': 'zarko-popovic', 'shortName': 'Ž. Popović', 'position': 'M', 'jerseyNumber': '4', 'userCount': 5, 'gender': 'M', 'id': 1030468, 'fieldTranslations': {'nameTranslation': {'ar': 'زاركو بوبوفيتش'}, 'shortNameTranslation': {'ar': 'ز. بوبوفيتش'}}}",False,block,regular,"{'x': 26, 'y': 58, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.007306,,6554506,64,,3838,"{'start': {'x': 58, 'y': 26}, 'block': {'x': 58, 'y': 26}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",27,1562,1138,shot,"{'x': 26, 'y': 58, 'z': 0}",
