match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,keyPass,shotOffTarget,dispossessed,blockedScoringAttempt
14147328,home,6219,FK Jedinstvo Bijelo Polje,905682,Rijad Dzafic,rijad-dzafic,G,71,False,30.0,28.0,15.0,13.0,0.0,14.0,15.0,10.0,11.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,0.0,90.0,38.0,7.8,2.0,0.0,0.0,"{'original': 7.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,93.33333333333333,86.66666666666667,,,0.0,,,,
14147328,home,6219,FK Jedinstvo Bijelo Polje,1190521,Lazar Šekularac,lazar-sekularac,D,27,False,18.0,10.0,2.0,1.0,0.0,1.0,5.0,9.0,12.0,1.0,0.0,1.0,0.0,11.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,,,,80.0,24.0,6.1,11.0,0.06,0.17,"{'original': 6.1, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,0,10,55.55555555555556,50.0,0.0,,,2.0,,,
14147328,home,6219,FK Jedinstvo Bijelo Polje,960227,Ognjen Obradović,ognjen-obradovic,D,6,False,21.0,17.0,3.0,2.0,0.0,12.0,12.0,5.0,9.0,0.0,0.0,1.0,3.0,8.0,6.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,,12.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,90.0,26.0,7.0,6.0,0.0,0.0,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,4,10,3,7,80.95238095238095,66.66666666666666,,,,,,,
14147328,home,6219,FK Jedinstvo Bijelo Polje,807581,Miloš Nikolić,milos-nikolic,D,23,False,32.0,27.0,4.0,2.0,0.0,17.0,18.0,6.0,9.0,0.0,0.0,3.0,1.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,4.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,37.0,7.4,7.0,0.09,0.05,"{'original': 7.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,4,3,2,1,84.375,50.0,,,,1.0,1.0,,
14147328,home,6219,FK Jedinstvo Bijelo Polje,1440632,Georgios Makrydakis,makrydakis-georgios,D,56,False,25.0,20.0,3.0,3.0,1.0,10.0,11.0,8.0,12.0,3.0,2.0,2.0,1.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,71.0,34.0,7.3,10.0,0.0,0.23,"{'original': 7.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,4,3,80.0,100.0,66.66666666666666,0.0,,2.0,,1.0,
14147328,home,6219,FK Jedinstvo Bijelo Polje,1185130,Arsenije Čepić,arsenije-cepic,M,15,False,42.0,31.0,3.0,1.0,0.0,13.0,16.0,14.0,22.0,0.0,0.0,1.0,2.0,12.0,10.0,2.0,4.0,3.0,1.0,0.0,1.0,0.0,5.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,63.0,6.9,13.0,0.13,0.0,"{'original': 6.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",22,3,19,8,11,73.80952380952381,33.33333333333333,,75.0,,,,1.0,
14147328,home,6219,FK Jedinstvo Bijelo Polje,1131050,Andrej Cvijović,andrej-cvijovic,M,33,False,20.0,10.0,2.0,2.0,0.0,3.0,5.0,7.0,15.0,3.0,0.0,0.0,1.0,5.0,4.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,,7.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,,,,,,,90.0,36.0,7.1,14.0,0.09,0.0,"{'original': 7.1, 'alternative': None}",4.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,3,5,50.0,100.0,0.0,100.0,,,3.0,,1.0
14147328,home,6219,FK Jedinstvo Bijelo Polje,1536333,Stefan Radojevic,stefan-radojevic,M,8,False,18.0,13.0,1.0,0.0,0.0,4.0,7.0,7.0,9.0,1.0,1.0,2.0,0.0,13.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,8.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,90.0,28.0,7.0,10.0,0.08,0.02,"{'original': 7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,2,15,4,11,72.22222222222221,0.0,100.0,,,1.0,1.0,,
14147328,home,6219,FK Jedinstvo Bijelo Polje,1391891,Danis Kolić,danis-kolic,M,22,False,32.0,20.0,3.0,1.0,0.0,11.0,12.0,8.0,18.0,2.0,1.0,0.0,0.0,9.0,9.0,0.0,6.0,4.0,3.0,0.0,0.0,0.0,1.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,71.0,52.0,7.5,11.0,0.14,0.05,"{'original': 7.5, 'alternative': None}",4.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,0,18,9,9,62.5,33.33333333333333,50.0,66.66666666666666,,1.0,1.0,1.0,
14147328,home,6219,FK Jedinstvo Bijelo Polje,2327413,Jonathan Ezequiel Rodriguez,jonathan-ezequiel-rodriguez,M,32,False,23.0,20.0,1.0,1.0,0.0,8.0,9.0,12.0,14.0,0.0,0.0,1.0,0.0,6.0,4.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,4.0,0.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,,,,,,,58.0,33.0,7.0,7.0,0.09,0.04,"{'original': 7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,4,5,86.95652173913044,100.0,,100.0,,1.0,,1.0,
