match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,keyPass,dispossessed,blockedScoringAttempt,shotOffTarget,hitWoodwork,penaltyWon,penaltyConceded
14147329,home,36019,FK Mornar Bar,187341,Stefan Popović,stefan-popovic,G,12,False,21.0,20.0,9.0,8.0,0.0,17.0,18.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,90.0,24.0,6.8,1.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,95.23809523809523,88.88888888888889,,,0.0,,,,,,,
14147329,home,36019,FK Mornar Bar,1392904,Velimir Ljutica,velimir-ljutica,D,32,False,30.0,22.0,5.0,3.0,0.0,8.0,13.0,12.0,15.0,6.0,4.0,1.0,0.0,13.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,,5.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,,83.0,38.0,6.2,14.0,0.0,0.09,"{'original': 6.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,1,15,3,12,73.33333333333333,60.0,66.66666666666666,0.0,,1.0,,,,,,
14147329,home,36019,FK Mornar Bar,189001,Jovan Baošić,jovan-baosic,D,15,False,59.0,48.0,10.0,5.0,0.0,33.0,33.0,15.0,25.0,0.0,0.0,1.0,5.0,7.0,7.0,3.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,77.0,7.1,14.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,6,8,2,6,81.35593220338984,50.0,,,,,,,,,,
14147329,home,36019,FK Mornar Bar,286837,Ilija Martinović,ilija-martinovic,D,25,False,39.0,24.0,8.0,0.0,0.0,20.0,22.0,4.0,17.0,0.0,0.0,1.0,2.0,4.0,4.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,50.0,6.9,17.0,0.2,0.0,"{'original': 6.9, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,3,5,2,3,61.53846153846154,0.0,,,,,,,,,,
14147329,home,36019,FK Mornar Bar,171431,Nikola Stijepović,nikola-stijepovic,D,33,False,28.0,18.0,7.0,3.0,0.0,8.0,8.0,8.0,17.0,2.0,1.0,1.0,3.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,90.0,41.0,7.1,18.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,4,15,8,7,64.28571428571429,42.857142857142854,50.0,,,1.0,1.0,,,,,
14147329,home,36019,FK Mornar Bar,94261,Andrija Kaluđerović,andrija-kaluderovic,M,4,False,48.0,39.0,4.0,1.0,0.0,14.0,17.0,23.0,28.0,0.0,0.0,2.0,2.0,13.0,14.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,20.0,2.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,,,,,,,90.0,76.0,7.4,13.0,0.0,0.0,"{'original': 7.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",27,4,23,12,11,81.25,25.0,,100.0,,,1.0,1.0,,,,
14147329,home,36019,FK Mornar Bar,843005,Marko Đurišić,marko-durisic,M,8,False,53.0,42.0,6.0,3.0,0.0,13.0,15.0,26.0,35.0,1.0,0.0,1.0,1.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,83.0,76.0,7.1,14.0,0.01,0.17,"{'original': 7.1, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,3,8,79.24528301886792,50.0,0.0,,,2.0,1.0,1.0,,,,
14147329,home,36019,FK Mornar Bar,154655,Darko Zorić,darko-zoric,M,18,False,39.0,29.0,2.0,1.0,0.0,9.0,12.0,20.0,27.0,5.0,1.0,4.0,0.0,13.0,11.0,0.0,3.0,3.0,2.0,1.0,2.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.0,,,,,,,90.0,70.0,7.9,17.0,0.98,0.09,"{'original': 7.9, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",24,4,20,11,9,74.35897435897436,50.0,20.0,100.0,,3.0,3.0,,1.0,,,
14147329,home,36019,FK Mornar Bar,804419,Demir Skrijelj,demir-skrijelj,M,10,False,7.0,5.0,0.0,0.0,0.0,1.0,1.0,4.0,6.0,0.0,0.0,0.0,1.0,5.0,7.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,,62.0,20.0,6.5,7.0,0.04,0.0,"{'original': 6.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,1,11,6,5,71.42857142857143,,,100.0,,,3.0,,1.0,,,
14147329,home,36019,FK Mornar Bar,1404815,Matija Rovčanin,matija-rovcanin,M,21,False,18.0,11.0,1.0,1.0,0.0,3.0,4.0,7.0,13.0,4.0,0.0,1.0,2.0,6.0,10.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,,,,,,,62.0,34.0,7.1,11.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,3,13,8,5,61.111111111111114,100.0,0.0,100.0,,,2.0,,,,,
