player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,xgot,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType,blockCoordinates
"{'name': 'Milan Vušurović', 'slug': 'milan-vusurovic', 'shortName': 'M. Vušurović', 'position': 'M', 'jerseyNumber': '17', 'userCount': 20, 'gender': 'M', 'id': 287757, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلان فوسوروفيتش', 'hi': 'मिलन वुसुरोविक', 'bn': 'মিলান ভুসুরোভিচ'}, 'shortNameTranslation': {'ar': 'م. فوسوروفيتش', 'hi': 'एम. वुसुरोविक', 'bn': 'এম. ভুসুরোভিচ'}}}",True,save,regular,"{'x': 8, 'y': 27, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 52.7, 'z': 16.4}",0.07065,0.07498,6638102,90,2.0,5480,"{'start': {'x': 27, 'y': 8}, 'end': {'x': 47.3, 'y': 0}, 'goal': {'x': 47.3, 'y': 83.6}}",1,820,80,shot,,
"{'name': 'Marko Milickovic', 'slug': 'marko-milickovic', 'shortName': 'M. Milickovic', 'position': 'M', 'jerseyNumber': '10', 'userCount': 28, 'gender': 'M', 'id': 890615, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو ميليكوفيتش', 'hi': 'मार्को मिलिकोविच', 'bn': 'মার্কো মিলিকোভিচ'}, 'shortNameTranslation': {'ar': 'م. ميليكوفيتش', 'hi': 'एम. मिलिकोविच', 'bn': 'এম. মিলিকোভিচ'}}}",True,save,regular,"{'x': 26, 'y': 50, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.2, 'z': 6.5}",0.03337,0.02639,6638101,86,,5111,"{'start': {'x': 50, 'y': 26}, 'end': {'x': 48.8, 'y': 0}, 'goal': {'x': 48.8, 'y': 93.5}}",5,289,2411,shot,,
"{'name': 'Andrej Pupović', 'slug': 'andrej-pupovic', 'shortName': 'A. Pupović', 'position': 'D', 'jerseyNumber': '91', 'userCount': 5, 'gender': 'M', 'id': 1000577, 'fieldTranslations': {'nameTranslation': {'ar': 'أندري بوبوفيتش'}, 'shortNameTranslation': {'ar': 'أ. بوبوفيتش'}}}",False,save,regular,"{'x': 13, 'y': 25, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 49.9, 'z': 6.9}",0.04292,0.01948,6638100,85,,5043,"{'start': {'x': 25, 'y': 13}, 'end': {'x': 50.1, 'y': 0}, 'goal': {'x': 50.1, 'y': 93.1}}",6,357,2343,shot,,
"{'name': 'Andrej Pupović', 'slug': 'andrej-pupovic', 'shortName': 'A. Pupović', 'position': 'D', 'jerseyNumber': '91', 'userCount': 5, 'gender': 'M', 'id': 1000577, 'fieldTranslations': {'nameTranslation': {'ar': 'أندري بوبوفيتش'}, 'shortNameTranslation': {'ar': 'أ. بوبوفيتش'}}}",False,miss,regular,"{'x': 20, 'y': 36, 'z': 0}",left-foot,close-left,"{'x': 0, 'y': 58.6, 'z': 34.1}",0.2125,,6638099,81,,4820,"{'start': {'x': 36, 'y': 20}, 'end': {'x': 41.4, 'y': 0}, 'goal': {'x': 41.4, 'y': 65.9}}",10,580,2120,shot,,
"{'name': 'Žarko Popović', 'firstName': '', 'lastName': '', 'slug': 'zarko-popovic', 'shortName': 'Ž. Popović', 'position': 'M', 'jerseyNumber': '4', 'userCount': 5, 'gender': 'M', 'id': 1030468, 'fieldTranslations': {'nameTranslation': {'ar': 'زاركو بوبوفيتش'}, 'shortNameTranslation': {'ar': 'ز. بوبوفيتش'}}}",False,goal,regular,"{'x': 14, 'y': 44, 'z': 0}",left-foot,high-right,"{'x': 0, 'y': 45.8, 'z': 31.4}",0.1463,0.7199,6638098,75,,4450,"{'start': {'x': 44, 'y': 14}, 'end': {'x': 54.2, 'y': 0}, 'goal': {'x': 54.2, 'y': 68.6}}",16,950,1750,shot,regular,
"{'name': 'Lazar Savović', 'slug': 'lazar-savovic', 'shortName': 'L. Savović', 'position': 'M', 'jerseyNumber': '22', 'userCount': 105, 'gender': 'M', 'id': 1606673, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار سافوفيتش'}, 'shortNameTranslation': {'ar': 'ل. سافوفيتش'}}}",True,save,regular,"{'x': 8, 'y': 67, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.5, 'z': 3.2}",0.06149,0.0525,6638097,73,,4339,"{'start': {'x': 67, 'y': 8}, 'end': {'x': 48.5, 'y': 0}, 'goal': {'x': 48.5, 'y': 96.8}}",18,1061,1639,shot,,
"{'name': 'Neđeljko Kovinić', 'firstName': '', 'lastName': '', 'slug': 'nedeljko-kovinic', 'shortName': 'N. Kovinić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 22, 'gender': 'M', 'id': 1130148, 'fieldTranslations': {'nameTranslation': {'ar': 'نيديلكو كوفينيتش'}, 'shortNameTranslation': {'ar': 'ن. كوفينيتش'}}}",False,miss,regular,"{'x': 11, 'y': 58, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 56.4, 'z': 18.6}",0.3587,,6638096,64,,3787,"{'start': {'x': 58, 'y': 11}, 'end': {'x': 43.6, 'y': 0}, 'goal': {'x': 43.6, 'y': 81.4}}",27,1613,1087,shot,,
"{'name': 'Neđeljko Kovinić', 'firstName': '', 'lastName': '', 'slug': 'nedeljko-kovinic', 'shortName': 'N. Kovinić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 22, 'gender': 'M', 'id': 1130148, 'fieldTranslations': {'nameTranslation': {'ar': 'نيديلكو كوفينيتش'}, 'shortNameTranslation': {'ar': 'ن. كوفينيتش'}}}",False,miss,regular,"{'x': 9, 'y': 41, 'z': 0}",head,close-right,"{'x': 0, 'y': 44.1, 'z': 36.9}",0.05607,,6638095,62,,3695,"{'start': {'x': 41, 'y': 9}, 'end': {'x': 55.9, 'y': 0}, 'goal': {'x': 55.9, 'y': 63.1}}",29,1705,995,shot,,
"{'name': 'Adnan Bašić', 'slug': 'adnan-basic', 'shortName': 'A. Bašić', 'position': 'F', 'jerseyNumber': '10', 'userCount': 6, 'gender': 'M', 'id': 791606, 'fieldTranslations': {'nameTranslation': {'ar': 'عدنان باشيتش'}, 'shortNameTranslation': {'ar': 'ع. باشيتش'}}}",False,save,regular,"{'x': 20, 'y': 40, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.4, 'z': 11.9}",0.04213,0.02784,6638094,57,,3384,"{'start': {'x': 40, 'y': 20}, 'end': {'x': 51.6, 'y': 0}, 'goal': {'x': 51.6, 'y': 88.1}}",34,2016,684,shot,,
"{'name': 'Momčilo Raspopović', 'slug': 'momcilo-raspopovic', 'shortName': 'M. Raspopović', 'position': 'D', 'jerseyNumber': '20', 'userCount': 41, 'gender': 'M', 'id': 138935, 'fieldTranslations': {'nameTranslation': {'ar': 'مومسيلو راسبوبوفيتش', 'hi': 'मोमचिलो रास्पोपोविक', 'bn': 'মোমচিলো রাস্পোপোভিচ'}, 'shortNameTranslation': {'ar': 'م. راسبوبوفيتش', 'hi': 'एम. रास्पोपोविक', 'bn': 'এম. রাস্পোপোভিচ'}}}",True,goal,regular,"{'x': 9, 'y': 40, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 46, 'z': 6.2}",0.111,0.6299,6638093,55,,3264,"{'start': {'x': 40, 'y': 9}, 'end': {'x': 54, 'y': 0}, 'goal': {'x': 54, 'y': 93.8}}",36,2136,564,shot,regular,
