player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,goalType,xgot
"{'name': 'Milan Vušurović', 'slug': 'milan-vusurovic', 'shortName': 'M. Vušurović', 'position': 'M', 'jerseyNumber': '17', 'userCount': 20, 'gender': 'M', 'id': 287757, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلان فوسوروفيتش', 'hi': 'मिलन वुसुरोविक', 'bn': 'মিলান ভুসুরোভিচ'}, 'shortNameTranslation': {'ar': 'م. فوسوروفيتش', 'hi': 'एम. वुसुरोविक', 'bn': 'এম. ভুসুরোভিচ'}}}",False,miss,regular,"{'x': 9, 'y': 32, 'z': 0}",right-foot,close-high,"{'x': 0, 'y': 50.5, 'z': 46.9}",0.06667,6554116,90,3.0,5573,"{'start': {'x': 32, 'y': 9}, 'end': {'x': 49.5, 'y': 0}, 'goal': {'x': 49.5, 'y': 53.1}}",1,727,173,shot,,,
"{'name': 'Marko Milickovic', 'slug': 'marko-milickovic', 'shortName': 'M. Milickovic', 'position': 'M', 'jerseyNumber': '10', 'userCount': 28, 'gender': 'M', 'id': 890615, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو ميليكوفيتش', 'hi': 'मार्को मिलिकोविच', 'bn': 'মার্কো মিলিকোভিচ'}, 'shortNameTranslation': {'ar': 'م. ميليكوفيتش', 'hi': 'एम. मिलिकोविच', 'bn': 'এম. মিলিকোভিচ'}}}",False,block,regular,"{'x': 21, 'y': 36, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.04174,6554115,88,,5232,"{'start': {'x': 36, 'y': 21}, 'block': {'x': 36, 'y': 21}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",3,168,2532,shot,"{'x': 21, 'y': 36, 'z': 0}",,
"{'name': 'Nemanja Pavićević', 'firstName': 'Nemanja', 'lastName': 'Pavićević', 'slug': 'nemanja-pavicevic', 'shortName': 'N. Pavićević', 'position': 'M', 'jerseyNumber': '17', 'userCount': 3, 'gender': 'M', 'id': 1978656, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانجا بافيتشيفيتش'}, 'shortNameTranslation': {'ar': 'ن. بافيتشيفيتش'}}}",True,post,regular,"{'x': 13, 'y': 68, 'z': 0}",left-foot,high,"{'x': 0, 'y': 55.5, 'z': 39.8}",0.06774,6554114,85,,5061,"{'start': {'x': 68, 'y': 13}, 'end': {'x': 44.5, 'y': 0}, 'goal': {'x': 44.5, 'y': 60.2}}",6,339,2361,shot,,,
"{'name': 'Sead Dacić', 'firstName': 'Sead', 'lastName': 'Dacić', 'slug': 'sead-dacic', 'shortName': 'S. Dacić', 'position': 'M', 'jerseyNumber': '19', 'userCount': 5, 'gender': 'M', 'id': 1391886, 'fieldTranslations': {'nameTranslation': {'ar': 'سيد داسيك'}, 'shortNameTranslation': {'ar': 'س. داسيك'}}}",True,miss,regular,"{'x': 29, 'y': 57, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 55.9, 'z': 3.4}",0.005801,6554113,77,,4589,"{'start': {'x': 57, 'y': 29}, 'end': {'x': 44.1, 'y': 0}, 'goal': {'x': 44.1, 'y': 96.6}}",14,811,1889,shot,,,
"{'name': 'Milan Vušurović', 'slug': 'milan-vusurovic', 'shortName': 'M. Vušurović', 'position': 'M', 'jerseyNumber': '17', 'userCount': 20, 'gender': 'M', 'id': 287757, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلان فوسوروفيتش', 'hi': 'मिलन वुसुरोविक', 'bn': 'মিলান ভুসুরোভিচ'}, 'shortNameTranslation': {'ar': 'م. فوسوروفيتش', 'hi': 'एम. वुसुरोविक', 'bn': 'এম. ভুসুরোভিচ'}}}",False,block,set-piece,"{'x': 14, 'y': 42, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.02483,6554112,76,,4534,"{'start': {'x': 42, 'y': 14}, 'block': {'x': 42, 'y': 14}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",15,866,1834,shot,"{'x': 14, 'y': 42, 'z': 0}",,
"{'name': 'Marko Milickovic', 'slug': 'marko-milickovic', 'shortName': 'M. Milickovic', 'position': 'M', 'jerseyNumber': '10', 'userCount': 28, 'gender': 'M', 'id': 890615, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو ميليكوفيتش', 'hi': 'मार्को मिलिकोविच', 'bn': 'মার্কো মিলিকোভিচ'}, 'shortNameTranslation': {'ar': 'م. ميليكوفيتش', 'hi': 'एम. मिलिकोविच', 'bn': 'এম. মিলিকোভিচ'}}}",False,block,regular,"{'x': 14, 'y': 64, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.1538,6554111,74,,4419,"{'start': {'x': 64, 'y': 14}, 'block': {'x': 64, 'y': 14}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",17,981,1719,shot,"{'x': 14, 'y': 64, 'z': 0}",,
"{'name': 'Lazar Savović', 'slug': 'lazar-savovic', 'shortName': 'L. Savović', 'position': 'M', 'jerseyNumber': '22', 'userCount': 105, 'gender': 'M', 'id': 1606673, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار سافوفيتش'}, 'shortNameTranslation': {'ar': 'ل. سافوفيتش'}}}",False,goal,regular,"{'x': 9, 'y': 34, 'z': 0}",left-foot,high-left,"{'x': 0, 'y': 53.3, 'z': 34.4}",0.1427,6554110,66,,3924,"{'start': {'x': 34, 'y': 9}, 'end': {'x': 46.7, 'y': 0}, 'goal': {'x': 46.7, 'y': 65.6}}",25,1476,1224,shot,,regular,0.4585
"{'name': 'Milan Vušurović', 'slug': 'milan-vusurovic', 'shortName': 'M. Vušurović', 'position': 'M', 'jerseyNumber': '17', 'userCount': 20, 'gender': 'M', 'id': 287757, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلان فوسوروفيتش', 'hi': 'मिलन वुसुरोविक', 'bn': 'মিলান ভুসুরোভিচ'}, 'shortNameTranslation': {'ar': 'م. فوسوروفيتش', 'hi': 'एम. वुसुरोविक', 'bn': 'এম. ভুসুরোভিচ'}}}",False,save,regular,"{'x': 6, 'y': 31, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 52.6, 'z': 7.7}",0.1335,6554109,64,,3837,"{'start': {'x': 31, 'y': 6}, 'end': {'x': 47.4, 'y': 0}, 'goal': {'x': 47.4, 'y': 92.3}}",27,1563,1137,shot,,,0.1681
"{'name': 'Andrej Cvijović', 'firstName': '', 'lastName': '', 'slug': 'andrej-cvijovic', 'shortName': 'A. Cvijović', 'position': 'D', 'jerseyNumber': '33', 'userCount': 4, 'gender': 'M', 'id': 1131050, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريه سفييوفيتش'}, 'shortNameTranslation': {'ar': 'أ. سفييوفيتش'}}}",True,miss,regular,"{'x': 32, 'y': 76, 'z': 0}",right-foot,close-right,"{'x': 0, 'y': 42.8, 'z': 21.1}",0.008542,6554108,60,,3578,"{'start': {'x': 76, 'y': 32}, 'end': {'x': 57.2, 'y': 0}, 'goal': {'x': 57.2, 'y': 78.9}}",31,1822,878,shot,,,
"{'name': 'Danilo Vukanić', 'slug': 'danilo-vukanic', 'shortName': 'D. Vukanić', 'position': 'M', 'jerseyNumber': '44', 'userCount': 48, 'gender': 'M', 'id': 1423515, 'fieldTranslations': {'nameTranslation': {'ar': 'دانييلو فوكانيتش'}, 'shortNameTranslation': {'ar': 'د. فوكانيتش'}}}",False,block,regular,"{'x': 19, 'y': 46, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.02993,6554107,50,,2962,"{'start': {'x': 46, 'y': 19}, 'block': {'x': 46, 'y': 19}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",41,2438,262,shot,"{'x': 19, 'y': 46, 'z': 0}",,
"{'name': 'Danis Kolić', 'firstName': 'Danis', 'lastName': 'Kolic', 'slug': 'danis-kolic', 'shortName': 'D. Kolić', 'position': 'M', 'jerseyNumber': '22', 'userCount': 8, 'gender': 'M', 'id': 1391891, 'fieldTranslations': {'nameTranslation': {'ar': 'دانيش كوليتش'}, 'shortNameTranslation': {'ar': 'د. كوليتش'}}}",True,miss,regular,"{'x': 24, 'y': 48, 'z': 0}",right-foot,close-high,"{'x': 0, 'y': 49.9, 'z': 56.6}",0.07164,6554106,47,,2814,"{'start': {'x': 48, 'y': 24}, 'end': {'x': 50.1, 'y': 0}, 'goal': {'x': 50.1, 'y': 43.4}}",44,2586,114,shot,,,
