match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,shotOffTarget,interceptionWon,blockedScoringAttempt,keyPass,savedShotsFromInsideTheBox
14147371,home,7581,FK Bokelj Kotor,927881,Stefan Spasojević,stefan-spasojevic,G,88,False,6.0,5.0,5.0,4.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,90.0,7.0,7.1,1.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,83.33333333333334,80.0,,,0.0,,,,,,
14147371,home,7581,FK Bokelj Kotor,813112,Luka Maraš,luka-maras,D,11,False,16.0,12.0,4.0,1.0,0.0,5.0,7.0,6.0,8.0,0.0,0.0,0.0,0.0,11.0,3.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,68.0,26.0,6.6,8.0,0.04,0.0,"{'original': 6.6, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,0,14,3,11,75.0,25.0,,33.33333333333333,,1.0,2.0,2.0,,,
14147371,home,7581,FK Bokelj Kotor,1103876,Drago Bumbar,drago-bumbar,D,15,False,36.0,20.0,14.0,5.0,0.0,10.0,16.0,8.0,18.0,1.0,0.0,1.0,2.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,22.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,,,,,,90.0,48.0,7.5,18.0,0.0,0.0,"{'original': 7.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,2,7,55.55555555555556,35.714285714285715,0.0,,,1.0,,4.0,,,
14147371,home,7581,FK Bokelj Kotor,94246,Igor Ćuković,igor-cukovic,D,26,False,21.0,16.0,7.0,5.0,0.0,8.0,11.0,5.0,7.0,0.0,0.0,1.0,6.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,90.0,27.0,7.7,6.0,0.0,0.0,"{'original': 7.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,7,5,3,2,76.19047619047619,71.42857142857143,,,,,,2.0,,,
14147371,home,7581,FK Bokelj Kotor,314142,Stefan Vico,stefan-vico,D,22,False,28.0,21.0,8.0,4.0,0.0,9.0,11.0,10.0,15.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,1.0,1.0,0.0,0.0,5.0,0.0,16.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,,,,,,90.0,37.0,7.5,9.0,0.0,0.0,"{'original': 7.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,3,3,75.0,50.0,100.0,100.0,,,,3.0,,,
14147371,home,7581,FK Bokelj Kotor,909420,Marko Čavor,marko-cavor,D,29,False,27.0,14.0,6.0,2.0,0.0,8.0,11.0,6.0,13.0,2.0,0.0,2.0,1.0,11.0,6.0,2.0,2.0,2.0,1.0,0.0,2.0,0.0,11.0,5.0,3.0,0.0,0.0,0.0,3.0,2.0,0.0,,,,,,80.0,39.0,7.4,15.0,0.03,0.0,"{'original': 7.4, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,3,14,5,9,51.85185185185185,33.33333333333333,0.0,100.0,,,,1.0,1.0,,
14147371,home,7581,FK Bokelj Kotor,1381377,Kristijan Radunović,kristijan-radunovic,M,14,False,24.0,14.0,3.0,1.0,0.0,6.0,6.0,7.0,16.0,5.0,2.0,1.0,2.0,9.0,4.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,,,,,,90.0,32.0,6.7,9.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,3,10,2,8,58.333333333333336,33.33333333333333,40.0,100.0,,,,2.0,,,
14147371,home,7581,FK Bokelj Kotor,1063210,Fatih Muković,fatih-mukovic,M,8,False,17.0,10.0,7.0,1.0,0.0,7.0,8.0,2.0,8.0,0.0,0.0,1.0,2.0,14.0,4.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,5.0,2.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,,,,,,90.0,24.0,6.2,9.0,0.0,0.0,"{'original': 6.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,3,15,2,13,58.82352941176471,14.285714285714285,,0.0,,,,1.0,,,
14147371,home,7581,FK Bokelj Kotor,1031066,Vitinho,vitinho,M,77,False,19.0,14.0,1.0,0.0,0.0,4.0,7.0,9.0,11.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,4.0,4.0,1.0,1.0,0.0,0.0,14.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,,,,,,57.0,36.0,8.0,10.0,0.02,0.06,"{'original': 8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,0,15,8,7,73.68421052631578,0.0,,100.0,,,,1.0,,2.0,
14147371,home,7581,FK Bokelj Kotor,227396,Šaleta Kordić,saleta-kordic,F,9,False,13.0,7.0,4.0,2.0,0.0,1.0,1.0,6.0,12.0,0.0,0.0,3.0,6.0,10.0,9.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,,,,,,57.0,21.0,6.6,15.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,9,10,3,7,53.84615384615385,50.0,,0.0,,,,,,,
