player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,xgot,goalType
"{'name': 'Andrej Pupović', 'slug': 'andrej-pupovic', 'shortName': 'A. Pupović', 'position': 'D', 'jerseyNumber': '91', 'userCount': 5, 'gender': 'M', 'id': 1000577, 'fieldTranslations': {'nameTranslation': {'ar': 'أندري بوبوفيتش'}, 'shortNameTranslation': {'ar': 'أ. بوبوفيتش'}}}",True,miss,regular,"{'x': 17, 'y': 34, 'z': 0}",left-foot,close-high-right,"{'x': 0, 'y': 42.5, 'z': 40.4}",0.005669,6574066,90,1.0,5459,"{'start': {'x': 34, 'y': 17}, 'end': {'x': 57.5, 'y': 0}, 'goal': {'x': 57.5, 'y': 59.6}}",1,841,59,shot,,,
"{'name': 'Takeru Komiya', 'firstName': '', 'lastName': '', 'slug': 'takeru-komiya', 'shortName': 'T. Komiya', 'position': 'F', 'userCount': 25, 'gender': 'M', 'id': 1391884, 'fieldTranslations': {'nameTranslation': {'ar': 'تاكيرو كومييا'}, 'shortNameTranslation': {'ar': 'ت. كومييا'}}}",False,miss,set-piece,"{'x': 6, 'y': 25, 'z': 0}",left-foot,close-left,"{'x': 0, 'y': 57.1, 'z': 9.6}",0.07435,6574065,90,1.0,5402,"{'start': {'x': 25, 'y': 6}, 'end': {'x': 42.9, 'y': 0}, 'goal': {'x': 42.9, 'y': 90.4}}",1,898,2,shot,,,
"{'name': 'Mirza Idrizović', 'firstName': '', 'lastName': '', 'slug': 'mirza-idrizovic', 'shortName': 'M. Idrizović', 'position': 'M', 'jerseyNumber': '10', 'userCount': 4, 'gender': 'M', 'id': 874418, 'fieldTranslations': {'nameTranslation': {'ar': 'ميرزا إدريزوفيتش'}, 'shortNameTranslation': {'ar': 'م. إدريزوفيتش'}}}",False,block,free-kick,"{'x': 30, 'y': 27, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.03119,6574067,90,,5399,"{'start': {'x': 27, 'y': 30}, 'block': {'x': 27, 'y': 30}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",1,1,2699,shot,"{'x': 30, 'y': 27, 'z': 0}",,
"{'name': 'Viktor Živojinović', 'slug': 'viktor-zivojinovic', 'shortName': 'V. Živojinović', 'position': 'M', 'userCount': 35, 'gender': 'M', 'id': 989177, 'fieldTranslations': {'nameTranslation': {'ar': 'فيكتور زيفوجينوفيتش'}, 'shortNameTranslation': {'ar': 'ف. زيفوجينوفيتش'}}}",True,miss,regular,"{'x': 20, 'y': 29, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 56.5, 'z': 20.5}",0.04834,6574064,87,,5213,"{'start': {'x': 29, 'y': 20}, 'end': {'x': 43.5, 'y': 0}, 'goal': {'x': 43.5, 'y': 79.5}}",4,187,2513,shot,,,
"{'name': 'Mirza Idrizović', 'firstName': '', 'lastName': '', 'slug': 'mirza-idrizovic', 'shortName': 'M. Idrizović', 'position': 'M', 'jerseyNumber': '10', 'userCount': 4, 'gender': 'M', 'id': 874418, 'fieldTranslations': {'nameTranslation': {'ar': 'ميرزا إدريزوفيتش'}, 'shortNameTranslation': {'ar': 'م. إدريزوفيتش'}}}",False,save,regular,"{'x': 19, 'y': 61, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.9, 'z': 11.8}",0.08359,6574063,86,,5126,"{'start': {'x': 61, 'y': 19}, 'end': {'x': 50.1, 'y': 0}, 'goal': {'x': 50.1, 'y': 88.2}}",5,274,2426,shot,,0.1409,
"{'name': 'Vladan Kordić', 'firstName': '', 'lastName': '', 'slug': 'vladan-kordic', 'shortName': 'V. Kordić', 'position': 'F', 'jerseyNumber': '98', 'userCount': 8, 'gender': 'M', 'id': 959868, 'fieldTranslations': {'nameTranslation': {'ar': 'فلادان كوردتش'}, 'shortNameTranslation': {'ar': 'ف. كوردتش'}}}",True,miss,regular,"{'x': 46, 'y': 55, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 55.9, 'z': 1.9}",0.006501,6574062,84,,5003,"{'start': {'x': 55, 'y': 46}, 'end': {'x': 44.1, 'y': 0}, 'goal': {'x': 44.1, 'y': 98.1}}",7,397,2303,shot,,,
"{'name': 'Dragan Miranović', 'firstName': 'Dragan', 'lastName': 'Miranović', 'slug': 'dragan-miranovic', 'shortName': 'D. Miranović', 'position': 'M', 'jerseyNumber': '22', 'userCount': 27, 'gender': 'M', 'id': 1149279, 'fieldTranslations': {'nameTranslation': {'ar': 'دراغان ميرانوفيتش'}, 'shortNameTranslation': {'ar': 'د. ميرانوفيتش'}}}",True,save,regular,"{'x': 17, 'y': 47, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.8, 'z': 0.4}",0.1677,6574061,75,,4457,"{'start': {'x': 47, 'y': 17}, 'end': {'x': 51.2, 'y': 0}, 'goal': {'x': 51.2, 'y': 99.6}}",16,943,1757,shot,,0.09921,
"{'name': 'Takeru Komiya', 'firstName': '', 'lastName': '', 'slug': 'takeru-komiya', 'shortName': 'T. Komiya', 'position': 'F', 'userCount': 25, 'gender': 'M', 'id': 1391884, 'fieldTranslations': {'nameTranslation': {'ar': 'تاكيرو كومييا'}, 'shortNameTranslation': {'ar': 'ت. كومييا'}}}",False,miss,regular,"{'x': 9, 'y': 26, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 57, 'z': 13.6}",0.02577,6574060,74,,4398,"{'start': {'x': 26, 'y': 9}, 'end': {'x': 43, 'y': 0}, 'goal': {'x': 43, 'y': 86.4}}",17,1002,1698,shot,,,
"{'name': 'Nemanja Carević', 'firstName': 'Nemanja Carevic', 'lastName': '', 'slug': 'nemanja-carevic', 'shortName': 'N. Carević', 'position': 'M', 'jerseyNumber': '21', 'userCount': 8, 'gender': 'M', 'id': 1381384, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانجا كاريتش'}, 'shortNameTranslation': {'ar': 'ن. كاريتش'}}}",True,goal,regular,"{'x': 13, 'y': 60, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 54.4, 'z': 10.5}",0.2177,6574059,68,,4045,"{'start': {'x': 60, 'y': 13}, 'end': {'x': 45.6, 'y': 0}, 'goal': {'x': 45.6, 'y': 89.5}}",23,1355,1345,shot,,0.6804,regular
"{'name': 'Takeru Komiya', 'firstName': '', 'lastName': '', 'slug': 'takeru-komiya', 'shortName': 'T. Komiya', 'position': 'F', 'userCount': 25, 'gender': 'M', 'id': 1391884, 'fieldTranslations': {'nameTranslation': {'ar': 'تاكيرو كومييا'}, 'shortNameTranslation': {'ar': 'ت. كومييا'}}}",False,block,regular,"{'x': 28, 'y': 50, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.0165,6574058,63,,3754,"{'start': {'x': 50, 'y': 28}, 'block': {'x': 50, 'y': 28}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",28,1646,1054,shot,"{'x': 28, 'y': 50, 'z': 0}",,
