match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,shotOffTarget,blockedScoringAttempt,interceptionWon,hitWoodwork,keyPass,penaltyWon,bigChanceMissed,penaltyMiss,savedShotsFromInsideTheBox,penaltyConceded
14147379,home,36019,FK Mornar Bar,187341,Stefan Popović,stefan-popovic,G,12,False,41.0,34.0,17.0,11.0,0.0,30.0,33.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,90.0,45.0,6.4,5.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,82.92682926829268,64.70588235294117,,,0.0,,,,,,,,,,,
14147379,home,405944,FK Mornar Bar,839270,Luka Malešević,luka-malesevic,D,6,False,25.0,21.0,0.0,0.0,0.0,9.0,13.0,11.0,11.0,2.0,1.0,1.0,4.0,10.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,11.0,2.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,,,,,,46.0,35.0,6.4,11.0,0.03,0.0,"{'original': 6.4, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,5,11,2,9,84.0,,50.0,0.0,,1.0,1.0,1.0,2.0,,,,,,,
14147379,home,36019,FK Mornar Bar,1392904,Velimir Ljutica,velimir-ljutica,D,32,False,56.0,49.0,12.0,6.0,0.0,37.0,38.0,11.0,17.0,0.0,0.0,1.0,2.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,6.0,1.0,11.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,,,,,,90.0,65.0,6.7,8.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,3,9,4,5,87.5,50.0,,,,,,,3.0,,,,,,,
14147379,home,36019,FK Mornar Bar,286837,Ilija Martinović,ilija-martinovic,D,25,False,50.0,41.0,3.0,0.0,0.0,32.0,34.0,8.0,15.0,0.0,0.0,0.0,1.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,90.0,58.0,6.8,10.0,0.06,0.0,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,2,6,82.0,0.0,,,,,1.0,,3.0,1.0,,,,,,
14147379,home,36019,FK Mornar Bar,171431,Nikola Stijepović,nikola-stijepovic,D,33,False,33.0,26.0,9.0,4.0,0.0,13.0,15.0,10.0,15.0,1.0,1.0,2.0,0.0,7.0,5.0,1.0,1.0,1.0,1.0,0.0,5.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,90.0,41.0,7.0,10.0,0.07,0.0,"{'original': 7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,5,5,78.78787878787878,44.44444444444444,100.0,100.0,,,,,2.0,,1.0,,,,,
14147379,home,36019,FK Mornar Bar,94261,Andrija Kaluđerović,andrija-kaluderovic,M,4,False,35.0,32.0,8.0,7.0,0.0,19.0,21.0,13.0,14.0,0.0,0.0,0.0,2.0,10.0,9.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,90.0,41.0,7.0,5.0,0.0,0.0,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,2,17,7,10,91.42857142857143,87.5,,,,,,,2.0,,,,,,,
14147379,home,36019,FK Mornar Bar,843005,Marko Đurišić,marko-durisic,M,8,False,45.0,37.0,2.0,2.0,0.0,20.0,22.0,16.0,22.0,1.0,0.0,0.0,0.0,8.0,3.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,90.0,54.0,7.7,9.0,0.2,0.1,"{'original': 7.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,0,11,3,8,82.22222222222221,100.0,0.0,0.0,,,,,2.0,,3.0,,,,,
14147379,home,36019,FK Mornar Bar,894450,Yann Michael Yao,yann-michael-yao,M,11,False,31.0,23.0,1.0,1.0,0.0,8.0,11.0,15.0,20.0,1.0,0.0,1.0,2.0,6.0,7.0,1.0,4.0,3.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,,,,,,87.0,44.0,7.7,10.0,0.49,0.0,"{'original': 7.7, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,3,10,5,5,74.19354838709677,100.0,0.0,75.0,,,2.0,,1.0,,,,,,,
14147379,home,36019,FK Mornar Bar,1484678,Vukas Dragović,vukas-dragovic,M,99,False,30.0,27.0,0.0,0.0,0.0,8.0,9.0,18.0,20.0,0.0,0.0,1.0,1.0,8.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,,,,,,85.0,42.0,7.1,10.0,0.0,0.09,"{'original': 7.1, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,3,7,90.0,,,,,1.0,,1.0,,,2.0,1.0,,,,
14147379,home,36019,FK Mornar Bar,95583,Stefan Denković,stefan-denkovic,M,7,False,27.0,19.0,0.0,0.0,0.0,10.0,12.0,8.0,14.0,1.0,0.0,0.0,0.0,3.0,7.0,0.0,7.0,6.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,72.0,49.0,7.3,11.0,0.47,0.0,"{'original': 7.3, 'alternative': None}",4.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,7,3,70.37037037037037,,0.0,85.71428571428571,,,2.0,1.0,1.0,,,,1.0,,,
