match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,shotOffTarget,interceptionWon,keyPass,blockedScoringAttempt,dispossessed,bigChanceCreated,bigChanceMissed
14147381,home,5143,FK Budućnost Podgorica,55655,Milan Mijatović,milan-mijatovic,G,1,False,16.0,15.0,1.0,0.0,0.0,15.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,90.0,22.0,6.7,2.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,93.75,0.0,,,,,,,,,,,
14147381,home,5143,FK Budućnost Podgorica,138935,Momčilo Raspopović,momcilo-raspopovic,D,20,False,66.0,54.0,10.0,6.0,0.0,18.0,21.0,42.0,5.0,3.0,2.0,7.0,10.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0,,,,,,,90.0,77.0,7.6,18.0,0.11,0.07,"{'original': 7.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,9,11,3,8,81.81818181818183,60.0,60.0,,,33.0,1.0,3.0,1.0,,,,
14147381,home,5143,FK Budućnost Podgorica,1030472,Miomir Đuričković,miomir-durickovic,D,4,False,77.0,71.0,10.0,7.0,0.0,36.0,38.0,37.0,1.0,1.0,2.0,5.0,5.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,,90.0,102.0,7.3,11.0,0.04,0.15,"{'original': 7.3, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,7,4,1,3,92.20779220779221,70.0,100.0,,,33.0,,2.0,1.0,1.0,,,
14147381,home,5143,FK Budućnost Podgorica,1085082,Damjan Dakić,damjan-dakic,D,35,False,91.0,84.0,9.0,5.0,0.0,51.0,53.0,36.0,1.0,0.0,0.0,2.0,6.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,19.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,,,,,,,90.0,117.0,7.2,9.0,0.0,0.0,"{'original': 7.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,2,12,6,6,92.3076923076923,55.55555555555556,0.0,,,31.0,,3.0,,,,,
14147381,home,5143,FK Budućnost Podgorica,792102,Ilya Serikov,ilya-serikov,D,5,False,58.0,49.0,2.0,2.0,0.0,23.0,23.0,34.0,1.0,0.0,2.0,1.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,,90.0,75.0,6.7,12.0,0.15,0.0,"{'original': 6.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,1,6,84.48275862068965,100.0,0.0,,,25.0,1.0,2.0,1.0,,,,
14147381,home,5143,FK Budućnost Podgorica,2081029,Matija Rakcevic,matija-rakcevic,M,14,False,60.0,52.0,4.0,0.0,0.0,21.0,22.0,37.0,1.0,1.0,0.0,0.0,6.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,90.0,78.0,6.8,8.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,0,9,3,6,86.66666666666667,0.0,100.0,100.0,,30.0,,,,,,,
14147381,home,5143,FK Budućnost Podgorica,1423515,Danilo Vukanić,danilo-vukanic,M,44,False,39.0,30.0,2.0,1.0,0.0,7.0,7.0,32.0,4.0,1.0,1.0,1.0,3.0,7.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,90.0,52.0,7.2,7.0,0.0,0.03,"{'original': 7.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,6,2,76.92307692307693,50.0,25.0,100.0,,23.0,,,2.0,,,,
14147381,home,5143,FK Budućnost Podgorica,1016595,Ivan Bojović,ivan-bojovic,M,77,False,31.0,20.0,3.0,1.0,0.0,3.0,5.0,25.0,8.0,2.0,2.0,0.0,9.0,6.0,0.0,6.0,4.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,79.0,48.0,6.9,17.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,2,13,6,7,64.51612903225806,33.33333333333333,25.0,66.66666666666666,,17.0,,,,,1.0,,
14147381,home,5143,FK Budućnost Podgorica,890615,Marko Milickovic,marko-milickovic,M,10,False,25.0,21.0,2.0,1.0,0.0,6.0,7.0,17.0,1.0,0.0,0.0,1.0,8.0,6.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,12.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,,,,,,,79.0,42.0,7.4,10.0,0.36,0.22,"{'original': 7.4, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,1,13,5,8,84.0,50.0,0.0,100.0,,14.0,1.0,1.0,3.0,2.0,1.0,,
14147381,home,5143,FK Budućnost Podgorica,287757,Milan Vušurović,milan-vusurovic,M,17,False,27.0,19.0,4.0,1.0,0.0,4.0,4.0,23.0,1.0,0.0,0.0,1.0,3.0,5.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,65.0,39.0,7.4,7.0,0.18,0.07,"{'original': 7.4, 'alternative': None}",4.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,4,3,70.37037037037037,25.0,0.0,100.0,,15.0,2.0,,1.0,1.0,,,
