player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,xgot,goalType,blockCoordinates
"{'name': 'Zarija Mugoša', 'slug': 'zarija-mugosa', 'shortName': 'Z. Mugoša', 'position': 'D', 'jerseyNumber': '16', 'userCount': 6, 'gender': 'M', 'id': 1606668, 'fieldTranslations': {'nameTranslation': {'ar': 'زاريا موغوشا'}, 'shortNameTranslation': {'ar': 'ز. موغوشا'}}}",True,miss,regular,"{'x': 25, 'y': 61, 'z': 0}",right-foot,close-high,"{'x': 0, 'y': 55.7, 'z': 44}",0.03668,6543661,82,4888,"{'start': {'x': 61, 'y': 25}, 'end': {'x': 44.3, 'y': 0}, 'goal': {'x': 44.3, 'y': 56}}",9,512,2188,shot,,,
"{'name': 'Nikola Braunović', 'firstName': '', 'lastName': '', 'slug': 'nikola-braunovic', 'shortName': 'N. Braunović', 'position': 'M', 'jerseyNumber': '29', 'userCount': 5, 'gender': 'M', 'id': 1466922, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا براونوفيتش'}, 'shortNameTranslation': {'ar': 'ن. براونوفيتش'}}}",False,miss,free-kick,"{'x': 19, 'y': 22, 'z': 0}",right-foot,close-high,"{'x': 0, 'y': 47.6, 'z': 43.5}",0.0005704,6543664,80,4774,"{'start': {'x': 22, 'y': 19}, 'end': {'x': 52.4, 'y': 0}, 'goal': {'x': 52.4, 'y': 56.5}}",11,626,2074,shot,,,
"{'name': 'Stefan Golubović', 'firstName': '', 'lastName': '', 'slug': 'stefan-golubovic', 'shortName': 'S. Golubović', 'position': 'F', 'jerseyNumber': '21', 'userCount': 7, 'gender': 'M', 'id': 1185131, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان غولوبوفيتش'}, 'shortNameTranslation': {'ar': 'س. غولوبوفيتش'}}}",True,save,regular,"{'x': 11, 'y': 40, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 52.1, 'z': 9}",0.214,6543660,76,4513,"{'start': {'x': 40, 'y': 11}, 'end': {'x': 47.9, 'y': 0}, 'goal': {'x': 47.9, 'y': 91}}",15,887,1813,shot,0.4436,,
"{'name': 'Jonathan Dresaj', 'firstName': '', 'lastName': '', 'slug': 'jonathan-dresaj', 'shortName': 'J. Dresaj', 'position': 'D', 'jerseyNumber': '22', 'userCount': 12, 'gender': 'M', 'id': 958574, 'fieldTranslations': {'nameTranslation': {'ar': 'جوناثان دريسا', 'hi': 'जोनाथन ड्रेज़ाज', 'bn': 'জোনাথন ড্রেসেজ'}, 'shortNameTranslation': {'ar': 'ج. دريسا', 'hi': 'जे. ड्रेजाज', 'bn': 'জে. ড্রেসাজ'}}}",False,save,regular,"{'x': 12, 'y': 66, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.8, 'z': 7.3}",0.08677,6543659,73,4357,"{'start': {'x': 66, 'y': 12}, 'end': {'x': 49.2, 'y': 0}, 'goal': {'x': 49.2, 'y': 92.7}}",18,1043,1657,shot,0.2104,,
"{'name': 'Igor Ćuković', 'slug': 'igor-cukovic', 'shortName': 'I. Ćuković', 'position': 'D', 'jerseyNumber': '26', 'userCount': 2, 'gender': 'M', 'id': 94246, 'fieldTranslations': {'nameTranslation': {'ar': 'إيغور تشوكوفيتش', 'hi': 'इगोर क्यूकोविच', 'bn': 'ইগর চুকোভিচ'}, 'shortNameTranslation': {'ar': 'إ. تشوكوفيتش', 'hi': 'आई. क्यूकोविच', 'bn': 'আই. চুকোভিচ'}}}",True,post,regular,"{'x': 28, 'y': 57, 'z': 0}",right-foot,high,"{'x': 0, 'y': 44.3, 'z': 41.5}",0.04008,6543658,63,3741,"{'start': {'x': 57, 'y': 28}, 'end': {'x': 55.7, 'y': 0}, 'goal': {'x': 55.7, 'y': 58.5}}",28,1659,1041,shot,,,
"{'name': 'Fatih Muković', 'firstName': '', 'lastName': '', 'slug': 'fatih-mukovic', 'shortName': 'F. Muković', 'position': 'M', 'jerseyNumber': '8', 'userCount': 8, 'gender': 'M', 'id': 1063210, 'fieldTranslations': {'nameTranslation': {'ar': 'فاتح موكوفيتش'}, 'shortNameTranslation': {'ar': 'ف. موكوفيتش'}}}",True,goal,penalty,"{'x': 10, 'y': 50, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53.5, 'z': 8.3}",0.76,6543662,56,3348,"{'start': {'x': 50, 'y': 10}, 'end': {'x': 46.5, 'y': 0}, 'goal': {'x': 46.5, 'y': 91.7}}",35,2052,648,shot,0.81,penalty,
"{'name': 'Balša Radusinović', 'firstName': '', 'lastName': '', 'slug': 'balsa-radusinovic', 'shortName': 'B. Radusinović', 'position': 'F', 'jerseyNumber': '32', 'userCount': 9, 'gender': 'M', 'id': 1131064, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا رادوسينوفيتش'}, 'shortNameTranslation': {'ar': 'ب. رادوسينوفيتش'}}}",False,miss,regular,"{'x': 11, 'y': 62, 'z': 0}",left-foot,close-high-right,"{'x': 0, 'y': 43.4, 'z': 45.3}",0.1516,6543657,54,3227,"{'start': {'x': 62, 'y': 11}, 'end': {'x': 56.6, 'y': 0}, 'goal': {'x': 56.6, 'y': 54.7}}",37,2173,527,shot,,,
"{'name': 'Zarija Mugoša', 'slug': 'zarija-mugosa', 'shortName': 'Z. Mugoša', 'position': 'D', 'jerseyNumber': '16', 'userCount': 6, 'gender': 'M', 'id': 1606668, 'fieldTranslations': {'nameTranslation': {'ar': 'زاريا موغوشا'}, 'shortNameTranslation': {'ar': 'ز. موغوشا'}}}",True,block,corner,"{'x': 5, 'y': 58, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.5728,6543656,54,3202,"{'start': {'x': 58, 'y': 5}, 'block': {'x': 58, 'y': 5}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",37,2198,502,shot,,,"{'x': 5, 'y': 58, 'z': 0}"
"{'name': 'Marko Čavor', 'firstName': '', 'lastName': '', 'slug': 'marko-cavor', 'shortName': 'M. Čavor', 'position': 'D', 'jerseyNumber': '29', 'userCount': 7, 'gender': 'M', 'id': 909420, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو تشافور'}, 'shortNameTranslation': {'ar': 'م. تشافور'}}}",True,save,corner,"{'x': 19, 'y': 15, 'z': 0}",left-foot,high-centre,"{'x': 0, 'y': 51.7, 'z': 23.5}",0.01484,6543655,54,3198,"{'start': {'x': 15, 'y': 19}, 'end': {'x': 48.3, 'y': 0}, 'goal': {'x': 48.3, 'y': 76.5}}",37,2202,498,shot,0.01662,,
"{'name': 'Marko Čavor', 'firstName': '', 'lastName': '', 'slug': 'marko-cavor', 'shortName': 'M. Čavor', 'position': 'D', 'jerseyNumber': '29', 'userCount': 7, 'gender': 'M', 'id': 909420, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو تشافور'}, 'shortNameTranslation': {'ar': 'م. تشافور'}}}",True,block,corner,"{'x': 26, 'y': 22, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.003244,6543654,53,3171,"{'start': {'x': 22, 'y': 26}, 'block': {'x': 22, 'y': 26}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",38,2229,471,shot,,,"{'x': 26, 'y': 22, 'z': 0}"
