match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,interceptionWon,dispossessed,keyPass,blockedScoringAttempt,shotOffTarget,savedShotsFromInsideTheBox
14147384,home,6224,FK Sutjeska Nikšić,57363,Vladan Giljen,vladan-giljen,G,1,False,25.0,16.0,15.0,6.0,0.0,11.0,12.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,90.0,31.0,6.7,9.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,64.0,40.0,,,0.0,,,,,,
14147384,home,6224,FK Sutjeska Nikšić,1030493,Aleksa Golubović,aleksa-golubovic,D,2,False,31.0,19.0,3.0,0.0,0.0,7.0,15.0,11.0,15.0,2.0,0.0,0.0,2.0,5.0,6.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,90.0,47.0,7.1,12.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,4,5,61.29032258064516,0.0,0.0,100.0,,3.0,,,,,
14147384,home,6224,FK Sutjeska Nikšić,1063207,Radoš Dedić,rados-dedic,D,6,False,52.0,38.0,13.0,3.0,0.0,28.0,32.0,9.0,19.0,0.0,0.0,2.0,3.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,2.0,1.0,0.0,0.0,2.0,2.0,4.0,0.0,,,,,,90.0,64.0,7.0,16.0,0.0,0.0,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,5,9,5,4,73.07692307692307,23.076923076923077,,,,1.0,,,,,
14147384,home,6224,FK Sutjeska Nikšić,1030470,Marko Đukanović,marko-dukanovic,D,25,False,64.0,55.0,5.0,0.0,0.0,39.0,42.0,16.0,21.0,0.0,0.0,1.0,3.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,65.0,76.0,7.5,10.0,0.08,0.0,"{'original': 7.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,4,3,1,2,85.9375,0.0,,,,,1.0,,,,
14147384,home,6224,FK Sutjeska Nikšić,1000770,Andrija Ražnatović,andrija-raznatovic,D,22,False,42.0,31.0,3.0,0.0,0.0,19.0,21.0,11.0,20.0,3.0,2.0,0.0,1.0,14.0,6.0,2.0,2.0,2.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,,,,,,90.0,56.0,7.1,16.0,0.05,0.09,"{'original': 7.1, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,1,19,5,14,73.80952380952381,0.0,66.66666666666666,100.0,,,2.0,2.0,,,
14147384,home,5160,FK Sutjeska Nikšić,795912,Aleksandar Desančić,aleksandar-desancic,M,3,False,41.0,36.0,3.0,2.0,0.0,17.0,19.0,19.0,22.0,0.0,0.0,2.0,1.0,9.0,8.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,,,,,,72.0,58.0,7.0,11.0,0.0,0.0,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,3,14,7,7,87.8048780487805,66.66666666666666,,50.0,,1.0,,,,,
14147384,home,6224,FK Sutjeska Nikšić,836566,Aleksandar Šćekić,aleksandar-scekic,M,55,False,45.0,39.0,7.0,3.0,0.0,25.0,26.0,13.0,18.0,0.0,0.0,1.0,2.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,90.0,54.0,7.1,7.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,3,6,1,5,86.66666666666667,42.857142857142854,,,,4.0,,,,,
14147384,home,6224,FK Sutjeska Nikšić,1381358,Petar Aničić,petar-anicic,M,9,False,27.0,22.0,1.0,0.0,0.0,13.0,16.0,9.0,11.0,2.0,0.0,0.0,0.0,5.0,5.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,,,,,,65.0,40.0,6.8,2.0,0.02,0.0,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,5,5,81.48148148148148,0.0,0.0,100.0,,,,,1.0,,
14147384,home,6224,FK Sutjeska Nikšić,1896811,Medo Juković,medo-jukovic,M,88,False,25.0,16.0,2.0,0.0,0.0,7.0,7.0,9.0,18.0,1.0,0.0,0.0,1.0,17.0,9.0,1.0,5.0,4.0,1.0,1.0,0.0,0.0,9.0,2.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,,,,,,90.0,51.0,7.5,12.0,0.12,0.0,"{'original': 7.5, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",26,1,25,8,17,64.0,0.0,0.0,80.0,,1.0,2.0,,,1.0,
14147384,home,6224,FK Sutjeska Nikšić,172957,Vasko Kalezić,vasko-kalezic,M,70,False,24.0,19.0,4.0,3.0,0.0,5.0,6.0,13.0,17.0,1.0,0.0,0.0,0.0,5.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,65.0,39.0,7.8,8.0,0.08,0.32,"{'original': 7.8, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,0,8,3,5,79.16666666666666,75.0,0.0,50.0,,1.0,,3.0,1.0,1.0,
