player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,xg,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,xgot,goalType
"{'name': 'Marko Milickovic', 'slug': 'marko-milickovic', 'shortName': 'M. Milickovic', 'position': 'M', 'jerseyNumber': '10', 'userCount': 28, 'gender': 'M', 'id': 890615, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو ميليكوفيتش', 'hi': 'मार्को मिलिकोविच', 'bn': 'মার্কো মিলিকোভিচ'}, 'shortNameTranslation': {'ar': 'م. ميليكوفيتش', 'hi': 'एम. मिलिकोविच', 'bn': 'এম. মিলিকোভিচ'}}}",False,block,throw-in-set-piece,"{'x': 30, 'y': 46, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 30, 'y': 46, 'z': 0}",0.0005656,6528866,90,3.0,5523,"{'start': {'x': 46, 'y': 30}, 'block': {'x': 46, 'y': 30}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",1,777,123,shot,,
"{'name': 'Nemanja Carević', 'firstName': 'Nemanja Carevic', 'lastName': '', 'slug': 'nemanja-carevic', 'shortName': 'N. Carević', 'position': 'M', 'jerseyNumber': '21', 'userCount': 8, 'gender': 'M', 'id': 1381384, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانجا كاريتش'}, 'shortNameTranslation': {'ar': 'ن. كاريتش'}}}",True,miss,corner,"{'x': 10, 'y': 34, 'z': 0}",head,close-high-left,"{'x': 0, 'y': 56.9, 'z': 52}",,0.03015,6528865,80,,4756,"{'start': {'x': 34, 'y': 10}, 'end': {'x': 43.1, 'y': 0}, 'goal': {'x': 43.1, 'y': 48}}",11,644,2056,shot,,
"{'name': 'Stefan Fićović', 'slug': 'stefan-ficovic', 'shortName': 'S. Fićović', 'position': 'M', 'jerseyNumber': '18', 'userCount': 9, 'gender': 'M', 'id': 889063, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان فيتشوفيتش'}, 'shortNameTranslation': {'ar': 'س. فيتشوفيتش'}}}",True,block,regular,"{'x': 24, 'y': 62, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 24, 'y': 62, 'z': 0}",0.005567,6528864,79,,4713,"{'start': {'x': 62, 'y': 24}, 'block': {'x': 62, 'y': 24}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",12,687,2013,shot,,
"{'name': 'Andrej Camaj', 'slug': 'camaj-andrej', 'shortName': 'A. Camaj', 'position': 'F', 'jerseyNumber': '24', 'userCount': 32, 'gender': 'M', 'id': 1423503, 'fieldTranslations': {'nameTranslation': {'ar': 'كاما، أندريه'}, 'shortNameTranslation': {'ar': 'أ. كاما'}}}",False,save,free-kick,"{'x': 23, 'y': 68, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 51.2, 'z': 1.4}",,0.09411,6528867,68,,4042,"{'start': {'x': 68, 'y': 23}, 'end': {'x': 48.8, 'y': 0}, 'goal': {'x': 48.8, 'y': 98.6}}",23,1358,1342,shot,0.02958,
"{'name': 'Danilo Vukanić', 'slug': 'danilo-vukanic', 'shortName': 'D. Vukanić', 'position': 'M', 'jerseyNumber': '44', 'userCount': 48, 'gender': 'M', 'id': 1423515, 'fieldTranslations': {'nameTranslation': {'ar': 'دانييلو فوكانيتش'}, 'shortNameTranslation': {'ar': 'د. فوكانيتش'}}}",False,miss,regular,"{'x': 14, 'y': 65, 'z': 0}",left-foot,close-high,"{'x': 0, 'y': 46.3, 'z': 49.1}",,0.09487,6528863,64,,3785,"{'start': {'x': 65, 'y': 14}, 'end': {'x': 53.7, 'y': 0}, 'goal': {'x': 53.7, 'y': 50.9}}",27,1615,1085,shot,,
"{'name': 'Viktor Živojinović', 'slug': 'viktor-zivojinovic', 'shortName': 'V. Živojinović', 'position': 'M', 'userCount': 35, 'gender': 'M', 'id': 989177, 'fieldTranslations': {'nameTranslation': {'ar': 'فيكتور زيفوجينوفيتش'}, 'shortNameTranslation': {'ar': 'ف. زيفوجينوفيتش'}}}",True,miss,corner,"{'x': 21, 'y': 36, 'z': 0}",right-foot,close-right,"{'x': 0, 'y': 44.1, 'z': 17.4}",,0.006512,6528862,62,,3673,"{'start': {'x': 36, 'y': 21}, 'end': {'x': 55.9, 'y': 0}, 'goal': {'x': 55.9, 'y': 82.6}}",29,1727,973,shot,,
"{'name': 'Nemanja Carević', 'firstName': 'Nemanja Carevic', 'lastName': '', 'slug': 'nemanja-carevic', 'shortName': 'N. Carević', 'position': 'M', 'jerseyNumber': '21', 'userCount': 8, 'gender': 'M', 'id': 1381384, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانجا كاريتش'}, 'shortNameTranslation': {'ar': 'ن. كاريتش'}}}",True,block,set-piece,"{'x': 3, 'y': 61, 'z': 0}",head,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 3, 'y': 61, 'z': 0}",0.1169,6528861,61,,3633,"{'start': {'x': 61, 'y': 3}, 'block': {'x': 61, 'y': 3}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",30,1767,933,shot,,
"{'name': 'Stefan Fićović', 'slug': 'stefan-ficovic', 'shortName': 'S. Fićović', 'position': 'M', 'jerseyNumber': '18', 'userCount': 9, 'gender': 'M', 'id': 889063, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان فيتشوفيتش'}, 'shortNameTranslation': {'ar': 'س. فيتشوفيتش'}}}",True,miss,throw-in-set-piece,"{'x': 19, 'y': 36, 'z': 0}",left-foot,close-high-left,"{'x': 0, 'y': 58.3, 'z': 53.8}",,0.002337,6528860,58,,3462,"{'start': {'x': 36, 'y': 19}, 'end': {'x': 41.7, 'y': 0}, 'goal': {'x': 41.7, 'y': 46.2}}",33,1938,762,shot,,
"{'name': 'Danilo Vukanić', 'slug': 'danilo-vukanic', 'shortName': 'D. Vukanić', 'position': 'M', 'jerseyNumber': '44', 'userCount': 48, 'gender': 'M', 'id': 1423515, 'fieldTranslations': {'nameTranslation': {'ar': 'دانييلو فوكانيتش'}, 'shortNameTranslation': {'ar': 'د. فوكانيتش'}}}",False,save,set-piece,"{'x': 22, 'y': 68, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.8, 'z': 0.2}",,0.03573,6528859,57,,3373,"{'start': {'x': 68, 'y': 22}, 'end': {'x': 51.2, 'y': 0}, 'goal': {'x': 51.2, 'y': 99.8}}",34,2027,673,shot,0.01216,
"{'name': 'Ivan Bojović', 'slug': 'ivan-bojovic', 'shortName': 'I. Bojović', 'position': 'M', 'jerseyNumber': '77', 'userCount': 14, 'gender': 'M', 'id': 1016595, 'fieldTranslations': {'nameTranslation': {'ar': 'إيفان بويوفيتش', 'hi': 'इवान बोजोविक', 'bn': 'ইভান বোজোভিচ'}, 'shortNameTranslation': {'ar': 'إ. بويوفيتش', 'hi': 'आई. बोजोविक', 'bn': 'আই. বোজোভিচ'}}}",False,save,regular,"{'x': 12, 'y': 37, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 54.5, 'z': 6.2}",,0.1285,6528858,53,,3162,"{'start': {'x': 37, 'y': 12}, 'end': {'x': 45.5, 'y': 0}, 'goal': {'x': 45.5, 'y': 93.8}}",38,2238,462,shot,0.3361,
