match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,interceptionWon,keyPass,shotOffTarget,blockedScoringAttempt,dispossessed,clearanceOffLine
14147386,home,6216,OFK Petrovac,188987,Marko Kordić,marko-kordic,G,25,False,15.0,12.0,9.0,6.0,0.0,7.0,7.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,1.0,0.0,90.0,20.0,7.1,5.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,80.0,66.66666666666666,,,0.0,,,,,,
14147386,home,6216,OFK Petrovac,882142,Danilo Pešukić,danilo-pesukic,D,29,False,34.0,23.0,12.0,7.0,0.0,7.0,8.0,14.0,23.0,4.0,0.0,0.0,2.0,4.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,,,,,,,90.0,42.0,7.6,11.0,0.0,0.51,"{'original': 7.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,2,7,3,4,67.64705882352942,58.333333333333336,0.0,,,4.0,4.0,,,,
14147386,home,6216,OFK Petrovac,986362,Marko Merdović,merdovic-marko,D,44,False,32.0,24.0,10.0,2.0,0.0,15.0,15.0,7.0,14.0,0.0,0.0,1.0,1.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,7.0,2.0,8.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,,,,,,,90.0,40.0,6.6,12.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,2,6,75.0,20.0,,,,3.0,,,,,
14147386,home,6216,OFK Petrovac,57339,Dejan Boljević,dejan-boljevic,D,33,False,34.0,29.0,7.0,4.0,0.0,19.0,20.0,8.0,11.0,0.0,0.0,2.0,2.0,8.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,,90.0,43.0,6.6,6.0,0.17,0.0,"{'original': 6.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,1,6,85.29411764705883,57.14285714285714,,,,2.0,,,,,
14147386,home,5143,OFK Petrovac,1000577,Andrej Pupović,andrej-pupovic,D,30,False,26.0,21.0,3.0,1.0,0.0,9.0,10.0,12.0,16.0,3.0,1.0,2.0,0.0,10.0,6.0,2.0,1.0,1.0,0.0,0.0,2.0,1.0,8.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,,,,,,,90.0,36.0,6.7,12.0,0.0,0.03,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,2,14,6,8,80.76923076923077,33.33333333333333,33.33333333333333,100.0,,1.0,1.0,,,,
14147386,home,6216,OFK Petrovac,889063,Stefan Fićović,stefan-ficovic,M,18,False,37.0,25.0,8.0,1.0,0.0,10.0,11.0,14.0,25.0,1.0,0.0,1.0,2.0,14.0,6.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,9.0,2.0,1.0,0.0,0.0,0.0,2.0,4.0,1.0,,,,,,,90.0,51.0,6.8,16.0,0.01,0.0,"{'original': 6.8, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,3,17,4,13,67.56756756756756,12.5,0.0,66.66666666666666,,2.0,1.0,1.0,1.0,,
14147386,home,6216,OFK Petrovac,1149279,Dragan Miranović,dragan-miranovic,M,22,False,49.0,38.0,4.0,2.0,1.0,16.0,18.0,18.0,26.0,1.0,0.0,0.0,1.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,12.0,1.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,,,,,,,90.0,63.0,7.1,12.0,0.0,0.04,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,2,7,77.55102040816327,50.0,0.0,,,6.0,2.0,,,1.0,
14147386,home,6216,OFK Petrovac,1381384,Nemanja Carević,nemanja-carevic,M,21,False,18.0,14.0,0.0,0.0,0.0,6.0,7.0,8.0,11.0,1.0,1.0,2.0,4.0,5.0,7.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,84.0,28.0,7.7,7.0,0.16,0.0,"{'original': 7.7, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,6,6,3,3,77.77777777777779,,100.0,100.0,,,,1.0,1.0,,
14147386,home,6216,OFK Petrovac,1030468,Žarko Popović,zarko-popovic,M,4,False,28.0,24.0,3.0,1.0,0.0,5.0,5.0,19.0,23.0,1.0,1.0,2.0,2.0,13.0,9.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,,,,,,,90.0,52.0,7.1,15.0,0.0,0.01,"{'original': 7.1, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",22,4,18,7,11,85.71428571428571,33.33333333333333,100.0,66.66666666666666,,1.0,1.0,1.0,,1.0,
14147386,home,301263,OFK Petrovac,989177,Viktor Živojinović,viktor-zivojinovic,M,45,False,17.0,10.0,3.0,1.0,0.0,3.0,5.0,7.0,12.0,3.0,0.0,5.0,0.0,13.0,4.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,71.0,38.0,7.5,8.0,0.13,0.0,"{'original': 7.5, 'alternative': None}",4.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,5,12,4,8,58.82352941176471,33.33333333333333,0.0,66.66666666666666,,2.0,1.0,3.0,,,
14147386,home,6216,OFK Petrovac,791606,Adnan Bašić,adnan-basic,F,10,False,14.0,9.0,1.0,1.0,0.0,2.0,4.0,7.0,10.0,1.0,0.0,3.0,1.0,8.0,7.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,1.0,,,,,,,71.0,29.0,6.6,11.0,0.28,0.0,"{'original': 6.6, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,4,11,6,5,64.28571428571429,100.0,0.0,50.0,,,,2.0,,1.0,
14147386,home,37956,OFK Petrovac,1130148,Neđeljko Kovinić,nedeljko-kovinic,F,9,True,3.0,2.0,0.0,0.0,0.0,,,2.0,3.0,0.0,0.0,2.0,0.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,19.0,9.0,6.7,2.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,2,5,2,3,66.66666666666666,,,100.0,,,,,,,
