player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,xgot,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates
"{'name': 'Stefan Đukanović', 'slug': 'stefan-dukanovic', 'shortName': 'S. Đukanović', 'position': 'M', 'jerseyNumber': '7', 'userCount': 33, 'gender': 'M', 'id': 1939640, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان ديوكانوفيتش'}, 'shortNameTranslation': {'ar': 'س. ديوكانوفيتش'}}}",True,save,regular,"{'x': 30, 'y': 41, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 47.8, 'z': 0.5}",0.01111,0.05683,6825179,90,2.0,5492,"{'start': {'x': 41, 'y': 30}, 'end': {'x': 52.2, 'y': 0}, 'goal': {'x': 52.2, 'y': 99.5}}",1,808,92,shot,
"{'name': 'Marko Milickovic', 'slug': 'marko-milickovic', 'shortName': 'M. Milickovic', 'position': 'M', 'jerseyNumber': '10', 'userCount': 30, 'gender': 'M', 'id': 890615, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو ميليكوفيتش', 'bn': 'মার্কো মিলিকোভিচ', 'hi': 'मार्को मिलिकोविच'}, 'shortNameTranslation': {'ar': 'م. ميليكوفيتش', 'bn': 'এম. মিলিকোভিচ', 'hi': 'एम. मिलिकोविच'}}}",True,save,regular,"{'x': 24, 'y': 29, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.9, 'z': 13}",0.04364,0.01627,6825178,90,,5389,"{'start': {'x': 29, 'y': 24}, 'end': {'x': 49.1, 'y': 0}, 'goal': {'x': 49.1, 'y': 87}}",1,11,2689,shot,
"{'name': 'Stefan Đukanović', 'slug': 'stefan-dukanovic', 'shortName': 'S. Đukanović', 'position': 'M', 'jerseyNumber': '7', 'userCount': 33, 'gender': 'M', 'id': 1939640, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان ديوكانوفيتش'}, 'shortNameTranslation': {'ar': 'س. ديوكانوفيتش'}}}",True,block,regular,"{'x': 23, 'y': 46, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.07327,,6825177,87,,5206,"{'start': {'x': 46, 'y': 23}, 'block': {'x': 46, 'y': 23}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",4,194,2506,shot,"{'x': 23, 'y': 46, 'z': 0}"
"{'name': 'Dejan Perovic', 'slug': 'dejan-perovic', 'shortName': 'D. Perović', 'position': 'M', 'jerseyNumber': '44', 'userCount': 9, 'gender': 'M', 'id': 1005595, 'fieldTranslations': {'nameTranslation': {'ar': 'ديان بيروفيتش'}, 'shortNameTranslation': {'ar': 'د. بيروفيتش'}}}",False,block,regular,"{'x': 12, 'y': 65, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.134,,6825176,85,,5047,"{'start': {'x': 65, 'y': 12}, 'block': {'x': 65, 'y': 12}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",6,353,2347,shot,"{'x': 12, 'y': 65, 'z': 0}"
"{'name': 'Stefan Golubović', 'slug': 'stefan-golubovic', 'shortName': 'S. Golubović', 'position': 'F', 'jerseyNumber': '27', 'userCount': 34, 'gender': 'M', 'id': 838300, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان غولوبوفيتش'}, 'shortNameTranslation': {'ar': 'س. غولوبوفيتش'}}}",False,miss,regular,"{'x': 9, 'y': 56, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 42.5, 'z': 42}",0.2039,,6825175,84,,5011,"{'start': {'x': 56, 'y': 9}, 'end': {'x': 57.5, 'y': 0}, 'goal': {'x': 57.5, 'y': 58}}",7,389,2311,shot,
"{'name': 'Ivan Bulatović', 'slug': 'ivan-bulatovic', 'shortName': 'I. Bulatović', 'position': 'F', 'jerseyNumber': '11', 'userCount': 49, 'gender': 'M', 'id': 894403, 'fieldTranslations': {'nameTranslation': {'ar': 'إيفان بولاتوفيتش'}, 'shortNameTranslation': {'ar': 'إ. بولاتوفيتش'}}}",True,save,throw-in-set-piece,"{'x': 9, 'y': 34, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 48.3, 'z': 8.7}",0.1368,0.08753,6825174,83,,4932,"{'start': {'x': 34, 'y': 9}, 'end': {'x': 51.7, 'y': 0}, 'goal': {'x': 51.7, 'y': 91.3}}",8,468,2232,shot,
"{'name': 'Ivan Bojović', 'slug': 'ivan-bojovic', 'shortName': 'I. Bojović', 'position': 'M', 'jerseyNumber': '77', 'userCount': 16, 'gender': 'M', 'id': 1016595, 'fieldTranslations': {'nameTranslation': {'ar': 'إيفان بويوفيتش', 'bn': 'ইভান বোজোভিচ', 'hi': 'इवान बोजोविक'}, 'shortNameTranslation': {'ar': 'إ. بويوفيتش', 'bn': 'আই. বোজোভিচ', 'hi': 'आई. बोजोविक'}}}",True,save,regular,"{'x': 10, 'y': 73, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 47.7, 'z': 23.7}",0.05396,0.03769,6825173,81,,4823,"{'start': {'x': 73, 'y': 10}, 'end': {'x': 52.3, 'y': 0}, 'goal': {'x': 52.3, 'y': 76.3}}",10,577,2123,shot,
"{'name': 'Ivan Bulatović', 'slug': 'ivan-bulatovic', 'shortName': 'I. Bulatović', 'position': 'F', 'jerseyNumber': '11', 'userCount': 49, 'gender': 'M', 'id': 894403, 'fieldTranslations': {'nameTranslation': {'ar': 'إيفان بولاتوفيتش'}, 'shortNameTranslation': {'ar': 'إ. بولاتوفيتش'}}}",True,save,regular,"{'x': 6, 'y': 31, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 47.3, 'z': 2.4}",0.09282,0.6869,6825172,73,,4369,"{'start': {'x': 31, 'y': 6}, 'end': {'x': 52.7, 'y': 0}, 'goal': {'x': 52.7, 'y': 97.6}}",18,1031,1669,shot,
"{'name': 'Vasilije Terzić', 'firstName': 'Vasilije', 'lastName': 'Terzić', 'slug': 'vasilije-terzic', 'shortName': 'V. Terzić', 'position': 'M', 'jerseyNumber': '29', 'userCount': 20, 'gender': 'M', 'id': 841144, 'fieldTranslations': {'nameTranslation': {'ar': 'فاسيلي ترزيتش', 'bn': 'ভ্যাসিলি টেরজিক', 'hi': 'वासिलिजे टेर्ज़िक'}, 'shortNameTranslation': {'ar': 'ف. ترزيتش', 'bn': 'ভি. টেরজিচ', 'hi': 'वी. टेर्ज़िक'}}}",True,miss,regular,"{'x': 30, 'y': 52, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 41.9, 'z': 49.9}",0.003239,,6825171,68,,4052,"{'start': {'x': 52, 'y': 30}, 'end': {'x': 58.1, 'y': 0}, 'goal': {'x': 58.1, 'y': 50.1}}",23,1348,1352,shot,
"{'name': 'Ivan Bojović', 'slug': 'ivan-bojovic', 'shortName': 'I. Bojović', 'position': 'M', 'jerseyNumber': '77', 'userCount': 16, 'gender': 'M', 'id': 1016595, 'fieldTranslations': {'nameTranslation': {'ar': 'إيفان بويوفيتش', 'bn': 'ইভান বোজোভিচ', 'hi': 'इवान बोजोविक'}, 'shortNameTranslation': {'ar': 'إ. بويوفيتش', 'bn': 'আই. বোজোভিচ', 'hi': 'आई. बोजोविक'}}}",True,miss,regular,"{'x': 7, 'y': 66, 'z': 0}",head,close-right,"{'x': 0, 'y': 41.8, 'z': 36.3}",0.02317,,6825170,47,,2768,"{'start': {'x': 66, 'y': 7}, 'end': {'x': 58.2, 'y': 0}, 'goal': {'x': 58.2, 'y': 63.7}}",44,2632,68,shot,
