player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,xgot,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,goalType
"{'name': 'Boris Kopitović', 'slug': 'boris-kopitovic', 'shortName': 'B. Kopitović', 'position': 'D', 'jerseyNumber': '15', 'userCount': 18, 'gender': 'M', 'id': 138937, 'fieldTranslations': {'nameTranslation': {'ar': 'بوريس كوفيتوفيتش', 'bn': 'বরিস কোপিটোভিচ', 'hi': 'बोरिस कोपिटोविक'}, 'shortNameTranslation': {'ar': 'ب. كوفيتوفيتش', 'bn': 'বি. কোপিটোভিচ', 'hi': 'बी. कोपिटोविक'}}}",False,save,corner,"{'x': 13, 'y': 39, 'z': 0}",head,low-left,"{'x': 0, 'y': 53.4, 'z': 13.6}",0.04889,0.07685,6826229,90,5375,"{'start': {'x': 39, 'y': 13}, 'end': {'x': 46.6, 'y': 0}, 'goal': {'x': 46.6, 'y': 86.4}}",1,25,2675,shot,,
"{'name': 'Ivan Vukčević', 'slug': 'ivan-vukcevic', 'shortName': 'I. Vukčević', 'position': 'M', 'jerseyNumber': '7', 'userCount': 24, 'gender': 'M', 'id': 929998, 'fieldTranslations': {'nameTranslation': {'ar': 'إيفان فوكتشيفيتش', 'bn': 'ইভান ভুকেভিচ', 'hi': 'इवान वुकसेविक'}, 'shortNameTranslation': {'ar': 'إ. فوكتشيفيتش', 'bn': 'আই. ভুকেভিচ', 'hi': 'आई. वुकसेविक'}}}",False,save,regular,"{'x': 13, 'y': 35, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 48.4, 'z': 37}",0.1273,0.1442,6826228,89,5340,"{'start': {'x': 35, 'y': 13}, 'end': {'x': 51.6, 'y': 0}, 'goal': {'x': 51.6, 'y': 63}}",2,60,2640,shot,,
"{'name': 'Balša Boričić', 'slug': 'balsa-boricic', 'shortName': 'B. Boričić', 'position': 'M', 'jerseyNumber': '80', 'userCount': 4, 'gender': 'M', 'id': 357692, 'fieldTranslations': {'nameTranslation': {'ar': 'بالسا بوريتشيتش', 'bn': 'বালসা বোরিসিচ', 'hi': 'बाल्सा बोरिकिक'}, 'shortNameTranslation': {'ar': 'ب. بوريتشيتش', 'bn': 'বি. বোরিসিচ', 'hi': 'बी. बोरिकिक'}}}",True,miss,corner,"{'x': 13, 'y': 40, 'z': 0}",left-foot,close-high-right,"{'x': 0, 'y': 42, 'z': 50.3}",0.04961,,6826227,81,4835,"{'start': {'x': 40, 'y': 13}, 'end': {'x': 58, 'y': 0}, 'goal': {'x': 58, 'y': 49.7}}",10,565,2135,shot,,
"{'name': 'Ognjen Rolović', 'firstName': '', 'lastName': '', 'slug': 'ognjen-rolovic', 'shortName': 'O. Rolović', 'position': 'F', 'jerseyNumber': '19', 'userCount': 6, 'gender': 'M', 'id': 196634, 'fieldTranslations': {'nameTranslation': {'ar': 'أوغنيين رولوفيتش', 'bn': 'ওগনজেন রোলোভিচ', 'hi': 'ओग्जेन रोलोविच'}, 'shortNameTranslation': {'ar': 'أ. رولوفيتش', 'bn': 'ও. রোলোভিচ', 'hi': 'ओ. रोलोविक'}}}",True,block,regular,"{'x': 12, 'y': 59, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.0707,,6826226,80,4781,"{'start': {'x': 59, 'y': 12}, 'block': {'x': 59, 'y': 12}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",11,619,2081,shot,"{'x': 12, 'y': 59, 'z': 0}",
"{'name': 'Vasilije Cavor', 'slug': 'vasilije-cavor', 'shortName': 'V. Cavor', 'position': 'M', 'jerseyNumber': '24', 'userCount': 19, 'gender': 'M', 'id': 962100, 'fieldTranslations': {'nameTranslation': {'ar': 'فاسيليي كافور'}, 'shortNameTranslation': {'ar': 'ف. كافور'}}}",False,block,regular,"{'x': 13, 'y': 38, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.127,,6826225,78,4645,"{'start': {'x': 38, 'y': 13}, 'block': {'x': 38, 'y': 13}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",13,755,1945,shot,"{'x': 13, 'y': 38, 'z': 0}",
"{'name': 'Jovan Čađenović', 'slug': 'jovan-cadenovic', 'shortName': 'J. Čađenović', 'position': 'M', 'jerseyNumber': '20', 'userCount': 24, 'gender': 'M', 'id': 850088, 'fieldTranslations': {'nameTranslation': {'ar': 'يوڤان كادينوفيتش', 'bn': 'জোভান কাদেনোভিচ', 'hi': 'जोवन कैडेनोविच'}, 'shortNameTranslation': {'ar': 'ي. كادينوفيتش', 'bn': 'জে. কাদেনোভিচ', 'hi': 'जे. कैडेनोविच'}}}",False,miss,throw-in-set-piece,"{'x': 26, 'y': 52, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 40.8, 'z': 58.6}",0.02406,,6826224,77,4599,"{'start': {'x': 52, 'y': 26}, 'end': {'x': 59.2, 'y': 0}, 'goal': {'x': 59.2, 'y': 41.4}}",14,801,1899,shot,,
"{'name': 'Balša Boričić', 'slug': 'balsa-boricic', 'shortName': 'B. Boričić', 'position': 'M', 'jerseyNumber': '80', 'userCount': 4, 'gender': 'M', 'id': 357692, 'fieldTranslations': {'nameTranslation': {'ar': 'بالسا بوريتشيتش', 'bn': 'বালসা বোরিসিচ', 'hi': 'बाल्सा बोरिकिक'}, 'shortNameTranslation': {'ar': 'ب. بوريتشيتش', 'bn': 'বি. বোরিসিচ', 'hi': 'बी. बोरिकिक'}}}",True,miss,regular,"{'x': 26, 'y': 47, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 57.8, 'z': 37}",0.06145,,6826223,75,4449,"{'start': {'x': 47, 'y': 26}, 'end': {'x': 42.2, 'y': 0}, 'goal': {'x': 42.2, 'y': 63}}",16,951,1749,shot,,
"{'name': 'Andrija Ražnatović', 'firstName': '', 'lastName': '', 'slug': 'andrija-raznatovic', 'shortName': 'A. Ražnatović', 'position': 'D', 'jerseyNumber': '22', 'userCount': 23, 'gender': 'M', 'id': 1000770, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريا رازناتوفيتش', 'bn': 'আন্দ্রিজা রাজনাতোভিচ', 'hi': 'एंड्रीजा रज्नाटोविक'}, 'shortNameTranslation': {'ar': 'أ. رازناتوفيتش', 'bn': 'এ. রাজনাতোভিচ', 'hi': 'ए. रज्नाटोविक'}}}",False,save,regular,"{'x': 10, 'y': 51, 'z': 0}",head,high-left,"{'x': 0, 'y': 53.1, 'z': 32.7}",0.1124,0.5524,6826222,55,3245,"{'start': {'x': 51, 'y': 10}, 'end': {'x': 46.9, 'y': 0}, 'goal': {'x': 46.9, 'y': 67.3}}",36,2155,545,shot,,
"{'name': 'Marko Simun', 'firstName': '', 'lastName': '', 'slug': 'marko-simun', 'shortName': 'M. Simun', 'position': 'M', 'jerseyNumber': '19', 'userCount': 40, 'gender': 'M', 'id': 1479109, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو شيمون'}, 'shortNameTranslation': {'ar': 'م. شيمون'}}}",False,miss,regular,"{'x': 29, 'y': 37, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 41.2, 'z': 52.1}",0.004379,,6826221,46,2728,"{'start': {'x': 37, 'y': 29}, 'end': {'x': 58.8, 'y': 0}, 'goal': {'x': 58.8, 'y': 47.9}}",45,2672,28,shot,,
"{'name': 'Petar Bogdanović', 'firstName': '', 'lastName': '', 'slug': 'petar-bogdanovic', 'shortName': 'P. Bogdanović', 'position': 'M', 'jerseyNumber': '7', 'userCount': 14, 'gender': 'M', 'id': 1408188, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر بوغدانوفيتش'}, 'shortNameTranslation': {'ar': 'ب. بوغدانوفيتش'}}}",True,block,regular,"{'x': 27, 'y': 47, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.002418,,6826220,38,2228,"{'start': {'x': 47, 'y': 27}, 'block': {'x': 47, 'y': 27}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",8,472,2228,shot,"{'x': 27, 'y': 47, 'z': 0}",
