player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,xgot,goalType,addedTime
"{'name': 'Marko Franeta', 'slug': 'marko-franeta', 'shortName': 'M. Franeta', 'position': 'D', 'jerseyNumber': '13', 'userCount': 17, 'gender': 'M', 'id': 1484679, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو فرانيتا'}, 'shortNameTranslation': {'ar': 'م. فرانيتا'}}}",True,miss,regular,"{'x': 24, 'y': 66, 'z': 0}",left-foot,close-high-left,"{'x': 0, 'y': 56.8, 'z': 50.9}",0.001152,6956796,83,4939,"{'start': {'x': 66, 'y': 24}, 'end': {'x': 43.2, 'y': 0}, 'goal': {'x': 43.2, 'y': 49.1}}",8,461,2239,shot,,,,
"{'name': 'Jovan Dašić', 'firstName': '', 'lastName': '', 'slug': 'jovan-dasic', 'shortName': 'J. Dašić', 'position': 'M', 'jerseyNumber': '17', 'userCount': 11, 'gender': 'M', 'id': 1005622, 'fieldTranslations': {'nameTranslation': {'ar': 'يوفان داشيتش', 'bn': 'জোভান দাসিচ', 'hi': 'जोवन दासिच'}, 'shortNameTranslation': {'ar': 'ي. داشيتش', 'bn': 'জে. দাসিচ', 'hi': 'जे. दासिच'}}}",False,block,regular,"{'x': 25, 'y': 34, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.005035,6956795,77,4568,"{'start': {'x': 34, 'y': 25}, 'block': {'x': 34, 'y': 25}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",14,832,1868,shot,"{'x': 25, 'y': 34, 'z': 0}",,,
"{'name': 'Nikola Zvrko', 'firstName': '', 'lastName': '', 'slug': 'nikola-zvrko', 'shortName': 'N. Zvrko', 'position': 'M', 'jerseyNumber': '7', 'userCount': 5, 'gender': 'M', 'id': 800100, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا زفركو'}, 'shortNameTranslation': {'ar': 'ن. زفركو'}}}",True,block,corner,"{'x': 18, 'y': 55, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.01129,6956794,75,4465,"{'start': {'x': 55, 'y': 18}, 'block': {'x': 55, 'y': 18}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",16,935,1765,shot,"{'x': 18, 'y': 55, 'z': 0}",,,
"{'name': 'Savo Arambašić', 'slug': 'savo-arambasic', 'shortName': 'S. Arambašić', 'position': 'M', 'jerseyNumber': '17', 'userCount': 26, 'gender': 'M', 'id': 1046042, 'fieldTranslations': {'nameTranslation': {'ar': 'سافو أرامباشيتش'}, 'shortNameTranslation': {'ar': 'س. أرامباشيتش'}}}",True,miss,regular,"{'x': 8, 'y': 59, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 43.1, 'z': 51.3}",0.1059,6956793,71,4254,"{'start': {'x': 59, 'y': 8}, 'end': {'x': 56.9, 'y': 0}, 'goal': {'x': 56.9, 'y': 48.7}}",20,1146,1554,shot,,,,
"{'name': 'Jovan Baošić', 'slug': 'jovan-baosic', 'shortName': 'J. Baošić', 'position': 'D', 'jerseyNumber': '15', 'userCount': 6, 'gender': 'M', 'id': 189001, 'fieldTranslations': {'nameTranslation': {'ar': 'جوفان باوشيتش', 'bn': 'জোভান বাওসিচ', 'hi': 'जोवन बाओसिक'}, 'shortNameTranslation': {'ar': 'ج. باوشيتش', 'bn': 'জে. বাওশিচ', 'hi': 'जे. बाओशिक'}}}",False,miss,free-kick,"{'x': 47, 'y': 45, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 42.6, 'z': 48.7}",0.01852,6956798,68,4057,"{'start': {'x': 45, 'y': 47}, 'end': {'x': 57.4, 'y': 0}, 'goal': {'x': 57.4, 'y': 51.3}}",23,1343,1357,shot,,,,
"{'name': 'Stefan Denković', 'slug': 'stefan-denkovic', 'shortName': 'S. Denković', 'position': 'M', 'jerseyNumber': '7', 'userCount': 16, 'gender': 'M', 'id': 95583, 'fieldTranslations': {'nameTranslation': {'ar': 'دينكوفيتش ، ستيفان'}, 'shortNameTranslation': {'ar': 'د. ، ستيفان'}}}",False,miss,regular,"{'x': 10, 'y': 39, 'z': 0}",left-foot,close-right,"{'x': 0, 'y': 42.3, 'z': 0.5}",0.1795,6956792,65,3900,"{'start': {'x': 39, 'y': 10}, 'end': {'x': 57.7, 'y': 0}, 'goal': {'x': 57.7, 'y': 99.5}}",26,1500,1200,shot,,,,
"{'name': 'Dejan Boljević', 'slug': 'dejan-boljevic', 'shortName': 'D. Boljević', 'position': 'D', 'jerseyNumber': '33', 'userCount': 3, 'gender': 'M', 'id': 57339, 'fieldTranslations': {'nameTranslation': {'ar': 'ديان بوليفيتش', 'bn': 'দেজান বলজেভিচ', 'hi': 'देजान बोलजेविक'}, 'shortNameTranslation': {'ar': 'د. بوليفيتش', 'bn': 'ডি. বলজেভিচ', 'hi': 'डी. बोलजेविक'}}}",True,save,corner,"{'x': 7, 'y': 52, 'z': 0}",head,low-right,"{'x': 0, 'y': 47.8, 'z': 5.2}",0.2725,6956791,63,3771,"{'start': {'x': 52, 'y': 7}, 'end': {'x': 52.2, 'y': 0}, 'goal': {'x': 52.2, 'y': 94.8}}",28,1629,1071,shot,,0.7106,,
"{'name': 'Balša Sekulić', 'slug': 'balsa-sekulic', 'shortName': 'B. Sekulić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 25, 'gender': 'M', 'id': 856483, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا سيكوليتش', 'bn': 'বালসা সেকুলিক', 'hi': 'बाल्सा सेकुलिक'}, 'shortNameTranslation': {'ar': 'ب. سيكوليتش', 'bn': 'বি. সেকুলিক', 'hi': 'बी. सेकुलिक'}}}",False,goal,regular,"{'x': 26, 'y': 37, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53.8, 'z': 2.6}",0.08866,6956790,62,3679,"{'start': {'x': 37, 'y': 26}, 'end': {'x': 46.2, 'y': 0}, 'goal': {'x': 46.2, 'y': 97.4}}",29,1721,979,shot,,0.09586,regular,
"{'name': 'Boban Đorđević', 'slug': 'boban-dordevic', 'shortName': 'B. Đorđević', 'position': 'F', 'userCount': 14, 'gender': 'M', 'id': 1164363, 'fieldTranslations': {'nameTranslation': {'ar': 'بوبان دورديفيتش'}, 'shortNameTranslation': {'ar': 'ب. دورديفيتش'}}}",True,miss,corner,"{'x': 6, 'y': 46, 'z': 0}",head,close-left,"{'x': 0, 'y': 58.6, 'z': 31.8}",0.2727,6956789,60,3596,"{'start': {'x': 46, 'y': 6}, 'end': {'x': 41.4, 'y': 0}, 'goal': {'x': 41.4, 'y': 68.2}}",31,1804,896,shot,,,,
"{'name': 'Nemanja Carević', 'firstName': 'Nemanja Carevic', 'lastName': '', 'slug': 'nemanja-carevic', 'shortName': 'N. Carević', 'position': 'M', 'jerseyNumber': '21', 'userCount': 8, 'gender': 'M', 'id': 1381384, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانجا كاريتش'}, 'shortNameTranslation': {'ar': 'ن. كاريتش'}}}",True,miss,set-piece,"{'x': 2, 'y': 53, 'z': 0}",head,close-right,"{'x': 0, 'y': 43.5, 'z': 17.7}",0.3783,6956788,55,3245,"{'start': {'x': 53, 'y': 2}, 'end': {'x': 56.5, 'y': 0}, 'goal': {'x': 56.5, 'y': 82.3}}",36,2155,545,shot,,,,
