player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType,xgot,blockCoordinates
"{'name': 'Anđelko Jovanović', 'firstName': '', 'lastName': '', 'slug': 'andelko-jovanovic', 'shortName': 'A. Jovanović', 'position': 'M', 'jerseyNumber': '10', 'userCount': 4, 'gender': 'M', 'id': 1030487, 'fieldTranslations': {'nameTranslation': {'ar': 'أنجيلكو يوفانوفيتش', 'bn': 'আন্দ্রেকো জোভানোভিচ', 'hi': 'एन्डेल्को जोवानोविक'}, 'shortNameTranslation': {'ar': 'أ. يوفانوفيتش', 'bn': 'এ. জোভানোভিচ', 'hi': 'ए. जोवानोविक'}}}",True,miss,regular,"{'x': 15, 'y': 69, 'z': 0}",right-foot,close-right,"{'x': 0, 'y': 41.1, 'z': 29.7}",0.03767,7038278,90,5.0,5651,"{'start': {'x': 69, 'y': 15}, 'end': {'x': 58.9, 'y': 0}, 'goal': {'x': 58.9, 'y': 70.3}}",1,649,251,shot,,,
"{'name': 'Nelson Augustin Cordoba', 'firstName': '', 'lastName': '', 'slug': 'nelson-augustin-cordoba', 'shortName': 'N. A. Cordoba', 'position': 'M', 'jerseyNumber': '28', 'userCount': 15, 'gender': 'M', 'id': 1163021, 'fieldTranslations': {'nameTranslation': {'ar': 'نيلسون أوغستين كوردوبا'}, 'shortNameTranslation': {'ar': 'ن. كوردوبا'}}}",True,goal,regular,"{'x': 3, 'y': 48, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 54.3, 'z': 7.1}",0.7145,7038277,90,1.0,5448,"{'start': {'x': 48, 'y': 3}, 'end': {'x': 45.7, 'y': 0}, 'goal': {'x': 45.7, 'y': 92.9}}",1,852,48,shot,regular,0.926,
"{'name': 'Igor Vukcevic', 'firstName': '', 'lastName': '', 'slug': 'igor-vukcevic', 'shortName': 'I. Vukcevic', 'position': 'F', 'jerseyNumber': '11', 'userCount': 1, 'gender': 'M', 'id': 957906, 'fieldTranslations': {'nameTranslation': {'ar': 'إيغور فوكيفيتش'}, 'shortNameTranslation': {'ar': 'إ. فوكيفيتش'}}}",False,block,regular,"{'x': 19, 'y': 52, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.02386,7038276,84,,5030,"{'start': {'x': 52, 'y': 19}, 'block': {'x': 52, 'y': 19}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",7,370,2330,shot,,,"{'x': 19, 'y': 52, 'z': 0}"
"{'name': 'Armin Imamović', 'firstName': '', 'lastName': '', 'slug': 'armin-imamovic', 'shortName': 'A. Imamovic', 'position': 'D', 'jerseyNumber': '14', 'userCount': 10, 'gender': 'M', 'id': 925940, 'fieldTranslations': {'nameTranslation': {'ar': 'أرمين إماموفيتش'}, 'shortNameTranslation': {'ar': 'أ. إماموفيتش'}}}",False,save,regular,"{'x': 14, 'y': 50, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 49.8, 'z': 20.7}",0.1645,7038275,74,,4406,"{'start': {'x': 50, 'y': 14}, 'end': {'x': 50.2, 'y': 0}, 'goal': {'x': 50.2, 'y': 79.3}}",17,994,1706,shot,,0.09451,
"{'name': 'Mamadou Camara', 'firstName': '', 'lastName': '', 'slug': 'mamadou-camara', 'shortName': 'M. Camara', 'position': 'M', 'jerseyNumber': '78', 'userCount': 113, 'gender': 'M', 'id': 1134549, 'fieldTranslations': {'nameTranslation': {'ar': 'مامادو كامارا', 'bn': 'মামাদু কামারা', 'hi': 'मामादौ कैमारा'}, 'shortNameTranslation': {'ar': 'م. كامارا', 'bn': 'এম. কামারা', 'hi': 'एम. कैमारा'}}}",True,miss,regular,"{'x': 33, 'y': 59, 'z': 0}",left-foot,close-left,"{'x': 0, 'y': 57.3, 'z': 20.2}",0.007536,7038274,73,,4358,"{'start': {'x': 59, 'y': 33}, 'end': {'x': 42.7, 'y': 0}, 'goal': {'x': 42.7, 'y': 79.8}}",18,1042,1658,shot,,,
"{'name': 'Staniša Mandić', 'slug': 'stanisa-mandic', 'shortName': 'S. Mandić', 'position': 'D', 'jerseyNumber': '77', 'userCount': 42, 'gender': 'M', 'id': 363780, 'fieldTranslations': {'nameTranslation': {'ar': 'ستانيشا مانديتش', 'bn': 'স্ট্যানিসা মান্ডিচ', 'hi': 'स्टैनिसा मैंडिक'}, 'shortNameTranslation': {'ar': 'س. مانديتش', 'bn': 'এস. মান্ডিক', 'hi': 'एस. मैंडिक'}}}",False,save,regular,"{'x': 15, 'y': 63, 'z': 0}",left-foot,high-centre,"{'x': 0, 'y': 50.3, 'z': 20.8}",0.09529,7038273,73,,4321,"{'start': {'x': 63, 'y': 15}, 'end': {'x': 49.7, 'y': 0}, 'goal': {'x': 49.7, 'y': 79.2}}",18,1079,1621,shot,,0.05629,
"{'name': 'Dušan Vuković', 'firstName': '', 'lastName': '', 'slug': 'dusan-vukovic', 'shortName': 'D. Vuković', 'position': 'M', 'jerseyNumber': '77', 'userCount': 23, 'gender': 'M', 'id': 1103884, 'fieldTranslations': {'nameTranslation': {'ar': 'دوشان فوكوفيتش'}, 'shortNameTranslation': {'ar': 'د. فوكوفيتش'}}}",True,save,regular,"{'x': 21, 'y': 63, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 46.1, 'z': 10.7}",0.02092,7038272,68,,4054,"{'start': {'x': 63, 'y': 21}, 'end': {'x': 53.9, 'y': 0}, 'goal': {'x': 53.9, 'y': 89.3}}",23,1346,1354,shot,,0.1103,
"{'name': 'Neđeljko Kovinić', 'firstName': '', 'lastName': '', 'slug': 'nedeljko-kovinic', 'shortName': 'N. Kovinić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 26, 'gender': 'M', 'id': 1130148, 'fieldTranslations': {'nameTranslation': {'ar': 'نيديلكو كوفينيتش'}, 'shortNameTranslation': {'ar': 'ن. كوفينيتش'}}}",False,goal,regular,"{'x': 8, 'y': 49, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 45.3, 'z': 9.7}",0.3541,7038271,66,,3951,"{'start': {'x': 49, 'y': 8}, 'end': {'x': 54.7, 'y': 0}, 'goal': {'x': 54.7, 'y': 90.3}}",25,1449,1251,shot,regular,0.7449,
"{'name': 'Neđeljko Kovinić', 'firstName': '', 'lastName': '', 'slug': 'nedeljko-kovinic', 'shortName': 'N. Kovinić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 26, 'gender': 'M', 'id': 1130148, 'fieldTranslations': {'nameTranslation': {'ar': 'نيديلكو كوفينيتش'}, 'shortNameTranslation': {'ar': 'ن. كوفينيتش'}}}",False,save,regular,"{'x': 11, 'y': 30, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52.2, 'z': 12.1}",0.08213,7038270,65,,3882,"{'start': {'x': 30, 'y': 11}, 'end': {'x': 47.8, 'y': 0}, 'goal': {'x': 47.8, 'y': 87.9}}",26,1518,1182,shot,,0.133,
"{'name': 'Petar Ražnatović', 'slug': 'petar-raznatovic', 'shortName': 'P. Ražnatović', 'position': 'M', 'jerseyNumber': '10', 'userCount': 41, 'gender': 'M', 'id': 1947605, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر راجناتوفيتش'}, 'shortNameTranslation': {'ar': 'ب. راجناتوفيتش'}}}",False,goal,penalty,"{'x': 10, 'y': 50, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 49.7, 'z': 8}",0.76,7038279,53,,3152,"{'start': {'x': 50, 'y': 10}, 'end': {'x': 50.3, 'y': 0}, 'goal': {'x': 50.3, 'y': 92}}",38,2248,452,shot,penalty,0.81,
"{'name': 'Staniša Mandić', 'slug': 'stanisa-mandic', 'shortName': 'S. Mandić', 'position': 'D', 'jerseyNumber': '77', 'userCount': 42, 'gender': 'M', 'id': 363780, 'fieldTranslations': {'nameTranslation': {'ar': 'ستانيشا مانديتش', 'bn': 'স্ট্যানিসা মান্ডিচ', 'hi': 'स्टैनिसा मैंडिक'}, 'shortNameTranslation': {'ar': 'س. مانديتش', 'bn': 'এস. মান্ডিক', 'hi': 'एस. मैंडिक'}}}",False,miss,throw-in-set-piece,"{'x': 25, 'y': 62, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 43.7, 'z': 42.9}",0.006956,7038269,47,,2796,"{'start': {'x': 62, 'y': 25}, 'end': {'x': 56.3, 'y': 0}, 'goal': {'x': 56.3, 'y': 57.1}}",44,2604,96,shot,,,
"{'name': 'Igor Vukcevic', 'firstName': '', 'lastName': '', 'slug': 'igor-vukcevic', 'shortName': 'I. Vukcevic', 'position': 'F', 'jerseyNumber': '11', 'userCount': 1, 'gender': 'M', 'id': 957906, 'fieldTranslations': {'nameTranslation': {'ar': 'إيغور فوكيفيتش'}, 'shortNameTranslation': {'ar': 'إ. فوكيفيتش'}}}",False,miss,set-piece,"{'x': 8, 'y': 52, 'z': 0}",head,close-high,"{'x': 0, 'y': 45.6, 'z': 43.3}",0.1507,7038268,34,,2018,"{'start': {'x': 52, 'y': 8}, 'end': {'x': 54.4, 'y': 0}, 'goal': {'x': 54.4, 'y': 56.7}}",12,682,2018,shot,,,
"{'name': 'Lazar Knezevic', 'firstName': 'Lazar Knezevic', 'slug': 'lazar-knezevic', 'shortName': 'L. Knezevic', 'position': 'M', 'jerseyNumber': '7', 'userCount': 5, 'gender': 'M', 'id': 1497156, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار كنيزيفيتش'}, 'shortNameTranslation': {'ar': 'ل. كنيزيفيتش'}}}",True,save,throw-in-set-piece,"{'x': 13, 'y': 25, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.4, 'z': 7.1}",0.01673,7038267,29,,1691,"{'start': {'x': 25, 'y': 13}, 'end': {'x': 48.6, 'y': 0}, 'goal': {'x': 48.6, 'y': 92.9}}",17,1009,1691,shot,,0.012,
