player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,xgot,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType
"{'name': 'Zarija Mugoša', 'slug': 'zarija-mugosa', 'shortName': 'Z. Mugoša', 'position': 'D', 'jerseyNumber': '16', 'userCount': 9, 'gender': 'M', 'id': 1606668, 'fieldTranslations': {'nameTranslation': {'ar': 'زاريا موغوشا'}, 'shortNameTranslation': {'ar': 'ز. موغوشا'}}}",False,save,regular,"{'x': 9, 'y': 68, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53.4, 'z': 4.9}",0.1147,0.6145,7038083,90,4.0,5601,"{'start': {'x': 68, 'y': 9}, 'end': {'x': 46.6, 'y': 0}, 'goal': {'x': 46.6, 'y': 95.1}}",1,699,201,shot
"{'name': 'Nikola Braunović', 'firstName': '', 'lastName': '', 'slug': 'nikola-braunovic', 'shortName': 'N. Braunović', 'position': 'D', 'jerseyNumber': '29', 'userCount': 5, 'gender': 'M', 'id': 1466922, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا براونوفيتش'}, 'shortNameTranslation': {'ar': 'ن. براونوفيتش'}}}",True,miss,regular,"{'x': 37, 'y': 26, 'z': 0}",right-foot,close-high,"{'x': 0, 'y': 44.6, 'z': 52.5}",0.002333,,7038082,80,,4790,"{'start': {'x': 26, 'y': 37}, 'end': {'x': 55.4, 'y': 0}, 'goal': {'x': 55.4, 'y': 47.5}}",11,610,2090,shot
"{'name': 'Vuk Striković', 'firstName': '', 'lastName': '', 'slug': 'vuk-strikovic', 'shortName': 'V. Striković', 'position': 'M', 'jerseyNumber': '77', 'userCount': 15, 'gender': 'M', 'id': 1034556, 'fieldTranslations': {'nameTranslation': {'ar': 'فوك ستريركوفيتش', 'bn': 'ভুক স্ট্রিকোভিচ', 'hi': 'वुक स्ट्रिकोविक'}, 'shortNameTranslation': {'ar': 'ف. ستريركوفيتش', 'bn': 'ভি. স্ট্রিকোভিচ', 'hi': 'डब्ल्यू. स्ट्रिकोविक'}}}",True,save,regular,"{'x': 15, 'y': 49, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.5, 'z': 8.5}",0.1121,0.08823,7038081,70,,4185,"{'start': {'x': 49, 'y': 15}, 'end': {'x': 51.5, 'y': 0}, 'goal': {'x': 51.5, 'y': 91.5}}",21,1215,1485,shot
"{'name': 'Luka Maraš', 'firstName': 'Luka', 'lastName': 'Maraš', 'slug': 'luka-maras', 'shortName': 'L. Maraš', 'position': 'M', 'jerseyNumber': '11', 'userCount': 2, 'gender': 'M', 'id': 813112, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكا ماراش'}, 'shortNameTranslation': {'ar': 'ل. ماراش'}}}",False,save,regular,"{'x': 24, 'y': 51, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 46.6, 'z': 12.1}",0.05119,0.1808,7038080,65,,3889,"{'start': {'x': 51, 'y': 24}, 'end': {'x': 53.4, 'y': 0}, 'goal': {'x': 53.4, 'y': 87.9}}",26,1511,1189,shot
"{'name': 'Vitinho', 'slug': 'vitinho', 'shortName': 'Vitinho', 'position': 'M', 'jerseyNumber': '77', 'userCount': 12, 'gender': 'M', 'id': 1031066, 'fieldTranslations': {'nameTranslation': {'ar': 'فيتينيو'}, 'shortNameTranslation': {'ar': 'فيتينيو'}}}",False,miss,regular,"{'x': 20, 'y': 68, 'z': 0}",left-foot,close-high-left,"{'x': 0, 'y': 56, 'z': 40.3}",0.002554,,7038079,59,,3539,"{'start': {'x': 68, 'y': 20}, 'end': {'x': 44, 'y': 0}, 'goal': {'x': 44, 'y': 59.7}}",32,1861,839,shot
"{'name': 'Asmir Kajević', 'slug': 'asmir-kajevic', 'shortName': 'A. Kajević', 'position': 'M', 'jerseyNumber': '10', 'userCount': 16, 'gender': 'M', 'id': 76273, 'fieldTranslations': {'nameTranslation': {'ar': 'أسمير كايفيتش', 'bn': 'আসমির কাজেভিচ', 'hi': 'अस्मिर काजेविक'}, 'shortNameTranslation': {'ar': 'أ. كايفيتش', 'bn': 'এ. কাজেভিচ', 'hi': 'ए. काजेविक'}}}",True,miss,throw-in-set-piece,"{'x': 6, 'y': 68, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 42.8, 'z': 57.8}",0.03916,,7038078,55,,3280,"{'start': {'x': 68, 'y': 6}, 'end': {'x': 57.2, 'y': 0}, 'goal': {'x': 57.2, 'y': 42.2}}",36,2120,580,shot
"{'name': 'Fatih Muković', 'firstName': '', 'lastName': '', 'slug': 'fatih-mukovic', 'shortName': 'F. Muković', 'position': 'M', 'jerseyNumber': '8', 'userCount': 9, 'gender': 'M', 'id': 1063210, 'fieldTranslations': {'nameTranslation': {'ar': 'فاتح موكوفيتش'}, 'shortNameTranslation': {'ar': 'ف. موكوفيتش'}}}",False,miss,set-piece,"{'x': 12, 'y': 34, 'z': 0}",right-foot,close-high,"{'x': 0, 'y': 50.2, 'z': 51.9}",0.08881,,7038077,43,,2561,"{'start': {'x': 34, 'y': 12}, 'end': {'x': 49.8, 'y': 0}, 'goal': {'x': 49.8, 'y': 48.1}}",3,139,2561,shot
"{'name': 'Balša Radusinović', 'firstName': '', 'lastName': '', 'slug': 'balsa-radusinovic', 'shortName': 'B. Radusinović', 'position': 'M', 'jerseyNumber': '32', 'userCount': 10, 'gender': 'M', 'id': 1131064, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا رادوسينوفيتش'}, 'shortNameTranslation': {'ar': 'ب. رادوسينوفيتش'}}}",True,miss,set-piece,"{'x': 10, 'y': 32, 'z': 0}",left-foot,close-high-left,"{'x': 0, 'y': 56.8, 'z': 46.7}",0.1062,,7038076,32,,1898,"{'start': {'x': 32, 'y': 10}, 'end': {'x': 43.2, 'y': 0}, 'goal': {'x': 43.2, 'y': 53.3}}",14,802,1898,shot
"{'name': 'Petar Pavlićević', 'firstName': '', 'lastName': '', 'slug': 'petar-pavlicevic', 'shortName': 'P. Pavlićević', 'position': 'M', 'jerseyNumber': '74', 'userCount': 9, 'gender': 'M', 'id': 929112, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر بافليتشيفيتش'}, 'shortNameTranslation': {'ar': 'ب. بافليتشيفيتش'}}}",True,miss,regular,"{'x': 10, 'y': 48, 'z': 0}",head,close-left,"{'x': 0, 'y': 58.1, 'z': 3.9}",0.1143,,7038075,21,,1246,"{'start': {'x': 48, 'y': 10}, 'end': {'x': 41.9, 'y': 0}, 'goal': {'x': 41.9, 'y': 96.1}}",25,1454,1246,shot
"{'name': 'Marko Čavor', 'firstName': '', 'lastName': '', 'slug': 'marko-cavor', 'shortName': 'M. Čavor', 'position': 'D', 'jerseyNumber': '29', 'userCount': 13, 'gender': 'M', 'id': 909420, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو تشافور'}, 'shortNameTranslation': {'ar': 'م. تشافور'}}}",False,miss,regular,"{'x': 24, 'y': 38, 'z': 0}",left-foot,close-high,"{'x': 0, 'y': 54.7, 'z': 53.9}",0.01056,,7038074,17,,981,"{'start': {'x': 38, 'y': 24}, 'end': {'x': 45.3, 'y': 0}, 'goal': {'x': 45.3, 'y': 46.1}}",29,1719,981,shot
"{'name': 'Asmir Kajević', 'slug': 'asmir-kajevic', 'shortName': 'A. Kajević', 'position': 'M', 'jerseyNumber': '10', 'userCount': 16, 'gender': 'M', 'id': 76273, 'fieldTranslations': {'nameTranslation': {'ar': 'أسمير كايفيتش', 'bn': 'আসমির কাজেভিচ', 'hi': 'अस्मिर काजेविक'}, 'shortNameTranslation': {'ar': 'أ. كايفيتش', 'bn': 'এ. কাজেভিচ', 'hi': 'ए. काजेविक'}}}",True,miss,throw-in-set-piece,"{'x': 19, 'y': 43, 'z': 0}",right-foot,close-right,"{'x': 0, 'y': 42.8, 'z': 9.9}",0.007409,,7038073,7,,393,"{'start': {'x': 43, 'y': 19}, 'end': {'x': 57.2, 'y': 0}, 'goal': {'x': 57.2, 'y': 90.1}}",39,2307,393,shot
