customId,winnerCode,hasGlobalHighlights,hasXg,hasEventPlayerStatistics,hasEventPlayerHeatMap,crowdsourcingDataDisplayEnabled,id,slug,startTimestamp,finalResultOnly,feedLocked,isEditor,tournament.name,tournament.slug,tournament.category.name,tournament.category.slug,tournament.category.sport.name,tournament.category.sport.slug,tournament.category.sport.id,tournament.category.id,tournament.category.country.alpha2,tournament.category.country.alpha3,tournament.category.country.name,tournament.category.country.slug,tournament.category.flag,tournament.category.alpha2,tournament.category.fieldTranslations.nameTranslation.ar,tournament.uniqueTournament.name,tournament.uniqueTournament.slug,tournament.uniqueTournament.primaryColorHex,tournament.uniqueTournament.secondaryColorHex,tournament.uniqueTournament.category.name,tournament.uniqueTournament.category.slug,tournament.uniqueTournament.category.sport.name,tournament.uniqueTournament.category.sport.slug,tournament.uniqueTournament.category.sport.id,tournament.uniqueTournament.category.id,tournament.uniqueTournament.category.country.alpha2,tournament.uniqueTournament.category.country.alpha3,tournament.uniqueTournament.category.country.name,tournament.uniqueTournament.category.country.slug,tournament.uniqueTournament.category.flag,tournament.uniqueTournament.category.alpha2,tournament.uniqueTournament.category.fieldTranslations.nameTranslation.ar,tournament.uniqueTournament.userCount,tournament.uniqueTournament.hasPerformanceGraphFeature,tournament.uniqueTournament.id,tournament.uniqueTournament.hasEventPlayerStatistics,tournament.uniqueTournament.displayInverseHomeAwayTeams,tournament.uniqueTournament.fieldTranslations.nameTranslation.ar,tournament.priority,tournament.isGroup,tournament.isLive,tournament.id,tournament.fieldTranslations.nameTranslation.ar,season.name,season.year,season.editor,season.seasonCoverageInfo.editorCoverageLevel,season.id,roundInfo.round,status.code,status.description,status.type,homeTeam.name,homeTeam.slug,homeTeam.shortName,homeTeam.gender,homeTeam.sport.name,homeTeam.sport.slug,homeTeam.sport.id,homeTeam.userCount,homeTeam.nameCode,homeTeam.national,homeTeam.type,homeTeam.id,homeTeam.country.alpha2,homeTeam.country.alpha3,homeTeam.country.name,homeTeam.country.slug,homeTeam.subTeams,homeTeam.teamColors.primary,homeTeam.teamColors.secondary,homeTeam.teamColors.text,homeTeam.fieldTranslations.nameTranslation.ar,homeTeam.fieldTranslations.nameTranslation.ru,awayTeam.name,awayTeam.slug,awayTeam.shortName,awayTeam.gender,awayTeam.sport.name,awayTeam.sport.slug,awayTeam.sport.id,awayTeam.userCount,awayTeam.nameCode,awayTeam.national,awayTeam.type,awayTeam.id,awayTeam.country.alpha2,awayTeam.country.alpha3,awayTeam.country.name,awayTeam.country.slug,awayTeam.subTeams,awayTeam.teamColors.primary,awayTeam.teamColors.secondary,awayTeam.teamColors.text,awayTeam.fieldTranslations.nameTranslation.ar,awayTeam.fieldTranslations.nameTranslation.ru,homeScore.current,homeScore.display,homeScore.period1,homeScore.period2,homeScore.normaltime,awayScore.current,awayScore.display,awayScore.period1,awayScore.period2,awayScore.normaltime,time.periodLength,time.overtimeLength,time.totalPeriodCount,time.currentPeriodStartTimestamp,changes.changes,changes.changeTimestamp,homeTeam.fieldTranslations.shortNameTranslation.ar,awayTeam.fieldTranslations.shortNameTranslation.ar,awayTeam.fieldTranslations.shortNameTranslation.hi,awayTeam.fieldTranslations.shortNameTranslation.bn,homeTeam.disabled,awayTeam.disabled,homeTeam.fieldTranslations.shortNameTranslation.hi,homeTeam.fieldTranslations.shortNameTranslation.bn,awayRedCards,eventFilters.category,eventFilters.level,eventFilters.gender,homeRedCards
uzcsgjp,1.0,True,True,True,True,False,14147310,fk-arsenal-tivat-fk-jedinstvo-bijelo-polje,1754330400,False,True,False,Montenegrin First League,1-cfl,Montenegro,montenegro,Football,football,1,386,ME,MNE,Montenegro,montenegro,montenegro,ME,الجبل الأسود,Montenegrin First League,meridianbet-1-cfl,#e5007d,#959595,Montenegro,montenegro,Football,football,1,386,ME,MNE,Montenegro,montenegro,montenegro,ME,الجبل الأسود,1515,False,154,False,False,الدوري الأول الجبل الأسود,0,False,False,4689,الدوري الجبل الأسود الممتاز,1. CFL 25/26,25/26,False,3,78078,1,100,Ended,finished,FK Arsenal Tivat,fk-arsenal-tivat,FK Arsenal,M,Football,football,1,1867,ATI,False,0,37956,ME,MNE,Montenegro,montenegro,[],#0000ff,#ffffff,#ffffff,إف كيه أرسنال تيفات,ФК Арсенал Тиват,FK Jedinstvo Bijelo Polje,fk-jedinstvo-bijelo-polje,FK Jedinstvo,M,Football,football,1,872,JBP,False,0,6219,ME,MNE,Montenegro,montenegro,[],#ffffff,#3366cc,#3366cc,بيجيلو بولج إف كيه جيدينستفو,ФК Единство Биело Поле,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2700.0,900.0,2.0,1754334334.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1754337215,إف كيه أرسنال,,,,,,एफके आर्सेनल,এফকে আর্সেনাল,,,,,
qzcsGbd,1.0,True,True,True,True,False,14147408,fk-bokelj-kotor-ofk-petrovac,1754330400,False,True,False,Montenegrin First League,1-cfl,Montenegro,montenegro,Football,football,1,386,ME,MNE,Montenegro,montenegro,montenegro,ME,الجبل الأسود,Montenegrin First League,meridianbet-1-cfl,#e5007d,#959595,Montenegro,montenegro,Football,football,1,386,ME,MNE,Montenegro,montenegro,montenegro,ME,الجبل الأسود,1515,False,154,False,False,الدوري الأول الجبل الأسود,0,False,False,4689,الدوري الجبل الأسود الممتاز,1. CFL 25/26,25/26,False,3,78078,1,100,Ended,finished,OFK Petrovac,ofk-petrovac,Petrovac,M,Football,football,1,1813,PET,False,0,6216,ME,MNE,Montenegro,montenegro,[],#6699ff,#ffffff,#ffffff,أوفك بتروفاتش,ОФК Петровац,FK Bokelj Kotor,fk-bokelj-kotor,FK Bokelj,M,Football,football,1,1336,BKO,False,0,7581,ME,MNE,Montenegro,montenegro,[],#0000ff,#ffffff,#ffffff,إف كيه بوكيلج كوتور,ФК Бокель Котор,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2700.0,900.0,2.0,1754334186.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1754337055,,,,,False,,,,,,,,
BzcsmTFc,1.0,True,True,True,True,False,14147300,mladost-dg-fk-decic-tuzi,1754330400,False,True,False,Montenegrin First League,1-cfl,Montenegro,montenegro,Football,football,1,386,ME,MNE,Montenegro,montenegro,montenegro,ME,الجبل الأسود,Montenegrin First League,meridianbet-1-cfl,#e5007d,#959595,Montenegro,montenegro,Football,football,1,386,ME,MNE,Montenegro,montenegro,montenegro,ME,الجبل الأسود,1515,False,154,False,False,الدوري الأول الجبل الأسود,0,False,False,4689,الدوري الجبل الأسود الممتاز,1. CFL 25/26,25/26,False,3,78078,1,100,Ended,finished,FK Dečić Tuzi,fk-decic-tuzi,FK Dečić,M,Football,football,1,3068,TUZ,False,0,6226,ME,MNE,Montenegro,montenegro,[],#0000ff,#ffffff,#ffffff,إف كيه ديتشيتش توزي,ФК Дечич Тузи,Mladost DG,mladost-dg,,M,Football,football,1,1472,MLA,False,0,327162,ME,MNE,Montenegro,montenegro,[],#374df5,#374df5,#ffffff,ملادست دي جي,,3.0,3.0,2.0,1.0,3.0,2.0,2.0,0.0,2.0,2.0,2700.0,900.0,2.0,1754334215.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1754337200,إف كيه ديتشيتش,,,,False,,एफके देचिच,এফকে ডেসিচ,,,,,
TccsmLj,2.0,True,True,True,True,False,14147319,fk-jezero-fk-buducnost-podgorica,1754330400,False,True,False,Montenegrin First League,1-cfl,Montenegro,montenegro,Football,football,1,386,ME,MNE,Montenegro,montenegro,montenegro,ME,الجبل الأسود,Montenegrin First League,meridianbet-1-cfl,#e5007d,#959595,Montenegro,montenegro,Football,football,1,386,ME,MNE,Montenegro,montenegro,montenegro,ME,الجبل الأسود,1515,False,154,False,False,الدوري الأول الجبل الأسود,0,False,False,4689,الدوري الجبل الأسود الممتاز,1. CFL 25/26,25/26,False,3,78078,1,100,Ended,finished,FK Jezero,fk-jezero,Jezero,M,Football,football,1,1789,JEZ,False,0,24312,ME,MNE,Montenegro,montenegro,[],#000080,#ffffff,#ffffff,إف كيه يزيرو,,FK Budućnost Podgorica,fk-buducnost-podgorica,Budućnost,M,Football,football,1,6883,BUD,False,0,5143,ME,MNE,Montenegro,montenegro,[],#ffffff,#094ca1,#094ca1,إف كيه بودوجنوست بودغوريتسا,ФК Будучность Подгорица,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,2.0,2.0,2700.0,900.0,2.0,1754334136.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1754337172,يزيرو,بودوجنوست,बुडुकनोस्ट,বুদুকনস্ট,,False,,,,,,,
zzcsuvo,1.0,True,True,True,True,False,14147314,fk-mornar-bar-fk-sutjeska-niksic,1754334000,False,True,False,Montenegrin First League,1-cfl,Montenegro,montenegro,Football,football,1,386,ME,MNE,Montenegro,montenegro,montenegro,ME,الجبل الأسود,Montenegrin First League,meridianbet-1-cfl,#e5007d,#959595,Montenegro,montenegro,Football,football,1,386,ME,MNE,Montenegro,montenegro,montenegro,ME,الجبل الأسود,1515,False,154,False,False,الدوري الأول الجبل الأسود,0,False,False,4689,الدوري الجبل الأسود الممتاز,1. CFL 25/26,25/26,False,3,78078,1,100,Ended,finished,FK Sutjeska Nikšić,fk-sutjeska-niksic,Sutjeska,M,Football,football,1,3511,SUN,False,0,6224,ME,MNE,Montenegro,montenegro,[],#094ca1,#ffffff,#ffffff,إف كيه سوتييسكا نيكسيتش,ФК Сутьеска Никшич,FK Mornar Bar,fk-mornar-bar,FK Mornar,M,Football,football,1,2470,MBA,False,0,36019,ME,MNE,Montenegro,montenegro,[],#3366cc,#ffffff,#ffffff,يسدّ إف كيه مورنار,ФК Морнар Бар,3.0,3.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,2700.0,900.0,2.0,1754337821.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1754340682,سوتييسكا,,,,,,सुत्जेस्का,সুতজেস্কা,,,,,
uvosgjp,3.0,True,True,True,True,False,14147315,fk-arsenal-tivat-fk-mornar-bar,1754848800,False,True,False,Montenegrin First League,1-cfl,Montenegro,montenegro,Football,football,1,386,ME,MNE,Montenegro,montenegro,montenegro,ME,الجبل الأسود,Montenegrin First League,meridianbet-1-cfl,#e5007d,#959595,Montenegro,montenegro,Football,football,1,386,ME,MNE,Montenegro,montenegro,montenegro,ME,الجبل الأسود,1515,False,154,False,False,الدوري الأول الجبل الأسود,0,False,False,4689,الدوري الجبل الأسود الممتاز,1. CFL 25/26,25/26,False,3,78078,2,100,Ended,finished,FK Mornar Bar,fk-mornar-bar,FK Mornar,M,Football,football,1,2470,MBA,False,0,36019,ME,MNE,Montenegro,montenegro,[],#3366cc,#ffffff,#ffffff,يسدّ إف كيه مورنار,ФК Морнар Бар,FK Arsenal Tivat,fk-arsenal-tivat,FK Arsenal,M,Football,football,1,1867,ATI,False,0,37956,ME,MNE,Montenegro,montenegro,[],#0000ff,#ffffff,#ffffff,إف كيه أرسنال تيفات,ФК Арсенал Тиват,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2700.0,900.0,2.0,1754852776.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1754855701,,إف كيه أرسنال,एफके आर्सेनल,এফকে আর্সেনাল,,,,,,,,,1.0
Tccszzc,2.0,True,True,True,True,False,14147309,fk-sutjeska-niksic-fk-buducnost-podgorica,1754848800,False,True,False,Montenegrin First League,1-cfl,Montenegro,montenegro,Football,football,1,386,ME,MNE,Montenegro,montenegro,montenegro,ME,الجبل الأسود,Montenegrin First League,meridianbet-1-cfl,#e5007d,#959595,Montenegro,montenegro,Football,football,1,386,ME,MNE,Montenegro,montenegro,montenegro,ME,الجبل الأسود,1515,False,154,False,False,الدوري الأول الجبل الأسود,0,False,False,4689,الدوري الجبل الأسود الممتاز,1. CFL 25/26,25/26,False,3,78078,2,100,Ended,finished,FK Budućnost Podgorica,fk-buducnost-podgorica,Budućnost,M,Football,football,1,6883,BUD,False,0,5143,ME,MNE,Montenegro,montenegro,[],#ffffff,#094ca1,#094ca1,إف كيه بودوجنوست بودغوريتسا,ФК Будучность Подгорица,FK Sutjeska Nikšić,fk-sutjeska-niksic,Sutjeska,M,Football,football,1,3511,SUN,False,0,6224,ME,MNE,Montenegro,montenegro,[],#094ca1,#ffffff,#ffffff,إف كيه سوتييسكا نيكسيتش,ФК Сутьеска Никшич,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2700.0,900.0,2.0,1754852713.0,['time.currentPeriodStart'],1754855713,بودوجنوست,سوتييسكا,सुत्जेस्का,সুতজেস্কা,False,,बुडुकनोस्ट,বুদুকনস্ট,,,,,
GbdsmTFc,3.0,True,True,True,True,False,14147297,mladost-dg-fk-bokelj-kotor,1754848800,False,True,False,Montenegrin First League,1-cfl,Montenegro,montenegro,Football,football,1,386,ME,MNE,Montenegro,montenegro,montenegro,ME,الجبل الأسود,Montenegrin First League,meridianbet-1-cfl,#e5007d,#959595,Montenegro,montenegro,Football,football,1,386,ME,MNE,Montenegro,montenegro,montenegro,ME,الجبل الأسود,1515,False,154,False,False,الدوري الأول الجبل الأسود,0,False,False,4689,الدوري الجبل الأسود الممتاز,1. CFL 25/26,25/26,False,3,78078,2,100,Ended,finished,FK Bokelj Kotor,fk-bokelj-kotor,FK Bokelj,M,Football,football,1,1336,BKO,False,0,7581,ME,MNE,Montenegro,montenegro,[],#0000ff,#ffffff,#ffffff,إف كيه بوكيلج كوتور,ФК Бокель Котор,Mladost DG,mladost-dg,,M,Football,football,1,1472,MLA,False,0,327162,ME,MNE,Montenegro,montenegro,[],#374df5,#374df5,#ffffff,ملادست دي جي,,2.0,2.0,0.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2700.0,900.0,2.0,1754853127.0,['time.currentPeriodStart'],1754856127,,,,,,,,,,,,,
qzcsmLj,3.0,True,True,True,True,False,14147301,fk-jezero-ofk-petrovac,1754848800,False,True,False,Montenegrin First League,1-cfl,Montenegro,montenegro,Football,football,1,386,ME,MNE,Montenegro,montenegro,montenegro,ME,الجبل الأسود,Montenegrin First League,meridianbet-1-cfl,#e5007d,#959595,Montenegro,montenegro,Football,football,1,386,ME,MNE,Montenegro,montenegro,montenegro,ME,الجبل الأسود,1515,False,154,False,False,الدوري الأول الجبل الأسود,0,False,False,4689,الدوري الجبل الأسود الممتاز,1. CFL 25/26,25/26,False,3,78078,2,100,Ended,finished,OFK Petrovac,ofk-petrovac,Petrovac,M,Football,football,1,1813,PET,False,0,6216,ME,MNE,Montenegro,montenegro,[],#6699ff,#ffffff,#ffffff,أوفك بتروفاتش,ОФК Петровац,FK Jezero,fk-jezero,Jezero,M,Football,football,1,1789,JEZ,False,0,24312,ME,MNE,Montenegro,montenegro,[],#000080,#ffffff,#ffffff,إف كيه يزيرو,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2700.0,900.0,2.0,1754852796.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime', 'time.currentPeriodStart']",1754855743,,يزيرو,,,False,,,,,,,,
uzcsBzc,2.0,False,True,True,True,False,14147313,fk-decic-tuzi-fk-jedinstvo-bijelo-polje,1754852400,False,True,False,Montenegrin First League,1-cfl,Montenegro,montenegro,Football,football,1,386,ME,MNE,Montenegro,montenegro,montenegro,ME,الجبل الأسود,Montenegrin First League,meridianbet-1-cfl,#e5007d,#959595,Montenegro,montenegro,Football,football,1,386,ME,MNE,Montenegro,montenegro,montenegro,ME,الجبل الأسود,1515,False,154,False,False,الدوري الأول الجبل الأسود,0,False,False,4689,الدوري الجبل الأسود الممتاز,1. CFL 25/26,25/26,False,3,78078,2,100,Ended,finished,FK Jedinstvo Bijelo Polje,fk-jedinstvo-bijelo-polje,FK Jedinstvo,M,Football,football,1,872,JBP,False,0,6219,ME,MNE,Montenegro,montenegro,[],#ffffff,#3366cc,#3366cc,بيجيلو بولج إف كيه جيدينستفو,ФК Единство Биело Поле,FK Dečić Tuzi,fk-decic-tuzi,FK Dečić,M,Football,football,1,3068,TUZ,False,0,6226,ME,MNE,Montenegro,montenegro,[],#0000ff,#ffffff,#ffffff,إف كيه ديتشيتش توزي,ФК Дечич Тузи,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2700.0,900.0,2.0,1754856164.0,"['status.code', 'status.description', 'status.type', 'homeScore.normaltime', 'awayScore.normaltime']",1754859148,,إف كيه ديتشيتش,एफके देचिच,এফকে ডেসিচ,,False,,,,,,,1.0
