match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,keyPass,shotOffTarget,blockedScoringAttempt
14147300,home,35092,FK Dečić Tuzi,920738,Igor Nikić,igor-nikic,G,1,False,45.0,36.0,19.0,11.0,0.0,32.0,33.0,2.0,10.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,90.0,54.0,6.7,7.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,80.0,57.89473684210527,,,0.0,,,,
14147300,home,6226,FK Dečić Tuzi,958574,Jonathan Dresaj,jonathan-dresaj,D,22,False,29.0,20.0,2.0,0.0,0.0,6.0,12.0,13.0,15.0,2.0,1.0,2.0,0.0,14.0,3.0,5.0,2.0,1.0,0.0,0.0,2.0,0.0,,6.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,90.0,44.0,5.8,8.0,0.0,0.0,"{'original': 5.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,2,15,3,12,68.96551724137932,0.0,50.0,50.0,,1.0,,,
14147300,home,6226,FK Dečić Tuzi,1063206,Leon Ujkaj,leon-ujkaj,D,17,False,61.0,50.0,18.0,10.0,1.0,32.0,33.0,17.0,27.0,0.0,0.0,0.0,0.0,6.0,5.0,2.0,1.0,1.0,0.0,0.0,6.0,1.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,90.0,87.0,7.5,13.0,0.0,0.05,"{'original': 7.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,0,11,5,6,81.9672131147541,55.55555555555556,,100.0,,,1.0,,
14147300,home,6226,FK Dečić Tuzi,78954,Žarko Tomašević,zarko-tomasevic,D,5,False,59.0,50.0,11.0,6.0,0.0,32.0,34.0,18.0,25.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,,10.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,90.0,74.0,6.7,13.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,3,2,0,2,84.7457627118644,54.54545454545454,,,,,,,
14147300,home,6226,FK Dečić Tuzi,1423517,Lazar Maraš,lazar-maras,D,18,False,30.0,22.0,3.0,1.0,0.0,5.0,8.0,15.0,20.0,0.0,0.0,0.0,1.0,10.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,,,,,,,90.0,40.0,6.5,10.0,0.0,0.11,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,2,10,73.33333333333333,33.33333333333333,,,,,1.0,,
14147300,home,6226,FK Dečić Tuzi,1035792,Petar Sekulović,petar-sekulovic,M,20,False,59.0,49.0,7.0,3.0,0.0,31.0,34.0,16.0,22.0,2.0,0.0,0.0,0.0,7.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,9.0,1.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,,,,,,,87.0,79.0,6.5,11.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,3,7,83.05084745762711,42.857142857142854,0.0,,,1.0,,,
14147300,home,6225,FK Dečić Tuzi,1131064,Balša Radusinović,balsa-radusinovic,M,32,False,13.0,7.0,0.0,0.0,0.0,2.0,3.0,4.0,9.0,1.0,0.0,3.0,0.0,8.0,3.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,,,,,,,83.0,27.0,8.1,14.0,0.15,0.0,"{'original': 8.1, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,3,8,3,5,53.84615384615385,,0.0,50.0,,,,,
14147300,home,6226,FK Dečić Tuzi,929112,Petar Pavlićević,petar-pavlicevic,M,74,False,30.0,27.0,3.0,1.0,0.0,16.0,16.0,11.0,14.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,,,,,,,61.0,38.0,6.7,3.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,2,3,90.0,33.33333333333333,,,,,,,
14147300,home,6226,FK Dečić Tuzi,1005614,Andrej Bajović,andrej-bajovic,M,14,False,24.0,17.0,1.0,1.0,0.0,10.0,11.0,7.0,11.0,2.0,0.0,0.0,1.0,6.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0,,,,,,,90.0,34.0,6.4,6.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,1,7,1,6,70.83333333333334,100.0,0.0,100.0,,,,,
14147300,home,6226,FK Dečić Tuzi,1034556,Vuk Striković,vuk-strikovic,M,77,False,20.0,14.0,2.0,0.0,0.0,7.0,11.0,7.0,9.0,1.0,0.0,2.0,1.0,5.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,3.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,,,,,,,83.0,30.0,6.1,9.0,0.0,0.0,"{'original': 6.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,3,4,1,3,70.0,0.0,0.0,0.0,,1.0,,,
