match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,blockedScoringAttempt,bigChanceMissed,shotOffTarget,bigChanceCreated,keyPass,hitWoodwork,penaltyWon
14147307,home,37956,FK Arsenal Tivat,800147,Bojan Zogović,bojan-zogovic,G,1,False,13.0,7.0,11.0,5.0,0.0,3.0,3.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,90.0,18.0,7.1,4.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,53.84615384615385,45.45454545454545,,,0.0,,,,,,,,
14147307,home,37956,FK Arsenal Tivat,1804545,Gojko Petović,gojko-petrovic,D,5,False,15.0,8.0,4.0,2.0,0.0,4.0,6.0,3.0,7.0,0.0,0.0,2.0,3.0,6.0,7.0,1.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,6.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,,90.0,23.0,7.2,7.0,0.0,0.0,"{'original': 7.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,5,8,4,4,53.333333333333336,50.0,,,,,,,,,,,
14147307,home,37956,FK Arsenal Tivat,889352,Zoran Mikijelj,zoran-mikijelj,D,19,False,16.0,12.0,5.0,2.0,0.0,6.0,7.0,6.0,9.0,0.0,0.0,3.0,2.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,90.0,28.0,7.3,6.0,0.0,0.0,"{'original': 7.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,5,2,0,2,75.0,40.0,,,,,,,,,,,
14147307,home,37956,FK Arsenal Tivat,984070,Marko Živanović,marko-zivanovic,D,26,False,21.0,16.0,7.0,4.0,0.0,11.0,12.0,4.0,7.0,0.0,0.0,1.0,3.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,,,,,,,90.0,24.0,7.0,6.0,0.0,0.0,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,2,3,76.19047619047619,57.14285714285714,,,,,,,,,,,
14147307,home,37956,FK Arsenal Tivat,363780,Staniša Mandić,stanisa-mandic,M,77,False,26.0,19.0,6.0,4.0,0.0,9.0,10.0,8.0,13.0,1.0,0.0,2.0,2.0,7.0,4.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,90.0,31.0,7.0,8.0,0.0,0.0,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,2,5,73.07692307692307,66.66666666666666,0.0,,,,,,,,,,
14147307,home,37956,FK Arsenal Tivat,184773,Irfan Šahman,irfan-sahman,M,8,False,30.0,24.0,4.0,0.0,0.0,9.0,10.0,12.0,17.0,0.0,0.0,0.0,0.0,7.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,5.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,43.0,6.8,10.0,0.04,0.0,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,0,10,3,7,80.0,0.0,,50.0,,2.0,1.0,,,,,,
14147307,home,37956,FK Arsenal Tivat,1005627,Aleksa Ćetković,aleksa-cetkovic,M,28,False,23.0,16.0,3.0,3.0,0.0,8.0,10.0,8.0,13.0,1.0,0.0,5.0,3.0,17.0,10.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,,10.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,,90.0,28.0,6.4,13.0,0.45,0.0,"{'original': 6.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",27,8,19,7,12,69.56521739130434,100.0,0.0,100.0,,,,1.0,1.0,,,,
14147307,home,37956,FK Arsenal Tivat,889057,Mitar Ćuković,mitar-cukovic,M,2,False,26.0,14.0,4.0,1.0,0.0,5.0,9.0,8.0,15.0,4.0,3.0,1.0,0.0,24.0,3.0,2.0,1.0,1.0,0.0,0.0,3.0,0.0,2.0,7.0,1.0,1.0,0.0,0.0,1.0,2.0,4.0,0.0,,,,,,,90.0,39.0,6.9,17.0,0.0,0.57,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",27,1,26,3,23,53.84615384615385,25.0,75.0,100.0,,,,,,1.0,3.0,,
14147307,home,37956,FK Arsenal Tivat,1947605,Petar Ražnatović,petar-raznatovic,F,10,False,22.0,15.0,1.0,0.0,0.0,6.0,8.0,9.0,14.0,1.0,0.0,1.0,2.0,12.0,5.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0,,,,,,,90.0,38.0,6.9,9.0,0.05,0.0,"{'original': 6.9, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,3,14,3,11,68.18181818181817,0.0,0.0,100.0,,2.0,,,2.0,,,,
14147307,home,6223,FK Arsenal Tivat,881019,Vanja Vučićević,vanja-vucicevic,F,22,False,19.0,13.0,2.0,0.0,0.0,3.0,4.0,10.0,15.0,1.0,0.0,8.0,1.0,15.0,10.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,,2.0,0.0,0.0,1.0,0.0,1.0,4.0,2.0,0.0,,,,,,,90.0,41.0,6.5,18.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",25,9,16,9,7,68.42105263157895,0.0,0.0,66.66666666666666,,1.0,,,,,,,
