player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,goalType,xgot
"{'name': 'Julian Montenegro', 'firstName': '', 'lastName': '', 'slug': 'julian-montenegro', 'shortName': 'J. Montenegro', 'position': 'M', 'jerseyNumber': '11', 'userCount': 19, 'gender': 'M', 'id': 205970, 'fieldTranslations': {'nameTranslation': {'ar': 'جوليان مونتينيغرو'}, 'shortNameTranslation': {'ar': 'ج. مونتينيغرو'}}}",False,miss,free-kick,"{'x': 22, 'y': 31, 'z': 0}",left-foot,close-high,"{'x': 0, 'y': 48.4, 'z': 57.6}",0.001602,6532385,90,3.0,5521,"{'start': {'x': 31, 'y': 22}, 'end': {'x': 51.6, 'y': 0}, 'goal': {'x': 51.6, 'y': 42.4}}",1,779,121,shot,,,
"{'name': 'Jovan Nikolić', 'slug': 'jovan-nikolic', 'shortName': 'J. Nikolić', 'position': 'M', 'jerseyNumber': '4', 'userCount': 2, 'gender': 'M', 'id': 58157, 'fieldTranslations': {'nameTranslation': {'ar': 'يوفان نيكوليتش', 'hi': 'जोवन निकोलिक', 'bn': 'জোভান নিকোলিচ'}, 'shortNameTranslation': {'ar': 'ي. نيكوليتش', 'hi': 'जे. निकोलिक', 'bn': 'জে. নিকোলিচ'}}}",False,block,regular,"{'x': 25, 'y': 55, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.0002123,6532383,79,,4682,"{'start': {'x': 55, 'y': 25}, 'block': {'x': 55, 'y': 25}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",12,718,1982,shot,"{'x': 25, 'y': 55, 'z': 0}",,
"{'name': 'Darko Zorić', 'slug': 'darko-zoric', 'shortName': 'D. Zorić', 'position': 'M', 'jerseyNumber': '18', 'userCount': 13, 'gender': 'M', 'id': 154655, 'fieldTranslations': {'nameTranslation': {'ar': 'داركو زوريتش'}, 'shortNameTranslation': {'ar': 'د. زوريتش'}}}",True,miss,free-kick,"{'x': 25, 'y': 51, 'z': 0}",left-foot,close-high-right,"{'x': 0, 'y': 43.6, 'z': 55.8}",0.00149,6532384,72,,4265,"{'start': {'x': 51, 'y': 25}, 'end': {'x': 56.4, 'y': 0}, 'goal': {'x': 56.4, 'y': 44.2}}",19,1135,1565,shot,,,
"{'name': 'Darko Zorić', 'slug': 'darko-zoric', 'shortName': 'D. Zorić', 'position': 'M', 'jerseyNumber': '18', 'userCount': 13, 'gender': 'M', 'id': 154655, 'fieldTranslations': {'nameTranslation': {'ar': 'داركو زوريتش'}, 'shortNameTranslation': {'ar': 'د. زوريتش'}}}",True,goal,regular,"{'x': 9, 'y': 47, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 48.8, 'z': 35.9}",0.2833,6532382,61,,3634,"{'start': {'x': 47, 'y': 9}, 'end': {'x': 51.2, 'y': 0}, 'goal': {'x': 51.2, 'y': 64.1}}",30,1766,934,shot,,regular,0.698
"{'name': 'Balša Sekulić', 'slug': 'balsa-sekulic', 'shortName': 'B. Sekulić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 23, 'gender': 'M', 'id': 856483, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا سيكوليتش', 'hi': 'बाल्सा सेकुलिक', 'bn': 'বালসা সেকুলিক'}, 'shortNameTranslation': {'ar': 'ب. سيكوليتش', 'hi': 'बी. सेकुलिक', 'bn': 'বি. সেকুলিক'}}}",True,goal,throw-in-set-piece,"{'x': 2, 'y': 47, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 54, 'z': 11.8}",0.2973,6532381,59,,3522,"{'start': {'x': 47, 'y': 2}, 'end': {'x': 46, 'y': 0}, 'goal': {'x': 46, 'y': 88.2}}",32,1878,822,shot,,regular,0.557
"{'name': 'Vanja Vučićević', 'slug': 'vanja-vucicevic', 'shortName': 'V. Vučićević', 'position': 'F', 'userCount': 11, 'gender': 'M', 'id': 881019, 'fieldTranslations': {'nameTranslation': {'ar': 'فانيا فويتشيفيتش'}, 'shortNameTranslation': {'ar': 'ف. فويتشيفيتش'}}}",False,save,regular,"{'x': 9, 'y': 69, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 45.3, 'z': 16}",0.108,6532380,57,,3408,"{'start': {'x': 69, 'y': 9}, 'end': {'x': 54.7, 'y': 0}, 'goal': {'x': 54.7, 'y': 84}}",34,1992,708,shot,,,0.1009
"{'name': 'Filip Mitrović', 'slug': 'filip-mitrovic', 'shortName': 'F. Mitrović', 'position': 'D', 'jerseyNumber': '16', 'userCount': 8, 'gender': 'M', 'id': 226224, 'fieldTranslations': {'nameTranslation': {'ar': 'فيليب ميتروفيتش', 'hi': 'फ़िलिप मिट्रोविक', 'bn': 'ফিলিপ মিত্রোভিচ'}, 'shortNameTranslation': {'ar': 'ف. ميتروفيتش', 'hi': 'एफ. मिट्रोविक', 'bn': 'এফ. মিত্রোভিচ'}}}",True,save,corner,"{'x': 7, 'y': 47, 'z': 0}",head,high-left,"{'x': 0, 'y': 51.9, 'z': 36.7}",0.1521,6532379,57,,3364,"{'start': {'x': 47, 'y': 7}, 'end': {'x': 48.1, 'y': 0}, 'goal': {'x': 48.1, 'y': 63.3}}",34,2036,664,shot,,,0.4797
"{'name': 'Mitar Ćuković', 'slug': 'mitar-cukovic', 'shortName': 'M. Ćuković', 'position': 'D', 'jerseyNumber': '2', 'userCount': 2, 'gender': 'M', 'id': 889057, 'fieldTranslations': {'nameTranslation': {'ar': 'ميتار تشوكوفيتش'}, 'shortNameTranslation': {'ar': 'م. تشوكوفيتش'}}}",False,save,throw-in-set-piece,"{'x': 16, 'y': 38, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 48, 'z': 3.1}",0.03918,6532378,54,,3185,"{'start': {'x': 38, 'y': 16}, 'end': {'x': 52, 'y': 0}, 'goal': {'x': 52, 'y': 96.9}}",37,2215,485,shot,,,0.2694
"{'name': 'Zoran Mikijelj', 'slug': 'zoran-mikijelj', 'shortName': 'Z. Mikijelj', 'position': 'D', 'jerseyNumber': '19', 'userCount': 1, 'gender': 'M', 'id': 889352, 'fieldTranslations': {'nameTranslation': {'ar': 'زوران ميكييل'}, 'shortNameTranslation': {'ar': 'ز. ميكييل'}}}",False,save,corner,"{'x': 7, 'y': 49, 'z': 0}",head,low-left,"{'x': 0, 'y': 53.9, 'z': 12.5}",0.1664,6532377,52,,3088,"{'start': {'x': 49, 'y': 7}, 'end': {'x': 46.1, 'y': 0}, 'goal': {'x': 46.1, 'y': 87.5}}",39,2312,388,shot,,,0.89
"{'name': 'Stefan Denković', 'slug': 'stefan-denkovic', 'shortName': 'S. Denković', 'position': 'M', 'jerseyNumber': '7', 'userCount': 15, 'gender': 'M', 'id': 95583, 'fieldTranslations': {'nameTranslation': {'ar': 'دينكوفيتش ، ستيفان'}, 'shortNameTranslation': {'ar': 'د. ، ستيفان'}}}",True,block,regular,"{'x': 5, 'y': 56, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.4567,6532376,41,,2439,"{'start': {'x': 56, 'y': 5}, 'block': {'x': 56, 'y': 5}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",5,261,2439,shot,"{'x': 5, 'y': 56, 'z': 0}",,
