player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType,xgot,blockCoordinates
"{'name': 'Vukas Dragović', 'slug': 'vukas-dragovic', 'shortName': 'V. Dragović', 'position': 'M', 'jerseyNumber': '99', 'userCount': 9, 'gender': 'M', 'id': 1484678, 'fieldTranslations': {'nameTranslation': {'ar': 'فوكاس دراجوفيتش'}, 'shortNameTranslation': {'ar': 'ف. دراجوفيتش'}}}",True,miss,regular,"{'x': 28, 'y': 36, 'z': 0}",left-foot,close-right,"{'x': 0, 'y': 40.8, 'z': 31.7}",0.0364,6530190,89,5321,"{'start': {'x': 36, 'y': 28}, 'end': {'x': 59.2, 'y': 0}, 'goal': {'x': 59.2, 'y': 68.3}}",2,79,2621,shot,,,
"{'name': 'Darko Zorić', 'slug': 'darko-zoric', 'shortName': 'D. Zorić', 'position': 'M', 'jerseyNumber': '18', 'userCount': 13, 'gender': 'M', 'id': 154655, 'fieldTranslations': {'nameTranslation': {'ar': 'داركو زوريتش'}, 'shortNameTranslation': {'ar': 'د. زوريتش'}}}",True,goal,penalty,"{'x': 10, 'y': 50, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 45.8, 'z': 11.4}",0.76,6530191,88,5257,"{'start': {'x': 50, 'y': 10}, 'end': {'x': 54.2, 'y': 0}, 'goal': {'x': 54.2, 'y': 88.6}}",3,143,2557,shot,penalty,0.81,
"{'name': 'Stefan Denković', 'slug': 'stefan-denkovic', 'shortName': 'S. Denković', 'position': 'M', 'jerseyNumber': '7', 'userCount': 15, 'gender': 'M', 'id': 95583, 'fieldTranslations': {'nameTranslation': {'ar': 'دينكوفيتش ، ستيفان'}, 'shortNameTranslation': {'ar': 'د. ، ستيفان'}}}",True,miss,corner,"{'x': 13, 'y': 31, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 58.7, 'z': 10.4}",0.04397,6530189,77,4562,"{'start': {'x': 31, 'y': 13}, 'end': {'x': 41.3, 'y': 0}, 'goal': {'x': 41.3, 'y': 89.6}}",14,838,1862,shot,,,
"{'name': 'Darko Zorić', 'slug': 'darko-zoric', 'shortName': 'D. Zorić', 'position': 'M', 'jerseyNumber': '18', 'userCount': 13, 'gender': 'M', 'id': 154655, 'fieldTranslations': {'nameTranslation': {'ar': 'داركو زوريتش'}, 'shortNameTranslation': {'ar': 'د. زوريتش'}}}",True,miss,throw-in-set-piece,"{'x': 9, 'y': 53, 'z': 0}",head,close-right,"{'x': 0, 'y': 44, 'z': 32}",0.09001,6530188,74,4382,"{'start': {'x': 53, 'y': 9}, 'end': {'x': 56, 'y': 0}, 'goal': {'x': 56, 'y': 68}}",17,1018,1682,shot,,,
"{'name': 'Andrija Kaluđerović', 'firstName': '', 'lastName': '', 'slug': 'andrija-kaluderovic', 'shortName': 'A. Kaluđeriović', 'position': 'M', 'jerseyNumber': '4', 'userCount': 6, 'gender': 'M', 'id': 94261, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريا كالوجيروفيتش'}, 'shortNameTranslation': {'ar': 'أ. كالوجيروفيتش'}}}",True,block,regular,"{'x': 31, 'y': 46, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.0007887,6530187,68,4064,"{'start': {'x': 46, 'y': 31}, 'block': {'x': 46, 'y': 31}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",23,1336,1364,shot,,,"{'x': 31, 'y': 46, 'z': 0}"
"{'name': 'Stefan Denković', 'slug': 'stefan-denkovic', 'shortName': 'S. Denković', 'position': 'M', 'jerseyNumber': '7', 'userCount': 15, 'gender': 'M', 'id': 95583, 'fieldTranslations': {'nameTranslation': {'ar': 'دينكوفيتش ، ستيفان'}, 'shortNameTranslation': {'ar': 'د. ، ستيفان'}}}",True,miss,free-kick,"{'x': 27, 'y': 24, 'z': 0}",right-foot,close-high,"{'x': 0, 'y': 52.5, 'z': 46.5}",0.0003954,6530192,63,3768,"{'start': {'x': 24, 'y': 27}, 'end': {'x': 47.5, 'y': 0}, 'goal': {'x': 47.5, 'y': 53.5}}",28,1632,1068,shot,,,
"{'name': 'Lazar Savović', 'slug': 'lazar-savovic', 'shortName': 'L. Savović', 'position': 'M', 'jerseyNumber': '22', 'userCount': 105, 'gender': 'M', 'id': 1606673, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار سافوفيتش'}, 'shortNameTranslation': {'ar': 'ل. سافوفيتش'}}}",False,block,regular,"{'x': 10, 'y': 49, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.154,6530186,58,3456,"{'start': {'x': 49, 'y': 10}, 'block': {'x': 49, 'y': 10}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",33,1944,756,shot,,,"{'x': 10, 'y': 49, 'z': 0}"
"{'name': 'Ilija Martinović', 'slug': 'ilija-martinovic', 'shortName': 'I. Martinović', 'position': 'D', 'jerseyNumber': '25', 'userCount': 22, 'gender': 'M', 'id': 286837, 'fieldTranslations': {'nameTranslation': {'ar': 'إيليا مارتينوفيتش', 'hi': 'इलिजा मार्टिनोविक', 'bn': 'ইলিজা মার্টিনোভিচ'}, 'shortNameTranslation': {'ar': 'إ. مارتينوفيتش', 'hi': 'ई. मार्टिनोविक', 'bn': 'আই. মার্টিনোভিচ'}}}",True,save,regular,"{'x': 27, 'y': 31, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.6, 'z': 4}",0.04394,6530185,52,3100,"{'start': {'x': 31, 'y': 27}, 'end': {'x': 48.4, 'y': 0}, 'goal': {'x': 48.4, 'y': 96}}",39,2300,400,shot,,0.01592,
"{'name': 'Ilija Martinović', 'slug': 'ilija-martinovic', 'shortName': 'I. Martinović', 'position': 'D', 'jerseyNumber': '25', 'userCount': 22, 'gender': 'M', 'id': 286837, 'fieldTranslations': {'nameTranslation': {'ar': 'إيليا مارتينوفيتش', 'hi': 'इलिजा मार्टिनोविक', 'bn': 'ইলিজা মার্টিনোভিচ'}, 'shortNameTranslation': {'ar': 'إ. مارتينوفيتش', 'hi': 'ई. मार्टिनोविक', 'bn': 'আই. মার্টিনোভিচ'}}}",True,save,corner,"{'x': 8, 'y': 57, 'z': 0}",head,high-centre,"{'x': 0, 'y': 51.1, 'z': 33.9}",0.1536,6530184,48,2848,"{'start': {'x': 57, 'y': 8}, 'end': {'x': 48.9, 'y': 0}, 'goal': {'x': 48.9, 'y': 66.1}}",43,2552,148,shot,,0.2559,
"{'name': 'Darko Zorić', 'slug': 'darko-zoric', 'shortName': 'D. Zorić', 'position': 'M', 'jerseyNumber': '18', 'userCount': 13, 'gender': 'M', 'id': 154655, 'fieldTranslations': {'nameTranslation': {'ar': 'داركو زوريتش'}, 'shortNameTranslation': {'ar': 'د. زوريتش'}}}",True,save,regular,"{'x': 6, 'y': 67, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 50.9, 'z': 21.1}",0.1306,6530183,47,2809,"{'start': {'x': 67, 'y': 6}, 'end': {'x': 49.1, 'y': 0}, 'goal': {'x': 49.1, 'y': 78.9}}",44,2591,109,shot,,0.1556,
