player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,xgot,blockCoordinates,goalType
"{'name': 'Jonathan Dresaj', 'firstName': '', 'lastName': '', 'slug': 'jonathan-dresaj', 'shortName': 'J. Dresaj', 'position': 'D', 'jerseyNumber': '22', 'userCount': 12, 'gender': 'M', 'id': 958574, 'fieldTranslations': {'nameTranslation': {'ar': 'جوناثان دريسا', 'hi': 'जोनाथन ड्रेज़ाज', 'bn': 'জোনাথন ড্রেসেজ'}, 'shortNameTranslation': {'ar': 'ج. دريسا', 'hi': 'जे. ड्रेजाज', 'bn': 'জে. ড্রেসাজ'}}}",False,miss,regular,"{'x': 6, 'y': 76, 'z': 0}",right-foot,close-high-left,"{'x': 0, 'y': 56.6, 'z': 45.3}",0.01619,6534676,90,3.0,5534,"{'start': {'x': 76, 'y': 6}, 'end': {'x': 43.4, 'y': 0}, 'goal': {'x': 43.4, 'y': 54.7}}",1,766,134,shot,,,
"{'name': 'Petar Sekulović', 'firstName': '', 'lastName': '', 'slug': 'petar-sekulovic', 'shortName': 'P. Sekulović', 'position': 'D', 'jerseyNumber': '20', 'userCount': 4, 'gender': 'M', 'id': 1035792, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتار سيكولوفيتش', 'hi': 'पीटर सेकुलोविच', 'bn': 'পেটার সেকুলোভিচ'}, 'shortNameTranslation': {'ar': 'ب. سيكولوفيتش', 'hi': 'पी. सेकुलोविच', 'bn': 'পি. সেকুলোভিচ'}}}",False,save,regular,"{'x': 3, 'y': 28, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 49.3, 'z': 5.2}",0.01507,6534675,79,,4691,"{'start': {'x': 28, 'y': 3}, 'end': {'x': 50.7, 'y': 0}, 'goal': {'x': 50.7, 'y': 94.8}}",12,709,1991,shot,0.04082,,
"{'name': 'Trimror Selimi', 'firstName': 'Trimron Selimi', 'lastName': '', 'slug': 'trimron-selimi', 'shortName': 'T. Selimi', 'position': 'M', 'jerseyNumber': '19', 'userCount': 15, 'gender': 'M', 'id': 1394763, 'fieldTranslations': {'nameTranslation': {'ar': 'تريمور سليمي'}, 'shortNameTranslation': {'ar': 'ت. سليمي'}}}",False,block,regular,"{'x': 20, 'y': 41, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.02316,6534674,76,,4524,"{'start': {'x': 41, 'y': 20}, 'block': {'x': 41, 'y': 20}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",15,876,1824,shot,,"{'x': 20, 'y': 41, 'z': 0}",
"{'name': 'Armin Bošnjak', 'firstName': '', 'lastName': '', 'slug': 'armin-bosnjak', 'shortName': 'A. Bošnjak', 'position': 'M', 'jerseyNumber': '7', 'userCount': 13, 'gender': 'M', 'id': 808566, 'fieldTranslations': {'nameTranslation': {'ar': 'أرمين بوشنجاك', 'hi': 'आर्मिन बोस्नजक', 'bn': 'আরমিন বোসঞ্জাক'}, 'shortNameTranslation': {'ar': 'أ. بوشنجاك', 'hi': 'ए. बोस्नजक', 'bn': 'এ. বোসনজাক'}}}",True,block,regular,"{'x': 27, 'y': 27, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.01383,6534673,73,,4354,"{'start': {'x': 27, 'y': 27}, 'block': {'x': 27, 'y': 27}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",18,1046,1654,shot,,"{'x': 27, 'y': 27, 'z': 0}",
"{'name': 'Balša Radusinović', 'firstName': '', 'lastName': '', 'slug': 'balsa-radusinovic', 'shortName': 'B. Radusinović', 'position': 'F', 'jerseyNumber': '32', 'userCount': 9, 'gender': 'M', 'id': 1131064, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا رادوسينوفيتش'}, 'shortNameTranslation': {'ar': 'ب. رادوسينوفيتش'}}}",False,miss,throw-in-set-piece,"{'x': 7, 'y': 71, 'z': 0}",head,close-right,"{'x': 0, 'y': 43.2, 'z': 0.3}",0.02728,6534672,73,,4332,"{'start': {'x': 71, 'y': 7}, 'end': {'x': 56.8, 'y': 0}, 'goal': {'x': 56.8, 'y': 99.7}}",18,1068,1632,shot,,,
"{'name': 'Asmir Kajević', 'slug': 'asmir-kajevic', 'shortName': 'A. Kajević', 'position': 'M', 'jerseyNumber': '10', 'userCount': 14, 'gender': 'M', 'id': 76273, 'fieldTranslations': {'nameTranslation': {'ar': 'أسمير كايفيتش', 'hi': 'अस्मिर काजेविक', 'bn': 'আসমির কাজেভিচ'}, 'shortNameTranslation': {'ar': 'أ. كايفيتش', 'hi': 'ए. काजेविक', 'bn': 'এ. কাজেভিচ'}}}",False,save,regular,"{'x': 6, 'y': 56, 'z': 0}",head,low-centre,"{'x': 0, 'y': 51.5, 'z': 7.8}",0.1855,6534671,68,,4060,"{'start': {'x': 56, 'y': 6}, 'end': {'x': 48.5, 'y': 0}, 'goal': {'x': 48.5, 'y': 92.2}}",23,1340,1360,shot,0.2094,,
"{'name': 'Petar Ražnatović', 'slug': 'petar-raznatovic', 'shortName': 'P. Ražnatović', 'position': 'M', 'jerseyNumber': '10', 'userCount': 31, 'gender': 'M', 'id': 1947605, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر راجناتوفيتش'}, 'shortNameTranslation': {'ar': 'ب. راجناتوفيتش'}}}",True,save,throw-in-set-piece,"{'x': 19, 'y': 62, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 53.6, 'z': 19.5}",0.07947,6534670,51,,3043,"{'start': {'x': 62, 'y': 19}, 'end': {'x': 46.4, 'y': 0}, 'goal': {'x': 46.4, 'y': 80.5}}",40,2357,343,shot,0.4207,,
"{'name': 'Irfan Šahman', 'slug': 'irfan-sahman', 'shortName': 'I. Šahman', 'position': 'M', 'jerseyNumber': '8', 'userCount': 4, 'gender': 'M', 'id': 184773, 'fieldTranslations': {'nameTranslation': {'ar': 'عرفان شاهمان', 'hi': 'इरफान शाहमान', 'bn': 'ইরফান শাহমান'}, 'shortNameTranslation': {'ar': 'ع. شاهمان', 'hi': 'आई. शाहमान', 'bn': 'আই. শাহমান'}}}",True,miss,throw-in-set-piece,"{'x': 19, 'y': 44, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 42.7, 'z': 47.4}",0.001142,6534669,34,,2017,"{'start': {'x': 44, 'y': 19}, 'end': {'x': 57.3, 'y': 0}, 'goal': {'x': 57.3, 'y': 52.6}}",12,683,2017,shot,,,
"{'name': 'Petar Sekulović', 'firstName': '', 'lastName': '', 'slug': 'petar-sekulovic', 'shortName': 'P. Sekulović', 'position': 'D', 'jerseyNumber': '20', 'userCount': 4, 'gender': 'M', 'id': 1035792, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتار سيكولوفيتش', 'hi': 'पीटर सेकुलोविच', 'bn': 'পেটার সেকুলোভিচ'}, 'shortNameTranslation': {'ar': 'ب. سيكولوفيتش', 'hi': 'पी. सेकुलोविच', 'bn': 'পি. সেকুলোভিচ'}}}",False,block,set-piece,"{'x': 35, 'y': 30, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.01041,6534668,31,,1828,"{'start': {'x': 30, 'y': 35}, 'block': {'x': 30, 'y': 35}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",15,872,1828,shot,,"{'x': 35, 'y': 30, 'z': 0}",
"{'name': 'Asmir Kajević', 'slug': 'asmir-kajevic', 'shortName': 'A. Kajević', 'position': 'M', 'jerseyNumber': '10', 'userCount': 14, 'gender': 'M', 'id': 76273, 'fieldTranslations': {'nameTranslation': {'ar': 'أسمير كايفيتش', 'hi': 'अस्मिर काजेविक', 'bn': 'আসমির কাজেভিচ'}, 'shortNameTranslation': {'ar': 'أ. كايفيتش', 'hi': 'ए. काजेविक', 'bn': 'এ. কাজেভিচ'}}}",False,block,regular,"{'x': 18, 'y': 66, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.004803,6534667,27,,1620,"{'start': {'x': 66, 'y': 18}, 'block': {'x': 66, 'y': 18}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",19,1080,1620,shot,,"{'x': 18, 'y': 66, 'z': 0}",
"{'name': 'Balša Radusinović', 'firstName': '', 'lastName': '', 'slug': 'balsa-radusinovic', 'shortName': 'B. Radusinović', 'position': 'F', 'jerseyNumber': '32', 'userCount': 9, 'gender': 'M', 'id': 1131064, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا رادوسينوفيتش'}, 'shortNameTranslation': {'ar': 'ب. رادوسينوفيتش'}}}",False,goal,regular,"{'x': 23, 'y': 56, 'z': 0}",left-foot,high-left,"{'x': 0, 'y': 53.1, 'z': 28.7}",0.05922,6534666,25,,1452,"{'start': {'x': 56, 'y': 23}, 'end': {'x': 46.9, 'y': 0}, 'goal': {'x': 46.9, 'y': 71.3}}",21,1248,1452,shot,0.4923,,regular
