player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,xgot,goalType
"{'name': 'Dejan Boljević', 'slug': 'dejan-boljevic', 'shortName': 'D. Boljević', 'position': 'D', 'jerseyNumber': '33', 'userCount': 4, 'gender': 'M', 'id': 57339, 'fieldTranslations': {'nameTranslation': {'ar': 'ديان بوليفيتش', 'hi': 'देजान बोलजेविक', 'bn': 'দেজান বলজেভিচ'}, 'shortNameTranslation': {'ar': 'د. بوليفيتش', 'hi': 'डी. बोलजेविक', 'bn': 'ডি. বলজেভিচ'}}}",True,miss,regular,"{'x': 20, 'y': 28, 'z': 0}",left-foot,close-high-left,"{'x': 0, 'y': 58.1, 'z': 43.3}",0.01807,6534350,90,4.0,5583,"{'start': {'x': 28, 'y': 20}, 'end': {'x': 41.9, 'y': 0}, 'goal': {'x': 41.9, 'y': 56.7}}",1,717,183,shot,,,
"{'name': 'Vukas Dragović', 'slug': 'vukas-dragovic', 'shortName': 'V. Dragović', 'position': 'M', 'jerseyNumber': '99', 'userCount': 9, 'gender': 'M', 'id': 1484678, 'fieldTranslations': {'nameTranslation': {'ar': 'فوكاس دراجوفيتش'}, 'shortNameTranslation': {'ar': 'ف. دراجوفيتش'}}}",False,miss,regular,"{'x': 16, 'y': 56, 'z': 0}",left-foot,close-high,"{'x': 0, 'y': 52, 'z': 58.3}",0.2419,6534349,87,,5180,"{'start': {'x': 56, 'y': 16}, 'end': {'x': 48, 'y': 0}, 'goal': {'x': 48, 'y': 41.7}}",4,220,2480,shot,,,
"{'name': 'Dragan Miranović', 'firstName': 'Dragan', 'lastName': 'Miranović', 'slug': 'dragan-miranovic', 'shortName': 'D. Miranović', 'position': 'M', 'jerseyNumber': '22', 'userCount': 27, 'gender': 'M', 'id': 1149279, 'fieldTranslations': {'nameTranslation': {'ar': 'دراغان ميرانوفيتش'}, 'shortNameTranslation': {'ar': 'د. ميرانوفيتش'}}}",True,block,regular,"{'x': 18, 'y': 58, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.1108,6534348,85,,5092,"{'start': {'x': 58, 'y': 18}, 'block': {'x': 58, 'y': 18}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",6,308,2392,shot,"{'x': 18, 'y': 58, 'z': 0}",,
"{'name': 'Nikola Zvrko', 'firstName': '', 'lastName': '', 'slug': 'nikola-zvrko', 'shortName': 'N. Zvrko', 'position': 'M', 'jerseyNumber': '7', 'userCount': 5, 'gender': 'M', 'id': 800100, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا زفركو'}, 'shortNameTranslation': {'ar': 'ن. زفركو'}}}",True,save,regular,"{'x': 17, 'y': 69, 'z': 0}",left-foot,high-centre,"{'x': 0, 'y': 50.8, 'z': 22.9}",0.03666,6534347,85,,5089,"{'start': {'x': 69, 'y': 17}, 'end': {'x': 49.2, 'y': 0}, 'goal': {'x': 49.2, 'y': 77.1}}",6,311,2389,shot,,0.01586,
"{'name': 'Zaim Divanović', 'firstName': '', 'lastName': '', 'slug': 'zaim-divanovic', 'shortName': 'Z. Divanović', 'position': 'M', 'jerseyNumber': '23', 'userCount': 13, 'gender': 'M', 'id': 959010, 'fieldTranslations': {'nameTranslation': {'ar': 'زايم ديفانوفيتش', 'hi': 'ज़ैम दिवानोविक', 'bn': 'জাইম ডিভানোভিচ'}, 'shortNameTranslation': {'ar': 'ز. ديفانوفيتش', 'hi': 'ज़ेड. दिवानोविक', 'bn': 'জেড. ডিভানোভিচ'}}}",True,miss,regular,"{'x': 28, 'y': 40, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 43.4, 'z': 51.2}",0.002767,6534346,80,,4796,"{'start': {'x': 40, 'y': 28}, 'end': {'x': 56.6, 'y': 0}, 'goal': {'x': 56.6, 'y': 48.8}}",11,604,2096,shot,,,
"{'name': 'Darko Zorić', 'slug': 'darko-zoric', 'shortName': 'D. Zorić', 'position': 'M', 'jerseyNumber': '18', 'userCount': 13, 'gender': 'M', 'id': 154655, 'fieldTranslations': {'nameTranslation': {'ar': 'داركو زوريتش'}, 'shortNameTranslation': {'ar': 'د. زوريتش'}}}",False,save,regular,"{'x': 20, 'y': 63, 'z': 0}",right-foot,high-left,"{'x': 0, 'y': 52.8, 'z': 37.3}",0.07809,6534345,79,,4719,"{'start': {'x': 63, 'y': 20}, 'end': {'x': 47.2, 'y': 0}, 'goal': {'x': 47.2, 'y': 62.7}}",12,681,2019,shot,,0.7318,
"{'name': 'Yann Michael Yao', 'firstName': '', 'lastName': '', 'slug': 'yann-michael-yao', 'shortName': 'Y. M. Yao', 'position': 'M', 'jerseyNumber': '11', 'userCount': 17, 'gender': 'M', 'id': 894450, 'fieldTranslations': {'nameTranslation': {'ar': 'يان ميخائيل ياو'}, 'shortNameTranslation': {'ar': 'ي. ياو'}}}",False,goal,corner,"{'x': 6, 'y': 45, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 45.7, 'z': 6.4}",0.7126,6534344,77,,4589,"{'start': {'x': 45, 'y': 6}, 'end': {'x': 54.3, 'y': 0}, 'goal': {'x': 54.3, 'y': 93.6}}",14,811,1889,shot,,0.9123,regular
"{'name': 'Jovan Baošić', 'slug': 'jovan-baosic', 'shortName': 'J. Baošić', 'position': 'D', 'jerseyNumber': '15', 'userCount': 6, 'gender': 'M', 'id': 189001, 'fieldTranslations': {'nameTranslation': {'ar': 'جوفان باوشيتش', 'hi': 'जोवन बाओसिक', 'bn': 'জোভান বাওসিচ'}, 'shortNameTranslation': {'ar': 'ج. باوشيتش', 'hi': 'जे. बाओशिक', 'bn': 'জে. বাওশিচ'}}}",False,save,corner,"{'x': 8, 'y': 54, 'z': 0}",head,low-centre,"{'x': 0, 'y': 48.5, 'z': 5.7}",0.1531,6534343,77,,4588,"{'start': {'x': 54, 'y': 8}, 'end': {'x': 51.5, 'y': 0}, 'goal': {'x': 51.5, 'y': 94.3}}",14,812,1888,shot,,0.1724,
"{'name': 'Adnan Bašić', 'slug': 'adnan-basic', 'shortName': 'A. Bašić', 'position': 'F', 'jerseyNumber': '10', 'userCount': 6, 'gender': 'M', 'id': 791606, 'fieldTranslations': {'nameTranslation': {'ar': 'عدنان باشيتش'}, 'shortNameTranslation': {'ar': 'ع. باشيتش'}}}",True,goal,set-piece,"{'x': 2, 'y': 46, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.7, 'z': 17.6}",0.7702,6534342,70,,4185,"{'start': {'x': 46, 'y': 2}, 'end': {'x': 49.3, 'y': 0}, 'goal': {'x': 49.3, 'y': 82.4}}",21,1215,1485,shot,,0.87,regular
"{'name': 'Viktor Živojinović', 'slug': 'viktor-zivojinovic', 'shortName': 'V. Živojinović', 'position': 'M', 'userCount': 35, 'gender': 'M', 'id': 989177, 'fieldTranslations': {'nameTranslation': {'ar': 'فيكتور زيفوجينوفيتش'}, 'shortNameTranslation': {'ar': 'ف. زيفوجينوفيتش'}}}",True,miss,throw-in-set-piece,"{'x': 11, 'y': 65, 'z': 0}",right-foot,close-right,"{'x': 0, 'y': 42.5, 'z': 13.3}",0.1506,6534341,68,,4067,"{'start': {'x': 65, 'y': 11}, 'end': {'x': 57.5, 'y': 0}, 'goal': {'x': 57.5, 'y': 86.7}}",23,1333,1367,shot,,,
