match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,blockedScoringAttempt,interceptionWon,keyPass,shotOffTarget,bigChanceCreated
14147332,home,6216,OFK Petrovac,188987,Marko Kordić,marko-kordic,G,25,False,28.0,20.0,17.0,9.0,0.0,14.0,14.0,6.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,90.0,35.0,6.8,9.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,71.42857142857143,52.94117647058824,,,,,,,,,
14147332,home,36019,OFK Petrovac,1214474,Nikola Vuković,nikola-vukovic,D,11,False,43.0,29.0,9.0,4.0,0.0,14.0,14.0,15.0,27.0,2.0,1.0,2.0,3.0,7.0,4.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,90.0,55.0,6.7,15.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,5,6,1,5,67.44186046511628,44.44444444444444,50.0,,,1.0,1.0,,,,
14147332,home,6216,OFK Petrovac,1484679,Marko Franeta,marko-franeta,D,13,False,39.0,31.0,7.0,3.0,0.0,20.0,23.0,11.0,14.0,0.0,0.0,3.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,,,,,,,90.0,47.0,6.4,9.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,5,2,1,1,79.48717948717949,42.857142857142854,,,,,,1.0,,,
14147332,home,6216,OFK Petrovac,986362,Marko Merdović,merdovic-marko,D,44,False,42.0,31.0,12.0,5.0,0.0,18.0,20.0,12.0,20.0,0.0,0.0,1.0,3.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,10.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,,,,,,,90.0,53.0,7.1,12.0,0.0,0.05,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,4,7,4,3,73.80952380952381,41.66666666666667,,,,,,1.0,1.0,,
14147332,home,6216,OFK Petrovac,57339,Dejan Boljević,dejan-boljevic,D,33,False,42.0,29.0,7.0,3.0,0.0,13.0,14.0,16.0,27.0,5.0,1.0,5.0,2.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,,,,,,90.0,49.0,6.6,16.0,0.02,0.01,"{'original': 6.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,7,4,1,3,69.04761904761905,42.857142857142854,20.0,,,,,,1.0,1.0,
14147332,home,6216,OFK Petrovac,889063,Stefan Fićović,stefan-ficovic,M,18,False,44.0,30.0,2.0,2.0,0.0,12.0,14.0,18.0,29.0,1.0,0.0,4.0,1.0,14.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,7.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,,90.0,59.0,6.5,15.0,0.04,0.0,"{'original': 6.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,5,12,2,10,68.18181818181817,100.0,0.0,0.0,,2.0,1.0,,,,
14147332,home,6216,OFK Petrovac,959010,Zaim Divanović,zaim-divanovic,M,23,False,52.0,44.0,8.0,5.0,0.0,14.0,17.0,28.0,33.0,0.0,0.0,2.0,1.0,7.0,14.0,1.0,8.0,8.0,0.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,90.0,80.0,8.4,7.0,0.0,0.05,"{'original': 8.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",21,3,18,13,5,84.61538461538461,62.5,,100.0,,,,1.0,3.0,1.0,
14147332,home,6216,OFK Petrovac,1046042,Savo Arambašić,savo-arambasic,M,17,False,12.0,9.0,2.0,2.0,0.0,1.0,1.0,7.0,10.0,0.0,0.0,4.0,3.0,9.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,63.0,23.0,6.6,6.0,0.01,0.0,"{'original': 6.6, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,7,7,2,5,75.0,100.0,,,,2.0,,1.0,,2.0,
14147332,home,6216,OFK Petrovac,1030468,Žarko Popović,zarko-popovic,M,4,False,23.0,19.0,0.0,0.0,1.0,4.0,5.0,15.0,18.0,0.0,0.0,3.0,1.0,10.0,8.0,0.0,3.0,2.0,1.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,,,,,,,84.0,39.0,7.5,12.0,0.19,0.77,"{'original': 7.5, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,4,14,7,7,82.6086956521739,,,66.66666666666666,,,1.0,1.0,2.0,,1.0
14147332,home,301263,OFK Petrovac,989177,Viktor Živojinović,viktor-zivojinovic,M,45,False,21.0,15.0,1.0,1.0,0.0,4.0,6.0,11.0,15.0,4.0,1.0,1.0,1.0,5.0,6.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,,,,,,,88.0,32.0,7.1,7.0,0.2,0.0,"{'original': 7.1, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,5,4,71.42857142857143,100.0,25.0,100.0,,,,1.0,,2.0,
