player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,xgot,addedTime
"{'name': 'Marko Simun', 'firstName': '', 'lastName': '', 'slug': 'marko-simun', 'shortName': 'M. Simun', 'position': 'M', 'jerseyNumber': '19', 'userCount': 33, 'gender': 'M', 'id': 1479109, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو شيمون'}, 'shortNameTranslation': {'ar': 'م. شيمون'}}}",False,miss,regular,"{'x': 30, 'y': 41, 'z': 0}",right-foot,close-right,"{'x': 0, 'y': 42.1, 'z': 16.4}",0.005502,6541208,87,5207,"{'start': {'x': 41, 'y': 30}, 'end': {'x': 57.9, 'y': 0}, 'goal': {'x': 57.9, 'y': 83.6}}",4,193,2507,shot,,,
"{'name': 'Arsenije Čepić', 'firstName': 'Arsenije', 'lastName': 'Čepić', 'slug': 'arsenije-cepic', 'shortName': 'A. Čepić', 'position': 'M', 'jerseyNumber': '15', 'userCount': 8, 'gender': 'M', 'id': 1185130, 'fieldTranslations': {'nameTranslation': {'ar': 'أرسينيي جيبيتش'}, 'shortNameTranslation': {'ar': 'أ. جيبيتش'}}}",True,miss,regular,"{'x': 17, 'y': 64, 'z': 0}",left-foot,close-high-left,"{'x': 0, 'y': 58.9, 'z': 49.8}",0.04031,6541207,77,4565,"{'start': {'x': 64, 'y': 17}, 'end': {'x': 41.1, 'y': 0}, 'goal': {'x': 41.1, 'y': 50.2}}",14,835,1865,shot,,,
"{'name': 'Medo Juković', 'firstName': 'Medo Jukovic', 'slug': 'medo-jukovic', 'shortName': 'M. Juković', 'position': 'M', 'jerseyNumber': '88', 'userCount': 34, 'gender': 'M', 'id': 1896811, 'fieldTranslations': {'nameTranslation': {'ar': 'ميدو يوكوفيتش'}, 'shortNameTranslation': {'ar': 'م. يوكوفيتش'}}}",False,block,regular,"{'x': 22, 'y': 61, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.03636,6541206,75,4480,"{'start': {'x': 61, 'y': 22}, 'block': {'x': 61, 'y': 22}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",16,920,1780,shot,"{'x': 22, 'y': 61, 'z': 0}",,
"{'name': 'Arsenije Čepić', 'firstName': 'Arsenije', 'lastName': 'Čepić', 'slug': 'arsenije-cepic', 'shortName': 'A. Čepić', 'position': 'M', 'jerseyNumber': '15', 'userCount': 8, 'gender': 'M', 'id': 1185130, 'fieldTranslations': {'nameTranslation': {'ar': 'أرسينيي جيبيتش'}, 'shortNameTranslation': {'ar': 'أ. جيبيتش'}}}",True,save,regular,"{'x': 11, 'y': 58, 'z': 0}",right-foot,high-right,"{'x': 0, 'y': 45.4, 'z': 28.3}",0.1376,6541205,69,4095,"{'start': {'x': 58, 'y': 11}, 'end': {'x': 54.6, 'y': 0}, 'goal': {'x': 54.6, 'y': 71.7}}",22,1305,1395,shot,,0.6161,
"{'name': 'Marko Simun', 'firstName': '', 'lastName': '', 'slug': 'marko-simun', 'shortName': 'M. Simun', 'position': 'M', 'jerseyNumber': '19', 'userCount': 33, 'gender': 'M', 'id': 1479109, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو شيمون'}, 'shortNameTranslation': {'ar': 'م. شيمون'}}}",False,miss,throw-in-set-piece,"{'x': 33, 'y': 51, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 43, 'z': 44.5}",0.004446,6541204,63,3752,"{'start': {'x': 51, 'y': 33}, 'end': {'x': 57, 'y': 0}, 'goal': {'x': 57, 'y': 55.5}}",28,1648,1052,shot,,,
"{'name': 'Stefan Radojevic', 'firstName': 'Stefan Radojevic', 'slug': 'stefan-radojevic', 'shortName': 'S. Radojevic', 'position': 'M', 'jerseyNumber': '8', 'userCount': 10, 'gender': 'M', 'id': 1536333, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان رادويفيتش'}, 'shortNameTranslation': {'ar': 'س. رادويفيتش'}}}",True,miss,regular,"{'x': 24, 'y': 49, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 43.9, 'z': 46.9}",0.0124,6541203,60,3549,"{'start': {'x': 49, 'y': 24}, 'end': {'x': 56.1, 'y': 0}, 'goal': {'x': 56.1, 'y': 53.1}}",31,1851,849,shot,,,
"{'name': 'Danis Kolić', 'firstName': 'Danis', 'lastName': 'Kolic', 'slug': 'danis-kolic', 'shortName': 'D. Kolić', 'position': 'M', 'jerseyNumber': '22', 'userCount': 8, 'gender': 'M', 'id': 1391891, 'fieldTranslations': {'nameTranslation': {'ar': 'دانيش كوليتش'}, 'shortNameTranslation': {'ar': 'د. كوليتش'}}}",True,miss,corner,"{'x': 26, 'y': 59, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 42.2, 'z': 56}",0.005252,6541202,52,3113,"{'start': {'x': 59, 'y': 26}, 'end': {'x': 57.8, 'y': 0}, 'goal': {'x': 57.8, 'y': 44}}",39,2287,413,shot,,,
"{'name': 'Andrej Cvijović', 'firstName': '', 'lastName': '', 'slug': 'andrej-cvijovic', 'shortName': 'A. Cvijović', 'position': 'D', 'jerseyNumber': '33', 'userCount': 4, 'gender': 'M', 'id': 1131050, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريه سفييوفيتش'}, 'shortNameTranslation': {'ar': 'أ. سفييوفيتش'}}}",True,save,regular,"{'x': 11, 'y': 67, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 48.9, 'z': 22.1}",0.1427,6541201,52,3070,"{'start': {'x': 67, 'y': 11}, 'end': {'x': 51.1, 'y': 0}, 'goal': {'x': 51.1, 'y': 77.9}}",39,2330,370,shot,,0.1093,
"{'name': 'Stefan Radojevic', 'firstName': 'Stefan Radojevic', 'slug': 'stefan-radojevic', 'shortName': 'S. Radojevic', 'position': 'M', 'jerseyNumber': '8', 'userCount': 10, 'gender': 'M', 'id': 1536333, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان رادويفيتش'}, 'shortNameTranslation': {'ar': 'س. رادويفيتش'}}}",True,save,throw-in-set-piece,"{'x': 12, 'y': 59, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 47.6, 'z': 6.2}",0.05021,6541200,45,2882,"{'start': {'x': 59, 'y': 12}, 'end': {'x': 52.4, 'y': 0}, 'goal': {'x': 52.4, 'y': 93.8}}",1,2518,182,shot,,0.3239,4.0
"{'name': 'Žarko Korać', 'firstName': 'Žarko', 'lastName': 'Korać', 'slug': 'zarko-korac', 'shortName': 'Ž. Korać', 'position': 'F', 'jerseyNumber': '11', 'userCount': 12, 'gender': 'M', 'id': 54752, 'fieldTranslations': {'nameTranslation': {'ar': 'زاركو كوراچ'}, 'shortNameTranslation': {'ar': 'ز. كوراچ'}}}",True,miss,regular,"{'x': 9, 'y': 51, 'z': 0}",head,close-right,"{'x': 0, 'y': 41.2, 'z': 14.1}",0.1249,6541199,45,2794,"{'start': {'x': 51, 'y': 9}, 'end': {'x': 58.8, 'y': 0}, 'goal': {'x': 58.8, 'y': 85.9}}",1,2606,94,shot,,,2.0
"{'name': 'Andrej Cvijović', 'firstName': '', 'lastName': '', 'slug': 'andrej-cvijovic', 'shortName': 'A. Cvijović', 'position': 'D', 'jerseyNumber': '33', 'userCount': 4, 'gender': 'M', 'id': 1131050, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريه سفييوفيتش'}, 'shortNameTranslation': {'ar': 'أ. سفييوفيتش'}}}",True,block,regular,"{'x': 23, 'y': 61, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.03422,6541198,38,2250,"{'start': {'x': 61, 'y': 23}, 'block': {'x': 61, 'y': 23}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",8,450,2250,shot,"{'x': 23, 'y': 61, 'z': 0}",,
