player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,xg,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType,xgot
"{'name': 'Rodrigo Faust', 'slug': 'rodrigo-faust', 'shortName': 'R. Faust', 'position': 'F', 'jerseyNumber': '9', 'userCount': 9, 'gender': 'M', 'id': 871881, 'fieldTranslations': {'nameTranslation': {'ar': 'رودريغو فاوست'}, 'shortNameTranslation': {'ar': 'ر. فاوست'}}}",True,block,set-piece,"{'x': 12, 'y': 70, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 12, 'y': 70, 'z': 0}",0.06458,6649912,90,6.0,5719,"{'start': {'x': 70, 'y': 12}, 'block': {'x': 70, 'y': 12}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",1,581,319,shot,,
"{'name': 'Dušan Vuković', 'firstName': '', 'lastName': '', 'slug': 'dusan-vukovic', 'shortName': 'D. Vuković', 'position': 'M', 'jerseyNumber': '77', 'userCount': 24, 'gender': 'M', 'id': 1103884, 'fieldTranslations': {'nameTranslation': {'ar': 'دوشان فوكوفيتش'}, 'shortNameTranslation': {'ar': 'د. فوكوفيتش'}}}",True,goal,penalty,"{'x': 10, 'y': 50, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52.1, 'z': 8.1}",,0.76,6649914,90,1.0,5456,"{'start': {'x': 50, 'y': 10}, 'end': {'x': 47.9, 'y': 0}, 'goal': {'x': 47.9, 'y': 91.9}}",1,844,56,shot,penalty,0.81
"{'name': 'Pjeter Ljuljduraj', 'firstName': 'Pjeter Ljuljduraj', 'slug': 'pjeter-ljuljduraj', 'shortName': 'P. Ljuljduraj', 'position': 'D', 'jerseyNumber': '15', 'userCount': 5, 'gender': 'M', 'id': 1877899, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر لجلجوراي'}, 'shortNameTranslation': {'ar': 'ب. لجلجوراي'}}}",False,miss,throw-in-set-piece,"{'x': 13, 'y': 26, 'z': 0}",left-foot,close-high-right,"{'x': 0, 'y': 43.1, 'z': 52}",,0.003038,6649911,89,,5330,"{'start': {'x': 26, 'y': 13}, 'end': {'x': 56.9, 'y': 0}, 'goal': {'x': 56.9, 'y': 48}}",2,70,2630,shot,,
"{'name': 'Ibrahima Mame Ndiaye', 'slug': 'ibrahima-mame-ndiaye', 'shortName': 'I. M. Ndiaye', 'position': 'F', 'jerseyNumber': '72', 'userCount': 56, 'gender': 'M', 'id': 325325, 'fieldTranslations': {'nameTranslation': {'ar': 'ابراهيما مامي ندياي', 'hi': 'इब्राहीमा मामे नदिये', 'bn': 'ইব্রাহিম মামে নাদিয়ায়'}, 'shortNameTranslation': {'ar': 'إ. م. ندياي', 'hi': 'आई. एम. नदिये', 'bn': 'আই.এম. নাদিয়ায়'}}}",False,save,corner,"{'x': 5, 'y': 60, 'z': 0}",head,low-right,"{'x': 0, 'y': 47.9, 'z': 17.8}",,0.1055,6649910,85,,5092,"{'start': {'x': 60, 'y': 5}, 'end': {'x': 52.1, 'y': 0}, 'goal': {'x': 52.1, 'y': 82.2}}",6,308,2392,shot,,0.4856
"{'name': 'Davor Kontić', 'firstName': '', 'lastName': '', 'slug': 'davor-kontic', 'shortName': 'D. Kontić', 'position': 'M', 'jerseyNumber': '8', 'userCount': 7, 'gender': 'M', 'id': 929719, 'fieldTranslations': {'nameTranslation': {'ar': 'دافور كونتيش', 'hi': 'डेवोर कोंटिक', 'bn': 'দাভোর কন্টিচ'}, 'shortNameTranslation': {'ar': 'د. كونتيش', 'hi': 'डी. कोंटिक', 'bn': 'ডি. কন্টিচ'}}}",True,save,throw-in-set-piece,"{'x': 2, 'y': 38, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52.6, 'z': 8.4}",,0.03613,6649909,79,,4706,"{'start': {'x': 38, 'y': 2}, 'end': {'x': 47.4, 'y': 0}, 'goal': {'x': 47.4, 'y': 91.6}}",12,694,2006,shot,,0.08589
"{'name': 'Lazar Knezevic', 'firstName': 'Lazar Knezevic', 'slug': 'lazar-knezevic', 'shortName': 'L. Knezevic', 'position': 'M', 'jerseyNumber': '7', 'userCount': 5, 'gender': 'M', 'id': 1497156, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار كنيزيفيتش'}, 'shortNameTranslation': {'ar': 'ل. كنيزيفيتش'}}}",True,miss,corner,"{'x': 5, 'y': 53, 'z': 0}",head,close-high-right,"{'x': 0, 'y': 43.3, 'z': 48.6}",,0.2111,6649908,77,,4608,"{'start': {'x': 53, 'y': 5}, 'end': {'x': 56.7, 'y': 0}, 'goal': {'x': 56.7, 'y': 51.4}}",14,792,1908,shot,,
"{'name': 'Asmir Kajević', 'slug': 'asmir-kajevic', 'shortName': 'A. Kajević', 'position': 'M', 'jerseyNumber': '10', 'userCount': 14, 'gender': 'M', 'id': 76273, 'fieldTranslations': {'nameTranslation': {'ar': 'أسمير كايفيتش', 'hi': 'अस्मिर काजेविक', 'bn': 'আসমির কাজেভিচ'}, 'shortNameTranslation': {'ar': 'أ. كايفيتش', 'hi': 'ए. काजेविक', 'bn': 'এ. কাজেভিচ'}}}",False,goal,regular,"{'x': 11, 'y': 53, 'z': 0}",left-foot,low-right,"{'x': 0, 'y': 46.9, 'z': 4.2}",,0.5217,6649907,67,,3965,"{'start': {'x': 53, 'y': 11}, 'end': {'x': 53.1, 'y': 0}, 'goal': {'x': 53.1, 'y': 95.8}}",24,1435,1265,shot,regular,0.7977
"{'name': 'Jonathan Dresaj', 'firstName': '', 'lastName': '', 'slug': 'jonathan-dresaj', 'shortName': 'J. Dresaj', 'position': 'D', 'jerseyNumber': '22', 'userCount': 12, 'gender': 'M', 'id': 958574, 'fieldTranslations': {'nameTranslation': {'ar': 'جوناثان دريسا', 'hi': 'जोनाथन ड्रेज़ाज', 'bn': 'জোনাথন ড্রেসেজ'}, 'shortNameTranslation': {'ar': 'ج. دريسا', 'hi': 'जे. ड्रेजाज', 'bn': 'জে. ড্রেসাজ'}}}",False,save,regular,"{'x': 4, 'y': 68, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.7, 'z': 19.1}",,0.04153,6649906,67,,3963,"{'start': {'x': 68, 'y': 4}, 'end': {'x': 51.3, 'y': 0}, 'goal': {'x': 51.3, 'y': 80.9}}",24,1437,1263,shot,,0.08737
"{'name': 'Draško Božović', 'slug': 'drasko-bozovic', 'shortName': 'D. Božović', 'position': 'M', 'jerseyNumber': '7', 'userCount': 12, 'gender': 'M', 'id': 44305, 'fieldTranslations': {'nameTranslation': {'ar': 'دراسكو بوزوفيتش', 'hi': 'ड्रास्को बोजोविक', 'bn': 'ড্রাস্কো বোজোভিচ'}, 'shortNameTranslation': {'ar': 'د. بوزوفيتش', 'hi': 'डी. बोजोविक', 'bn': 'ডি. বোজোভিচ'}}}",False,save,regular,"{'x': 18, 'y': 31, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53.5, 'z': 10}",,0.08269,6649905,62,,3674,"{'start': {'x': 31, 'y': 18}, 'end': {'x': 46.5, 'y': 0}, 'goal': {'x': 46.5, 'y': 90}}",29,1726,974,shot,,0.1285
"{'name': 'Anđelko Jovanović', 'firstName': '', 'lastName': '', 'slug': 'andelko-jovanovic', 'shortName': 'A. Jovanović', 'position': 'M', 'jerseyNumber': '10', 'userCount': 4, 'gender': 'M', 'id': 1030487, 'fieldTranslations': {'nameTranslation': {'ar': 'أنجيلكو يوفانوفيتش', 'hi': 'एन्डेल्को जोवानोविक', 'bn': 'আন্দ্রেকো জোভানোভিচ'}, 'shortNameTranslation': {'ar': 'أ. يوفانوفيتش', 'hi': 'ए. जोवानोविक', 'bn': 'এ. জোভানোভিচ'}}}",True,miss,regular,"{'x': 28, 'y': 70, 'z': 0}",right-foot,close-high-left,"{'x': 0, 'y': 57, 'z': 54.8}",,0.001193,6649904,60,,3591,"{'start': {'x': 70, 'y': 28}, 'end': {'x': 43, 'y': 0}, 'goal': {'x': 43, 'y': 45.2}}",31,1809,891,shot,,
