match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,shotOffTarget,keyPass,blockedScoringAttempt,hitWoodwork
14147340,home,36019,FK Mornar Bar,1498808,Vasilije Stojanović,vasilije-stojanovic,G,13,False,12.0,9.0,4.0,2.0,0.0,8.0,9.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,90.0,17.0,7.0,3.0,0.0,0.0,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,75.0,50.0,,,,,,,,
14147340,home,405944,FK Mornar Bar,839270,Luka Malešević,luka-malesevic,D,6,False,31.0,20.0,10.0,5.0,0.0,6.0,8.0,12.0,21.0,2.0,1.0,2.0,2.0,8.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,4.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,,,,,90.0,42.0,7.6,15.0,0.0,0.13,"{'original': 7.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,4,8,2,6,64.51612903225806,50.0,50.0,,,1.0,1.0,1.0,,
14147340,home,36019,FK Mornar Bar,189001,Jovan Baošić,jovan-baosic,D,15,False,23.0,19.0,7.0,3.0,0.0,14.0,15.0,4.0,7.0,0.0,0.0,1.0,2.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,90.0,30.0,7.3,6.0,0.18,0.0,"{'original': 7.3, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,3,3,2,1,82.6086956521739,42.857142857142854,,,,,1.0,,1.0,
14147340,home,36019,FK Mornar Bar,286837,Ilija Martinović,ilija-martinovic,D,25,False,33.0,27.0,3.0,1.0,0.0,17.0,18.0,8.0,12.0,0.0,0.0,1.0,1.0,6.0,2.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,90.0,42.0,7.3,6.0,0.06,0.0,"{'original': 7.3, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,1,5,81.81818181818183,33.33333333333333,,,,,,,,
14147340,home,36019,FK Mornar Bar,171431,Nikola Stijepović,nikola-stijepovic,D,33,False,27.0,15.0,8.0,3.0,0.0,5.0,9.0,10.0,17.0,1.0,1.0,3.0,1.0,7.0,7.0,2.0,0.0,0.0,0.0,0.0,8.0,0.0,2.0,15.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,,,,,,,90.0,37.0,7.3,15.0,0.0,0.35,"{'original': 7.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,4,10,6,4,55.55555555555556,37.5,100.0,,,,,2.0,,
14147340,home,36019,FK Mornar Bar,154655,Darko Zorić,darko-zoric,M,18,False,2.0,2.0,0.0,0.0,1.0,,,1.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,20.0,4.0,6.9,2.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,2,2,100.0,,,,,,,,,
14147340,home,36019,FK Mornar Bar,94261,Andrija Kaluđerović,andrija-kaluderovic,M,4,False,34.0,26.0,3.0,3.0,0.0,9.0,12.0,15.0,19.0,1.0,1.0,1.0,1.0,11.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,14.0,2.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,,,,,,,90.0,46.0,7.3,10.0,0.0,0.02,"{'original': 7.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,2,16,6,10,76.47058823529412,100.0,100.0,,,,,1.0,,
14147340,home,36019,FK Mornar Bar,1002892,Balša Dubljević,balsa-dubljevic,M,23,False,21.0,17.0,1.0,1.0,0.0,11.0,13.0,5.0,6.0,0.0,0.0,1.0,0.0,7.0,6.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,6.0,1.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,,,,,,,64.0,30.0,6.8,7.0,0.13,0.0,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,6,6,80.95238095238095,100.0,,100.0,,1.0,1.0,,,
14147340,home,36019,FK Mornar Bar,95583,Stefan Denković,stefan-denkovic,M,7,False,28.0,24.0,1.0,1.0,0.0,7.0,7.0,16.0,20.0,0.0,0.0,1.0,1.0,8.0,7.0,0.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,,79.0,45.0,8.0,9.0,0.46,0.26,"{'original': 8, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,2,13,6,7,85.71428571428571,100.0,,100.0,,2.0,1.0,2.0,,
14147340,home,36019,FK Mornar Bar,1484678,Vukas Dragović,vukas-dragovic,M,99,False,21.0,17.0,2.0,1.0,0.0,5.0,5.0,12.0,15.0,2.0,2.0,3.0,2.0,12.0,6.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,,,,,,,79.0,32.0,6.5,15.0,0.0,0.06,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,5,13,4,9,80.95238095238095,50.0,100.0,0.0,,3.0,,1.0,,
