player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,xgot,goalType,blockCoordinates
"{'name': 'Igor Poček', 'slug': 'igor-pocek', 'shortName': 'I. Poček', 'position': 'F', 'jerseyNumber': '10', 'userCount': 14, 'gender': 'M', 'id': 138949, 'fieldTranslations': {'nameTranslation': {'ar': 'إيغور بوتشيك'}, 'shortNameTranslation': {'ar': 'إ. بوتشيك'}}}",False,miss,free-kick,"{'x': 26, 'y': 58, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 43.8, 'z': 59.8}",0.0009991,6557995,90,3.0,5545,"{'start': {'x': 58, 'y': 26}, 'end': {'x': 56.2, 'y': 0}, 'goal': {'x': 56.2, 'y': 40.2}}",1,755,145,shot,,,
"{'name': 'Nikola Pavličević', 'firstName': 'Nikola', 'lastName': 'Pavličević', 'slug': 'nikola-pavlicevic', 'shortName': 'N. Pavličević', 'position': 'M', 'jerseyNumber': '18', 'userCount': 1, 'gender': 'M', 'id': 1648560, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا بافليتشيفيتش'}, 'shortNameTranslation': {'ar': 'ن. بافليتشيفيتش'}}}",True,save,regular,"{'x': 2, 'y': 36, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 52, 'z': 3.4}",0.1135,6557992,90,1.0,5402,"{'start': {'x': 36, 'y': 2}, 'end': {'x': 48, 'y': 0}, 'goal': {'x': 48, 'y': 96.6}}",1,898,2,shot,0.1349,,
"{'name': 'Alhassan Baba Musah', 'firstName': '', 'lastName': '', 'slug': 'alhassan-baba-musah', 'shortName': 'A. B. Musah', 'position': 'M', 'jerseyNumber': '19', 'userCount': 30, 'gender': 'M', 'id': 1486746, 'fieldTranslations': {'nameTranslation': {'ar': 'الحسن بابا موسى'}, 'shortNameTranslation': {'ar': 'ا. موسى'}}}",False,miss,regular,"{'x': 9, 'y': 40, 'z': 0}",head,close-left,"{'x': 0, 'y': 58.7, 'z': 20.9}",0.1135,6557991,89,,5301,"{'start': {'x': 40, 'y': 9}, 'end': {'x': 41.3, 'y': 0}, 'goal': {'x': 41.3, 'y': 79.1}}",2,99,2601,shot,,,
"{'name': 'Anđelko Jovanović', 'firstName': '', 'lastName': '', 'slug': 'andelko-jovanovic', 'shortName': 'A. Jovanović', 'position': 'M', 'jerseyNumber': '10', 'userCount': 4, 'gender': 'M', 'id': 1030487, 'fieldTranslations': {'nameTranslation': {'ar': 'أنجيلكو يوفانوفيتش', 'hi': 'एन्डेल्को जोवानोविक', 'bn': 'আন্দ্রেকো জোভানোভিচ'}, 'shortNameTranslation': {'ar': 'أ. يوفانوفيتش', 'hi': 'ए. जोवानोविक', 'bn': 'এ. জোভানোভিচ'}}}",True,goal,penalty,"{'x': 10, 'y': 50, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 52, 'z': 3.3}",0.76,6557993,85,,5058,"{'start': {'x': 50, 'y': 10}, 'end': {'x': 48, 'y': 0}, 'goal': {'x': 48, 'y': 96.7}}",6,342,2358,shot,0.81,penalty,
"{'name': 'Davor Kontić', 'firstName': '', 'lastName': '', 'slug': 'davor-kontic', 'shortName': 'D. Kontić', 'position': 'M', 'jerseyNumber': '8', 'userCount': 7, 'gender': 'M', 'id': 929719, 'fieldTranslations': {'nameTranslation': {'ar': 'دافور كونتيش', 'hi': 'डेवोर कोंटिक', 'bn': 'দাভোর কন্টিচ'}, 'shortNameTranslation': {'ar': 'د. كونتيش', 'hi': 'डी. कोंटिक', 'bn': 'ডি. কন্টিচ'}}}",True,block,corner,"{'x': 20, 'y': 63, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.006811,6557990,81,,4806,"{'start': {'x': 63, 'y': 20}, 'block': {'x': 63, 'y': 20}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",10,594,2106,shot,,,"{'x': 20, 'y': 63, 'z': 0}"
"{'name': 'Ayumu Nishimura', 'firstName': 'Ayumu Nishimura', 'slug': 'ayumu-nishimura', 'shortName': 'A. Nishimura', 'position': 'F', 'userCount': 15, 'gender': 'M', 'id': 1218295, 'fieldTranslations': {'nameTranslation': {'ar': 'أيومو نيشيمورا'}, 'shortNameTranslation': {'ar': 'أ. نيشيمورا'}}}",False,block,regular,"{'x': 21, 'y': 56, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.006806,6557989,78,,4655,"{'start': {'x': 56, 'y': 21}, 'block': {'x': 56, 'y': 21}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",13,745,1955,shot,,,"{'x': 21, 'y': 56, 'z': 0}"
"{'name': 'Drago Bumbar', 'firstName': '', 'lastName': '', 'slug': 'drago-bumbar', 'shortName': 'D. Bumbar', 'position': 'D', 'jerseyNumber': '15', 'userCount': 6, 'gender': 'M', 'id': 1103876, 'fieldTranslations': {'nameTranslation': {'ar': 'دراغو بومبار'}, 'shortNameTranslation': {'ar': 'د. بومبار'}}}",False,post,corner,"{'x': 10, 'y': 45, 'z': 0}",head,high,"{'x': 0, 'y': 50.5, 'z': 39.6}",0.114,6557988,76,,4504,"{'start': {'x': 45, 'y': 10}, 'end': {'x': 49.5, 'y': 0}, 'goal': {'x': 49.5, 'y': 60.4}}",15,896,1804,shot,,,
"{'name': 'Balša Mrvaljević', 'firstName': 'Balša', 'lastName': 'Mrvaljević', 'slug': 'balsa-mrvaljevic', 'shortName': 'B. Mrvaljević', 'position': 'M', 'jerseyNumber': '18', 'userCount': 30, 'gender': 'M', 'id': 1149289, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا مرفالييفيتش'}, 'shortNameTranslation': {'ar': 'ب. مرفالييفيتش'}}}",True,miss,free-kick,"{'x': 25, 'y': 48, 'z': 0}",right-foot,close-high,"{'x': 0, 'y': 44.5, 'z': 58.1}",0.001393,6557994,68,,4028,"{'start': {'x': 48, 'y': 25}, 'end': {'x': 55.5, 'y': 0}, 'goal': {'x': 55.5, 'y': 41.9}}",23,1372,1328,shot,,,
"{'name': 'Balša Mrvaljević', 'firstName': 'Balša', 'lastName': 'Mrvaljević', 'slug': 'balsa-mrvaljevic', 'shortName': 'B. Mrvaljević', 'position': 'M', 'jerseyNumber': '18', 'userCount': 30, 'gender': 'M', 'id': 1149289, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا مرفالييفيتش'}, 'shortNameTranslation': {'ar': 'ب. مرفالييفيتش'}}}",True,save,regular,"{'x': 12, 'y': 41, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 48.7, 'z': 34}",0.153,6557987,62,,3690,"{'start': {'x': 41, 'y': 12}, 'end': {'x': 51.3, 'y': 0}, 'goal': {'x': 51.3, 'y': 66}}",29,1710,990,shot,0.259,,
"{'name': 'Kristijan Radunović', 'firstName': 'Kristijan Radunović', 'lastName': '', 'slug': 'kristijan-radunovic', 'shortName': 'K. Radunović', 'position': 'M', 'jerseyNumber': '14', 'userCount': 3, 'gender': 'M', 'id': 1381377, 'fieldTranslations': {'nameTranslation': {'ar': 'كريستيجان رادونوفيتش'}, 'shortNameTranslation': {'ar': 'ك. رادونوفيتش'}}}",False,save,set-piece,"{'x': 11, 'y': 53, 'z': 0}",head,low-right,"{'x': 0, 'y': 46.6, 'z': 18.8}",0.1212,6557986,57,,3407,"{'start': {'x': 53, 'y': 11}, 'end': {'x': 53.4, 'y': 0}, 'goal': {'x': 53.4, 'y': 81.2}}",34,1993,707,shot,0.425,,
