player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,xgot,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType,blockCoordinates
"{'name': 'Dragan Miranović', 'firstName': 'Dragan', 'lastName': 'Miranović', 'slug': 'dragan-miranovic', 'shortName': 'D. Miranović', 'position': 'M', 'jerseyNumber': '22', 'userCount': 27, 'gender': 'M', 'id': 1149279, 'fieldTranslations': {'nameTranslation': {'ar': 'دراغان ميرانوفيتش'}, 'shortNameTranslation': {'ar': 'د. ميرانوفيتش'}}}",False,save,regular,"{'x': 25, 'y': 54, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 50.4, 'z': 21.8}",0.04113,0.01433,6641124,90,4.0,5601,"{'start': {'x': 54, 'y': 25}, 'end': {'x': 49.6, 'y': 0}, 'goal': {'x': 49.6, 'y': 78.2}}",1,699,201,shot,,
"{'name': 'Zaim Divanović', 'firstName': '', 'lastName': '', 'slug': 'zaim-divanovic', 'shortName': 'Z. Divanović', 'position': 'M', 'jerseyNumber': '23', 'userCount': 13, 'gender': 'M', 'id': 959010, 'fieldTranslations': {'nameTranslation': {'ar': 'زايم ديفانوفيتش', 'hi': 'ज़ैम दिवानोविक', 'bn': 'জাইম ডিভানোভিচ'}, 'shortNameTranslation': {'ar': 'ز. ديفانوفيتش', 'hi': 'ज़ेड. दिवानोविक', 'bn': 'জেড. ডিভানোভিচ'}}}",False,goal,regular,"{'x': 24, 'y': 46, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 46.5, 'z': 11.6}",0.06545,0.2114,6641123,89,,5284,"{'start': {'x': 46, 'y': 24}, 'end': {'x': 53.5, 'y': 0}, 'goal': {'x': 53.5, 'y': 88.4}}",2,116,2584,shot,regular,
"{'name': 'Edis Redžepagić', 'slug': 'edis-redzepagic', 'shortName': 'E. Redžepagić', 'position': 'F', 'jerseyNumber': '8', 'userCount': 3, 'gender': 'M', 'id': 1035785, 'fieldTranslations': {'nameTranslation': {'ar': 'إيديس ريدزيبابيچ'}, 'shortNameTranslation': {'ar': 'إ. ريدزيبابيچ'}}}",True,miss,regular,"{'x': 17, 'y': 33, 'z': 0}",left-foot,close-high-right,"{'x': 0, 'y': 43, 'z': 47.9}",0.02982,,6641122,87,,5173,"{'start': {'x': 33, 'y': 17}, 'end': {'x': 57, 'y': 0}, 'goal': {'x': 57, 'y': 52.1}}",4,227,2473,shot,,
"{'name': 'Zaim Divanović', 'firstName': '', 'lastName': '', 'slug': 'zaim-divanovic', 'shortName': 'Z. Divanović', 'position': 'M', 'jerseyNumber': '23', 'userCount': 13, 'gender': 'M', 'id': 959010, 'fieldTranslations': {'nameTranslation': {'ar': 'زايم ديفانوفيتش', 'hi': 'ज़ैम दिवानोविक', 'bn': 'জাইম ডিভানোভিচ'}, 'shortNameTranslation': {'ar': 'ز. ديفانوفيتش', 'hi': 'ज़ेड. दिवानोविक', 'bn': 'জেড. ডিভানোভিচ'}}}",False,save,throw-in-set-piece,"{'x': 19, 'y': 21, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 50.5, 'z': 24.8}",0.008224,0.00816,6641121,86,,5123,"{'start': {'x': 21, 'y': 19}, 'end': {'x': 49.5, 'y': 0}, 'goal': {'x': 49.5, 'y': 75.2}}",5,277,2423,shot,,
"{'name': 'Ilija Tučević', 'firstName': '', 'lastName': '', 'slug': 'ilija-tucevic', 'shortName': 'I. Tučević', 'position': 'D', 'jerseyNumber': '17', 'userCount': 3, 'gender': 'M', 'id': 812745, 'fieldTranslations': {'nameTranslation': {'ar': 'إليا توتشيفيتش', 'hi': 'इलिजा तुसेविक', 'bn': 'ইলিজা টুসেভিচ'}, 'shortNameTranslation': {'ar': 'إ. توتشيفيتش', 'hi': 'आई. तुसेविच', 'bn': 'আই. টুসেভিচ'}}}",True,save,throw-in-set-piece,"{'x': 18, 'y': 40, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 49.1, 'z': 5.4}",0.05822,0.05228,6641120,77,,4599,"{'start': {'x': 40, 'y': 18}, 'end': {'x': 50.9, 'y': 0}, 'goal': {'x': 50.9, 'y': 94.6}}",14,801,1899,shot,,
"{'name': 'Đorđe Maksimović', 'slug': 'djordje-maksimovic', 'shortName': 'Đ. Maksimović', 'position': 'F', 'jerseyNumber': '44', 'userCount': 12, 'gender': 'M', 'id': 905970, 'fieldTranslations': {'nameTranslation': {'ar': 'دورجي ماكسيموفيتش'}, 'shortNameTranslation': {'ar': 'د. ماكسيموفيتش'}}}",True,goal,set-piece,"{'x': 5, 'y': 59, 'z': 0}",right-foot,high-left,"{'x': 0, 'y': 52.9, 'z': 30.2}",0.5534,0.9035,6641119,70,,4168,"{'start': {'x': 59, 'y': 5}, 'end': {'x': 47.1, 'y': 0}, 'goal': {'x': 47.1, 'y': 69.8}}",21,1232,1468,shot,regular,
"{'name': 'Žarko Popović', 'firstName': '', 'lastName': '', 'slug': 'zarko-popovic', 'shortName': 'Ž. Popović', 'position': 'M', 'jerseyNumber': '4', 'userCount': 5, 'gender': 'M', 'id': 1030468, 'fieldTranslations': {'nameTranslation': {'ar': 'زاركو بوبوفيتش'}, 'shortNameTranslation': {'ar': 'ز. بوبوفيتش'}}}",False,miss,regular,"{'x': 25, 'y': 26, 'z': 0}",right-foot,close-right,"{'x': 0, 'y': 41.2, 'z': 38}",0.0169,,6641118,65,,3890,"{'start': {'x': 26, 'y': 25}, 'end': {'x': 58.8, 'y': 0}, 'goal': {'x': 58.8, 'y': 62}}",26,1510,1190,shot,,
"{'name': 'Zaim Divanović', 'firstName': '', 'lastName': '', 'slug': 'zaim-divanovic', 'shortName': 'Z. Divanović', 'position': 'M', 'jerseyNumber': '23', 'userCount': 13, 'gender': 'M', 'id': 959010, 'fieldTranslations': {'nameTranslation': {'ar': 'زايم ديفانوفيتش', 'hi': 'ज़ैम दिवानोविक', 'bn': 'জাইম ডিভানোভিচ'}, 'shortNameTranslation': {'ar': 'ز. ديفانوفيتش', 'hi': 'ज़ेड. दिवानोविक', 'bn': 'জেড. ডিভানোভিচ'}}}",False,miss,regular,"{'x': 25, 'y': 46, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 42.2, 'z': 42.4}",0.01017,,6641117,63,,3725,"{'start': {'x': 46, 'y': 25}, 'end': {'x': 57.8, 'y': 0}, 'goal': {'x': 57.8, 'y': 57.6}}",28,1675,1025,shot,,
"{'name': 'Dragan Miranović', 'firstName': 'Dragan', 'lastName': 'Miranović', 'slug': 'dragan-miranovic', 'shortName': 'D. Miranović', 'position': 'M', 'jerseyNumber': '22', 'userCount': 27, 'gender': 'M', 'id': 1149279, 'fieldTranslations': {'nameTranslation': {'ar': 'دراغان ميرانوفيتش'}, 'shortNameTranslation': {'ar': 'د. ميرانوفيتش'}}}",False,block,regular,"{'x': 16, 'y': 56, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.03167,,6641116,63,,3721,"{'start': {'x': 56, 'y': 16}, 'block': {'x': 56, 'y': 16}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",28,1679,1021,shot,,"{'x': 16, 'y': 56, 'z': 0}"
"{'name': 'Zaim Divanović', 'firstName': '', 'lastName': '', 'slug': 'zaim-divanovic', 'shortName': 'Z. Divanović', 'position': 'M', 'jerseyNumber': '23', 'userCount': 13, 'gender': 'M', 'id': 959010, 'fieldTranslations': {'nameTranslation': {'ar': 'زايم ديفانوفيتش', 'hi': 'ज़ैम दिवानोविक', 'bn': 'জাইম ডিভানোভিচ'}, 'shortNameTranslation': {'ar': 'ز. ديفانوفيتش', 'hi': 'ज़ेड. दिवानोविक', 'bn': 'জেড. ডিভানোভিচ'}}}",False,miss,throw-in-set-piece,"{'x': 38, 'y': 46, 'z': 0}",right-foot,close-right,"{'x': 0, 'y': 43.8, 'z': 10.3}",0.005946,,6641115,59,,3484,"{'start': {'x': 46, 'y': 38}, 'end': {'x': 56.2, 'y': 0}, 'goal': {'x': 56.2, 'y': 89.7}}",32,1916,784,shot,,
