match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,bigChanceCreated,keyPass,blockedScoringAttempt,dispossessed,shotOffTarget,bigChanceMissed,hitWoodwork
14147349,home,7581,FK Bokelj Kotor,927881,Stefan Spasojević,stefan-spasojevic,G,88,False,20.0,17.0,12.0,9.0,0.0,10.0,10.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,90.0,27.0,8.3,2.0,0.0,0.0,"{'original': 8.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,85.0,75.0,,,,,,,,,,
14147349,home,7581,FK Bokelj Kotor,314142,Stefan Vico,stefan-vico,D,22,False,37.0,28.0,3.0,3.0,1.0,16.0,21.0,11.0,15.0,5.0,2.0,0.0,1.0,6.0,1.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,,9.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,48.0,7.1,13.0,0.0,0.56,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,1,6,0,6,75.67567567567568,100.0,40.0,,,1.0,1.0,,,,,
14147349,home,7581,FK Bokelj Kotor,1103876,Drago Bumbar,drago-bumbar,D,15,False,31.0,27.0,5.0,2.0,0.0,19.0,19.0,7.0,10.0,0.0,0.0,4.0,0.0,7.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,90.0,39.0,7.3,4.0,0.21,0.0,"{'original': 7.3, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,1,3,87.09677419354838,40.0,,,,,,,,,,
14147349,home,241802,FK Bokelj Kotor,57463,Saša Balić,sasa-balic,D,34,False,4.0,4.0,2.0,2.0,0.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,13.0,7.0,6.9,0.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,100.0,100.0,,,,,,,,,,
14147349,home,7581,FK Bokelj Kotor,1218106,Andrija Krivokapić,andrija-krivokapic,D,23,False,27.0,20.0,7.0,2.0,0.0,9.0,11.0,10.0,15.0,2.0,2.0,0.0,0.0,10.0,3.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,11.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,,,,,,,90.0,35.0,6.4,13.0,0.01,0.0,"{'original': 6.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,0,13,3,10,74.07407407407408,28.57142857142857,100.0,,,,,1.0,,,,
14147349,home,7581,FK Bokelj Kotor,1063210,Fatih Muković,fatih-mukovic,M,8,False,27.0,21.0,2.0,1.0,0.0,8.0,8.0,12.0,17.0,0.0,0.0,2.0,2.0,11.0,5.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,,,,,,,90.0,48.0,7.5,9.0,0.75,0.0,"{'original': 7.5, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,4,12,3,9,77.77777777777779,50.0,,50.0,,,,,1.0,2.0,,
14147349,home,7581,FK Bokelj Kotor,1381377,Kristijan Radunović,kristijan-radunovic,M,14,False,42.0,33.0,6.0,5.0,0.0,14.0,16.0,16.0,22.0,0.0,0.0,1.0,0.0,10.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,,,,,,,90.0,56.0,7.6,17.0,0.06,0.0,"{'original': 7.6, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,1,11,2,9,78.57142857142857,83.33333333333334,,,,,,,3.0,1.0,,
14147349,home,7581,FK Bokelj Kotor,1486746,Alhassan Baba Musah,alhassan-baba-musah,M,19,False,13.0,6.0,0.0,0.0,0.0,1.0,2.0,5.0,11.0,3.0,1.0,2.0,1.0,10.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,64.0,27.0,6.4,10.0,0.34,0.0,"{'original': 6.4, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,3,10,2,8,46.15384615384615,,33.33333333333333,0.0,,,2.0,,2.0,2.0,1.0,
14147349,home,7581,FK Bokelj Kotor,138949,Igor Poček,igor-pocek,M,10,False,24.0,18.0,5.0,2.0,0.0,6.0,6.0,12.0,18.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,4.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,77.0,36.0,7.0,5.0,0.0,0.14,"{'original': 7, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,4,5,75.0,40.0,,100.0,,,1.0,,1.0,1.0,,
14147349,home,7581,FK Bokelj Kotor,813112,Luka Maraš,luka-maras,M,11,False,13.0,9.0,0.0,0.0,0.0,2.0,4.0,7.0,9.0,4.0,2.0,0.0,1.0,8.0,7.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,3.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,,,,,,,77.0,27.0,7.3,9.0,0.0,0.33,"{'original': 7.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,1,14,6,8,69.23076923076923,,50.0,50.0,,1.0,2.0,,,,,
