player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,xg,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType,xgot
"{'name': 'Ljubiša Pecelj', 'firstName': '', 'lastName': '', 'slug': 'ljubisa-pecelj', 'shortName': 'L. Pecelj', 'position': 'D', 'userCount': 16, 'gender': 'M', 'id': 895528, 'fieldTranslations': {'nameTranslation': {'ar': 'ليوبشيا بيشيل'}, 'shortNameTranslation': {'ar': 'ل. بيشيل'}}}",True,block,free-kick,"{'x': 23, 'y': 66, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 23, 'y': 66, 'z': 0}",0.001322,6552167,90,5362,"{'start': {'x': 66, 'y': 23}, 'block': {'x': 66, 'y': 23}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",1,38,2662,shot,,
"{'name': 'Nemanja Bojanić', 'slug': 'nemanja-bojanic', 'shortName': 'N. Bojanić', 'position': 'M', 'jerseyNumber': '18', 'userCount': 3, 'gender': 'M', 'id': 1396429, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانجا بوجانيتش'}, 'shortNameTranslation': {'ar': 'ن. بوجانيتش'}}}",True,block,regular,"{'x': 12, 'y': 68, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 12, 'y': 68, 'z': 0}",0.03508,6552166,88,5249,"{'start': {'x': 68, 'y': 12}, 'block': {'x': 68, 'y': 12}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",3,151,2549,shot,,
"{'name': 'Žarko Popović', 'firstName': '', 'lastName': '', 'slug': 'zarko-popovic', 'shortName': 'Ž. Popović', 'position': 'M', 'jerseyNumber': '4', 'userCount': 5, 'gender': 'M', 'id': 1030468, 'fieldTranslations': {'nameTranslation': {'ar': 'زاركو بوبوفيتش'}, 'shortNameTranslation': {'ar': 'ز. بوبوفيتش'}}}",False,block,corner,"{'x': 24, 'y': 44, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 24, 'y': 44, 'z': 0}",0.006386,6552165,86,5131,"{'start': {'x': 44, 'y': 24}, 'block': {'x': 44, 'y': 24}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",5,269,2431,shot,,
"{'name': 'Aleksa Ćetković', 'firstName': '', 'lastName': '', 'slug': 'aleksa-cetkovic', 'shortName': 'A. Ćetković', 'position': 'M', 'jerseyNumber': '28', 'userCount': 33, 'gender': 'M', 'id': 1005627, 'fieldTranslations': {'nameTranslation': {'ar': 'أليكسا تشيتكوفيتش', 'hi': 'अलेक्सा सेत्कोविक', 'bn': 'আলেক্সা চেটকোভিচ'}, 'shortNameTranslation': {'ar': 'أ. تشيتكوفيتش', 'hi': 'ए. सेत्कोविक', 'bn': 'এ. চেটকোভিচ'}}}",True,goal,set-piece,"{'x': 13, 'y': 58, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 54.1, 'z': 17.8}",,0.1274,6552164,80,4770,"{'start': {'x': 58, 'y': 13}, 'end': {'x': 45.9, 'y': 0}, 'goal': {'x': 45.9, 'y': 82.2}}",11,630,2070,shot,regular,0.4671
"{'name': 'Savo Arambašić', 'slug': 'savo-arambasic', 'shortName': 'S. Arambašić', 'position': 'F', 'jerseyNumber': '17', 'userCount': 29, 'gender': 'M', 'id': 1046042, 'fieldTranslations': {'nameTranslation': {'ar': 'سافو أرامباشيتش'}, 'shortNameTranslation': {'ar': 'س. أرامباشيتش'}}}",False,save,regular,"{'x': 11, 'y': 45, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 50.4, 'z': 27.9}",,0.2013,6552163,78,4623,"{'start': {'x': 45, 'y': 11}, 'end': {'x': 49.6, 'y': 0}, 'goal': {'x': 49.6, 'y': 72.1}}",13,777,1923,shot,,0.3591
"{'name': 'Savo Arambašić', 'slug': 'savo-arambasic', 'shortName': 'S. Arambašić', 'position': 'F', 'jerseyNumber': '17', 'userCount': 29, 'gender': 'M', 'id': 1046042, 'fieldTranslations': {'nameTranslation': {'ar': 'سافو أرامباشيتش'}, 'shortNameTranslation': {'ar': 'س. أرامباشيتش'}}}",False,block,regular,"{'x': 18, 'y': 36, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 18, 'y': 36, 'z': 0}",0.007253,6552162,71,4241,"{'start': {'x': 36, 'y': 18}, 'block': {'x': 36, 'y': 18}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",20,1159,1541,shot,,
"{'name': 'Žarko Popović', 'firstName': '', 'lastName': '', 'slug': 'zarko-popovic', 'shortName': 'Ž. Popović', 'position': 'M', 'jerseyNumber': '4', 'userCount': 5, 'gender': 'M', 'id': 1030468, 'fieldTranslations': {'nameTranslation': {'ar': 'زاركو بوبوفيتش'}, 'shortNameTranslation': {'ar': 'ز. بوبوفيتش'}}}",False,miss,corner,"{'x': 19, 'y': 35, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 56.3, 'z': 22.6}",,0.01884,6552161,65,3863,"{'start': {'x': 35, 'y': 19}, 'end': {'x': 43.7, 'y': 0}, 'goal': {'x': 43.7, 'y': 77.4}}",26,1537,1163,shot,,
"{'name': 'Zoran Mikijelj', 'slug': 'zoran-mikijelj', 'shortName': 'Z. Mikijelj', 'position': 'D', 'jerseyNumber': '19', 'userCount': 1, 'gender': 'M', 'id': 889352, 'fieldTranslations': {'nameTranslation': {'ar': 'زوران ميكييل'}, 'shortNameTranslation': {'ar': 'ز. ميكييل'}}}",True,miss,corner,"{'x': 9, 'y': 42, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 59.2, 'z': 39.7}",,0.06947,6552160,63,3778,"{'start': {'x': 42, 'y': 9}, 'end': {'x': 40.8, 'y': 0}, 'goal': {'x': 40.8, 'y': 60.3}}",28,1622,1078,shot,,
"{'name': 'Armin Bošnjak', 'firstName': '', 'lastName': '', 'slug': 'armin-bosnjak', 'shortName': 'A. Bošnjak', 'position': 'M', 'jerseyNumber': '7', 'userCount': 13, 'gender': 'M', 'id': 808566, 'fieldTranslations': {'nameTranslation': {'ar': 'أرمين بوشنجاك', 'hi': 'आर्मिन बोस्नजक', 'bn': 'আরমিন বোসঞ্জাক'}, 'shortNameTranslation': {'ar': 'أ. بوشنجاك', 'hi': 'ए. बोस्नजक', 'bn': 'এ. বোসনজাক'}}}",True,save,regular,"{'x': 8, 'y': 27, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 49.6, 'z': 11.8}",,0.06955,6552159,63,3746,"{'start': {'x': 27, 'y': 8}, 'end': {'x': 50.4, 'y': 0}, 'goal': {'x': 50.4, 'y': 88.2}}",28,1654,1046,shot,,0.04492
"{'name': 'Irfan Šahman', 'slug': 'irfan-sahman', 'shortName': 'I. Šahman', 'position': 'M', 'jerseyNumber': '8', 'userCount': 4, 'gender': 'M', 'id': 184773, 'fieldTranslations': {'nameTranslation': {'ar': 'عرفان شاهمان', 'hi': 'इरफान शाहमान', 'bn': 'ইরফান শাহমান'}, 'shortNameTranslation': {'ar': 'ع. شاهمان', 'hi': 'आई. शाहमान', 'bn': 'আই. শাহমান'}}}",True,miss,regular,"{'x': 15, 'y': 69, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 58.1, 'z': 2.5}",,0.02885,6552158,62,3712,"{'start': {'x': 69, 'y': 15}, 'end': {'x': 41.9, 'y': 0}, 'goal': {'x': 41.9, 'y': 97.5}}",29,1688,1012,shot,,
