match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,keyPass,dispossessed,penaltyConceded,blockedScoringAttempt,shotOffTarget,hitWoodwork,penaltyWon
14147361,home,36019,FK Mornar Bar,1498808,Vasilije Stojanović,vasilije-stojanovic,G,13,False,29.0,23.0,9.0,3.0,0.0,20.0,23.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,2.0,0.0,90.0,32.0,6.9,5.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,79.3103448275862,33.33333333333333,,,0.0,,,,,,,
14147361,home,405944,FK Mornar Bar,839270,Luka Malešević,luka-malesevic,D,6,False,47.0,31.0,9.0,3.0,0.0,15.0,19.0,16.0,28.0,6.0,4.0,0.0,7.0,4.0,16.0,1.0,6.0,6.0,0.0,0.0,0.0,0.0,2.0,20.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,90.0,65.0,8.1,20.0,0.0,0.0,"{'original': 8.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,7,13,9,4,65.95744680851064,33.33333333333333,66.66666666666666,100.0,,1.0,,,,,,
14147361,home,36019,FK Mornar Bar,1392904,Velimir Ljutica,velimir-ljutica,D,32,False,55.0,41.0,16.0,6.0,0.0,24.0,27.0,16.0,27.0,0.0,0.0,5.0,4.0,11.0,8.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,16.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,,,,,,,90.0,72.0,6.5,16.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,9,10,4,6,74.54545454545455,37.5,,,,,,,,,,
14147361,home,36019,FK Mornar Bar,286837,Ilija Martinović,ilija-martinovic,D,25,False,65.0,55.0,5.0,1.0,0.0,42.0,45.0,13.0,20.0,1.0,0.0,3.0,6.0,7.0,11.0,0.0,1.0,1.0,0.0,0.0,7.0,0.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,,90.0,91.0,7.3,16.0,0.0,0.23,"{'original': 7.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,9,9,5,4,84.61538461538461,20.0,0.0,100.0,,1.0,1.0,,,,,
14147361,home,36019,FK Mornar Bar,894450,Yann Michael Yao,yann-michael-yao,D,11,False,32.0,22.0,9.0,5.0,0.0,12.0,15.0,10.0,16.0,0.0,0.0,3.0,5.0,16.0,7.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,,12.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,45.0,6.2,18.0,0.0,0.0,"{'original': 6.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",23,8,15,2,13,68.75,55.55555555555556,,0.0,,,1.0,1.0,,,,
14147361,home,36019,FK Mornar Bar,94261,Andrija Kaluđerović,andrija-kaluderovic,M,4,False,59.0,47.0,14.0,8.0,0.0,23.0,27.0,23.0,30.0,1.0,0.0,2.0,1.0,11.0,6.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,2.0,19.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,90.0,76.0,7.4,13.0,0.02,0.0,"{'original': 7.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,3,14,5,9,79.66101694915254,57.14285714285714,0.0,100.0,,1.0,1.0,,,,,
14147361,home,36019,FK Mornar Bar,941133,Petar Vukčević,petar-vukcevic,M,19,False,21.0,15.0,0.0,0.0,0.0,7.0,10.0,8.0,11.0,3.0,0.0,1.0,1.0,11.0,4.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,,,,,,,87.0,32.0,6.5,5.0,0.23,0.0,"{'original': 6.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,2,13,3,10,71.42857142857143,,0.0,100.0,,,,,1.0,,,
14147361,home,36019,FK Mornar Bar,1005622,Jovan Dašić,jovan-dasic,M,17,False,14.0,9.0,2.0,0.0,0.0,6.0,8.0,3.0,6.0,1.0,0.0,2.0,0.0,12.0,4.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,,,,,56.0,23.0,6.5,9.0,0.0,0.0,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,2,14,4,10,64.28571428571429,0.0,0.0,100.0,,,,,,,,
14147361,home,36019,FK Mornar Bar,843005,Marko Đurišić,marko-durisic,M,8,False,49.0,36.0,6.0,1.0,0.0,20.0,22.0,16.0,27.0,2.0,1.0,1.0,3.0,4.0,9.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,10.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,0.0,,,,,,,90.0,65.0,8.0,13.0,0.39,0.0,"{'original': 8, 'alternative': None}",4.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,4,9,6,3,73.46938775510205,16.666666666666664,50.0,100.0,,,,,2.0,1.0,,
14147361,home,36019,FK Mornar Bar,95583,Stefan Denković,stefan-denkovic,M,7,False,28.0,23.0,1.0,1.0,1.0,4.0,4.0,19.0,24.0,1.0,0.0,1.0,0.0,6.0,8.0,0.0,9.0,8.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,,,,,,,90.0,53.0,7.8,7.0,0.1,0.44,"{'original': 7.8, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,1,13,8,5,82.14285714285714,100.0,0.0,88.88888888888889,,3.0,1.0,,1.0,1.0,,
14147361,home,36019,FK Mornar Bar,856483,Balša Sekulić,balsa-sekulic,F,9,False,14.0,12.0,0.0,0.0,1.0,5.0,7.0,7.0,7.0,0.0,0.0,3.0,1.0,6.0,2.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,,,,,,,90.0,31.0,8.8,10.0,0.52,0.0,"{'original': 8.8, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,4,4,1,3,85.71428571428571,,,100.0,,,,,,1.0,1.0,
14147361,home,36019,FK Mornar Bar,804419,Demir Skrijelj,demir-skrijelj,M,10,True,18.0,13.0,2.0,1.0,1.0,4.0,6.0,9.0,12.0,1.0,0.0,1.0,0.0,7.0,4.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,,,,,,34.0,32.0,6.8,9.0,0.0,0.13,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,1,10,4,6,72.22222222222221,50.0,0.0,66.66666666666666,,1.0,1.0,,,,,
14147361,home,36019,FK Mornar Bar,1404815,Matija Rovčanin,matija-rovcanin,M,21,True,4.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,3.0,8.0,,5.0,0.0,0.0,,0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,2,3,1,2,75.0,100.0,100.0,,,,1.0,,,,,
