player,isHome,shotType,goalType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,xgot,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates
"{'name': 'Aldin Adžović', 'firstName': '', 'lastName': '', 'slug': 'aldin-adzovic', 'shortName': 'A. Adžović', 'position': 'M', 'jerseyNumber': '5', 'userCount': 3, 'gender': 'M', 'id': 797928, 'fieldTranslations': {'nameTranslation': {'ar': 'ألديـن أديـزوفيتش', 'hi': 'एल्डिन अडज़ोविक', 'bn': 'আলডিন অ্যাডজোভিচ'}, 'shortNameTranslation': {'ar': 'أ. أديـزوفيتش', 'hi': 'ए. अदज़ोविक', 'bn': 'এ. অ্যাডজোভিচ'}}}",True,goal,regular,regular,"{'x': 11, 'y': 54, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51, 'z': 0.1}",0.3219,0.3005,6543082,90,3.0,5539,"{'start': {'x': 54, 'y': 11}, 'end': {'x': 49, 'y': 0}, 'goal': {'x': 49, 'y': 99.9}}",1,761,139,shot,
"{'name': 'Aleksandar Katanić', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-katanic', 'shortName': 'A. Katanić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 11, 'gender': 'M', 'id': 941693, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر كاتانيش'}, 'shortNameTranslation': {'ar': 'أ. كاتانيش'}}}",False,save,,regular,"{'x': 13, 'y': 53, 'z': 0}",head,high-right,"{'x': 0, 'y': 47.5, 'z': 20.3}",0.03292,0.2996,6543081,90,2.0,5493,"{'start': {'x': 53, 'y': 13}, 'end': {'x': 52.5, 'y': 0}, 'goal': {'x': 52.5, 'y': 79.7}}",1,807,93,shot,
"{'name': 'Aldin Adžović', 'firstName': '', 'lastName': '', 'slug': 'aldin-adzovic', 'shortName': 'A. Adžović', 'position': 'M', 'jerseyNumber': '5', 'userCount': 3, 'gender': 'M', 'id': 797928, 'fieldTranslations': {'nameTranslation': {'ar': 'ألديـن أديـزوفيتش', 'hi': 'एल्डिन अडज़ोविक', 'bn': 'আলডিন অ্যাডজোভিচ'}, 'shortNameTranslation': {'ar': 'أ. أديـزوفيتش', 'hi': 'ए. अदज़ोविक', 'bn': 'এ. অ্যাডজোভিচ'}}}",True,post,,free-kick,"{'x': 24, 'y': 73, 'z': 0}",right-foot,left,"{'x': 0, 'y': 55, 'z': 16.5}",0.04738,,6543083,90,,5393,"{'start': {'x': 73, 'y': 24}, 'end': {'x': 45, 'y': 0}, 'goal': {'x': 45, 'y': 83.5}}",1,7,2693,shot,
"{'name': 'Ognjen Rolović', 'firstName': '', 'lastName': '', 'slug': 'ognjen-rolovic', 'shortName': 'O. Rolović', 'position': 'F', 'jerseyNumber': '19', 'userCount': 6, 'gender': 'M', 'id': 196634, 'fieldTranslations': {'nameTranslation': {'ar': 'أوغنيين رولوفيتش', 'hi': 'ओग्जेन रोलोविच', 'bn': 'ওগনজেন রোলোভিচ'}, 'shortNameTranslation': {'ar': 'أ. رولوفيتش', 'hi': 'ओ. रोलोविक', 'bn': 'ও. রোলোভিচ'}}}",True,post,,set-piece,"{'x': 5, 'y': 55, 'z': 0}",right-foot,high,"{'x': 0, 'y': 49.1, 'z': 40.4}",0.9032,,6543080,90,,5395,"{'start': {'x': 55, 'y': 5}, 'end': {'x': 50.9, 'y': 0}, 'goal': {'x': 50.9, 'y': 59.6}}",1,5,2695,shot,
"{'name': 'Aleksandar Macanović', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-macanovic', 'shortName': 'A. Macanović', 'position': 'M', 'jerseyNumber': '20', 'userCount': 5, 'gender': 'M', 'id': 842506, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر ماكانوفيتش'}, 'shortNameTranslation': {'ar': 'أ. ماكانوفيتش'}}}",False,miss,,set-piece,"{'x': 21, 'y': 49, 'z': 0}",left-foot,close-left,"{'x': 0, 'y': 57.7, 'z': 12.4}",0.00628,,6543079,87,,5198,"{'start': {'x': 49, 'y': 21}, 'end': {'x': 42.3, 'y': 0}, 'goal': {'x': 42.3, 'y': 87.6}}",4,202,2498,shot,
"{'name': 'Abdel Osmanović', 'firstName': '', 'lastName': '', 'slug': 'abdel-osmanovic', 'shortName': 'A. Osmanović', 'position': 'D', 'jerseyNumber': '2', 'userCount': 4, 'gender': 'M', 'id': 1000154, 'fieldTranslations': {'nameTranslation': {'ar': 'عبد الإله أوسمانوفيتش'}, 'shortNameTranslation': {'ar': 'ع. أوسمانوفيتش'}}}",True,block,,corner,"{'x': 13, 'y': 39, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.01941,,6543078,66,,3943,"{'start': {'x': 39, 'y': 13}, 'block': {'x': 39, 'y': 13}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",25,1457,1243,shot,"{'x': 13, 'y': 39, 'z': 0}"
"{'name': 'Marko Živanović', 'firstName': '', 'lastName': '', 'slug': 'marko-zivanovic', 'shortName': 'M. Živanović', 'position': 'M', 'jerseyNumber': '26', 'userCount': 6, 'gender': 'M', 'id': 984070, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو زيفانوفيتش'}, 'shortNameTranslation': {'ar': 'م. زيفانوفيتش'}}}",False,miss,,set-piece,"{'x': 16, 'y': 40, 'z': 0}",head,close-left,"{'x': 0, 'y': 58.5, 'z': 19.3}",0.04936,,6543077,59,,3502,"{'start': {'x': 40, 'y': 16}, 'end': {'x': 41.5, 'y': 0}, 'goal': {'x': 41.5, 'y': 80.7}}",32,1898,802,shot,
"{'name': 'Nenad Krivokapić', 'firstName': 'Nenad', 'lastName': 'Krivokapić', 'slug': 'nenad-krivokapic', 'shortName': 'N. Krivokapić', 'position': 'F', 'jerseyNumber': '11', 'userCount': 33, 'gender': 'M', 'id': 1149284, 'fieldTranslations': {'nameTranslation': {'ar': 'نينا كريفاكبيتش'}, 'shortNameTranslation': {'ar': 'ن. كريفاكبيتش'}}}",True,miss,,throw-in-set-piece,"{'x': 21, 'y': 47, 'z': 0}",left-foot,close-high-left,"{'x': 0, 'y': 58.5, 'z': 40.8}",0.07946,,6543076,56,,3334,"{'start': {'x': 47, 'y': 21}, 'end': {'x': 41.5, 'y': 0}, 'goal': {'x': 41.5, 'y': 59.2}}",35,2066,634,shot,
"{'name': 'Aldin Adžović', 'firstName': '', 'lastName': '', 'slug': 'aldin-adzovic', 'shortName': 'A. Adžović', 'position': 'M', 'jerseyNumber': '5', 'userCount': 3, 'gender': 'M', 'id': 797928, 'fieldTranslations': {'nameTranslation': {'ar': 'ألديـن أديـزوفيتش', 'hi': 'एल्डिन अडज़ोविक', 'bn': 'আলডিন অ্যাডজোভিচ'}, 'shortNameTranslation': {'ar': 'أ. أديـزوفيتش', 'hi': 'ए. अदज़ोविक', 'bn': 'এ. অ্যাডজোভিচ'}}}",True,block,,throw-in-set-piece,"{'x': 26, 'y': 42, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.008443,,6543075,56,,3333,"{'start': {'x': 42, 'y': 26}, 'block': {'x': 42, 'y': 26}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",35,2067,633,shot,"{'x': 26, 'y': 42, 'z': 0}"
"{'name': 'Mitar Ćuković', 'slug': 'mitar-cukovic', 'shortName': 'M. Ćuković', 'position': 'D', 'jerseyNumber': '2', 'userCount': 2, 'gender': 'M', 'id': 889057, 'fieldTranslations': {'nameTranslation': {'ar': 'ميتار تشوكوفيتش'}, 'shortNameTranslation': {'ar': 'م. تشوكوفيتش'}}}",False,miss,,regular,"{'x': 23, 'y': 31, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 42.8, 'z': 49}",0.04248,,6543074,54,,3215,"{'start': {'x': 31, 'y': 23}, 'end': {'x': 57.2, 'y': 0}, 'goal': {'x': 57.2, 'y': 51}}",37,2185,515,shot,
"{'name': 'Staniša Mandić', 'slug': 'stanisa-mandic', 'shortName': 'S. Mandić', 'position': 'M', 'jerseyNumber': '77', 'userCount': 35, 'gender': 'M', 'id': 363780, 'fieldTranslations': {'nameTranslation': {'ar': 'ستانيشا مانديتش', 'hi': 'स्टैनिसा मैंडिक', 'bn': 'স্ট্যানিসা মান্ডিচ'}, 'shortNameTranslation': {'ar': 'س. مانديتش', 'hi': 'एस. मैंडिक', 'bn': 'এস. মান্ডিক'}}}",False,block,,regular,"{'x': 12, 'y': 61, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.122,,6543073,51,,3003,"{'start': {'x': 61, 'y': 12}, 'block': {'x': 61, 'y': 12}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",40,2397,303,shot,"{'x': 12, 'y': 61, 'z': 0}"
"{'name': 'Đorđe Maksimović', 'slug': 'djordje-maksimovic', 'shortName': 'Đ. Maksimović', 'position': 'F', 'jerseyNumber': '44', 'userCount': 12, 'gender': 'M', 'id': 905970, 'fieldTranslations': {'nameTranslation': {'ar': 'دورجي ماكسيموفيتش'}, 'shortNameTranslation': {'ar': 'د. ماكسيموفيتش'}}}",True,post,,regular,"{'x': 4, 'y': 67, 'z': 0}",right-foot,high,"{'x': 0, 'y': 44.6, 'z': 40.7}",0.0627,,6543072,45,2.0,2786,"{'start': {'x': 67, 'y': 4}, 'end': {'x': 55.4, 'y': 0}, 'goal': {'x': 55.4, 'y': 59.3}}",1,2614,86,shot,
"{'name': 'Meldin Kojić', 'firstName': 'Meldin', 'lastName': 'Kojic', 'slug': 'meldin-kojic', 'shortName': 'M. Kojić', 'position': 'D', 'jerseyNumber': '3', 'userCount': 14, 'gender': 'M', 'id': 1648555, 'fieldTranslations': {'nameTranslation': {'ar': 'ميلدين كوجيتش'}, 'shortNameTranslation': {'ar': 'م. كوجيتش'}}}",True,miss,,regular,"{'x': 25, 'y': 29, 'z': 0}",left-foot,close-high,"{'x': 0, 'y': 51.1, 'z': 48.2}",0.005897,,6543071,41,,2436,"{'start': {'x': 29, 'y': 25}, 'end': {'x': 48.9, 'y': 0}, 'goal': {'x': 48.9, 'y': 51.8}}",5,264,2436,shot,
"{'name': 'Jovan Nikolić', 'slug': 'jovan-nikolic', 'shortName': 'J. Nikolić', 'position': 'M', 'jerseyNumber': '4', 'userCount': 2, 'gender': 'M', 'id': 58157, 'fieldTranslations': {'nameTranslation': {'ar': 'يوفان نيكوليتش', 'hi': 'जोवन निकोलिक', 'bn': 'জোভান নিকোলিচ'}, 'shortNameTranslation': {'ar': 'ي. نيكوليتش', 'hi': 'जे. निकोलिक', 'bn': 'জে. নিকোলিচ'}}}",False,block,,regular,"{'x': 28, 'y': 40, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.003734,,6543070,38,,2263,"{'start': {'x': 40, 'y': 28}, 'block': {'x': 40, 'y': 28}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",8,437,2263,shot,"{'x': 28, 'y': 40, 'z': 0}"
"{'name': 'Abdel Osmanović', 'firstName': '', 'lastName': '', 'slug': 'abdel-osmanovic', 'shortName': 'A. Osmanović', 'position': 'D', 'jerseyNumber': '2', 'userCount': 4, 'gender': 'M', 'id': 1000154, 'fieldTranslations': {'nameTranslation': {'ar': 'عبد الإله أوسمانوفيتش'}, 'shortNameTranslation': {'ar': 'ع. أوسمانوفيتش'}}}",True,miss,,regular,"{'x': 18, 'y': 65, 'z': 0}",right-foot,close-high-right,"{'x': 0, 'y': 44, 'z': 57.3}",0.04774,,6543069,37,,2166,"{'start': {'x': 65, 'y': 18}, 'end': {'x': 56, 'y': 0}, 'goal': {'x': 56, 'y': 42.7}}",9,534,2166,shot,
