player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,goalType,xgot,blockCoordinates
"{'name': 'Filip Domazetović', 'slug': 'filip-domazetovic', 'shortName': 'F. Domazetović', 'position': 'G', 'jerseyNumber': '21', 'userCount': 27, 'gender': 'M', 'id': 1005619, 'fieldTranslations': {'nameTranslation': {'ar': 'فيليب دومازاتوفيتش', 'hi': 'फ़िलिप डोमेज़ेटोविक', 'bn': 'ফিলিপ দোমাজেতোভিচ'}, 'shortNameTranslation': {'ar': 'ف. دومازاتوفيتش', 'hi': 'एफ. डोमेज़ेटोविक', 'bn': 'এফ. দোমাজেতোভিচ'}}}",True,miss,corner,"{'x': 9, 'y': 49, 'z': 0}",head,close-left,"{'x': 0, 'y': 57.9, 'z': 5.9}",0.1071,6530082,90,5.0,5662,"{'start': {'x': 49, 'y': 9}, 'end': {'x': 42.1, 'y': 0}, 'goal': {'x': 42.1, 'y': 94.1}}",1,638,262,shot,,,
"{'name': 'Stephano Almeida', 'firstName': 'Stephano', 'lastName': 'Almeida', 'slug': 'stephano-almeida', 'shortName': 'S. Almeida', 'position': 'M', 'jerseyNumber': '27', 'userCount': 14, 'gender': 'M', 'id': 978475, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفانو ألميدا', 'hi': 'स्टेफानो अल्मेडा', 'bn': 'স্টেফানো নাউমোভস্কি'}, 'shortNameTranslation': {'ar': 'س. ألميدا', 'hi': 'एस. अल्मेडा', 'bn': 'এস. নাউমোভস্কি'}}}",False,miss,regular,"{'x': 11, 'y': 60, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 59, 'z': 17.3}",0.1852,6530081,87,,5198,"{'start': {'x': 60, 'y': 11}, 'end': {'x': 41, 'y': 0}, 'goal': {'x': 41, 'y': 82.7}}",4,202,2498,shot,,,
"{'name': 'Matija Vukčević', 'firstName': 'Matija Vukčević', 'lastName': '', 'slug': 'matija-vukcevic', 'shortName': 'M. Vukčević', 'position': 'D', 'jerseyNumber': '44', 'userCount': 4, 'gender': 'M', 'id': 1426667, 'fieldTranslations': {'nameTranslation': {'ar': 'ماتيا فوكشيفيتش'}, 'shortNameTranslation': {'ar': 'م. فوكشيفيتش'}}}",False,miss,free-kick,"{'x': 27, 'y': 73, 'z': 0}",left-foot,close-high,"{'x': 0, 'y': 47.1, 'z': 51.6}",0.0006145,6530084,81,,4828,"{'start': {'x': 73, 'y': 27}, 'end': {'x': 52.9, 'y': 0}, 'goal': {'x': 52.9, 'y': 48.4}}",10,572,2128,shot,,,
"{'name': 'Lazar Knezevic', 'firstName': 'Lazar Knezevic', 'slug': 'lazar-knezevic', 'shortName': 'L. Knezevic', 'position': 'M', 'jerseyNumber': '7', 'userCount': 5, 'gender': 'M', 'id': 1497156, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار كنيزيفيتش'}, 'shortNameTranslation': {'ar': 'ل. كنيزيفيتش'}}}",False,goal,penalty,"{'x': 10, 'y': 50, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 46.2, 'z': 4.6}",0.76,6530083,78,,4661,"{'start': {'x': 50, 'y': 10}, 'end': {'x': 53.8, 'y': 0}, 'goal': {'x': 53.8, 'y': 95.4}}",13,739,1961,shot,penalty,0.81,
"{'name': 'Stephano Almeida', 'firstName': 'Stephano', 'lastName': 'Almeida', 'slug': 'stephano-almeida', 'shortName': 'S. Almeida', 'position': 'M', 'jerseyNumber': '27', 'userCount': 14, 'gender': 'M', 'id': 978475, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفانو ألميدا', 'hi': 'स्टेफानो अल्मेडा', 'bn': 'স্টেফানো নাউমোভস্কি'}, 'shortNameTranslation': {'ar': 'س. ألميدا', 'hi': 'एस. अल्मेडा', 'bn': 'এস. নাউমোভস্কি'}}}",False,miss,regular,"{'x': 20, 'y': 34, 'z': 0}",left-foot,close-high-right,"{'x': 0, 'y': 42.7, 'z': 51.5}",0.06178,6530080,75,,4474,"{'start': {'x': 34, 'y': 20}, 'end': {'x': 57.3, 'y': 0}, 'goal': {'x': 57.3, 'y': 48.5}}",16,926,1774,shot,,,
"{'name': 'Lazar Knezevic', 'firstName': 'Lazar Knezevic', 'slug': 'lazar-knezevic', 'shortName': 'L. Knezevic', 'position': 'M', 'jerseyNumber': '7', 'userCount': 5, 'gender': 'M', 'id': 1497156, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار كنيزيفيتش'}, 'shortNameTranslation': {'ar': 'ل. كنيزيفيتش'}}}",False,miss,regular,"{'x': 10, 'y': 34, 'z': 0}",right-foot,close-high-left,"{'x': 0, 'y': 56.5, 'z': 57.3}",0.1301,6530079,70,,4169,"{'start': {'x': 34, 'y': 10}, 'end': {'x': 43.5, 'y': 0}, 'goal': {'x': 43.5, 'y': 42.7}}",21,1231,1469,shot,,,
"{'name': 'Stephano Almeida', 'firstName': 'Stephano', 'lastName': 'Almeida', 'slug': 'stephano-almeida', 'shortName': 'S. Almeida', 'position': 'M', 'jerseyNumber': '27', 'userCount': 14, 'gender': 'M', 'id': 978475, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفانو ألميدا', 'hi': 'स्टेफानो अल्मेडा', 'bn': 'স্টেফানো নাউমোভস্কি'}, 'shortNameTranslation': {'ar': 'س. ألميدا', 'hi': 'एस. अल्मेडा', 'bn': 'এস. নাউমোভস্কি'}}}",False,save,regular,"{'x': 9, 'y': 47, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 51.6, 'z': 24.8}",0.2156,6530078,69,,4110,"{'start': {'x': 47, 'y': 9}, 'end': {'x': 48.4, 'y': 0}, 'goal': {'x': 48.4, 'y': 75.2}}",22,1290,1410,shot,,0.3113,
"{'name': 'Stephano Almeida', 'firstName': 'Stephano', 'lastName': 'Almeida', 'slug': 'stephano-almeida', 'shortName': 'S. Almeida', 'position': 'M', 'jerseyNumber': '27', 'userCount': 14, 'gender': 'M', 'id': 978475, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفانو ألميدا', 'hi': 'स्टेफानो अल्मेडा', 'bn': 'স্টেফানো নাউমোভস্কি'}, 'shortNameTranslation': {'ar': 'س. ألميدا', 'hi': 'एस. अल्मेडा', 'bn': 'এস. নাউমোভস্কি'}}}",False,save,throw-in-set-piece,"{'x': 4, 'y': 62, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.2, 'z': 6}",0.06588,6530077,59,,3486,"{'start': {'x': 62, 'y': 4}, 'end': {'x': 49.8, 'y': 0}, 'goal': {'x': 49.8, 'y': 94}}",32,1914,786,shot,,0.171,
"{'name': 'Balša Mrvaljević', 'firstName': 'Balša', 'lastName': 'Mrvaljević', 'slug': 'balsa-mrvaljevic', 'shortName': 'B. Mrvaljević', 'position': 'M', 'jerseyNumber': '18', 'userCount': 30, 'gender': 'M', 'id': 1149289, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا مرفالييفيتش'}, 'shortNameTranslation': {'ar': 'ب. مرفالييفيتش'}}}",False,block,throw-in-set-piece,"{'x': 18, 'y': 36, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.006953,6530076,45,2.0,2803,"{'start': {'x': 36, 'y': 18}, 'block': {'x': 36, 'y': 18}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",1,2597,103,shot,,,"{'x': 18, 'y': 36, 'z': 0}"
"{'name': 'Dušan Vuković', 'firstName': '', 'lastName': '', 'slug': 'dusan-vukovic', 'shortName': 'D. Vuković', 'position': 'M', 'jerseyNumber': '77', 'userCount': 24, 'gender': 'M', 'id': 1103884, 'fieldTranslations': {'nameTranslation': {'ar': 'دوشان فوكوفيتش'}, 'shortNameTranslation': {'ar': 'د. فوكوفيتش'}}}",False,block,regular,"{'x': 25, 'y': 38, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.002782,6530075,45,,2653,"{'start': {'x': 38, 'y': 25}, 'block': {'x': 38, 'y': 25}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",1,47,2653,shot,,,"{'x': 25, 'y': 38, 'z': 0}"
