player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,xgot,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,goalType
"{'name': 'Danis Kolić', 'firstName': 'Danis', 'lastName': 'Kolic', 'slug': 'danis-kolic', 'shortName': 'D. Kolić', 'position': 'M', 'jerseyNumber': '22', 'userCount': 8, 'gender': 'M', 'id': 1391891, 'fieldTranslations': {'nameTranslation': {'ar': 'دانيش كوليتش'}, 'shortNameTranslation': {'ar': 'د. كوليتش'}}}",False,save,regular,"{'x': 17, 'y': 38, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.7, 'z': 10.1}",0.1242,0.03454,6555911,90,1.0,5420,"{'start': {'x': 38, 'y': 17}, 'end': {'x': 51.3, 'y': 0}, 'goal': {'x': 51.3, 'y': 89.9}}",1,880,20,shot,,
"{'name': 'Luka Maraš', 'firstName': 'Luka', 'lastName': 'Maraš', 'slug': 'luka-maras', 'shortName': 'L. Maraš', 'position': 'D', 'jerseyNumber': '11', 'userCount': 2, 'gender': 'M', 'id': 813112, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكا ماراش'}, 'shortNameTranslation': {'ar': 'ل. ماراش'}}}",True,miss,free-kick,"{'x': 25, 'y': 28, 'z': 0}",right-foot,close-high-left,"{'x': 0, 'y': 58.9, 'z': 44}",0.0003375,,6555915,90,,5368,"{'start': {'x': 28, 'y': 25}, 'end': {'x': 41.1, 'y': 0}, 'goal': {'x': 41.1, 'y': 56}}",1,32,2668,shot,,
"{'name': 'Alhassan Baba Musah', 'firstName': '', 'lastName': '', 'slug': 'alhassan-baba-musah', 'shortName': 'A. B. Musah', 'position': 'M', 'jerseyNumber': '19', 'userCount': 30, 'gender': 'M', 'id': 1486746, 'fieldTranslations': {'nameTranslation': {'ar': 'الحسن بابا موسى'}, 'shortNameTranslation': {'ar': 'ا. موسى'}}}",True,block,regular,"{'x': 20, 'y': 68, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.008014,,6555910,88,,5272,"{'start': {'x': 68, 'y': 20}, 'block': {'x': 68, 'y': 20}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",3,128,2572,shot,"{'x': 20, 'y': 68, 'z': 0}",
"{'name': 'Alhassan Baba Musah', 'firstName': '', 'lastName': '', 'slug': 'alhassan-baba-musah', 'shortName': 'A. B. Musah', 'position': 'M', 'jerseyNumber': '19', 'userCount': 30, 'gender': 'M', 'id': 1486746, 'fieldTranslations': {'nameTranslation': {'ar': 'الحسن بابا موسى'}, 'shortNameTranslation': {'ar': 'ا. موسى'}}}",True,save,throw-in-set-piece,"{'x': 20, 'y': 52, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 51, 'z': 12}",0.04412,0.03629,6555909,87,,5175,"{'start': {'x': 52, 'y': 20}, 'end': {'x': 49, 'y': 0}, 'goal': {'x': 49, 'y': 88}}",4,225,2475,shot,,
"{'name': 'Žarko Korać', 'firstName': 'Žarko', 'lastName': 'Korać', 'slug': 'zarko-korac', 'shortName': 'Ž. Korać', 'position': 'F', 'jerseyNumber': '11', 'userCount': 12, 'gender': 'M', 'id': 54752, 'fieldTranslations': {'nameTranslation': {'ar': 'زاركو كوراچ'}, 'shortNameTranslation': {'ar': 'ز. كوراچ'}}}",False,miss,corner,"{'x': 6, 'y': 58, 'z': 0}",head,close-left,"{'x': 0, 'y': 56.3, 'z': 0.1}",0.1121,,6555908,86,,5123,"{'start': {'x': 58, 'y': 6}, 'end': {'x': 43.7, 'y': 0}, 'goal': {'x': 43.7, 'y': 99.9}}",5,277,2423,shot,,
"{'name': 'Danis Kolić', 'firstName': 'Danis', 'lastName': 'Kolic', 'slug': 'danis-kolic', 'shortName': 'D. Kolić', 'position': 'M', 'jerseyNumber': '22', 'userCount': 8, 'gender': 'M', 'id': 1391891, 'fieldTranslations': {'nameTranslation': {'ar': 'دانيش كوليتش'}, 'shortNameTranslation': {'ar': 'د. كوليتش'}}}",False,save,set-piece,"{'x': 12, 'y': 66, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.1, 'z': 5.8}",0.2174,0.1526,6555907,85,,5078,"{'start': {'x': 66, 'y': 12}, 'end': {'x': 50.9, 'y': 0}, 'goal': {'x': 50.9, 'y': 94.2}}",6,322,2378,shot,,
"{'name': 'Žarko Korać', 'firstName': 'Žarko', 'lastName': 'Korać', 'slug': 'zarko-korac', 'shortName': 'Ž. Korać', 'position': 'F', 'jerseyNumber': '11', 'userCount': 12, 'gender': 'M', 'id': 54752, 'fieldTranslations': {'nameTranslation': {'ar': 'زاركو كوراچ'}, 'shortNameTranslation': {'ar': 'ز. كوراچ'}}}",False,goal,penalty,"{'x': 10, 'y': 50, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51.3, 'z': 4.7}",0.76,0.81,6555912,80,,4766,"{'start': {'x': 50, 'y': 10}, 'end': {'x': 48.7, 'y': 0}, 'goal': {'x': 48.7, 'y': 95.3}}",11,634,2066,shot,,penalty
"{'name': 'Georgios Makrydakis', 'firstName': 'Georgios', 'lastName': 'Makrydakis', 'slug': 'makrydakis-georgios', 'shortName': 'G. Makrydakis', 'position': 'D', 'jerseyNumber': '56', 'userCount': 8, 'gender': 'M', 'id': 1440632, 'fieldTranslations': {'nameTranslation': {'ar': 'جورجيوس ماكريدكيس'}, 'shortNameTranslation': {'ar': 'ج. ماكريدكيس'}}}",False,save,regular,"{'x': 12, 'y': 33, 'z': 0}",left-foot,high-left,"{'x': 0, 'y': 53.6, 'z': 22.5}",0.07465,0.08128,6555906,76,,4560,"{'start': {'x': 33, 'y': 12}, 'end': {'x': 46.4, 'y': 0}, 'goal': {'x': 46.4, 'y': 77.5}}",15,840,1860,shot,,
"{'name': 'Stefan Radojevic', 'firstName': 'Stefan Radojevic', 'slug': 'stefan-radojevic', 'shortName': 'S. Radojevic', 'position': 'M', 'jerseyNumber': '8', 'userCount': 10, 'gender': 'M', 'id': 1536333, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان رادويفيتش'}, 'shortNameTranslation': {'ar': 'س. رادويفيتش'}}}",False,save,corner,"{'x': 10, 'y': 52, 'z': 0}",head,high-centre,"{'x': 0, 'y': 50.6, 'z': 21}",0.08904,0.06308,6555905,74,,4395,"{'start': {'x': 52, 'y': 10}, 'end': {'x': 49.4, 'y': 0}, 'goal': {'x': 49.4, 'y': 79}}",17,1005,1695,shot,,
"{'name': 'Šaleta Kordić', 'firstName': '', 'lastName': '', 'slug': 'saleta-kordic', 'shortName': 'Š. Kordić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 4, 'gender': 'M', 'id': 227396, 'fieldTranslations': {'nameTranslation': {'ar': 'شاليتا كورديتش', 'hi': 'शालेटा कोर्डिक', 'bn': 'শ্যালেট কোর্ডিচ'}, 'shortNameTranslation': {'ar': 'ش. كورديتش', 'hi': 'एस. कोर्डिक', 'bn': 'এস. কোর্ডিক'}}}",True,goal,regular,"{'x': 6, 'y': 46, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 47.6, 'z': 2}",0.3648,0.8161,6555904,69,,4096,"{'start': {'x': 46, 'y': 6}, 'end': {'x': 52.4, 'y': 0}, 'goal': {'x': 52.4, 'y': 98}}",22,1304,1396,shot,,regular
