player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,xgot,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,addedTime,goalType
"{'name': 'Ayumu Nishimura', 'firstName': 'Ayumu Nishimura', 'slug': 'ayumu-nishimura', 'shortName': 'A. Nishimura', 'position': 'F', 'userCount': 15, 'gender': 'M', 'id': 1218295, 'fieldTranslations': {'nameTranslation': {'ar': 'أيومو نيشيمورا'}, 'shortNameTranslation': {'ar': 'أ. نيشيمورا'}}}",True,save,regular,"{'x': 11, 'y': 61, 'z': 0}",left-foot,high-centre,"{'x': 0, 'y': 50.3, 'z': 22.7}",0.1839,0.1315,6649853,90,5352,"{'start': {'x': 61, 'y': 11}, 'end': {'x': 49.7, 'y': 0}, 'goal': {'x': 49.7, 'y': 77.3}}",1,48,2652,shot,,,
"{'name': 'Stefan  Mrsulja', 'slug': 'stefan-mrsulja', 'shortName': 'S. Mrsulja', 'position': 'D', 'jerseyNumber': '17', 'userCount': 1, 'id': 1650228, 'fieldTranslations': {'nameTranslation': {'ar': 'ستيفان مروسوليا'}, 'shortNameTranslation': {'ar': 'س. مروسوليا'}}}",True,miss,corner,"{'x': 8, 'y': 46, 'z': 0}",head,close-right,"{'x': 0, 'y': 44, 'z': 7.5}",0.0289,,6649852,89,5303,"{'start': {'x': 46, 'y': 8}, 'end': {'x': 56, 'y': 0}, 'goal': {'x': 56, 'y': 92.5}}",2,97,2603,shot,,,
"{'name': 'Petar Ražnatović', 'slug': 'petar-raznatovic', 'shortName': 'P. Ražnatović', 'position': 'M', 'jerseyNumber': '10', 'userCount': 31, 'gender': 'M', 'id': 1947605, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر راجناتوفيتش'}, 'shortNameTranslation': {'ar': 'ب. راجناتوفيتش'}}}",False,save,free-kick,"{'x': 21, 'y': 29, 'z': 0}",left-foot,high-centre,"{'x': 0, 'y': 48.4, 'z': 26.1}",0.1011,0.06995,6649857,78,4621,"{'start': {'x': 29, 'y': 21}, 'end': {'x': 51.6, 'y': 0}, 'goal': {'x': 51.6, 'y': 73.9}}",13,779,1921,shot,,,
"{'name': 'Gojko Petović', 'slug': 'gojko-petrovic', 'shortName': 'G. Petović', 'position': 'D', 'jerseyNumber': '5', 'userCount': 7, 'gender': 'M', 'id': 1804545, 'fieldTranslations': {'nameTranslation': {'ar': 'غويكو بيتوفيتش'}, 'shortNameTranslation': {'ar': 'غ. بيتوفيتش'}}}",False,block,set-piece,"{'x': 9, 'y': 59, 'z': 0}",head,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.02718,,6649851,78,4677,"{'start': {'x': 59, 'y': 9}, 'block': {'x': 59, 'y': 9}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",13,723,1977,shot,"{'x': 9, 'y': 59, 'z': 0}",,
"{'name': 'Petar Ražnatović', 'slug': 'petar-raznatovic', 'shortName': 'P. Ražnatović', 'position': 'M', 'jerseyNumber': '10', 'userCount': 31, 'gender': 'M', 'id': 1947605, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر راجناتوفيتش'}, 'shortNameTranslation': {'ar': 'ب. راجناتوفيتش'}}}",False,block,throw-in-set-piece,"{'x': 18, 'y': 50, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.1143,,6649850,75,4473,"{'start': {'x': 50, 'y': 18}, 'block': {'x': 50, 'y': 18}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",16,927,1773,shot,"{'x': 18, 'y': 50, 'z': 0}",,
"{'name': 'Aleksandar Macanović', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-macanovic', 'shortName': 'A. Macanović', 'position': 'M', 'jerseyNumber': '20', 'userCount': 5, 'gender': 'M', 'id': 842506, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر ماكانوفيتش'}, 'shortNameTranslation': {'ar': 'أ. ماكانوفيتش'}}}",False,block,throw-in-set-piece,"{'x': 13, 'y': 52, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.01133,,6649849,75,4471,"{'start': {'x': 52, 'y': 13}, 'block': {'x': 52, 'y': 13}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",16,929,1771,shot,"{'x': 13, 'y': 52, 'z': 0}",,
"{'name': 'Petar Ražnatović', 'slug': 'petar-raznatovic', 'shortName': 'P. Ražnatović', 'position': 'M', 'jerseyNumber': '10', 'userCount': 31, 'gender': 'M', 'id': 1947605, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر راجناتوفيتش'}, 'shortNameTranslation': {'ar': 'ب. راجناتوفيتش'}}}",False,miss,throw-in-set-piece,"{'x': 23, 'y': 67, 'z': 0}",left-foot,close-high-left,"{'x': 0, 'y': 58.7, 'z': 47.1}",0.01494,,6649848,74,4420,"{'start': {'x': 67, 'y': 23}, 'end': {'x': 41.3, 'y': 0}, 'goal': {'x': 41.3, 'y': 52.9}}",17,980,1720,shot,,,
"{'name': 'Armin Bošnjak', 'firstName': '', 'lastName': '', 'slug': 'armin-bosnjak', 'shortName': 'A. Bošnjak', 'position': 'M', 'jerseyNumber': '7', 'userCount': 13, 'gender': 'M', 'id': 808566, 'fieldTranslations': {'nameTranslation': {'ar': 'أرمين بوشنجاك', 'hi': 'आर्मिन बोस्नजक', 'bn': 'আরমিন বোসঞ্জাক'}, 'shortNameTranslation': {'ar': 'أ. بوشنجاك', 'hi': 'ए. बोस्नजक', 'bn': 'এ. বোসনজাক'}}}",False,block,set-piece,"{'x': 27, 'y': 45, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.003132,,6649847,57,3379,"{'start': {'x': 45, 'y': 27}, 'block': {'x': 45, 'y': 27}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",34,2021,679,shot,"{'x': 27, 'y': 45, 'z': 0}",,
"{'name': 'Luka Maraš', 'firstName': 'Luka', 'lastName': 'Maraš', 'slug': 'luka-maras', 'shortName': 'L. Maraš', 'position': 'D', 'jerseyNumber': '11', 'userCount': 2, 'gender': 'M', 'id': 813112, 'fieldTranslations': {'nameTranslation': {'ar': 'لوكا ماراش'}, 'shortNameTranslation': {'ar': 'ل. ماراش'}}}",True,miss,regular,"{'x': 28, 'y': 65, 'z': 0}",left-foot,close-right,"{'x': 0, 'y': 41.8, 'z': 12.3}",0.03657,,6649846,45,2767,"{'start': {'x': 65, 'y': 28}, 'end': {'x': 58.2, 'y': 0}, 'goal': {'x': 58.2, 'y': 87.7}}",1,2633,67,shot,,2.0,
"{'name': 'Marko Čavor', 'firstName': '', 'lastName': '', 'slug': 'marko-cavor', 'shortName': 'M. Čavor', 'position': 'D', 'jerseyNumber': '29', 'userCount': 7, 'gender': 'M', 'id': 909420, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو تشافور'}, 'shortNameTranslation': {'ar': 'م. تشافور'}}}",True,block,free-kick,"{'x': 19, 'y': 62, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.003626,,6649856,37,2163,"{'start': {'x': 62, 'y': 19}, 'block': {'x': 62, 'y': 19}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",9,537,2163,shot,"{'x': 19, 'y': 62, 'z': 0}",,
