match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,interceptionWon,keyPass,shotOffTarget,hitWoodwork,blockedScoringAttempt,dispossessed
14147373,home,6216,OFK Petrovac,355010,Suad Ličina,suad-licina,G,1,False,22.0,17.0,12.0,8.0,0.0,10.0,11.0,7.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,90.0,28.0,7.3,4.0,0.0,0.0,"{'original': 7.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,1,0,77.27272727272727,66.66666666666666,,,,,,,,,
14147373,home,6216,OFK Petrovac,882142,Danilo Pešukić,danilo-pesukic,D,29,False,24.0,12.0,7.0,5.0,0.0,5.0,7.0,7.0,17.0,5.0,2.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,90.0,32.0,7.1,15.0,0.0,0.13,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,0,5,0,5,50.0,71.42857142857143,40.0,,,1.0,1.0,,,,
14147373,home,6216,OFK Petrovac,986362,Marko Merdović,merdovic-marko,D,44,False,29.0,22.0,12.0,7.0,0.0,16.0,16.0,6.0,13.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,,,,,90.0,36.0,7.1,8.0,0.0,0.0,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,75.86206896551724,58.333333333333336,,,,1.0,,,,,
14147373,home,6216,OFK Petrovac,57339,Dejan Boljević,dejan-boljevic,D,33,False,25.0,19.0,6.0,1.0,0.0,16.0,17.0,2.0,7.0,0.0,0.0,5.0,1.0,7.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,90.0,33.0,6.9,7.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,6,6,4,2,76.0,16.666666666666664,,,,3.0,,,,,
14147373,home,5143,OFK Petrovac,1000577,Andrej Pupović,andrej-pupovic,D,30,False,25.0,16.0,3.0,2.0,0.0,9.0,12.0,7.0,12.0,1.0,0.0,0.0,1.0,10.0,11.0,1.0,4.0,4.0,0.0,0.0,4.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,,,,,,,90.0,44.0,7.5,13.0,0.02,0.0,"{'original': 7.5, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",21,1,20,10,10,64.0,66.66666666666666,0.0,100.0,,1.0,,2.0,1.0,,
14147373,home,6216,OFK Petrovac,1381384,Nemanja Carević,nemanja-carevic,M,21,False,15.0,10.0,1.0,0.0,0.0,5.0,7.0,5.0,7.0,0.0,0.0,3.0,1.0,10.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,,,,,,,71.0,24.0,7.1,10.0,0.46,0.0,"{'original': 7.1, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,4,9,2,7,66.66666666666666,0.0,,,,,,1.0,,1.0,
14147373,home,6216,OFK Petrovac,889063,Stefan Fićović,stefan-ficovic,M,18,False,29.0,23.0,3.0,1.0,1.0,10.0,12.0,12.0,16.0,1.0,1.0,3.0,0.0,15.0,10.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,8.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,,,,,,,90.0,44.0,8.5,9.0,0.16,0.2,"{'original': 8.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",25,3,22,10,12,79.3103448275862,33.33333333333333,100.0,100.0,,1.0,4.0,,,,1.0
14147373,home,6216,OFK Petrovac,1149279,Dragan Miranović,dragan-miranovic,M,22,False,27.0,22.0,4.0,1.0,0.0,11.0,12.0,11.0,14.0,0.0,0.0,2.0,1.0,10.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,80.0,41.0,6.7,8.0,0.18,0.0,"{'original': 6.7, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,3,11,3,8,81.48148148148148,25.0,,,,1.0,,,,1.0,1.0
14147373,home,6216,OFK Petrovac,1030468,Žarko Popović,zarko-popovic,M,4,False,22.0,16.0,1.0,1.0,1.0,2.0,2.0,14.0,20.0,1.0,1.0,2.0,1.0,7.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,71.0,32.0,7.1,6.0,0.01,0.22,"{'original': 7.1, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,3,7,2,5,72.72727272727273,100.0,100.0,100.0,,,1.0,1.0,1.0,,
14147373,home,6216,OFK Petrovac,791606,Adnan Bašić,adnan-basic,F,10,False,7.0,5.0,0.0,0.0,0.0,2.0,4.0,3.0,3.0,0.0,0.0,3.0,1.0,9.0,7.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,2.0,,,,,,,80.0,23.0,8.4,10.0,0.2,0.12,"{'original': 8.4, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,4,12,6,6,71.42857142857143,,,,,,1.0,,,,
14147373,home,6216,OFK Petrovac,1046042,Savo Arambašić,savo-arambasic,F,17,False,11.0,8.0,1.0,0.0,0.0,4.0,5.0,4.0,6.0,0.0,0.0,3.0,1.0,12.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,69.0,23.0,6.5,8.0,0.0,0.04,"{'original': 6.5, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,4,12,3,9,72.72727272727273,0.0,,0.0,,,1.0,,,,1.0
