player,isHome,shotType,goalType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,xgot,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates
"{'name': 'Vasko Kalezić', 'firstName': '', 'lastName': '', 'slug': 'vasko-kalezic', 'shortName': 'V. Kalezić', 'position': 'F', 'jerseyNumber': '70', 'userCount': 18, 'gender': 'M', 'id': 172957, 'fieldTranslations': {'nameTranslation': {'ar': 'فاسكو كاليزيك', 'hi': 'वास्को कालेज़िक', 'bn': 'ভাস্কো কালেজিক'}, 'shortNameTranslation': {'ar': 'ف. كاليزيك', 'hi': 'वी. कालेज़िक', 'bn': 'ভি. কালেজিক'}}}",True,goal,regular,regular,"{'x': 6, 'y': 30, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 54.1, 'z': 9.2}",0.06652,0.08501,6639144,90,5371,"{'start': {'x': 30, 'y': 6}, 'end': {'x': 45.9, 'y': 0}, 'goal': {'x': 45.9, 'y': 90.8}}",1,29,2671,shot,
"{'name': 'Igor Poček', 'slug': 'igor-pocek', 'shortName': 'I. Poček', 'position': 'F', 'jerseyNumber': '10', 'userCount': 14, 'gender': 'M', 'id': 138949, 'fieldTranslations': {'nameTranslation': {'ar': 'إيغور بوتشيك'}, 'shortNameTranslation': {'ar': 'إ. بوتشيك'}}}",False,block,,free-kick,"{'x': 21, 'y': 24, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.122,,6639147,77,4580,"{'start': {'x': 24, 'y': 21}, 'block': {'x': 24, 'y': 21}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",14,820,1880,shot,"{'x': 21, 'y': 24, 'z': 0}"
"{'name': 'Danilo Ćetković', 'slug': 'danilo-cetkovic', 'shortName': 'D. Ćetković', 'position': 'M', 'jerseyNumber': '21', 'userCount': 19, 'gender': 'M', 'id': 1481226, 'fieldTranslations': {'nameTranslation': {'ar': 'دانييلو تشيتكوفيتش'}, 'shortNameTranslation': {'ar': 'د. تشيتكوفيتش'}}}",True,save,,regular,"{'x': 26, 'y': 47, 'z': 0}",left-foot,low-left,"{'x': 0, 'y': 53, 'z': 1.3}",0.0459,0.1987,6639143,71,4219,"{'start': {'x': 47, 'y': 26}, 'end': {'x': 47, 'y': 0}, 'goal': {'x': 47, 'y': 98.7}}",20,1181,1519,shot,
"{'name': 'Balša Tošković', 'firstName': '', 'lastName': '', 'slug': 'balsa-toskovic', 'shortName': 'B. Tošković', 'position': 'F', 'jerseyNumber': '10', 'userCount': 38, 'gender': 'M', 'id': 1030465, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا توشكوفيتش'}, 'shortNameTranslation': {'ar': 'ب. توشكوفيتش'}}}",True,post,,regular,"{'x': 7, 'y': 60, 'z': 0}",right-foot,high,"{'x': 0, 'y': 47.1, 'z': 40}",0.2486,,6639142,71,4208,"{'start': {'x': 60, 'y': 7}, 'end': {'x': 52.9, 'y': 0}, 'goal': {'x': 52.9, 'y': 60}}",20,1192,1508,shot,
"{'name': 'Velizar Janketić', 'firstName': '', 'lastName': '', 'slug': 'velizar-janketic', 'shortName': 'V. Janketić', 'position': 'M', 'jerseyNumber': '7', 'userCount': 12, 'gender': 'M', 'id': 572018, 'fieldTranslations': {'nameTranslation': {'ar': 'فيليزار جانكيتش', 'hi': 'वेलिज़ार जानकेटिक', 'bn': 'ভেলিজার জানকেটিচ'}, 'shortNameTranslation': {'ar': 'ف. جانكيتش', 'hi': 'वी. जानकेटिक', 'bn': 'ভি. জানকেটিক'}}}",False,goal,regular,regular,"{'x': 8, 'y': 41, 'z': 0}",right-foot,high-left,"{'x': 0, 'y': 54.5, 'z': 25.9}",0.2687,0.743,6639141,69,4135,"{'start': {'x': 41, 'y': 8}, 'end': {'x': 45.5, 'y': 0}, 'goal': {'x': 45.5, 'y': 74.1}}",22,1265,1435,shot,
"{'name': 'Andrija Ražnatović', 'firstName': '', 'lastName': '', 'slug': 'andrija-raznatovic', 'shortName': 'A. Ražnatović', 'position': 'D', 'jerseyNumber': '22', 'userCount': 23, 'gender': 'M', 'id': 1000770, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريا رازناتوفيتش', 'hi': 'एंड्रीजा रज्नाटोविक', 'bn': 'আন্দ্রিজা রাজনাতোভিচ'}, 'shortNameTranslation': {'ar': 'أ. رازناتوفيتش', 'hi': 'ए. रज्नाटोविक', 'bn': 'এ. রাজনাতোভিচ'}}}",True,block,,regular,"{'x': 20, 'y': 36, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.008377,,6639140,61,3621,"{'start': {'x': 36, 'y': 20}, 'block': {'x': 36, 'y': 20}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",30,1779,921,shot,"{'x': 20, 'y': 36, 'z': 0}"
"{'name': 'Marko Simun', 'firstName': '', 'lastName': '', 'slug': 'marko-simun', 'shortName': 'M. Simun', 'position': 'M', 'jerseyNumber': '19', 'userCount': 33, 'gender': 'M', 'id': 1479109, 'fieldTranslations': {'nameTranslation': {'ar': 'ماركو شيمون'}, 'shortNameTranslation': {'ar': 'م. شيمون'}}}",True,goal,regular,regular,"{'x': 22, 'y': 35, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 53.7, 'z': 12.2}",0.04135,0.1085,6639139,58,3429,"{'start': {'x': 35, 'y': 22}, 'end': {'x': 46.3, 'y': 0}, 'goal': {'x': 46.3, 'y': 87.8}}",33,1971,729,shot,
"{'name': 'Velizar Janketić', 'firstName': '', 'lastName': '', 'slug': 'velizar-janketic', 'shortName': 'V. Janketić', 'position': 'M', 'jerseyNumber': '7', 'userCount': 12, 'gender': 'M', 'id': 572018, 'fieldTranslations': {'nameTranslation': {'ar': 'فيليزار جانكيتش', 'hi': 'वेलिज़ार जानकेटिक', 'bn': 'ভেলিজার জানকেটিচ'}, 'shortNameTranslation': {'ar': 'ف. جانكيتش', 'hi': 'वी. जानकेटिक', 'bn': 'ভি. জানকেটিক'}}}",False,goal,regular,regular,"{'x': 10, 'y': 73, 'z': 0}",right-foot,low-left,"{'x': 0, 'y': 51.9, 'z': 12.1}",0.04766,0.2326,6639138,57,3370,"{'start': {'x': 73, 'y': 10}, 'end': {'x': 48.1, 'y': 0}, 'goal': {'x': 48.1, 'y': 87.9}}",34,2030,670,shot,
"{'name': 'Medo Juković', 'firstName': 'Medo Jukovic', 'slug': 'medo-jukovic', 'shortName': 'M. Juković', 'position': 'M', 'jerseyNumber': '88', 'userCount': 34, 'gender': 'M', 'id': 1896811, 'fieldTranslations': {'nameTranslation': {'ar': 'ميدو يوكوفيتش'}, 'shortNameTranslation': {'ar': 'م. يوكوفيتش'}}}",True,miss,,regular,"{'x': 22, 'y': 32, 'z': 0}",right-foot,close-high,"{'x': 0, 'y': 46.9, 'z': 52.3}",0.007167,,6639137,55,3257,"{'start': {'x': 32, 'y': 22}, 'end': {'x': 53.1, 'y': 0}, 'goal': {'x': 53.1, 'y': 47.7}}",36,2143,557,shot,
"{'name': 'Petar Aničić', 'slug': 'petar-anicic', 'shortName': 'P. Aničić', 'position': 'M', 'jerseyNumber': '9', 'userCount': 5, 'gender': 'M', 'id': 1381358, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر أنيتشيتش'}, 'shortNameTranslation': {'ar': 'ب. أنيتشيتش'}}}",True,goal,regular,regular,"{'x': 8, 'y': 54, 'z': 0}",head,high-left,"{'x': 0, 'y': 54.7, 'z': 21.2}",0.2435,0.6882,6639136,42,2501,"{'start': {'x': 54, 'y': 8}, 'end': {'x': 45.3, 'y': 0}, 'goal': {'x': 45.3, 'y': 78.8}}",4,199,2501,shot,
