match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,accurateOppositionHalfPasses,interceptionWon,keyPass,shotOffTarget,blockedScoringAttempt,dispossessed,penaltyWon,hitWoodwork,penaltyConceded
14147374,home,6224,FK Sutjeska Nikšić,57363,Vladan Giljen,vladan-giljen,G,1,False,14.0,12.0,3.0,1.0,0.0,12.0,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,90.0,15.0,6.0,2.0,0.0,0.0,"{'original': 6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,85.71428571428571,33.33333333333333,,,0.0,,,,,,,,,
14147374,home,6224,FK Sutjeska Nikšić,1067578,Igor Pajović,igor-pajovic,D,5,False,55.0,43.0,7.0,3.0,0.0,17.0,21.0,33.0,7.0,3.0,1.0,0.0,14.0,10.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,90.0,71.0,6.8,15.0,0.0,0.05,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",24,1,23,10,13,78.18181818181819,42.857142857142854,42.857142857142854,100.0,,25.0,1.0,2.0,,,,,,
14147374,home,6224,FK Sutjeska Nikšić,138937,Boris Kopitović,boris-kopitovic,D,15,False,67.0,64.0,4.0,3.0,0.0,40.0,42.0,24.0,0.0,0.0,2.0,2.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,11.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,,,,,,90.0,80.0,6.4,5.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,4,9,2,7,95.52238805970148,75.0,,,,23.0,3.0,,,,,,,
14147374,home,6224,FK Sutjeska Nikšić,1063207,Radoš Dedić,rados-dedic,D,6,False,71.0,70.0,1.0,1.0,0.0,49.0,49.0,22.0,0.0,0.0,1.0,3.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,14.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,0.0,,,,,,90.0,91.0,6.8,1.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,3,2,98.59154929577466,100.0,,,,21.0,1.0,,,,,,,
14147374,home,6224,FK Sutjeska Nikšić,1000770,Andrija Ražnatović,andrija-raznatovic,D,22,False,52.0,47.0,4.0,1.0,2.0,22.0,22.0,30.0,3.0,2.0,0.0,0.0,7.0,4.0,2.0,3.0,3.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,,,,,,62.0,70.0,7.6,6.0,0.03,0.29,"{'original': 7.6, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,0,11,4,7,90.38461538461539,25.0,66.66666666666666,100.0,,25.0,,3.0,1.0,1.0,,,,
14147374,home,6224,FK Sutjeska Nikšić,836566,Aleksandar Šćekić,aleksandar-scekic,M,55,False,70.0,61.0,2.0,1.0,0.0,24.0,25.0,44.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,68.0,74.0,6.9,9.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",2,0,2,1,1,87.14285714285714,50.0,,,,36.0,2.0,,,,,,,
14147374,home,6224,FK Sutjeska Nikšić,1381358,Petar Aničić,petar-anicic,M,9,False,26.0,24.0,2.0,2.0,0.0,9.0,9.0,16.0,1.0,0.0,0.0,0.0,6.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,62.0,34.0,7.4,3.0,0.24,0.0,"{'original': 7.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",7,0,7,1,6,92.3076923076923,100.0,0.0,50.0,,14.0,2.0,,,,1.0,,,
14147374,home,6224,FK Sutjeska Nikšić,1479109,Marko Simun,marko-simun,M,19,False,72.0,66.0,6.0,3.0,0.0,31.0,32.0,40.0,0.0,0.0,2.0,0.0,17.0,6.0,1.0,3.0,2.0,2.0,2.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,,,,,,90.0,97.0,8.2,10.0,0.8,0.0,"{'original': 8.2, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",23,2,21,6,15,91.66666666666666,50.0,,66.66666666666666,,35.0,1.0,,,,,,,
14147374,home,6224,FK Sutjeska Nikšić,929998,Ivan Vukčević,ivan-vukcevic,M,7,False,17.0,8.0,1.0,0.0,0.0,3.0,6.0,11.0,0.0,0.0,1.0,0.0,11.0,1.0,0.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,,,,,68.0,34.0,7.0,10.0,0.22,0.0,"{'original': 7, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,1,11,1,10,47.05882352941176,0.0,,50.0,,5.0,,1.0,1.0,,,1.0,,
14147374,home,5160,FK Sutjeska Nikšić,878422,Nikola Furtula,nikola-furtula,F,89,False,22.0,16.0,1.0,1.0,0.0,5.0,7.0,15.0,1.0,1.0,1.0,1.0,13.0,5.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,,,,,,90.0,38.0,7.5,17.0,0.8,0.0,"{'original': 7.5, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,2,16,4,12,72.72727272727273,100.0,100.0,100.0,,11.0,,,1.0,,2.0,1.0,,
