match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,shotOffTarget,keyPass,dispossessed,bigChanceCreated,blockedScoringAttempt,bigChanceMissed
14147377,home,327162,Mladost DG,931333,Petar Radulović,petar-radulovic,G,25,False,25.0,24.0,6.0,5.0,0.0,19.0,19.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,90.0,28.0,6.3,4.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,96.0,83.33333333333334,,,0.0,,,,,,
14147377,home,327162,Mladost DG,1036138,Jovan Vujisic,jovan-vujisic,D,5,False,40.0,28.0,5.0,2.0,0.0,14.0,18.0,10.0,17.0,0.0,0.0,2.0,3.0,8.0,5.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,27.0,1.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,,,,,,,90.0,49.0,6.6,16.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,5,8,2,6,70.0,40.0,,,,,,,,,
14147377,home,241802,Mladost DG,232450,Miguel Rodrigues,miguel-rodrigues,D,30,False,26.0,19.0,5.0,2.0,0.0,13.0,15.0,6.0,11.0,0.0,0.0,4.0,1.0,7.0,4.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,55.0,34.0,6.2,10.0,0.0,0.0,"{'original': 6.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,5,6,3,3,73.07692307692307,40.0,,,,,,,,,
14147377,home,327162,Mladost DG,605370,Luka Uskoković,luka-uskokovic,D,4,False,44.0,39.0,9.0,7.0,0.0,26.0,30.0,10.0,11.0,0.0,0.0,5.0,5.0,10.0,7.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,17.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,,,,,,,90.0,51.0,6.4,7.0,0.0,0.0,"{'original': 6.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,10,7,2,5,88.63636363636364,77.77777777777779,,,,,,,,,
14147377,home,327162,Mladost DG,880655,Zvonko Ceklić,zvonko-ceklic,D,6,False,21.0,12.0,3.0,1.0,0.0,9.0,11.0,3.0,8.0,1.0,1.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,39.0,27.0,6.3,8.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",5,1,4,1,3,57.14285714285714,33.33333333333333,100.0,,,,,,,,
14147377,home,327162,Mladost DG,1163021,Nelson Augustin Cordoba,nelson-augustin-cordoba,M,28,False,44.0,38.0,4.0,3.0,0.0,20.0,22.0,12.0,16.0,2.0,1.0,2.0,5.0,5.0,14.0,0.0,2.0,2.0,0.0,0.0,2.0,0.0,6.0,21.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,,,,,,,90.0,61.0,7.9,14.0,0.0,0.03,"{'original': 7.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",19,7,12,9,3,86.36363636363636,75.0,50.0,100.0,,1.0,1.0,,,,
14147377,home,7887,Mladost DG,1149289,Balša Mrvaljević,balsa-mrvaljevic,M,18,False,21.0,13.0,0.0,0.0,0.0,3.0,4.0,9.0,15.0,5.0,1.0,2.0,0.0,9.0,4.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,82.0,41.0,6.7,10.0,0.0,0.28,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,4,7,61.904761904761905,,20.0,75.0,,,1.0,1.0,,,
14147377,home,327162,Mladost DG,1030487,Anđelko Jovanović,andelko-jovanovic,M,10,False,67.0,45.0,6.0,2.0,0.0,24.0,29.0,21.0,37.0,2.0,0.0,2.0,1.0,13.0,5.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,90.0,87.0,6.9,21.0,0.05,0.01,"{'original': 6.9, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,3,15,4,11,67.16417910447761,33.33333333333333,0.0,50.0,,3.0,3.0,,,,
14147377,home,327162,Mladost DG,1103884,Dušan Vuković,dusan-vukovic,M,77,False,40.0,27.0,6.0,3.0,1.0,12.0,15.0,14.0,24.0,0.0,0.0,0.0,4.0,6.0,8.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,82.0,56.0,7.4,14.0,0.0,0.4,"{'original': 7.4, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,4,10,4,6,67.5,50.0,,0.0,,,1.0,,1.0,,
14147377,home,327162,Mladost DG,1497156,Lazar Knezevic,lazar-knezevic,M,7,False,13.0,7.0,0.0,0.0,0.0,3.0,7.0,4.0,6.0,2.0,0.0,2.0,1.0,11.0,5.0,0.0,4.0,2.0,0.0,0.0,1.0,0.0,,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,2.0,,,,,,,55.0,25.0,6.0,8.0,0.28,0.0,"{'original': 6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",16,3,13,4,9,53.84615384615385,,0.0,50.0,,1.0,,1.0,,,
