player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,xg,id,time,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,blockCoordinates,xgot,goalType
"{'name': 'Aldin Mušović', 'firstName': '', 'lastName': '', 'slug': 'aldin-musovic', 'shortName': 'A. Mušović', 'position': 'F', 'jerseyNumber': '9', 'userCount': 9, 'gender': 'M', 'id': 1382874, 'fieldTranslations': {'nameTranslation': {'ar': 'ألدين موشوفيتش'}, 'shortNameTranslation': {'ar': 'أ. موشوفيتش'}}}",False,miss,regular,"{'x': 12, 'y': 47, 'z': 0}",right-foot,close-right,"{'x': 0, 'y': 42.9, 'z': 18.7}",0.2837,6544342,90,5348,"{'start': {'x': 47, 'y': 12}, 'end': {'x': 57.1, 'y': 0}, 'goal': {'x': 57.1, 'y': 81.3}}",1,52,2648,shot,,,
"{'name': 'Nemanja Pavićević', 'firstName': 'Nemanja', 'lastName': 'Pavićević', 'slug': 'nemanja-pavicevic', 'shortName': 'N. Pavićević', 'position': 'M', 'jerseyNumber': '17', 'userCount': 3, 'gender': 'M', 'id': 1978656, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانجا بافيتشيفيتش'}, 'shortNameTranslation': {'ar': 'ن. بافيتشيفيتش'}}}",False,block,regular,"{'x': 24, 'y': 53, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.002711,6544341,88,5274,"{'start': {'x': 53, 'y': 24}, 'block': {'x': 53, 'y': 24}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",3,126,2574,shot,"{'x': 24, 'y': 53, 'z': 0}",,
"{'name': 'Bojan Damjanović', 'firstName': 'Bojan', 'lastName': 'Damjanovic', 'slug': 'bojan-damjanovic', 'shortName': 'B. Damjanović', 'position': 'D', 'jerseyNumber': '91', 'userCount': 18, 'gender': 'M', 'id': 1423507, 'fieldTranslations': {'nameTranslation': {'ar': 'بويان داميانوفيتش'}, 'shortNameTranslation': {'ar': 'ب. داميانوفيتش'}}}",True,miss,corner,"{'x': 12, 'y': 40, 'z': 0}",left-foot,close-left,"{'x': 0, 'y': 58.1, 'z': 33.4}",0.04922,6544340,87,5162,"{'start': {'x': 40, 'y': 12}, 'end': {'x': 41.9, 'y': 0}, 'goal': {'x': 41.9, 'y': 66.6}}",4,238,2462,shot,,,
"{'name': 'Ivan Vukčević', 'slug': 'ivan-vukcevic', 'shortName': 'I. Vukčević', 'position': 'M', 'jerseyNumber': '7', 'userCount': 25, 'gender': 'M', 'id': 929998, 'fieldTranslations': {'nameTranslation': {'ar': 'إيفان فوكتشيفيتش', 'hi': 'इवान वुकसेविक', 'bn': 'ইভান ভুকেভিচ'}, 'shortNameTranslation': {'ar': 'إ. فوكتشيفيتش', 'hi': 'आई. वुकसेविक', 'bn': 'আই. ভুকেভিচ'}}}",True,block,regular,"{'x': 8, 'y': 36, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.3798,6544339,86,5124,"{'start': {'x': 36, 'y': 8}, 'block': {'x': 36, 'y': 8}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",5,276,2424,shot,"{'x': 8, 'y': 36, 'z': 0}",,
"{'name': 'Andrija Ražnatović', 'firstName': '', 'lastName': '', 'slug': 'andrija-raznatovic', 'shortName': 'A. Ražnatović', 'position': 'D', 'jerseyNumber': '22', 'userCount': 23, 'gender': 'M', 'id': 1000770, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريا رازناتوفيتش', 'hi': 'एंड्रीजा रज्नाटोविक', 'bn': 'আন্দ্রিজা রাজনাতোভিচ'}, 'shortNameTranslation': {'ar': 'أ. رازناتوفيتش', 'hi': 'ए. रज्नाटोविक', 'bn': 'এ. রাজনাতোভিচ'}}}",True,save,regular,"{'x': 10, 'y': 26, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 48.5, 'z': 13.4}",0.0504,6544338,86,5119,"{'start': {'x': 26, 'y': 10}, 'end': {'x': 51.5, 'y': 0}, 'goal': {'x': 51.5, 'y': 86.6}}",5,281,2419,shot,,0.03486,
"{'name': 'Andrej Cvijović', 'firstName': '', 'lastName': '', 'slug': 'andrej-cvijovic', 'shortName': 'A. Cvijović', 'position': 'D', 'jerseyNumber': '33', 'userCount': 4, 'gender': 'M', 'id': 1131050, 'fieldTranslations': {'nameTranslation': {'ar': 'أندريه سفييوفيتش'}, 'shortNameTranslation': {'ar': 'أ. سفييوفيتش'}}}",False,miss,regular,"{'x': 17, 'y': 66, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 57, 'z': 11.7}",0.09224,6544337,75,4460,"{'start': {'x': 66, 'y': 17}, 'end': {'x': 43, 'y': 0}, 'goal': {'x': 43, 'y': 88.3}}",16,940,1760,shot,,,
"{'name': 'Medo Juković', 'firstName': 'Medo Jukovic', 'slug': 'medo-jukovic', 'shortName': 'M. Juković', 'position': 'M', 'jerseyNumber': '88', 'userCount': 34, 'gender': 'M', 'id': 1896811, 'fieldTranslations': {'nameTranslation': {'ar': 'ميدو يوكوفيتش'}, 'shortNameTranslation': {'ar': 'م. يوكوفيتش'}}}",True,goal,regular,"{'x': 22, 'y': 39, 'z': 0}",left-foot,high-centre,"{'x': 0, 'y': 51.6, 'z': 28.2}",0.1032,6544336,62,3668,"{'start': {'x': 39, 'y': 22}, 'end': {'x': 48.4, 'y': 0}, 'goal': {'x': 48.4, 'y': 71.8}}",29,1732,968,shot,,0.0914,regular
"{'name': 'Vasko Kalezić', 'firstName': '', 'lastName': '', 'slug': 'vasko-kalezic', 'shortName': 'V. Kalezić', 'position': 'F', 'jerseyNumber': '70', 'userCount': 18, 'gender': 'M', 'id': 172957, 'fieldTranslations': {'nameTranslation': {'ar': 'فاسكو كاليزيك', 'hi': 'वास्को कालेज़िक', 'bn': 'ভাস্কো কালেজিক'}, 'shortNameTranslation': {'ar': 'ف. كاليزيك', 'hi': 'वी. कालेज़िक', 'bn': 'ভি. কালেজিক'}}}",True,block,regular,"{'x': 14, 'y': 33, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.02717,6544335,62,3664,"{'start': {'x': 33, 'y': 14}, 'block': {'x': 33, 'y': 14}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",29,1736,964,shot,"{'x': 14, 'y': 33, 'z': 0}",,
"{'name': 'Nikola Furtula', 'firstName': '', 'lastName': '', 'slug': 'nikola-furtula', 'shortName': 'N. Furtula', 'position': 'F', 'jerseyNumber': '89', 'userCount': 16, 'gender': 'M', 'id': 878422, 'fieldTranslations': {'nameTranslation': {'ar': 'نيكولا فورتولا'}, 'shortNameTranslation': {'ar': 'ن. فورتولا'}}}",True,miss,corner,"{'x': 9, 'y': 55, 'z': 0}",head,close-high,"{'x': 0, 'y': 50, 'z': 53.4}",0.1365,6544334,58,3436,"{'start': {'x': 55, 'y': 9}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 46.6}}",33,1964,736,shot,,,
"{'name': 'Petar Aničić', 'slug': 'petar-anicic', 'shortName': 'P. Aničić', 'position': 'M', 'jerseyNumber': '9', 'userCount': 5, 'gender': 'M', 'id': 1381358, 'fieldTranslations': {'nameTranslation': {'ar': 'بيتر أنيتشيتش'}, 'shortNameTranslation': {'ar': 'ب. أنيتشيتش'}}}",True,block,regular,"{'x': 13, 'y': 35, 'z': 0}",head,low-centre,"{'x': 0, 'y': 50, 'z': 20}",0.0162,6544333,56,3357,"{'start': {'x': 35, 'y': 13}, 'block': {'x': 35, 'y': 13}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",35,2043,657,shot,"{'x': 13, 'y': 35, 'z': 0}",,
