minute,value
0.0,0
1.0,8
2.0,13
3.0,-12
4.0,-3
5.0,-5
6.0,-6
7.0,-37
8.0,-19
9.0,-16
10.0,-2
11.0,-3
12.0,-78
13.0,-59
14.0,-67
15.0,-32
16.0,-50
17.0,-25
18.0,-16
19.0,-20
20.0,-20
21.0,-43
22.0,-33
23.0,-23
24.0,-21
25.0,-16
26.0,-10
27.0,-9
28.0,-53
29.0,-20
30.0,-15
31.0,-17
32.0,-54
33.0,-42
34.0,-74
35.0,-52
36.0,-34
37.0,-20
38.0,18
39.0,5
40.0,6
41.0,-78
42.0,-22
43.0,18
44.0,-13
45.0,-9
45.5,40
46.0,-9
47.0,-43
48.0,-28
49.0,-64
50.0,-40
51.0,24
52.0,42
53.0,39
54.0,35
55.0,30
56.0,20
57.0,68
58.0,44
59.0,25
60.0,64
61.0,-41
62.0,-7
63.0,-6
64.0,5
65.0,10
66.0,12
67.0,52
68.0,36
69.0,20
70.0,-31
71.0,-18
72.0,-10
73.0,-2
74.0,-2
75.0,1
76.0,11
77.0,6
78.0,3
79.0,2
80.0,11
81.0,6
82.0,49
83.0,25
84.0,15
85.0,9
86.0,6
87.0,26
88.0,16
89.0,-50
90.0,-65
90.5,-40
