player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,xg,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,xgot,goalType
"{'name': 'Darko Zorić', 'slug': 'darko-zoric', 'shortName': 'D. Zorić', 'position': 'M', 'jerseyNumber': '18', 'userCount': 13, 'gender': 'M', 'id': 154655, 'fieldTranslations': {'nameTranslation': {'ar': 'داركو زوريتش'}, 'shortNameTranslation': {'ar': 'د. زوريتش'}}}",False,block,regular,"{'x': 14, 'y': 55, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 14, 'y': 55, 'z': 0}",0.06973,6544299,90,1.0,5454,"{'start': {'x': 55, 'y': 14}, 'block': {'x': 55, 'y': 14}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",1,846,54,shot,,
"{'name': 'Matija Rovčanin', 'firstName': '', 'lastName': '', 'slug': 'matija-rovcanin', 'shortName': 'M. Rovčanin', 'position': 'F', 'jerseyNumber': '21', 'userCount': 9, 'gender': 'M', 'id': 1404815, 'fieldTranslations': {'nameTranslation': {'ar': 'ماتيا روفشانتش'}, 'shortNameTranslation': {'ar': 'م. روفشانتش'}}}",False,save,regular,"{'x': 23, 'y': 42, 'z': 0}",right-foot,low-right,"{'x': 0, 'y': 46, 'z': 10.8}",,0.05629,6544298,90,,5356,"{'start': {'x': 42, 'y': 23}, 'end': {'x': 54, 'y': 0}, 'goal': {'x': 54, 'y': 89.2}}",1,44,2656,shot,0.2118,
"{'name': 'Darko Zorić', 'slug': 'darko-zoric', 'shortName': 'D. Zorić', 'position': 'M', 'jerseyNumber': '18', 'userCount': 13, 'gender': 'M', 'id': 154655, 'fieldTranslations': {'nameTranslation': {'ar': 'داركو زوريتش'}, 'shortNameTranslation': {'ar': 'د. زوريتش'}}}",False,miss,corner,"{'x': 10, 'y': 53, 'z': 0}",left-foot,close-high-right,"{'x': 0, 'y': 41.9, 'z': 59.7}",,0.06685,6544297,89,,5320,"{'start': {'x': 53, 'y': 10}, 'end': {'x': 58.1, 'y': 0}, 'goal': {'x': 58.1, 'y': 40.3}}",2,80,2620,shot,,
"{'name': 'Medo Juković', 'firstName': 'Medo Jukovic', 'slug': 'medo-jukovic', 'shortName': 'M. Juković', 'position': 'M', 'jerseyNumber': '88', 'userCount': 34, 'gender': 'M', 'id': 1896811, 'fieldTranslations': {'nameTranslation': {'ar': 'ميدو يوكوفيتش'}, 'shortNameTranslation': {'ar': 'م. يوكوفيتش'}}}",True,block,regular,"{'x': 11, 'y': 56, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 11, 'y': 56, 'z': 0}",0.2437,6544296,82,,4867,"{'start': {'x': 56, 'y': 11}, 'block': {'x': 56, 'y': 11}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",9,533,2167,shot,,
"{'name': 'Balša Sekulić', 'slug': 'balsa-sekulic', 'shortName': 'B. Sekulić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 23, 'gender': 'M', 'id': 856483, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا سيكوليتش', 'hi': 'बाल्सा सेकुलिक', 'bn': 'বালসা সেকুলিক'}, 'shortNameTranslation': {'ar': 'ب. سيكوليتش', 'hi': 'बी. सेकुलिक', 'bn': 'বি. সেকুলিক'}}}",False,miss,regular,"{'x': 11, 'y': 57, 'z': 0}",right-foot,close-left,"{'x': 0, 'y': 57.6, 'z': 6.6}",,0.2776,6544295,74,,4408,"{'start': {'x': 57, 'y': 11}, 'end': {'x': 42.4, 'y': 0}, 'goal': {'x': 42.4, 'y': 93.4}}",17,992,1708,shot,,
"{'name': 'Vasilije Cavor', 'slug': 'vasilije-cavor', 'shortName': 'V. Cavor', 'position': 'F', 'jerseyNumber': '24', 'userCount': 19, 'gender': 'M', 'id': 962100, 'fieldTranslations': {'nameTranslation': {'ar': 'فاسيليي كافور'}, 'shortNameTranslation': {'ar': 'ف. كافور'}}}",True,block,regular,"{'x': 29, 'y': 39, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 29, 'y': 39, 'z': 0}",0.001175,6544294,74,,4394,"{'start': {'x': 39, 'y': 29}, 'block': {'x': 39, 'y': 29}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",17,1006,1694,shot,,
"{'name': 'Darko Zorić', 'slug': 'darko-zoric', 'shortName': 'D. Zorić', 'position': 'M', 'jerseyNumber': '18', 'userCount': 13, 'gender': 'M', 'id': 154655, 'fieldTranslations': {'nameTranslation': {'ar': 'داركو زوريتش'}, 'shortNameTranslation': {'ar': 'د. زوريتش'}}}",False,miss,regular,"{'x': 22, 'y': 39, 'z': 0}",left-foot,close-right,"{'x': 0, 'y': 43.1, 'z': 19.4}",,0.04423,6544293,70,,4154,"{'start': {'x': 39, 'y': 22}, 'end': {'x': 56.9, 'y': 0}, 'goal': {'x': 56.9, 'y': 80.6}}",21,1246,1454,shot,,
"{'name': 'Boris Kopitović', 'slug': 'boris-kopitovic', 'shortName': 'B. Kopitović', 'position': 'D', 'jerseyNumber': '15', 'userCount': 19, 'gender': 'M', 'id': 138937, 'fieldTranslations': {'nameTranslation': {'ar': 'بوريس كوفيتوفيتش', 'hi': 'बोरिस कोपिटोविक', 'bn': 'বরিস কোপিটোভিচ'}, 'shortNameTranslation': {'ar': 'ب. كوفيتوفيتش', 'hi': 'बी. कोपिटोविक', 'bn': 'বি. কোপিটোভিচ'}}}",True,miss,set-piece,"{'x': 3, 'y': 50, 'z': 0}",head,close-high,"{'x': 0, 'y': 48.7, 'z': 46.4}",,0.3907,6544292,67,,3971,"{'start': {'x': 50, 'y': 3}, 'end': {'x': 51.3, 'y': 0}, 'goal': {'x': 51.3, 'y': 53.6}}",24,1429,1271,shot,,
"{'name': 'Balša Sekulić', 'slug': 'balsa-sekulic', 'shortName': 'B. Sekulić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 23, 'gender': 'M', 'id': 856483, 'fieldTranslations': {'nameTranslation': {'ar': 'بالشا سيكوليتش', 'hi': 'बाल्सा सेकुलिक', 'bn': 'বালসা সেকুলিক'}, 'shortNameTranslation': {'ar': 'ب. سيكوليتش', 'hi': 'बी. सेकुलिक', 'bn': 'বি. সেকুলিক'}}}",False,save,regular,"{'x': 31, 'y': 59, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50.8, 'z': 14.3}",,0.0216,6544291,61,,3639,"{'start': {'x': 59, 'y': 31}, 'end': {'x': 49.2, 'y': 0}, 'goal': {'x': 49.2, 'y': 85.7}}",30,1761,939,shot,0.01246,
"{'name': 'Aleksandar Šćekić', 'slug': 'aleksandar-scekic', 'shortName': 'A. Šćekić', 'position': 'M', 'jerseyNumber': '55', 'userCount': 232, 'gender': 'M', 'id': 836566, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر شيكيتش', 'hi': 'अलेक्जेंडर सेकिच', 'bn': 'আলেকসান্ডার স্কিকিচ'}, 'shortNameTranslation': {'ar': 'أ. شيكيتش', 'hi': 'ए. सेकिच', 'bn': 'এ. স্কিকিচ'}}}",True,miss,corner,"{'x': 9, 'y': 49, 'z': 0}",head,close-high,"{'x': 0, 'y': 46.2, 'z': 52.9}",,0.09728,6544290,60,,3598,"{'start': {'x': 49, 'y': 9}, 'end': {'x': 53.8, 'y': 0}, 'goal': {'x': 53.8, 'y': 47.1}}",31,1802,898,shot,,
"{'name': 'Aleksandar Desančić', 'slug': 'aleksandar-desancic', 'shortName': 'A. Desančić', 'position': 'M', 'userCount': 13, 'gender': 'M', 'id': 795912, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر ديسانشيتش'}, 'shortNameTranslation': {'ar': 'أ. ديسانشيتش'}}}",True,post,regular,"{'x': 13, 'y': 38, 'z': 0}",right-foot,right,"{'x': 0, 'y': 44.9, 'z': 3.1}",,0.07624,6544289,57,,3378,"{'start': {'x': 38, 'y': 13}, 'end': {'x': 55.1, 'y': 0}, 'goal': {'x': 55.1, 'y': 96.9}}",34,2022,678,shot,,
"{'name': 'Medo Juković', 'firstName': 'Medo Jukovic', 'slug': 'medo-jukovic', 'shortName': 'M. Juković', 'position': 'M', 'jerseyNumber': '88', 'userCount': 34, 'gender': 'M', 'id': 1896811, 'fieldTranslations': {'nameTranslation': {'ar': 'ميدو يوكوفيتش'}, 'shortNameTranslation': {'ar': 'م. يوكوفيتش'}}}",True,block,regular,"{'x': 23, 'y': 57, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 23, 'y': 57, 'z': 0}",0.01852,6544288,52,,3102,"{'start': {'x': 57, 'y': 23}, 'block': {'x': 57, 'y': 23}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",39,2298,402,shot,,
