player,isHome,shotType,situation,playerCoordinates,bodyPart,goalMouthLocation,goalMouthCoordinates,blockCoordinates,xg,id,time,addedTime,timeSeconds,draw,reversedPeriodTime,reversedPeriodTimeSeconds,periodTimeSeconds,incidentType,xgot
"{'name': 'Aleksa Ćetković', 'firstName': '', 'lastName': '', 'slug': 'aleksa-cetkovic', 'shortName': 'A. Ćetković', 'position': 'M', 'jerseyNumber': '28', 'userCount': 33, 'gender': 'M', 'id': 1005627, 'fieldTranslations': {'nameTranslation': {'ar': 'أليكسا تشيتكوفيتش', 'hi': 'अलेक्सा सेत्कोविक', 'bn': 'আলেক্সা চেটকোভিচ'}, 'shortNameTranslation': {'ar': 'أ. تشيتكوفيتش', 'hi': 'ए. सेत्कोविक', 'bn': 'এ. চেটকোভিচ'}}}",True,block,corner,"{'x': 12, 'y': 54, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 12, 'y': 54, 'z': 0}",0.3087,6544447,90,1.0,5421,"{'start': {'x': 54, 'y': 12}, 'block': {'x': 54, 'y': 12}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",1,879,21,shot,
"{'name': 'Aleksandar Katanić', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-katanic', 'shortName': 'A. Katanić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 11, 'gender': 'M', 'id': 941693, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر كاتانيش'}, 'shortNameTranslation': {'ar': 'أ. كاتانيش'}}}",True,block,corner,"{'x': 7, 'y': 48, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 7, 'y': 48, 'z': 0}",0.277,6544446,90,1.0,5419,"{'start': {'x': 48, 'y': 7}, 'block': {'x': 48, 'y': 7}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",1,881,19,shot,
"{'name': 'Aleksa Ćetković', 'firstName': '', 'lastName': '', 'slug': 'aleksa-cetkovic', 'shortName': 'A. Ćetković', 'position': 'M', 'jerseyNumber': '28', 'userCount': 33, 'gender': 'M', 'id': 1005627, 'fieldTranslations': {'nameTranslation': {'ar': 'أليكسا تشيتكوفيتش', 'hi': 'अलेक्सा सेत्कोविक', 'bn': 'আলেক্সা চেটকোভিচ'}, 'shortNameTranslation': {'ar': 'أ. تشيتكوفيتش', 'hi': 'ए. सेत्कोविक', 'bn': 'এ. চেটকোভিচ'}}}",True,save,regular,"{'x': 21, 'y': 37, 'z': 0}",right-foot,high-centre,"{'x': 0, 'y': 50.2, 'z': 24.6}",,0.07284,6544445,90,1.0,5405,"{'start': {'x': 37, 'y': 21}, 'end': {'x': 49.8, 'y': 0}, 'goal': {'x': 49.8, 'y': 75.4}}",1,895,5,shot,0.2113
"{'name': 'Aleksandar Katanić', 'firstName': '', 'lastName': '', 'slug': 'aleksandar-katanic', 'shortName': 'A. Katanić', 'position': 'F', 'jerseyNumber': '9', 'userCount': 11, 'gender': 'M', 'id': 941693, 'fieldTranslations': {'nameTranslation': {'ar': 'ألكسندر كاتانيش'}, 'shortNameTranslation': {'ar': 'أ. كاتانيش'}}}",True,block,regular,"{'x': 10, 'y': 33, 'z': 0}",left-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 10, 'y': 33, 'z': 0}",0.06928,6544444,88,,5279,"{'start': {'x': 33, 'y': 10}, 'block': {'x': 33, 'y': 10}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",3,121,2579,shot,
"{'name': 'Pavle  Božović', 'firstName': 'Pavle ', 'lastName': 'Božović ', 'slug': 'pavle-bozovic', 'shortName': 'P. Božović', 'position': 'F', 'userCount': 0, 'gender': 'M', 'id': 2444869}",False,miss,regular,"{'x': 27, 'y': 28, 'z': 0}",right-foot,close-high,"{'x': 0, 'y': 50.4, 'z': 56.7}",,0.02286,6544443,85,,5046,"{'start': {'x': 28, 'y': 27}, 'end': {'x': 49.6, 'y': 0}, 'goal': {'x': 49.6, 'y': 43.3}}",6,354,2346,shot,
"{'name': 'Armin Bošnjak', 'firstName': '', 'lastName': '', 'slug': 'armin-bosnjak', 'shortName': 'A. Bošnjak', 'position': 'M', 'jerseyNumber': '7', 'userCount': 13, 'gender': 'M', 'id': 808566, 'fieldTranslations': {'nameTranslation': {'ar': 'أرمين بوشنجاك', 'hi': 'आर्मिन बोस्नजक', 'bn': 'আরমিন বোসঞ্জাক'}, 'shortNameTranslation': {'ar': 'أ. بوشنجاك', 'hi': 'ए. बोस्नजक', 'bn': 'এ. বোসনজাক'}}}",True,miss,regular,"{'x': 8, 'y': 39, 'z': 0}",right-foot,close-high,"{'x': 0, 'y': 47.5, 'z': 47.1}",,0.2335,6544442,64,,3838,"{'start': {'x': 39, 'y': 8}, 'end': {'x': 52.5, 'y': 0}, 'goal': {'x': 52.5, 'y': 52.9}}",27,1562,1138,shot,
"{'name': 'Sead Dacić', 'firstName': 'Sead', 'lastName': 'Dacić', 'slug': 'sead-dacic', 'shortName': 'S. Dacić', 'position': 'M', 'jerseyNumber': '19', 'userCount': 5, 'gender': 'M', 'id': 1391886, 'fieldTranslations': {'nameTranslation': {'ar': 'سيد داسيك'}, 'shortNameTranslation': {'ar': 'س. داسيك'}}}",False,block,regular,"{'x': 34, 'y': 38, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 50, 'z': 20}","{'x': 34, 'y': 38, 'z': 0}",0.00208,6544441,56,,3344,"{'start': {'x': 38, 'y': 34}, 'block': {'x': 38, 'y': 34}, 'end': {'x': 50, 'y': 0}, 'goal': {'x': 50, 'y': 80}}",35,2056,644,shot,
"{'name': 'Nemanja Pavićević', 'firstName': 'Nemanja', 'lastName': 'Pavićević', 'slug': 'nemanja-pavicevic', 'shortName': 'N. Pavićević', 'position': 'M', 'jerseyNumber': '17', 'userCount': 3, 'gender': 'M', 'id': 1978656, 'fieldTranslations': {'nameTranslation': {'ar': 'نيمانجا بافيتشيفيتش'}, 'shortNameTranslation': {'ar': 'ن. بافيتشيفيتش'}}}",False,miss,regular,"{'x': 19, 'y': 70, 'z': 0}",left-foot,close-high-left,"{'x': 0, 'y': 55.9, 'z': 43.2}",,0.005142,6544440,56,,3330,"{'start': {'x': 70, 'y': 19}, 'end': {'x': 44.1, 'y': 0}, 'goal': {'x': 44.1, 'y': 56.8}}",35,2070,630,shot,
"{'name': 'Žarko Korać', 'firstName': 'Žarko', 'lastName': 'Korać', 'slug': 'zarko-korac', 'shortName': 'Ž. Korać', 'position': 'F', 'jerseyNumber': '11', 'userCount': 12, 'gender': 'M', 'id': 54752, 'fieldTranslations': {'nameTranslation': {'ar': 'زاركو كوراچ'}, 'shortNameTranslation': {'ar': 'ز. كوراچ'}}}",False,save,regular,"{'x': 27, 'y': 57, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 49.3, 'z': 15.7}",,0.04195,6544439,46,,2717,"{'start': {'x': 57, 'y': 27}, 'end': {'x': 50.7, 'y': 0}, 'goal': {'x': 50.7, 'y': 84.3}}",45,2683,17,shot,0.0179
"{'name': 'Lazar Šekularac', 'firstName': 'Lazar Šekularac', 'slug': 'lazar-sekularac', 'shortName': 'L. Šekularac', 'position': 'D', 'jerseyNumber': '27', 'userCount': 20, 'gender': 'M', 'id': 1190521, 'fieldTranslations': {'nameTranslation': {'ar': 'لازار شيكولاراك'}, 'shortNameTranslation': {'ar': 'ل. شيكولاراك'}}}",False,save,regular,"{'x': 20, 'y': 28, 'z': 0}",right-foot,low-centre,"{'x': 0, 'y': 51, 'z': 14.3}",,0.03489,6544438,45,2.0,2763,"{'start': {'x': 28, 'y': 20}, 'end': {'x': 49, 'y': 0}, 'goal': {'x': 49, 'y': 85.7}}",1,2637,63,shot,0.01003
