match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,dispossessed,keyPass,shotOffTarget,blockedScoringAttempt,bigChanceMissed
15188250,home,6226,FK Dečić Tuzi,1396431,Danilo Radošević,danilo-radosevic,G,25,False,32.0,28.0,11.0,8.0,0.0,26.0,28.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4.0,3.0,0.0,90.0,37.0,7.9,4.0,0.0,0.0,"{'original': 7.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,1,0,0,0,87.5,72.72727272727273,,,0.0,,,,,
15188250,home,6226,FK Dečić Tuzi,958574,Jonathan Dresaj,jonathan-dresaj,D,22,False,44.0,33.0,6.0,2.0,0.0,15.0,17.0,18.0,27.0,5.0,1.0,2.0,2.0,14.0,4.0,5.0,2.0,2.0,0.0,0.0,2.0,0.0,3.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,90.0,61.0,6.6,12.0,0.0,0.0,"{'original': 6.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",18,4,14,2,12,75.0,33.33333333333333,20.0,100.0,,1.0,,,,
15188250,home,6226,FK Dečić Tuzi,1063206,Leon Ujkaj,leon-ujkaj,D,17,False,70.0,60.0,18.0,14.0,0.0,40.0,43.0,15.0,19.0,0.0,0.0,2.0,0.0,5.0,5.0,0.0,1.0,1.0,0.0,0.0,5.0,0.0,5.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,90.0,92.0,8.0,15.0,0.0,0.0,"{'original': 8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,5,3,85.71428571428571,77.77777777777779,,100.0,,,,,,
15188250,home,6226,FK Dečić Tuzi,1108587,Robert Gjelaj,robert-gjelaj,D,23,False,54.0,42.0,11.0,6.0,0.0,23.0,29.0,18.0,23.0,1.0,0.0,0.0,2.0,3.0,10.0,0.0,4.0,4.0,1.0,1.0,3.0,1.0,2.0,12.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,,,,,,,90.0,84.0,8.5,17.0,0.82,0.01,"{'original': 8.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,2,11,8,3,77.77777777777779,54.54545454545454,0.0,100.0,,,1.0,,,
15188250,home,6226,FK Dečić Tuzi,1423517,Lazar Maraš,lazar-maras,D,18,False,26.0,20.0,5.0,3.0,0.0,11.0,13.0,7.0,11.0,1.0,1.0,2.0,1.0,12.0,3.0,2.0,1.0,1.0,0.0,0.0,3.0,1.0,3.0,12.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,37.0,7.3,12.0,0.0,0.0,"{'original': 7.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,3,12,2,10,76.92307692307693,60.0,100.0,100.0,,,,,,
15188250,home,6226,FK Dečić Tuzi,325325,Ibrahima Mame Ndiaye,ibrahima-mame-ndiaye,M,72,False,22.0,15.0,1.0,0.0,0.0,6.0,8.0,8.0,13.0,1.0,0.0,3.0,1.0,8.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,,,,,,,61.0,40.0,6.2,13.0,0.01,0.0,"{'original': 6.2, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,4,5,0,5,68.18181818181817,0.0,0.0,0.0,,,,1.0,,
15188250,home,6226,FK Dečić Tuzi,76273,Asmir Kajević,asmir-kajevic,M,10,False,37.0,32.0,3.0,2.0,0.0,20.0,20.0,12.0,17.0,2.0,1.0,1.0,1.0,15.0,5.0,2.0,5.0,3.0,1.0,0.0,1.0,0.0,,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,90.0,62.0,6.6,14.0,0.03,0.15,"{'original': 6.6, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,2,18,4,14,86.48648648648648,66.66666666666666,50.0,60.0,,1.0,1.0,,,
15188250,home,6226,FK Dečić Tuzi,1035792,Petar Sekulović,petar-sekulovic,M,20,False,53.0,46.0,5.0,2.0,0.0,25.0,25.0,19.0,26.0,2.0,1.0,1.0,4.0,12.0,10.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,,,,,,,90.0,75.0,7.5,10.0,0.25,0.0,"{'original': 7.5, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",22,5,17,6,11,86.79245283018868,40.0,50.0,100.0,,1.0,,2.0,,
15188250,home,6226,FK Dečić Tuzi,1394763,Trimror Selimi,trimron-selimi,M,19,False,28.0,20.0,1.0,1.0,0.0,6.0,8.0,14.0,20.0,3.0,1.0,2.0,0.0,17.0,3.0,0.0,4.0,3.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,90.0,54.0,6.4,14.0,0.01,0.0,"{'original': 6.4, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,2,18,3,15,71.42857142857143,100.0,33.33333333333333,75.0,,5.0,,,,
15188250,home,6226,FK Dečić Tuzi,2073399,Mark Djokaj,mark-djokaj,F,11,False,18.0,13.0,2.0,1.0,0.0,2.0,3.0,11.0,15.0,0.0,0.0,1.0,0.0,8.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,,,,,,,81.0,29.0,6.5,6.0,0.05,0.0,"{'original': 6.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",9,1,8,1,7,72.22222222222221,50.0,,50.0,,,,,1.0,
