match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,shotOffTarget,keyPass,dispossessed,blockedScoringAttempt
15280982,home,5143,FK Budućnost Podgorica,1005619,Filip Domazetović,filip-domazetovic,G,21,False,31.0,28.0,10.0,7.0,0.0,20.0,21.0,6.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,90.0,37.0,7.6,4.0,0.0,0.0,"{'original': 7.6, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",1,0,1,0,1,90.32258064516128,70.0,,,0.0,,,,
15280982,home,5143,FK Budućnost Podgorica,889448,Stefan Hajdin,stefan-hajdin,D,3,False,46.0,37.0,4.0,1.0,0.0,21.0,25.0,12.0,17.0,2.0,1.0,1.0,1.0,9.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,6.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,56.0,7.2,9.0,0.01,0.0,"{'original': 7.2, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,2,8,0,8,80.43478260869566,25.0,50.0,,,1.0,,,
15280982,home,5143,FK Budućnost Podgorica,188997,Miloš Milović,milos-milovic,D,15,False,34.0,30.0,2.0,1.0,0.0,21.0,23.0,8.0,9.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,46.0,40.0,6.8,2.0,0.0,0.0,"{'original': 6.8, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,2,1,0,1,88.23529411764706,50.0,,,,,,,
15280982,home,5143,FK Budućnost Podgorica,792102,Ilya Serikov,ilya-serikov,D,5,False,86.0,82.0,5.0,2.0,0.0,49.0,50.0,28.0,31.0,0.0,0.0,3.0,2.0,7.0,7.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,20.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,,,,,,,90.0,101.0,7.7,7.0,0.0,0.04,"{'original': 7.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",14,5,9,5,4,95.34883720930233,40.0,,,,,1.0,,
15280982,home,5143,FK Budućnost Podgorica,1000577,Andrej Pupović,andrej-pupovic,D,32,False,44.0,28.0,3.0,0.0,0.0,12.0,18.0,16.0,26.0,9.0,1.0,0.0,1.0,10.0,7.0,1.0,2.0,2.0,0.0,0.0,3.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,,,,,,,90.0,51.0,7.0,19.0,0.0,0.0,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,1,16,6,10,63.63636363636363,0.0,11.11111111111111,100.0,,,,,
15280982,home,5143,FK Budućnost Podgorica,882000,Srđan Krstović,srdan-krstovic,M,40,False,61.0,51.0,5.0,3.0,0.0,20.0,23.0,31.0,37.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,79.0,71.0,6.9,7.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",6,0,6,2,4,83.60655737704919,60.0,,,,,,,
15280982,home,5143,FK Budućnost Podgorica,1016595,Ivan Bojović,ivan-bojovic,M,77,False,27.0,16.0,2.0,1.0,0.0,6.0,6.0,10.0,21.0,5.0,0.0,1.0,0.0,13.0,4.0,1.0,6.0,3.0,2.0,0.0,2.0,1.0,,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,,,,,,,90.0,48.0,7.0,17.0,0.21,0.0,"{'original': 7, 'alternative': None}",3.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",17,1,16,4,12,59.25925925925925,50.0,0.0,50.0,,1.0,,2.0,
15280982,home,5143,FK Budućnost Podgorica,1005606,Nikola Janjić,nikola-janjic,M,30,False,14.0,9.0,2.0,1.0,0.0,3.0,5.0,6.0,9.0,3.0,2.0,1.0,0.0,9.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,63.0,25.0,7.0,7.0,0.0,0.13,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",13,1,12,4,8,64.28571428571429,50.0,66.66666666666666,50.0,,,1.0,,
15280982,home,5143,FK Budućnost Podgorica,1423515,Danilo Vukanić,danilo-vukanic,M,44,False,35.0,30.0,2.0,0.0,0.0,13.0,13.0,15.0,20.0,0.0,0.0,2.0,0.0,10.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,,,,,,,90.0,48.0,6.9,8.0,0.0,0.0,"{'original': 6.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",15,2,13,5,8,85.71428571428571,0.0,,100.0,,,1.0,1.0,1.0
15280982,home,5143,FK Budućnost Podgorica,894403,Ivan Bulatović,ivan-bulatovic,M,11,False,20.0,14.0,2.0,1.0,0.0,5.0,8.0,9.0,12.0,4.0,1.0,2.0,1.0,21.0,6.0,1.0,7.0,3.0,2.0,0.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,90.0,44.0,6.7,10.0,0.23,0.02,"{'original': 6.7, 'alternative': None}",2.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",27,3,24,5,19,70.0,50.0,25.0,42.857142857142854,,,2.0,,
