match_id,team_side,team_id,team_name,player_id,player_name,player_slug,player_position,shirt_number,is_substitute,totalPass,accuratePass,totalLongBalls,accurateLongBalls,goalAssist,accurateOwnHalfPasses,totalOwnHalfPasses,accurateOppositionHalfPasses,totalOppositionHalfPasses,totalCross,accurateCross,aerialLost,aerialWon,duelLost,duelWon,challengeLost,totalContest,wonContest,onTargetScoringAttempt,goals,totalClearance,outfielderBlock,interceptionWon,ballRecovery,totalTackle,wonTackle,errorLeadToAShot,ownGoals,unsuccessfulTouch,wasFouled,fouls,totalOffside,crossNotClaimed,goodHighClaim,savedShotsFromInsideTheBox,saves,totalKeeperSweeper,accurateKeeperSweeper,minutesPlayed,touches,rating,possessionLostCtrl,expectedGoals,expectedAssists,ratingVersions,totalShots,statisticsType,total_duels,aerial_duels_total,ground_duels_total,ground_duels_won,ground_duels_lost,pass_accuracy_pct,long_ball_accuracy_pct,cross_accuracy_pct,dribble_success_pct,keeper_sweeper_pct,shotOffTarget,keyPass,dispossessed
15281003,home,6224,FK Sutjeska Nikšić,57363,Vladan Giljen,vladan-giljen,G,1,False,22.0,21.0,9.0,8.0,0.0,16.0,16.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,90.0,25.0,7.2,2.0,0.0,0.0,"{'original': 7.2, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",0,0,0,0,0,95.45454545454545,88.88888888888889,,,0.0,,,
15281003,home,6224,FK Sutjeska Nikšić,1149283,Milos Vracar,milos-vracar,D,4,False,24.0,19.0,4.0,1.0,0.0,9.0,12.0,10.0,12.0,1.0,0.0,1.0,0.0,7.0,3.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,90.0,28.0,6.7,9.0,0.0,0.0,"{'original': 6.7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",10,1,9,3,6,79.16666666666666,25.0,0.0,100.0,,,,
15281003,home,6224,FK Sutjeska Nikšić,138937,Boris Kopitović,boris-kopitovic,D,15,False,38.0,26.0,7.0,2.0,0.0,14.0,15.0,12.0,23.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,5.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,,,,,,,90.0,45.0,7.0,11.0,0.0,0.0,"{'original': 7, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",3,1,2,0,2,68.42105263157895,28.57142857142857,0.0,,,,,
15281003,home,6224,FK Sutjeska Nikšić,893161,Anto Babić,anto-babic,D,72,False,52.0,42.0,8.0,4.0,1.0,33.0,39.0,7.0,11.0,1.0,1.0,1.0,6.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,17.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,90.0,69.0,7.9,13.0,0.28,0.07,"{'original': 7.9, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,7,5,2,3,80.76923076923077,50.0,100.0,,,1.0,1.0,
15281003,home,6224,FK Sutjeska Nikšić,1005621,Ognjen Djinovic,ognjen-dinovic,D,16,False,22.0,17.0,2.0,0.0,0.0,8.0,10.0,7.0,10.0,1.0,0.0,0.0,2.0,9.0,3.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,,5.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,,,,,,,46.0,28.0,6.3,7.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",12,2,10,1,9,77.27272727272727,0.0,0.0,,,,,1.0
15281003,home,6224,FK Sutjeska Nikšić,850088,Jovan Čađenović,jovan-cadenovic,M,20,False,43.0,35.0,7.0,3.0,0.0,18.0,21.0,16.0,20.0,1.0,1.0,6.0,4.0,17.0,8.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,14.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,,,,,,,90.0,56.0,7.1,16.0,0.0,0.28,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",25,10,15,4,11,81.3953488372093,42.857142857142854,100.0,0.0,,,1.0,1.0
15281003,home,6224,FK Sutjeska Nikšić,138947,Deni Hočko,deni-hocko,M,44,False,63.0,50.0,9.0,3.0,0.0,26.0,31.0,21.0,28.0,0.0,0.0,0.0,4.0,12.0,8.0,2.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,,,,,,,90.0,75.0,7.1,14.0,0.0,0.01,"{'original': 7.1, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",20,4,16,4,12,79.36507936507937,33.33333333333333,,,,,1.0,
15281003,home,6224,FK Sutjeska Nikšić,172957,Vasko Kalezić,vasko-kalezic,M,70,False,31.0,27.0,1.0,0.0,0.0,7.0,9.0,20.0,22.0,3.0,2.0,1.0,0.0,16.0,7.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,,,,,,,88.0,56.0,6.5,14.0,0.16,0.09,"{'original': 6.5, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",23,1,22,7,15,87.09677419354838,0.0,66.66666666666666,50.0,,1.0,1.0,2.0
15281003,home,6224,FK Sutjeska Nikšić,962100,Vasilije Cavor,vasilije-cavor,F,24,False,10.0,5.0,2.0,0.0,0.0,3.0,4.0,2.0,6.0,2.0,1.0,2.0,0.0,7.0,4.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,57.0,24.0,6.8,5.0,0.05,0.0,"{'original': 6.8, 'alternative': None}",1.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",11,2,9,4,5,50.0,0.0,50.0,100.0,,,,
15281003,home,6224,FK Sutjeska Nikšić,1896811,Medo Jukovic,medo-jukovic,F,88,False,10.0,6.0,3.0,0.0,0.0,1.0,1.0,5.0,9.0,0.0,0.0,2.0,0.0,7.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,57.0,16.0,6.3,7.0,0.0,0.0,"{'original': 6.3, 'alternative': None}",0.0,"{'sportSlug': 'football', 'statisticsType': 'player'}",8,2,6,1,5,60.0,0.0,,50.0,,,,2.0
